country,sector,eval_year,density_k3,mean_weight_k3,n_edges_k3,density_k5,mean_weight_k5,n_edges_k5,density_k10,mean_weight_k10,n_edges_k10
FR,BE,2017,0.013696876600102407,0.9838969499363273,535,0.022247823860727087,0.976739950758895,869,0.04283154121863799,0.9579931921131246,1673
FR,BE,2018,0.013748079877112135,0.9504502989674932,537,0.022836661546338965,0.9365644292923168,892,0.04498207885304659,0.9052343635308486,1757
FR,BE,2019,0.014157706093189963,0.9525299361097372,553,0.022631848438300052,0.9375073473794389,884,0.043855606758832565,0.9069003045186175,1713
FR,BE,2020,0.01408090117767537,0.9638646331800402,550,0.022452636968766,0.9520030279198363,877,0.04487967229902714,0.92658292300473,1753
FR,BE,2021,0.013850486431131593,0.9573285764497791,541,0.022631848438300052,0.9444850483091125,884,0.04513568868407578,0.9171577833659083,1763
FR,BE,2022,0.014208909370199693,0.9604743292840954,555,0.02286226318484383,0.948232549645197,893,0.04495647721454173,0.9225484222816167,1756
FR,BE,2023,0.014183307731694829,0.9526546026211141,554,0.022939068100358423,0.9395064726602481,896,0.04500768049155146,0.9083946276323247,1758
FR,BE,2024,0.013927291346646185,0.9536970206557844,544,0.022836661546338965,0.9403674953696903,892,0.04551971326164875,0.9110265896268382,1778
FR,BE,2025,0.013978494623655914,0.9522784476326184,546,0.02314388120839734,0.9370767383554245,904,0.045570916538658475,0.9077234881204442,1780
FR,BE,2026,0.01431131592421915,0.9547137060464742,559,0.02314388120839734,0.9424143473841405,904,0.04505888376856119,0.917398160473999,1760
FR,FZ,2017,0.013568868407578085,0.9847304427536644,530,0.022068612391193038,0.976748375738546,862,0.04295954941116231,0.9582110519541573,1678
FR,FZ,2018,0.013927291346646185,0.9531853080514746,544,0.02273425499231951,0.9391990082862489,888,0.04470046082949309,0.9104353500564791,1746
FR,FZ,2019,0.013824884792626729,0.9596740980221676,540,0.022555043522785458,0.9468403770737603,881,0.04475166410650282,0.9209356127661112,1748
FR,FZ,2020,0.014285714285714285,0.9654068276534584,558,0.02314388120839734,0.9546510393864602,904,0.04505888376856119,0.9326638821762768,1760
FR,FZ,2021,0.013978494623655914,0.9540141204734622,546,0.02314388120839734,0.9380897125754057,904,0.04505888376856119,0.9084113370440253,1760
FR,FZ,2022,0.013901689708141322,0.9524090693990318,543,0.022452636968766,0.9388689061738816,877,0.044009216589861753,0.9109842988984624,1719
FR,FZ,2023,0.014106502816180236,0.9512196216220955,551,0.02250384024577573,0.9372036144716698,879,0.04370199692780338,0.9087393935667898,1707
FR,FZ,2024,0.014055299539170507,0.9593778656366936,549,0.022657450076804916,0.9469445840828478,885,0.04406041986687148,0.9214712311469626,1721
FR,FZ,2025,0.013901689708141322,0.9545441041366615,543,0.022401433691756272,0.94008153486136,875,0.0442652329749104,0.9113453699405202,1729
FR,FZ,2026,0.014055299539170507,0.9560875683609285,549,0.022452636968766,0.9429047618300084,877,0.04429083461341526,0.9155350832200696,1730
FR,GI,2017,0.013338453661034306,0.9839258335170515,521,0.021812596006144394,0.9765338470665642,852,0.04265232974910394,0.9565392801216771,1666
FR,GI,2018,0.013824884792626729,0.9518043990793045,540,0.02204301075268817,0.9369281967679567,861,0.043369175627240145,0.9067919830038579,1694
FR,GI,2019,0.013952892985151049,0.9578385819731094,545,0.02214541730670763,0.9449894797943295,865,0.04370199692780338,0.9164482038275583,1707
FR,GI,2020,0.013824884792626729,0.9553179982603021,540,0.022555043522785458,0.9418341287924764,881,0.04303635432667691,0.9131878570625276,1681
FR,GI,2021,0.013748079877112135,0.9460641909568553,537,0.021838197644649258,0.929630004140222,853,0.04173067076292883,0.8964429465815786,1630
FR,GI,2022,0.013517665130568356,0.9457484948736169,528,0.02165898617511521,0.9301371564397479,846,0.04206349206349207,0.8956309203111343,1643
FR,GI,2023,0.014260112647209422,0.9639705121580286,557,0.023323092677931388,0.9539645167910507,911,0.04639016897081413,0.9338967771270441,1812
FR,GI,2024,0.014362519201228878,0.9721949481783226,561,0.02345110087045571,0.9630742792250216,916,0.04656938044034818,0.945108197681369,1819
FR,GI,2025,0.014157706093189963,0.9728158563903926,553,0.023783922171018945,0.9637311332493516,929,0.04695340501792115,0.9461361842253202,1834
FR,GI,2026,0.014285714285714285,0.9685568083834836,558,0.023348694316436252,0.9600497942161176,912,0.046979006656426014,0.9427734240926717,1835
FR,JZ,2017,0.013594470046082949,0.9842742599327742,531,0.022017409114183307,0.9761967688619286,860,0.043189964157706096,0.9572018912872828,1687
FR,JZ,2018,0.013927291346646185,0.9545864149748169,544,0.022401433691756272,0.9391747324313234,875,0.0441884280593958,0.9080082888954933,1726
FR,JZ,2019,0.013952892985151049,0.9549474340912756,545,0.022555043522785458,0.9403330874813994,881,0.04388120839733743,0.90932743569021,1714
FR,JZ,2020,0.014183307731694829,0.9565708123970464,554,0.02260624679979519,0.9426056478009226,883,0.04370199692780338,0.9149375142970736,1707
FR,JZ,2021,0.014055299539170507,0.954361660798382,549,0.022478238607270867,0.9400063930923247,878,0.044444444444444446,0.908620539591812,1736
FR,JZ,2022,0.013952892985151049,0.956528645909485,545,0.022939068100358423,0.9424519645446213,896,0.04457245263696877,0.911344736232736,1741
FR,JZ,2023,0.014055299539170507,0.9556906329318018,549,0.02273425499231951,0.9404222249970098,888,0.04531490015360983,0.9108364420157388,1770
FR,JZ,2024,0.014208909370199693,0.956185525203299,555,0.02258064516129032,0.9432662934466812,882,0.04459805427547363,0.9142279268919483,1742
FR,JZ,2025,0.013748079877112135,0.9533463300322447,537,0.022555043522785458,0.9393739683920713,881,0.04467485919098822,0.9090264422274015,1745
FR,JZ,2026,0.014234511008704558,0.9521579014255775,556,0.02299027137736815,0.9387476514131304,898,0.04449564772145417,0.9083761157256395,1738
FR,KZ,2017,0.013492063492063493,0.9824909903006859,527,0.022247823860727087,0.9748046077887441,869,0.043087557603686634,0.9561361562967875,1683
FR,KZ,2018,0.014004096262160778,0.9509711523325762,547,0.02299027137736815,0.9355066276760501,898,0.0441884280593958,0.9039201023820965,1726
FR,KZ,2019,0.01372247823860727,0.9507579135997529,536,0.02258064516129032,0.9343904860269158,882,0.04316436251920123,0.901655198514687,1686
FR,KZ,2020,0.0141321044546851,0.9485252378656974,552,0.022657450076804916,0.9325801807624484,885,0.04329237071172555,0.9008704538461424,1691
FR,KZ,2021,0.014004096262160778,0.950857449295,547,0.02258064516129032,0.9348091593264374,882,0.0442652329749104,0.9019798692993514,1729
FR,KZ,2022,0.014285714285714285,0.9561004945453728,558,0.022631848438300052,0.9434475232065238,884,0.044470046082949306,0.9153599949145416,1737
FR,KZ,2023,0.014029697900665643,0.9532405293098377,548,0.022887864823348696,0.9392507633969264,894,0.04482846902201741,0.9093207093198709,1751
FR,KZ,2024,0.014183307731694829,0.9524343566237757,554,0.022939068100358423,0.9380689134271021,896,0.04554531490015361,0.9089099573856012,1779
FR,KZ,2025,0.014055299539170507,0.9567412680178617,549,0.02291346646185356,0.9434592035250876,895,0.04498207885304659,0.9178584662236637,1757
