country,sector,eval_year,density_with_2020,density_without_2020,mean_weight_with_2020,mean_weight_without_2020,mean_abs_weight_with_2020,mean_abs_weight_without_2020,density_delta,mean_weight_delta,mean_abs_weight_delta
FR,BE,2017,0.022247823860727087,0.022247823860727087,0.976739950758895,0.976739950758895,0.976739950758895,0.976739950758895,0.0,0.0,0.0
FR,BE,2018,0.022836661546338965,0.022836661546338965,0.9365644292923168,0.9365644292923168,0.9365644292923168,0.9365644292923168,0.0,0.0,0.0
FR,BE,2019,0.022631848438300052,0.022631848438300052,0.9375073473794389,0.9375073473794389,0.9375073473794389,0.9375073473794389,0.0,0.0,0.0
FR,BE,2020,0.022452636968766,0.022452636968766,0.9520030279198363,0.9520030279198363,0.9520030279198363,0.9520030279198363,0.0,0.0,0.0
FR,BE,2021,0.022631848438300052,0.022171018945212492,0.9444850483091125,0.9788254713595277,0.9444850483091125,0.9788254713595277,-0.00046082949308755977,0.03434042305041518,0.03434042305041518
FR,BE,2022,0.02286226318484383,0.022171018945212492,0.948232549645197,0.9817272905057327,0.948232549645197,0.9817272905057327,-0.0006912442396313362,0.03349474086053572,0.03349474086053572
FR,BE,2023,0.022939068100358423,0.021838197644649258,0.9395064726602481,0.9747409777265815,0.9395064726602481,0.9747409777265815,-0.0011008704557091652,0.03523450506633341,0.03523450506633341
FR,BE,2024,0.022836661546338965,0.021710189452124936,0.9403674953696903,0.9761743990228124,0.9403674953696903,0.9761743990228124,-0.0011264720942140288,0.03580690365312211,0.03580690365312211
FR,BE,2025,0.02314388120839734,0.021838197644649258,0.9370767383554245,0.9764436632546989,0.9370767383554245,0.9764436632546989,-0.0013056835637480814,0.0393669248992744,0.0393669248992744
FR,BE,2026,0.02314388120839734,0.02314388120839734,0.9424143473841405,0.9424143473841405,0.9424143473841405,0.9424143473841405,0.0,0.0,0.0
FR,FZ,2017,0.022068612391193038,0.022068612391193038,0.976748375738546,0.976748375738546,0.976748375738546,0.976748375738546,0.0,0.0,0.0
FR,FZ,2018,0.02273425499231951,0.02273425499231951,0.9391990082862489,0.9391990082862489,0.9391990082862489,0.9391990082862489,0.0,0.0,0.0
FR,FZ,2019,0.022555043522785458,0.022555043522785458,0.9468403770737603,0.9468403770737603,0.9468403770737603,0.9468403770737603,0.0,0.0,0.0
FR,FZ,2020,0.02314388120839734,0.02314388120839734,0.9546510393864602,0.9546510393864602,0.9546510393864602,0.9546510393864602,0.0,0.0,0.0
FR,FZ,2021,0.02314388120839734,0.021915002560163852,0.9380897125754057,0.9758696269459465,0.9380897125754057,0.9758696269459465,-0.001228878648233487,0.037779914370540735,0.037779914370540735
FR,FZ,2022,0.022452636968766,0.021838197644649258,0.9388689061738816,0.9763737252955186,0.9388689061738816,0.9763737252955186,-0.0006144393241167417,0.037504819121636945,0.037504819121636945
FR,FZ,2023,0.02250384024577573,0.021812596006144394,0.9372036144716698,0.9760710390757932,0.9372036144716698,0.9760710390757932,-0.0006912442396313362,0.0388674246041234,0.0388674246041234
FR,FZ,2024,0.022657450076804916,0.021889400921658985,0.9469445840828478,0.9768618540052763,0.9469445840828478,0.9768618540052763,-0.0007680491551459306,0.02991726992242849,0.02991726992242849
FR,FZ,2025,0.022401433691756272,0.02178699436763953,0.94008153486136,0.97620917791486,0.94008153486136,0.97620917791486,-0.0006144393241167417,0.036127643053499914,0.036127643053499914
FR,FZ,2026,0.022452636968766,0.022452636968766,0.9429047618300084,0.9429047618300084,0.9429047618300084,0.9429047618300084,0.0,0.0,0.0
FR,GI,2017,0.021812596006144394,0.021812596006144394,0.9765338470665642,0.9765338470665642,0.9765338470665642,0.9765338470665642,0.0,0.0,0.0
FR,GI,2018,0.02204301075268817,0.02204301075268817,0.9369281967679567,0.9369281967679567,0.9369281967679567,0.9369281967679567,0.0,0.0,0.0
FR,GI,2019,0.02214541730670763,0.02214541730670763,0.9449894797943295,0.9449894797943295,0.9449894797943295,0.9449894797943295,0.0,0.0,0.0
FR,GI,2020,0.022555043522785458,0.022555043522785458,0.9418341287924764,0.9418341287924764,0.9418341287924764,0.9418341287924764,0.0,0.0,0.0
FR,GI,2021,0.021838197644649258,0.021121351766513058,0.929630004140222,0.9755405294920361,0.929630004140222,0.9755405294920361,-0.0007168458781361998,0.04591052535181406,0.04591052535181406
FR,GI,2022,0.02165898617511521,0.020942140296979005,0.9301371564397479,0.9758988447835593,0.9301371564397479,0.9758988447835593,-0.0007168458781362033,0.045761688343811335,0.045761688343811335
FR,GI,2023,0.023323092677931388,0.022452636968766,0.9539645167910507,0.9767436575424571,0.9539645167910507,0.9767436575424571,-0.0008704557091653888,0.022779140751406413,0.022779140751406413
FR,GI,2024,0.02345110087045571,0.02196620583717358,0.9630742792250216,0.9792599623964767,0.9630742792250216,0.9792599623964767,-0.0014848950332821305,0.01618568317145508,0.01618568317145508
FR,GI,2025,0.023783922171018945,0.022222222222222223,0.9637311332493516,0.9770038623889709,0.9637311332493516,0.9770038623889709,-0.0015616999487967215,0.0132727291396193,0.0132727291396193
FR,GI,2026,0.023348694316436252,0.023348694316436252,0.9600497942161176,0.9600497942161176,0.9600497942161176,0.9600497942161176,0.0,0.0,0.0
FR,JZ,2017,0.022017409114183307,0.022017409114183307,0.9761967688619286,0.9761967688619286,0.9761967688619286,0.9761967688619286,0.0,0.0,0.0
FR,JZ,2018,0.022401433691756272,0.022401433691756272,0.9391747324313234,0.9391747324313234,0.9391747324313234,0.9391747324313234,0.0,0.0,0.0
FR,JZ,2019,0.022555043522785458,0.022555043522785458,0.9403330874813994,0.9403330874813994,0.9403330874813994,0.9403330874813994,0.0,0.0,0.0
FR,JZ,2020,0.02260624679979519,0.02260624679979519,0.9426056478009226,0.9426056478009226,0.9426056478009226,0.9426056478009226,0.0,0.0,0.0
FR,JZ,2021,0.022478238607270867,0.017921146953405017,0.9400063930923247,0.9805036611664086,0.9400063930923247,0.9805036611664086,-0.00455709165386585,0.040497268074083936,0.040497268074083936
FR,JZ,2022,0.022939068100358423,0.017972350230414748,0.9424519645446213,0.9792250241732693,0.9424519645446213,0.9792250241732693,-0.004966717869943675,0.036773059628647964,0.036773059628647964
FR,JZ,2023,0.02273425499231951,0.022119815668202765,0.9404222249970098,0.9767527161143611,0.9404222249970098,0.9767527161143611,-0.0006144393241167452,0.036330491117351316,0.036330491117351316
FR,JZ,2024,0.02258064516129032,0.02163338453661034,0.9432662934466812,0.9771420563454661,0.9432662934466812,0.9771420563454661,-0.0009472606246799797,0.03387576289878491,0.03387576289878491
FR,JZ,2025,0.022555043522785458,0.022247823860727087,0.9393739683920713,0.9757608788712173,0.9393739683920713,0.9757608788712173,-0.00030721966205837087,0.036386910479145995,0.036386910479145995
FR,JZ,2026,0.02299027137736815,0.02299027137736815,0.9387476514131304,0.9387476514131304,0.9387476514131304,0.9387476514131304,0.0,0.0,0.0
FR,KZ,2017,0.022247823860727087,0.022247823860727087,0.9748046077887441,0.9748046077887441,0.9748046077887441,0.9748046077887441,0.0,0.0,0.0
FR,KZ,2018,0.02299027137736815,0.02299027137736815,0.9355066276760501,0.9355066276760501,0.9355066276760501,0.9355066276760501,0.0,0.0,0.0
FR,KZ,2019,0.02258064516129032,0.02258064516129032,0.9343904860269158,0.9343904860269158,0.9343904860269158,0.9343904860269158,0.0,0.0,0.0
FR,KZ,2020,0.022657450076804916,0.022657450076804916,0.9325801807624484,0.9325801807624484,0.9325801807624484,0.9325801807624484,0.0,0.0,0.0
FR,KZ,2021,0.02258064516129032,0.021915002560163852,0.9348091593264374,0.9755834329957256,0.9348091593264374,0.9755834329957256,-0.0006656426011264691,0.04077427366928821,0.04077427366928821
FR,KZ,2022,0.022631848438300052,0.02178699436763953,0.9434475232065238,0.9762954491998885,0.9434475232065238,0.9762954491998885,-0.0008448540706605216,0.032847925993364724,0.032847925993364724
FR,KZ,2023,0.022887864823348696,0.02196620583717358,0.9392507633969264,0.9774503565086881,0.9392507633969264,0.9774503565086881,-0.0009216589861751161,0.03819959311176169,0.03819959311176169
FR,KZ,2024,0.022939068100358423,0.021761392729134663,0.9380689134271021,0.976153764299701,0.9380689134271021,0.976153764299701,-0.0011776753712237596,0.03808485087259894,0.03808485087259894
FR,KZ,2025,0.02291346646185356,0.022017409114183307,0.9434592035250876,0.9780178537758588,0.9434592035250876,0.9780178537758588,-0.0008960573476702524,0.034558650250771206,0.034558650250771206
FR,KZ,2026,0.022964669738863287,0.022964669738863287,0.9525910721635877,0.9525910721635877,0.9525910721635877,0.9525910721635877,0.0,0.0,0.0
FR,LZ,2017,0.021889400921658985,0.021889400921658985,0.9759373707394031,0.9759373707394031,0.9759373707394031,0.9759373707394031,0.0,0.0,0.0
FR,LZ,2018,0.02232462877624168,0.02232462877624168,0.9415910259422999,0.9415910259422999,0.9415910259422999,0.9415910259422999,0.0,0.0,0.0
FR,LZ,2019,0.022708653353814643,0.022708653353814643,0.9361781116824357,0.9361781116824357,0.9361781116824357,0.9361781116824357,0.0,0.0,0.0
FR,LZ,2020,0.023015873015873017,0.023015873015873017,0.9354756751820487,0.9354756751820487,0.9354756751820487,0.9354756751820487,0.0,0.0,0.0
FR,LZ,2021,0.02268305171530978,0.021710189452124936,0.9336338297363941,0.9746966107916921,0.9336338297363941,0.9746966107916921,-0.0009728622631848434,0.04106278105529804,0.04106278105529804
FR,LZ,2022,0.02258064516129032,0.021889400921658985,0.9335034849637812,0.9753596325646798,0.9335034849637812,0.9753596325646798,-0.0006912442396313362,0.04185614760089862,0.04185614760089862
FR,LZ,2023,0.02237583205325141,0.021761392729134663,0.9382157742256156,0.9769237749381876,0.9382157742256156,0.9769237749381876,-0.0006144393241167452,0.038708000712571966,0.038708000712571966
FR,LZ,2024,0.022887864823348696,0.0220942140296979,0.9418921872276008,0.9760076730805951,0.9418921872276008,0.9760076730805951,-0.0007936507936507943,0.03411548585299429,0.03411548585299429
FR,LZ,2025,0.023118279569892472,0.02196620583717358,0.9435213276642842,0.9766660175315843,0.9435213276642842,0.9766660175315843,-0.0011520737327188925,0.033144689867300126,0.033144689867300126
FR,LZ,2026,0.0228110599078341,0.0228110599078341,0.9448748203106436,0.9448748203106436,0.9448748203106436,0.9448748203106436,0.0,0.0,0.0
FR,MN,2017,0.021761392729134663,0.021761392729134663,0.9769782111993024,0.9769782111993024,0.9769782111993024,0.9769782111993024,0.0,0.0,0.0
FR,MN,2018,0.02250384024577573,0.02250384024577573,0.944310027881358,0.944310027881358,0.944310027881358,0.944310027881358,0.0,0.0,0.0
FR,MN,2019,0.02219662058371736,0.02219662058371736,0.9455220667158241,0.9455220667158241,0.9455220667158241,0.9455220667158241,0.0,0.0,0.0
FR,MN,2020,0.023015873015873017,0.023015873015873017,0.9514876074790792,0.9514876074790792,0.9514876074790792,0.9514876074790792,0.0,0.0,0.0
FR,MN,2021,0.022887864823348696,0.021991807475678443,0.9396564893727304,0.9764125685615526,0.9396564893727304,0.9764125685615526,-0.0008960573476702524,0.03675607918882218,0.03675607918882218
FR,MN,2022,0.02322068612391193,0.021838197644649258,0.9370585085547286,0.975549715667767,0.9370585085547286,0.975549715667767,-0.0013824884792626724,0.03849120711303844,0.03849120711303844
FR,MN,2023,0.022939068100358423,0.021454173067076292,0.9378776895454587,0.9770282465326896,0.9378776895454587,0.9770282465326896,-0.0014848950332821305,0.03915055698723091,0.03915055698723091
FR,MN,2024,0.023476702508960574,0.021710189452124936,0.9431487851411843,0.9769337858712067,0.9431487851411843,0.9769337858712067,-0.0017665130568356377,0.03378500073002244,0.03378500073002244
FR,MN,2025,0.022759856630824374,0.02258064516129032,0.9493933781952643,0.9795815989068868,0.9493933781952643,0.9795815989068868,-0.00017921146953405256,0.030188220711622527,0.030188220711622527
FR,MN,2026,0.02304147465437788,0.02304147465437788,0.9500659036720746,0.9500659036720746,0.9500659036720746,0.9500659036720746,0.0,0.0,0.0
FR,OQ,2017,0.021684587813620072,0.021684587813620072,0.9763483205172967,0.9763483205172967,0.9763483205172967,0.9763483205172967,0.0,0.0,0.0
FR,OQ,2018,0.022299027137736814,0.022299027137736814,0.9349920915835157,0.9349920915835157,0.9349920915835157,0.9349920915835157,0.0,0.0,0.0
FR,OQ,2019,0.022299027137736814,0.022299027137736814,0.9302719052966852,0.9302719052966852,0.9302719052966852,0.9302719052966852,0.0,0.0,0.0
FR,OQ,2020,0.022350230414746545,0.022350230414746545,0.9356545834948502,0.9356545834948502,0.9356545834948502,0.9356545834948502,0.0,0.0,0.0
