period,n_years,density_mean,density_min,density_max,mean_weight_mean,mean_weight_min,mean_weight_max,median_weight_mean,median_weight_min,median_weight_max,std_weight_mean,std_weight_min,std_weight_max,mean_abs_weight_mean,mean_abs_weight_min,mean_abs_weight_max,frac_positive_mean,frac_positive_min,frac_positive_max,frac_negative_mean,frac_negative_min,frac_negative_max,frac_near_zero_mean,frac_near_zero_min,frac_near_zero_max,n_edges_valid_mean,n_edges_valid_min,n_edges_valid_max,country,sector,top_k
pre-2020,4,0.02248463901689708,0.021889400921658985,0.023015873015873017,0.9472955458865469,0.9354756751820487,0.9759373707394031,0.9569602579811786,0.9430736452653569,0.9852631192558058,0.04126896206964838,0.028221382105707446,0.047457110560376034,0.9472955458865469,0.9354756751820487,0.9759373707394031,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,878.25,855.0,899.0,FR,LZ,5
2020,1,0.02268305171530978,0.02268305171530978,0.02268305171530978,0.9336338297363941,0.9336338297363941,0.9336338297363941,0.9444011087497257,0.9444011087497257,0.9444011087497257,0.0460415313389728,0.0460415313389728,0.0460415313389728,0.9336338297363941,0.9336338297363941,0.9336338297363941,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,886.0,886.0,FR,LZ,5
post-2020,5,0.022754736303123396,0.02237583205325141,0.023118279569892472,0.940401518878385,0.9335034849637812,0.9448748203106436,0.9556572994728626,0.9425443192748417,0.9642508530257498,0.053377017643035415,0.044350389183624786,0.05871172547719791,0.940401518878385,0.9335034849637812,0.9448748203106436,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,888.8,874.0,903.0,FR,LZ,5
pre-2020,4,0.02236943164362519,0.021761392729134663,0.023015873015873017,0.9545744783188909,0.944310027881358,0.9769782111993024,0.9664389433994391,0.9545280092443064,0.9859769627774546,0.04155502193752514,0.024569333578021386,0.0512842105375693,0.9545744783188909,0.944310027881358,0.9769782111993024,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,873.75,850.0,899.0,FR,MN,5
2020,1,0.022887864823348696,0.022887864823348696,0.022887864823348696,0.9396564893727304,0.9396564893727304,0.9396564893727304,0.9536921060598571,0.9536921060598571,0.9536921060598571,0.05262127733512155,0.05262127733512155,0.05262127733512155,0.9396564893727304,0.9396564893727304,0.9396564893727304,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,894.0,894.0,894.0,FR,MN,5
post-2020,5,0.023087557603686634,0.022759856630824374,0.023476702508960574,0.943508853021742,0.9370585085547286,0.9500659036720746,0.9641286121130067,0.9571248213819312,0.9706788221957092,0.06162051184120757,0.05465554536000145,0.07092007800215304,0.943508853021742,0.9370585085547286,0.9500659036720746,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,901.8,889.0,917.0,FR,MN,5
pre-2020,4,0.022158218125960062,0.021684587813620072,0.022350230414746545,0.944316725223087,0.9302719052966852,0.9763483205172967,0.9510238159971144,0.9389121497832286,0.9804079941020115,0.03656074297005091,0.018902128574800118,0.04336110875365467,0.944316725223087,0.9302719052966852,0.9763483205172967,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,865.5,847.0,873.0,FR,OQ,5
2020,1,0.02232462877624168,0.02232462877624168,0.02232462877624168,0.9375538592726967,0.9375538592726967,0.9375538592726967,0.9508818998864814,0.9508818998864814,0.9508818998864814,0.04733859171359745,0.04733859171359745,0.04733859171359745,0.9375538592726967,0.9375538592726967,0.9375538592726967,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,872.0,872.0,FR,OQ,5
post-2020,5,0.02316436251920123,0.022657450076804916,0.023502304147465437,0.9446545149271133,0.9438404314042484,0.946458064694402,0.9688207978536525,0.9647210808055258,0.9709653122578354,0.06587351487199608,0.06224940930839626,0.06912445212614707,0.9446545149271133,0.9438404314042484,0.946458064694402,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,904.8,885.0,918.0,FR,OQ,5
pre-2020,4,0.02256784434203789,0.022017409114183307,0.02304147465437788,0.9555809726163164,0.9419077954639808,0.9757643949977425,0.96886989789373,0.9579674293837981,0.986081477052658,0.042821372349859124,0.02764081904503359,0.05549495443533909,0.9555809726163164,0.9419077954639808,0.9757643949977425,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,881.5,860.0,900.0,FR,RU,5
