period,n_years,density_mean,density_min,density_max,mean_weight_mean,mean_weight_min,mean_weight_max,median_weight_mean,median_weight_min,median_weight_max,std_weight_mean,std_weight_min,std_weight_max,mean_abs_weight_mean,mean_abs_weight_min,mean_abs_weight_max,frac_positive_mean,frac_positive_min,frac_positive_max,frac_negative_mean,frac_negative_min,frac_negative_max,frac_near_zero_mean,frac_near_zero_min,frac_near_zero_max,n_edges_valid_mean,n_edges_valid_min,n_edges_valid_max,country,sector,top_k
post-2020,4,0.26249999999999996,0.25666666666666665,0.2733333333333333,0.84847055719276,0.8292817190656023,0.8673249250531923,0.8816433431961188,0.8602804644822581,0.8995246935243107,0.12471472463803282,0.10128299805506816,0.13860573126389886,0.84847055719276,0.8292817190656023,0.8673249250531923,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.75,77.0,82.0,PT,BE,5
pre-2020,8,0.28,0.25666666666666665,0.30666666666666664,0.8440653154308719,0.7292642352316179,0.9331582906812953,0.8858607354600398,0.7658144903075926,0.9573390591766114,0.13962545479663135,0.061889016194068204,0.2124222827256993,0.8440653154308719,0.7292642352316179,0.9331582906812953,1.0,1.0,1.0,0.0,0.0,0.0,0.0046354248161477075,0.0,0.024096385542168676,84.0,77.0,92.0,PT,FZ,5
2020,1,0.28,0.28,0.28,0.7829365025510401,0.7829365025510401,0.7829365025510401,0.8384369815151438,0.8384369815151438,0.8384369815151438,0.16348655100942996,0.16348655100942996,0.16348655100942996,0.7829365025510401,0.7829365025510401,0.7829365025510401,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,PT,FZ,5
post-2020,4,0.275,0.2633333333333333,0.29333333333333333,0.8266357021402557,0.8201276152617257,0.841874378691135,0.8411583635321571,0.8266001416743968,0.8557738256043328,0.11784767981021277,0.0978040989832749,0.13862762031454504,0.8266357021402557,0.8201276152617257,0.841874378691135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,79.0,88.0,PT,FZ,5
pre-2020,8,0.2825,0.24666666666666667,0.3,0.9046345735394312,0.8268444428252877,0.9538738571071065,0.9323491840538245,0.8747260463476333,0.9676730440250341,0.08917818973208225,0.03455005075383803,0.1749278654000072,0.9046345735394312,0.8268444428252877,0.9538738571071065,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.75,74.0,90.0,PT,GI,5
2020,1,0.27,0.27,0.27,0.8716849333014093,0.8716849333014093,0.8716849333014093,0.8735660200786746,0.8735660200786746,0.8735660200786746,0.07855602923004719,0.07855602923004719,0.07855602923004719,0.8716849333014093,0.8716849333014093,0.8716849333014093,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,81.0,PT,GI,5
post-2020,4,0.2733333333333333,0.26666666666666666,0.28,0.8854668223211891,0.8698689833602613,0.9027388438416485,0.9013461212851763,0.8805922207991587,0.9227945132583929,0.0757427033767768,0.06499167690733329,0.08988449543243227,0.8854668223211891,0.8698689833602613,0.9027388438416485,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,80.0,84.0,PT,GI,5
pre-2020,8,0.26625,0.24666666666666667,0.2966666666666667,0.744175393103142,0.6698074638794368,0.8816653002757283,0.7802585087788101,0.6801879833241282,0.9196720373153586,0.17489654058726462,0.11184921578402035,0.20315013976866825,0.744175393103142,0.6698074638794368,0.8816653002757283,1.0,1.0,1.0,0.0,0.0,0.0,0.0016233766233766235,0.0,0.012987012987012988,79.875,74.0,89.0,PT,JZ,5
2020,1,0.24666666666666667,0.24666666666666667,0.24666666666666667,0.6654121744634811,0.6654121744634811,0.6654121744634811,0.671023742621878,0.671023742621878,0.671023742621878,0.184784594366811,0.184784594366811,0.184784594366811,0.6654121744634811,0.6654121744634811,0.6654121744634811,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,74.0,PT,JZ,5
post-2020,4,0.27249999999999996,0.2633333333333333,0.2833333333333333,0.8113645701799795,0.7910435351692926,0.8355679531471696,0.8947085831036772,0.8860593937578787,0.9004759025648565,0.20266827267906506,0.16571752154963,0.2661742464444234,0.8113645701799795,0.7910435351692926,0.8355679531471696,1.0,1.0,1.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.02531645569620253,81.75,79.0,85.0,PT,JZ,5
pre-2020,8,0.25958333333333333,0.24666666666666667,0.28,0.7032405774293151,0.6466596320717087,0.7900379635296633,0.7277799143701595,0.6771629218236501,0.8209674302552873,0.17599208315466996,0.15013624875329243,0.2111368743522712,0.7032405774293151,0.6466596320717087,0.7900379635296633,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.875,74.0,84.0,PT,LZ,5
2020,1,0.2633333333333333,0.2633333333333333,0.2633333333333333,0.7335306749781998,0.7335306749781998,0.7335306749781998,0.7445932115833057,0.7445932115833057,0.7445932115833057,0.1619269509637636,0.1619269509637636,0.1619269509637636,0.7335306749781998,0.7335306749781998,0.7335306749781998,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,79.0,PT,LZ,5
post-2020,4,0.2791666666666667,0.27,0.2866666666666667,0.7178493347623262,0.6961918343070334,0.7351648044782039,0.7641734296134091,0.7426513321918147,0.7869923124941778,0.2053921193082113,0.1933199524132223,0.21620290096043882,0.7178493347623262,0.6961918343070334,0.7351648044782039,1.0,1.0,1.0,0.0,0.0,0.0,0.0029411764705882353,0.0,0.011764705882352941,83.75,81.0,86.0,PT,LZ,5
pre-2020,8,0.27749999999999997,0.26,0.2866666666666667,0.7802657329388819,0.6792997905318237,0.8487099227641216,0.8428315787869489,0.7060642603039564,0.9197991245375774,0.1968646892882044,0.15094193663534528,0.23958869437336494,0.7802657329388819,0.6792997905318237,0.8487099227641216,1.0,1.0,1.0,0.0,0.0,0.0,0.00307315233785822,0.0,0.01282051282051282,83.25,78.0,86.0,PT,MN,5
2020,1,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.8563651862046587,0.8563651862046587,0.8563651862046587,0.8814764775561227,0.8814764775561227,0.8814764775561227,0.11647579610866286,0.11647579610866286,0.11647579610866286,0.8563651862046587,0.8563651862046587,0.8563651862046587,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,80.0,PT,MN,5
post-2020,4,0.29166666666666663,0.2866666666666667,0.2966666666666667,0.911675466949276,0.9071110182308519,0.9204913163095505,0.9486898588892195,0.9388290738941262,0.957934939904436,0.08427800624339551,0.07078646806076429,0.09670029382738571,0.911675466949276,0.9071110182308519,0.9204913163095505,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,86.0,89.0,PT,MN,5
pre-2020,8,0.2829166666666667,0.27,0.2966666666666667,0.7968044914568806,0.637775608611326,0.8853976295317966,0.840882715139736,0.6759113952023927,0.943749756581953,0.16845150215440957,0.08000759431403039,0.20781398851806449,0.7968044914568806,0.637775608611326,0.8853976295317966,1.0,1.0,1.0,0.0,0.0,0.0,0.004311471126208518,0.0,0.011627906976744186,84.875,81.0,89.0,PT,OQ,5
2020,1,0.28,0.28,0.28,0.7939719354378434,0.7939719354378434,0.7939719354378434,0.8452965048511182,0.8452965048511182,0.8452965048511182,0.16191992172496572,0.16191992172496572,0.16191992172496572,0.7939719354378434,0.7939719354378434,0.7939719354378434,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,PT,OQ,5
post-2020,4,0.27666666666666667,0.2733333333333333,0.28,0.8826323483778111,0.8571977416984643,0.9063450035590395,0.9057190151957477,0.8938040379135018,0.9194238459409079,0.0912219171806856,0.0623077744778891,0.14169839805994713,0.8826323483778111,0.8571977416984643,0.9063450035590395,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,82.0,84.0,PT,OQ,5
pre-2020,8,0.28208333333333335,0.25333333333333335,0.30333333333333334,0.7431870855288001,0.6095474820583399,0.881347326113956,0.8008574188488145,0.5962869437990085,0.9330535474483509,0.19541626855960467,0.1273622365790689,0.24857238092274458,0.7431870855288001,0.6095474820583399,0.881347326113956,1.0,1.0,1.0,0.0,0.0,0.0,0.0013736263736263737,0.0,0.01098901098901099,84.625,76.0,91.0,PT,RU,5
2020,1,0.2866666666666667,0.2866666666666667,0.2866666666666667,0.8068111426924219,0.8068111426924219,0.8068111426924219,0.8503491538690464,0.8503491538690464,0.8503491538690464,0.13894675733967832,0.13894675733967832,0.13894675733967832,0.8068111426924219,0.8068111426924219,0.8068111426924219,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,86.0,PT,RU,5
post-2020,4,0.2891666666666666,0.2733333333333333,0.3,0.8866459800929798,0.8153252323950861,0.9274568262766472,0.9257225556885721,0.8595169978760783,0.9492703650085468,0.10754466243574928,0.0749574142954777,0.1382239294587385,0.8866459800929798,0.8153252323950861,0.9274568262766472,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75,82.0,90.0,PT,RU,5
