codgeo,ze2020,year,bpe_evolution_presence_type_count,source_geography_year,measure_definition
01040,8405,2019,12,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01040,8405,2024,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01041,8405,2019,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01041,8405,2024,14,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01042,0059,2019,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01042,0059,2024,6,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01043,8421,2019,68,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01043,8421,2024,67,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01044,8416,2019,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01044,8416,2024,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01045,8405,2019,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01045,8405,2024,6,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01046,0059,2019,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01046,0059,2024,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01047,8405,2019,20,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01047,8405,2024,24,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01049,8421,2019,37,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01049,8421,2024,37,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01050,0059,2019,6,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01050,0059,2024,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01051,8425,2019,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01051,8425,2024,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01052,8405,2019,6,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01052,8405,2024,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01053,8405,2019,133,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01053,8405,2024,130,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01054,8405,2019,13,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01054,8405,2024,13,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01056,8405,2019,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01056,8405,2024,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01057,0059,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01057,0059,2024,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01058,8404,2019,23,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01058,8404,2024,22,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01060,8404,2019,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01060,8404,2024,17,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01061,8404,2019,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01061,8404,2024,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01062,8421,2019,13,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01062,8421,2024,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01063,8425,2019,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01063,8425,2024,14,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01064,8405,2019,17,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01064,8405,2024,19,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01065,8405,2019,27,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01065,8405,2024,26,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01066,8404,2019,2,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01066,8404,2024,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01067,8425,2019,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01067,8425,2024,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01068,8405,2019,17,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01068,8405,2024,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
