year,ZE2020,regime_signal_jan_dec,regime_signal_jan_jun,regime_signal_jan_mar,regime_signal_jan_sep,regime_signal_lag_1
2018,0051,0.10643422569793022,0.1301354162668981,0.10788557646455217,0.12055296596742167,
2018,0052,0.10634000868962225,0.12657836217145477,0.10362926654056359,0.11910643361181315,
2018,0053,0.1160527943240871,0.13757455134790603,0.11374329946035389,0.13031882801602424,
2018,0054,0.11313002027392535,0.13592126664640508,0.1120717547337613,0.12724529380975136,
2018,0055,0.11399878426419124,0.1350084897546155,0.11053747656407459,0.12746631367594455,
2018,0056,0.10978668650035478,0.13220518680758572,0.10852891535339895,0.12336212121603324,
2018,0057,0.11353006747946448,0.1358914725102359,0.11103379342113326,0.1277800650650625,
2018,0058,0.10617473287120072,0.1284687502682401,0.10394976581079075,0.11962238900185557,
2018,0059,0.10732969751767144,0.13014108410048017,0.10793917999411058,0.12140637258660622,
2018,0060,0.10931274766749322,0.1325550227800488,0.1100132078025659,0.12323792596753079,
2018,0061,0.11379667842626649,0.1368316666749649,0.11334446285179053,0.127767346161251,
2018,0062,0.10777086413934982,0.1300886507645161,0.10678149233515999,0.12162029256309496,
2018,0063,0.10193305306967852,0.12385426587776986,0.09917093725059092,0.11510574485227365,
2018,0064,0.1001977140676858,0.12094147612831432,0.09848944573243543,0.11263244110895974,
2018,0101,0.11372415074146289,0.13022227863502273,0.10064852393208766,0.12445027660342525,
2018,0102,0.12925426817762886,0.14871571668173075,0.11804671661447359,0.14352031330027545,
2018,0103,0.11780932935495664,0.13794778832242416,0.10990641159582822,0.1314311162531536,
2018,0104,0.1230814311704516,0.1456857275264828,0.1206031368926603,0.13829417723989784,
2018,0105,0.1174710401431095,0.1405258759367943,0.11516160464638059,0.13186613820769816,
2018,0201,0.13313624687327769,0.1538610776832863,0.12339472884779513,0.14802606911754987,
2018,0202,0.12857575040886304,0.15111980274806544,0.12615453999368723,0.14383449075621374,
2018,0203,0.15788672902730416,0.17722687665820025,0.14198901801841624,0.17332271092933002,
2018,0204,0.12275264083010115,0.14287480373252692,0.11491521023527519,0.1359862259959466,
2018,0205,0.12721854848111855,0.14623895589235605,0.11655346887715153,0.14064171236184592,
2018,0206,0.11544151547870762,0.1357042844791633,0.10923088103199241,0.12909867535654862,
2018,0301,0.12506899287577106,0.14707727745988963,0.12053354774977115,0.14012042178029957,
2018,0302,0.12279221818951398,0.14409803980191252,0.11286141994700015,0.13708223526514732,
2018,0303,0.11698895925653018,0.1378402242655477,0.1118074110589606,0.13043565980398858,
2018,0401,0.11101408485902205,0.13329353284788406,0.10793542813698467,0.1251709767749349,
2018,0402,0.1265723875210206,0.14765062848768415,0.1201131432722275,0.14102054415168938,
2018,0403,0.12337536080908937,0.1473043945951541,0.12583685140097103,0.13831230187280324,
2018,0404,0.11088292142389279,0.1330931578605672,0.10842330678117525,0.1250850819647087,
2018,1101,0.12218815680774242,0.14423376395872978,0.12035576251520438,0.1365826773478124,
2018,1102,0.11014060713449378,0.13288190975695044,0.1096560649933353,0.12421264875398802,
2018,1103,0.11746790754445062,0.14058692990442037,0.11803384982521604,0.13184618858354752,
2018,1104,0.12316847104273237,0.14481374005312592,0.11998606224842401,0.1376723759009741,
2018,1105,0.11296161471459096,0.1355778093440736,0.11321423939147225,0.1268353010842758,
2018,1106,0.12263162363004171,0.1435620733161267,0.1178251268326354,0.13704308849360652,
2018,1107,0.11708854734018537,0.138936467629638,0.11453276142003546,0.1311753246832876,
2018,1108,0.11567415586711922,0.1384439389659519,0.11593094743449064,0.12980626833591213,
2018,1109,0.12814512617648857,0.15019454127286946,0.12875988239232905,0.14240017764014637,
2018,1110,0.1131151934949017,0.13559726694672103,0.11123523520802155,0.12702356471728993,
2018,1111,0.1117141411130202,0.13512395614950945,0.11456592903988784,0.12587355198856753,
2018,1112,0.15199456792674063,0.1691476643657921,0.13425001885332635,0.16674404709053128,
2018,1113,0.12339515693072547,0.1452543412600879,0.12132702993857467,0.13805636679776487,
2018,1114,0.11585946119354679,0.13853074440488486,0.11715872234993949,0.1300077031808737,
2018,1115,0.1184683963136414,0.14228509729649502,0.12342955743519328,0.13298555699425443,
2018,2401,0.10913258186094207,0.13174746116039518,0.10959867135001389,0.12292373298477602,
