codgeo,ze2020,bpe_facilities_2024_total
45182,2410,47
45179,2410,90
45171,2407,17
45181,2411,3
45187,2409,149
46064,7607,71
46237,7611,20
45212,2409,37
46255,7611,15
45050,2411,32
45053,2407,207
46137,7607,38
47167,7501,79
47184,7532,13
46301,7607,39
46268,7607,67
46035,7611,8
46016,7619,18
46020,7611,14
47129,7518,6
44146,5205,67
45180,2409,3
46074,7619,13
45077,2409,14
45197,2410,38
46246,7619,4
47015,7501,95
47023,7532,8
46101,7611,16
45294,2411,3
45322,2409,5
45342,2410,9
47206,7532,19
45011,2411,5
44221,5216,40
46028,7619,54
46132,7619,18
46147,7607,6
46136,7607,12
46173,7611,87
45157,2411,13
44131,5217,927
44127,5216,78
47010,7518,6
44098,5219,160
45302,2410,817
45321,2409,18
45314,2410,19
46307,7607,18
46311,7619,84
46092,7607,10
47159,7518,66
47132,7532,10
47144,7518,13
47185,7532,188
47120,7518,4
45333,2410,49
46011,7619,14
45015,2411,25
47216,7518,18
47204,7518,9
46144,7619,13
46047,7619,8
46183,7611,19
45196,2410,46
44202,5201,55
45261,2410,31
45238,2407,27
45136,2409,16
44087,5203,329
45336,2407,35
44144,5201,83
45081,2410,21
45072,2410,29
46091,7607,7
45301,2411,6
47097,7501,35
45030,2411,104
45035,2411,38
47225,7501,71
47207,7501,4
47226,7518,21
47223,7532,14
47047,7518,2
47070,7532,30
45280,2407,32
46279,7619,2
46174,7611,8
45019,2410,18
46043,7619,9
46049,7611,10
47174,7501,30
45258,2411,133
47021,7501,89
47006,7532,32
45208,2409,845
45224,2411,177
46078,7619,4
44166,5216,111
46211,7607,9
46095,7607,48
47104,7501,8
47095,7518,35
45063,2407,37
44092,0062,24
46168,7611,6
46164,7607,14
46297,7607,73
46330,7619,90
45283,2409,3
45272,2410,120
47209,7501,158
45186,2409,10
46032,7607,16
46053,7611,15
45018,2411,22
46267,7607,38
46195,7619,11
45111,2411,10
45115,2409,165
45109,2410,17
47188,7518,5
46070,7607,22
44123,0062,29
45337,2410,7
47140,7501,20
47156,7518,24
46125,7619,17
45052,2407,2
47058,7518,9
47193,7532,4
45127,2409,139
45251,2407,9
46318,7619,10
47053,7532,14
46194,7607,12
46038,7619,88
46051,7611,16
46257,7607,10
46103,7607,31
46097,7619,1
46124,7619,11
47011,7532,9
47148,7518,7
47138,7501,83
45324,2410,69
45036,2407,20
46224,7607,117
45176,2411,13
45110,2411,11
45145,2409,155
44201,5216,209
47074,7518,17
47078,7518,106
46152,7619,11
45329,2409,47
45335,2410,57
45141,2407,4
46264,7607,5
45055,2410,14
47008,7518,5
47016,7501,24
47152,7532,27
47118,7518,5
45257,2409,13
47190,7532,28
46088,7607,41
46215,7619,61
47060,7501,53
46272,7611,14
47064,7532,4
47082,7501,8
47072,7532,9
46190,7607,3
45108,2407,76
46135,7619,1
45142,2410,129
45024,2410,96
47197,7501,8
45051,2407,51
44151,5219,194
46063,7607,112
46228,7619,31
45259,2409,19
44125,5219,136
46282,7619,4
45317,2410,98
44136,5217,94
47218,7518,4
46202,7607,28
47181,7532,17
47079,7532,22
47066,7501,22
44112,5205,15
46241,7607,7
46276,7607,8
45311,2410,21
47127,7518,22
47106,7532,218
45250,2409,9
47271,7518,8
49012,5206,13
45248,2410,84
47272,7532,5
47257,7518,24
49223,5202,206
48174,7613,6
48192,7613,4
48054,7613,3
47291,7532,20
48135,7603,7
48071,7613,4
50008,2810,6
50556,2816,5
48187,7613,8
50082,2805,176
47253,7518,14
49257,5209,26
50536,2805,4
50321,2816,5
50326,2810,4
51171,4413,63
51087,4402,8
51359,4415,4
50006,2816,2
51025,4413,37
48044,7613,3
47320,7518,10
51156,4427,4
50084,2806,13
51285,4402,10
50182,2806,5
50028,2810,3
50092,2806,13
51038,4406,6
51048,4406,5
48190,7613,6
51255,4402,1
51269,4427,37
48141,7613,7
48147,7613,33
50412,2805,110
49331,5221,662
45252,2411,461
50356,2816,21
50361,2810,7
50295,2816,2
49361,5220,62
50185,2802,40
47295,7532,14
48053,7613,8
51154,4406,4
51212,4402,4
51196,4406,31
51226,4406,2
50593,2805,10
50628,2802,1
50350,2806,10
49311,5220,27
49323,5202,310
51057,4427,4
51094,4427,6
51231,4402,16
51275,4427,4
49055,5202,77
50054,2816,2
50492,2816,59
50291,2816,2
50256,2802,100
49267,5202,416
49161,5221,16
49140,5220,43
49364,5220,26
50155,2802,4
50145,2806,21
51302,4406,2
51283,4402,3
50562,2805,110
50539,2805,108
50342,2805,18
50368,2806,3
50341,2805,118
51216,4413,10
51177,4413,7
50109,2810,76
50106,2816,2
47274,7501,13
50419,2806,92
51233,4415,1
51247,4406,5
50486,2805,10
49378,5220,80
49246,5202,491
49067,5221,13
49102,5206,8
50453,2802,23
49330,5202,22
51151,4415,5
51150,4406,3
50633,2805,3
50613,2805,13
50195,2818,8
50215,2806,103
50576,2805,33
48088,7613,21
47324,7532,127
49201,5202,70
51290,4427,5
48153,7613,3
50079,2805,4
49370,5220,8
50493,2810,53
51242,4402,141
49219,5220,39
50283,2816,1
50247,2810,2
49302,5220,14
50478,2805,7
47280,7532,112
50363,2816,46
50351,2816,5
49090,5202,34
50235,2805,3
50219,2806,22
48110,7613,4
48099,7613,79
50495,2802,1
48163,7603,5
51182,4415,3
51198,4413,26
51153,4406,37
49218,5201,464
50111,2806,53
51264,4415,13
50461,2805,4
50443,2802,9
47299,7532,5
50393,2816,111
50272,2806,41
50265,2806,3
49326,5202,18
51288,4427,6
51333,4413,18
50615,2805,363
48167,7613,3
51054,4413,44
51210,4406,81
51145,4413,9
50420,2816,19
48090,7613,79
48021,7613,25
48031,7613,6
50335,2805,8
50340,2806,3
47254,7518,5
50198,2806,17
50096,2805,3
50504,2816,5
50528,2806,6
50604,2805,9
50580,2805,13
50030,2805,45
49054,5221,136
49028,5202,8
51091,4415,4
51203,4402,3
51382,4413,2
51035,4415,8
48091,7613,6
50397,2818,2
49367,5221,163
51170,4415,5
51163,4406,11
51109,4413,3
51124,4415,1
50299,2805,5
50454,2805,3
48042,7613,27
49235,5220,10
51003,4406,3
51369,4415,9
51340,4427,7
51353,4415,2
51360,4415,3
50587,2805,1
47284,7532,11
50032,2816,15
50077,2805,22
51071,4415,4
51072,4413,7
51085,4406,15
50533,2806,8
50490,2805,12
50423,2816,4
50379,2802,4
49262,5220,9
49259,5202,98
51291,4413,57
51254,4415,7
48181,7613,6
50139,2816,126
47327,7501,9
51049,4406,15
51050,4415,2
51208,4402,3
49060,5220,117
50239,2816,68
50482,2806,3
47263,7518,36
47250,7518,1
50044,2806,14
49355,5206,86
49109,5206,36
49120,5202,44
50553,2802,6
51160,4402,19
50411,2802,26
51246,4427,8
51240,4427,2
51105,4413,97
50519,2805,5
48007,7613,3
48107,7613,12
48165,7613,4
51052,4413,12
50364,2806,19
50317,2802,6
51375,4413,6
51372,4402,15
47246,7501,46
49193,5206,94
48056,7613,16
51317,4402,1
51312,4402,30
48087,7613,8
48083,7613,7
51002,4406,31
50234,2816,1
50413,2802,14
49284,5202,36
47288,7501,19
51090,4415,6
50251,2805,7
50521,2802,1
50496,2810,28
51133,4402,2
51166,4402,1
49021,5202,233
50169,2805,2
50004,2816,12
51325,4427,8
51301,4402,2
51352,4427,34
51053,4402,2
51030,4406,192
50081,2810,31
50090,2802,16
50444,2816,47
50013,2805,8
50048,2802,13
50594,2805,15
50231,2806,34
50328,2806,14
49107,5202,18
51236,4415,4
50276,2802,13
47265,7532,12
47249,7501,12
48002,7613,35
50165,2810,116
47281,7501,5
47312,7532,73
50531,2802,24
51169,4427,1
51303,4402,26
51292,4402,3
50475,2816,15
50469,2805,4
50450,2802,8
50167,2810,24
50099,2816,431
50389,2806,23
50400,2805,98
47258,7501,18
49244,5201,656
49240,5206,31
49121,5220,10
50227,2805,7
48028,7613,12
50270,2805,5
50275,2802,4
50277,2810,15
48003,7613,10
51113,4415,3
51337,4413,8
51033,4406,6
51022,4402,5
48130,7613,10
48157,7613,6
51305,4413,9
51066,4427,9
51065,4427,20
51069,4413,2
51004,4415,1
50616,2802,61
51211,4402,4
51188,4413,12
51183,4413,42
51249,4406,9
50421,2805,16
51058,4413,489
48012,7613,11
48004,7603,14
50565,2810,137
50040,2818,2
50045,2805,18
50024,2806,5
48081,7613,17
50360,2805,3
49345,5202,197
50437,2806,38
51349,4427,6
51356,4427,8
51357,4402,27
51220,4427,2
48111,7613,5
50431,2816,30
50456,2802,14
50150,2805,2
49007,5202,5541
50387,2805,10
51112,4413,14
51135,4427,2
51121,4406,2
47283,7532,39
48063,7613,5
51107,4406,10
49347,5202,192
51029,4406,78
48124,7613,3
48149,7613,2
51299,4413,31
50629,2806,16
51195,4427,25
49061,5221,25
48082,7613,5
50327,2810,5
50359,2802,149
50026,2805,2
50072,2806,4
51368,4402,4
48070,7613,68
51258,4415,5
51243,4415,2
51241,4415,1
51268,4406,2
51141,4402,24
50451,2802,2
47238,7501,49
47275,7501,7
47262,7501,15
51039,4427,1
51037,4413,7
49362,5220,28
51277,4427,23
51300,4427,3
50425,2805,28
50543,2802,46
50568,2806,9
51001,4402,1
49174,5209,38
50382,2805,5
50401,2805,20
48138,7613,2
47318,7501,43
49336,5206,19
47302,7501,31
48148,7603,46
51084,4427,2
51237,4415,86
51235,4415,6
51322,4427,4
51260,4402,2
50064,2805,3
50305,2805,15
50347,2802,2
51132,4402,3
49038,5221,8
47321,7504,14
50285,2805,6
50002,2816,230
50258,2805,4
47277,7518,16
47247,7518,11
50462,2802,6
50161,2816,20
50579,2805,41
50569,2806,4
50266,2810,9
50281,2810,27
47311,7532,2
47306,7532,74
47309,7518,32
50097,2805,2
50112,2802,10
50108,2802,11
51232,4413,9
51248,4415,92
49247,5202,70
49080,5202,295
50647,2810,84
50634,2805,1
48158,7603,6
50499,2802,22
51044,4413,27
51097,4402,4
48193,7613,21
48166,7613,13
51304,4415,5
51295,4427,7
50059,2816,8
51165,4415,38
50062,2802,3
50228,2816,47
48092,7613,272
48017,7613,72
48019,7613,19
48016,7613,17
50481,2806,31
47279,7501,11
50370,2805,14
49294,5202,63
51361,4427,11
51342,4406,8
51374,4415,3
51355,4402,1
51345,4406,7
51164,4415,4
51321,4413,1
49035,5202,164
49180,5220,242
50086,2805,8
50267,2806,128
51259,4402,4
51274,4402,4
51102,4413,18
50522,2805,13
50210,2806,12
50196,2805,9
48188,7613,17
48171,7613,10
50601,2816,151
50590,2810,12
50050,2816,3
50552,2806,3
50572,2805,5
50362,2802,9
48108,7613,4
48098,7613,6
51363,4427,8
47323,7532,1058
50430,2805,1
51043,4413,100
51018,4406,24
51308,4413,84
50517,2816,2
50525,2818,7
48065,7613,7
50098,2816,17
50282,2802,5
50205,2802,5
51251,4406,5
50019,2802,7
50304,2810,1
47260,7501,17
47248,7501,20
47242,7532,21
47266,7501,8
51344,4406,58
51351,4415,2
51350,4415,4
50433,2805,28
50407,2802,21
51040,4427,9
49211,5206,31
50076,2810,180
50118,2802,13
48069,7613,4
51318,4413,16
49022,5202,62
49023,5206,720
48150,7613,10
50349,2806,84
51253,4402,2
51238,4406,25
50529,2802,1
50506,2806,11
50027,2802,29
50031,2805,160
50617,2806,5
50641,2816,7
47303,7518,14
49009,5220,10
49261,5220,338
49253,5220,29
50541,2810,32
51250,4413,241
51127,4415,2
51134,4427,4
49082,5201,23
50289,2806,16
50039,2816,3
50066,2810,99
50621,2805,1
51013,4413,5
50166,2806,4
50181,2806,10
50164,2816,20
50376,2806,11
51206,4402,3
51179,4402,2
48080,7613,209
50233,2805,3
50489,2802,22
51315,4427,2
50447,2810,9
50394,2806,134
50409,2816,63
50422,2806,3
51099,4402,18
51079,4406,40
48155,7603,42
48128,7613,18
51161,4406,14
51136,4406,66
51157,4415,2
51005,4415,6
48038,7613,29
51032,4415,10
51019,4413,4
48178,7603,18
49359,5220,21
51217,4406,178
51215,4427,4
50271,2802,2
50288,2802,65
48100,7613,6
48074,7613,17
51272,4402,34
49292,5202,87
51078,4402,11
50435,2805,6
50464,2806,17
50408,2802,23
50391,2802,60
48161,7613,5
51280,4402,1
51314,4413,6
50193,2818,8
49131,5220,13
50538,2816,11
47267,7518,8
51116,4415,8
49310,5206,24
51020,4413,1
48041,7613,7
47313,7518,4
51256,4406,10
51273,4406,1
51370,4402,7
51341,4402,2
50429,2806,18
51184,4427,15
51228,4402,1
50199,2802,28
50200,2809,27
50502,2816,956
50637,2816,9
50624,2806,8
50426,2805,8
50574,2802,9
50177,2805,10
50175,2805,5
50144,2802,12
49155,5221,63
51298,4406,18
51313,4415,12
47315,7532,39
49053,5220,5
49341,5220,19
49214,5202,204
49236,5206,2
48175,7613,4
50101,2805,3
50102,2810,38
50312,2802,3
51270,4427,8
51245,4413,18
50480,2805,15
50442,2805,4
50138,2805,15
48027,7613,98
48068,7613,3
48160,7613,3
48121,7613,4
47287,7501,10
47290,7518,19
47310,7518,391
50513,2806,4
50518,2802,4
49100,5220,5
47319,7518,6
50398,2816,2
51081,4413,6
51059,4427,13
51070,4415,5
49329,5202,41
50209,2805,32
50022,2805,3
51362,4413,13
51387,4406,6
51367,4406,30
51323,4415,1
51278,4402,4
49020,5202,378
48025,7613,5
48026,7613,12
48067,7613,3
48037,7613,4
48043,7613,43
51126,4402,1
49017,5202,15
48198,7603,86
47234,7501,17
47256,7532,5
50025,2802,682
50042,2802,29
50016,2816,3
50345,2806,14
49368,5220,67
49353,5202,693
50087,2805,74
50352,2816,9
50357,2818,5
51080,4427,6
49328,5220,1241
49343,5206,96
50188,2810,24
50479,2816,3
50448,2802,18
49171,5220,4
48095,7613,703
48126,7613,13
48131,7613,27
51294,4413,1
51284,4427,7
51319,4415,1
51296,4427,1
50135,2805,4
49002,5220,125
48179,7613,4
51167,4427,6
51139,4402,8
51017,4427,8
51023,4402,13
49224,5220,31
49241,5202,94
51386,4415,6
51088,4413,14
51068,4427,7
50512,2816,11
50577,2805,6
48115,7613,16
50384,2805,8
50036,2816,20
51175,4415,3
51218,4427,3
50274,2802,20
50207,2805,3
49183,5202,148
48116,7613,63
48127,7613,62
50474,2802,26
50436,2802,34
51229,4402,3
49283,5202,162
48168,7613,8
50149,2805,21
48036,7613,5
48073,7613,4
51309,4413,2
51009,4415,46
47297,7532,4
51095,4427,1
50550,2806,86
50570,2802,10
48094,7613,97
48086,7613,16
48001,7613,3
48008,7613,6
51125,4427,1
51142,4406,9
48139,7613,17
48182,7613,4
50468,2816,25
50471,2805,7
50473,2816,11
49298,5202,151
49291,5220,5
48032,7613,9
50484,2802,303
50172,2805,6
49092,5206,669
50585,2805,21
50540,2810,19
50563,2816,5
51100,4406,7
50338,2802,8
47308,7501,6
51224,4427,8
49170,5202,25
51266,4406,20
47240,7532,17
47237,7532,12
51286,4427,6
50240,2805,9
51010,4415,2
51031,4402,13
51047,4402,1
51034,4415,3
48129,7613,20
48145,7613,8
49216,5202,10
48170,7603,11
51158,4406,14
49269,5206,70
50369,2805,14
50373,2805,2
50302,2816,4
50372,2806,7
50297,2816,18
50549,2810,9
51377,4415,1
51223,4427,4
51214,4402,5
47285,7518,40
51138,4402,3
49373,5206,269
48104,7613,46
50428,2802,15
50445,2816,4
49008,5221,36
49182,5220,20
51082,4402,3
50487,2802,191
50509,2816,35
50278,2810,4
50269,2816,3
50046,2816,8
51222,4402,5
