codgeo,ze2020,active_15_64_2021_total,employed_15_64_2021_total,unemployed_15_64_2021_total,unemployment_rate_est_2021,jobs_lt_2021_total
01098,8404,550.289945,481.714955,68.574991,0.124616,412.514635
01099,8405,845.351602,789.843442,55.50816,0.065663,309.921177
01100,8404,50.0,41.0,9.0,0.18,7.180536
01101,8425,87.828947,87.828947,0.0,0.0,8.881579
01102,0059,504.004224,465.820681,38.183543,0.07576,136.665088
01103,8416,1287.685106,1198.757512,88.927594,0.06906,157.954655
01104,8416,234.384394,222.192202,12.192192,0.052018,81.457509
01105,8434,1044.37312,986.765978,57.607142,0.05516,715.490057
01106,8405,76.692737,68.826816,7.865922,0.102564,18.810109
01107,8405,64.166667,60.277778,3.888889,0.060606,10.806278
01108,8405,513.548435,478.415876,35.132559,0.068411,282.979162
01109,8416,1247.918977,1126.686439,121.232538,0.097148,250.867922
01110,8404,75.230769,65.826923,9.403846,0.125,13.924694
01111,8405,63.409091,61.363636,2.045455,0.032258,3.068182
01112,8425,270.339958,255.125397,15.21456,0.056279,79.202147
01113,8405,427.110786,390.217257,36.89353,0.086379,123.718873
01114,8416,288.096344,257.3257,30.770644,0.106807,154.86182
01115,8405,737.518823,702.661353,34.85747,0.047263,253.512432
01116,8404,207.787797,184.779624,23.008173,0.110729,47.785329
01117,8404,69.072848,62.165563,6.907285,0.1,10.865608
01118,8416,613.213736,585.255354,27.958382,0.045593,305.052263
01121,8404,65.560345,60.517241,5.043103,0.076923,17.1202
01123,0059,562.043159,528.126071,33.917088,0.060346,204.751338
01124,8405,347.50545,314.478573,33.026877,0.09504,63.146363
01125,8405,286.915392,254.309455,32.605937,0.113643,101.315235
01127,8405,230.787265,216.922085,13.86518,0.060078,29.795231
01128,8405,142.086293,122.389865,19.696428,0.138623,48.440277
01129,8405,132.929145,123.897508,9.031637,0.067943,30.346631
01130,8405,1224.338193,1159.759885,64.578308,0.052745,416.82735
01133,8404,189.096268,171.466265,17.630003,0.093233,24.877532
01134,0059,889.59208,830.521996,59.070085,0.066401,485.223926
01135,8416,1226.330346,1121.006533,105.323813,0.085885,422.161873
01136,0059,472.849994,433.770962,39.079033,0.082646,57.986141
01138,8404,1533.854367,1339.869494,193.984873,0.126469,1654.142209
01139,8405,188.722893,174.21867,14.504223,0.076855,82.051567
01140,8405,379.888862,355.497716,24.391146,0.064206,123.188341
01141,8404,198.805906,180.258358,18.547548,0.093295,19.906905
01142,8421,2375.674542,2184.707757,190.966785,0.080384,2695.400015
01143,8416,5096.946933,4708.880722,388.066211,0.076137,2032.856966
01145,8405,579.392484,526.887486,52.504998,0.090621,165.926608
01146,8405,220.511229,207.446356,13.064872,0.059248,26.362428
01147,8405,249.513856,230.508383,19.005472,0.07617,68.838021
01148,8425,864.297157,801.985654,62.311503,0.072095,230.502613
01149,8405,536.183192,485.082747,51.100444,0.095304,58.615646
01150,8405,123.574766,114.53271,9.042056,0.073171,35.68122
01151,8405,546.029973,514.985733,31.04424,0.056854,98.877073
01152,8425,416.136996,391.45522,24.681775,0.059312,76.071556
01153,8416,1086.480057,1002.758479,83.721578,0.077058,191.208754
01155,8404,68.0,65.0,3.0,0.044118,27.453234
01156,8421,459.033372,443.880289,15.153083,0.033011,119.851817
01157,8434,1171.655875,1113.648868,58.007007,0.049509,698.964661
01158,8416,571.976752,526.692879,45.283873,0.079171,44.072592
01159,0059,1693.589759,1568.159424,125.430335,0.074062,1584.957546
01160,8416,5825.887086,5032.059192,793.827894,0.136259,3611.310389
01162,8404,31.507692,29.538462,1.969231,0.0625,17.241508
01163,8405,977.410451,919.440194,57.970257,0.05931,279.457406
01165,8434,807.522448,772.689169,34.833279,0.043136,155.180066
01166,8434,1302.971971,1236.667171,66.3048,0.050887,353.615987
01167,8434,331.291705,310.450913,20.840792,0.062908,65.349236
01169,8434,361.04657,344.414034,16.632536,0.046068,48.311544
01170,8425,573.889488,531.648549,42.240939,0.073605,181.068569
01171,8425,426.069999,383.639762,42.430237,0.099585,81.587158
01173,8416,7730.058516,6937.378117,792.680399,0.102545,2951.051062
01174,8416,90.0,85.0,5.0,0.055556,37.783737
01175,0059,371.131007,335.779285,35.351722,0.095254,165.512645
01177,8405,80.437158,74.404372,6.032787,0.075,10.872773
01179,0059,877.968327,818.725888,59.242439,0.067477,541.3893
01180,8416,422.653046,389.818734,32.834312,0.077686,83.870003
01181,8425,572.587825,526.146452,46.441373,0.081108,861.52941
01183,8434,727.362564,691.572173,35.790391,0.049206,526.715495
01184,8405,376.910195,352.826105,24.08409,0.063899,83.044955
01185,8404,2052.660897,1891.921776,160.739121,0.078308,2200.175636
01187,8404,286.266915,263.134523,23.132391,0.080807,216.982621
01188,8434,354.930236,333.800424,21.129812,0.059532,77.497646
01189,8416,600.669862,551.207389,49.462474,0.082346,141.924819
01190,8404,38.410526,35.6,2.810526,0.073171,14.236312
01191,8425,81.32716,77.5,3.82716,0.047059,27.152827
01192,8425,1207.727441,1119.629823,88.097618,0.072945,1520.644725
01193,8404,93.799383,82.794229,11.005154,0.117327,29.849969
01194,8434,2969.332665,2682.451147,286.881517,0.096615,1361.770794
01195,8405,838.814053,794.71363,44.100423,0.052575,400.274773
01196,8405,656.248879,600.863859,55.38502,0.084396,311.710781
01197,8405,179.716297,169.917918,9.798378,0.054521,29.765099
01198,8405,144.803932,133.351327,11.452605,0.07909,38.903346
01199,8405,1047.914432,932.347536,115.566897,0.110283,464.149371
01200,8405,113.376896,105.492759,7.884138,0.069539,34.576368
01202,8405,3381.807637,3062.470685,319.336952,0.094428,2269.194113
01203,0059,639.40563,598.280175,41.125456,0.064318,292.015331
01204,8425,379.445525,341.593799,37.851726,0.099755,83.644777
01206,8425,147.823756,144.294548,3.529208,0.023874,12.850834
01207,8405,180.462157,171.046195,9.415962,0.052177,92.887962
01208,8404,58.42963,54.4,4.02963,0.068966,13.981843
01209,8416,427.566985,369.158648,58.408337,0.136606,46.28436
01210,8416,126.441319,121.408414,5.032905,0.039804,129.13041
01211,8405,700.667951,648.143158,52.524793,0.074964,231.149459
01212,8405,340.891844,309.760853,31.130991,0.091322,95.833517
01213,8405,748.553019,697.751546,50.801473,0.067866,351.085096
01214,8425,83.018634,77.956522,5.062112,0.060976,9.099943
01215,8416,69.478261,60.282609,9.195652,0.132353,21.536973
01216,8404,364.713974,341.647494,23.066481,0.063245,256.341569
01219,8405,80.506098,72.554878,7.95122,0.098765,25.86256
01224,8421,1737.398539,1615.822071,121.576468,0.069976,813.750803
01225,8434,192.643013,179.036793,13.60622,0.070629,25.646964
01227,8404,311.273644,290.839032,20.434613,0.065648,76.697903
01228,8425,348.673083,328.974816,19.698267,0.056495,326.766053
01229,8405,593.727949,554.092381,39.635567,0.066757,173.01134
01230,8405,146.71551,134.611568,12.103942,0.082499,68.467059
01231,0059,945.680598,889.859146,55.821452,0.059028,657.02209
01232,8405,1036.043319,982.892069,53.15125,0.051302,510.974905
01233,8404,66.481752,57.810219,8.671533,0.130435,6.804576
01234,8404,82.017751,76.088757,5.928994,0.072289,37.707206
01235,8405,559.706885,513.489256,46.217629,0.082575,201.86604
01236,8405,505.257894,466.491102,38.766793,0.076727,96.897333
01237,8425,847.312838,767.970629,79.34221,0.09364,721.598056
01238,8434,1372.55372,1282.17407,90.379649,0.065848,717.379007
01239,8404,282.941168,267.325604,15.615565,0.05519,55.521357
01240,8425,339.729601,317.751859,21.977741,0.064692,53.462309
01241,8405,626.407694,568.946481,57.461213,0.091731,275.106333
01242,8405,69.511111,54.4,15.111111,0.217391,27.671685
01243,8434,625.703359,571.331612,54.371747,0.086897,138.962128
01244,8405,3932.611493,3545.485,387.126492,0.09844,2629.617536
01245,8405,461.336056,428.052937,33.283119,0.072145,93.831255
01246,8405,1021.883546,931.97952,89.904027,0.087979,318.078707
01247,8416,164.096962,159.112609,4.984352,0.030374,113.697089
01248,8421,1220.99589,1137.49666,83.49923,0.068386,299.785015
01249,8421,4980.668817,4517.1617,463.507117,0.093061,4966.530489
01250,8434,980.214158,927.676111,52.538047,0.053599,282.091769
01252,8434,396.399272,365.749232,30.65004,0.077321,68.449059
01254,8405,1048.432157,979.611972,68.820185,0.065641,659.76363
01255,8405,320.863651,292.14187,28.721782,0.089514,62.415697
01257,8416,187.632962,175.731947,11.901016,0.063427,82.737435
01258,8434,614.205982,594.337348,19.868634,0.032348,302.040233
01259,8405,382.754972,371.842053,10.912918,0.028512,62.718873
01260,8421,166.295905,159.950553,6.345352,0.038157,51.03072
01261,8421,362.927423,347.062027,15.865397,0.043715,148.420565
01262,8421,3346.879233,3012.53421,334.345023,0.099898,3065.413278
01263,8434,1778.271877,1668.299906,109.971971,0.061842,934.639302
01264,8405,528.847859,502.906439,25.94142,0.049053,83.200493
01265,8425,1592.580358,1424.742703,167.837656,0.105387,1916.369034
01266,8405,1100.911115,992.540948,108.370167,0.098437,1331.47717
01267,8425,507.809588,464.075384,43.734203,0.086123,421.977123
01268,8404,107.296567,95.841433,11.455134,0.106761,28.786183
01269,8425,1530.264134,1303.637142,226.626992,0.148097,1322.542429
01272,8405,722.821737,679.165926,43.655811,0.060396,253.610062
01273,8405,881.04542,819.666292,61.379128,0.069666,275.01471
01274,8425,293.967734,246.077327,47.890407,0.16291,124.364494
01275,8421,1247.561771,1191.091609,56.470163,0.045264,1130.573145
01276,8421,835.744944,786.779789,48.965155,0.058589,252.180386
01277,8404,55.084034,49.285714,5.798319,0.105263,14.591703
01279,8405,35.630952,33.02381,2.607143,0.073171,7.945356
01280,8404,62.562914,59.761589,2.801325,0.044776,18.712482
01281,8416,2417.015197,2141.680411,275.334786,0.113915,581.415398
01282,8425,123.440093,116.767049,6.673044,0.054059,140.93738
01283,8425,9396.081099,7945.433311,1450.647787,0.154389,10664.566492
01284,0059,390.663665,360.399545,30.26412,0.077468,193.177747
01285,8434,699.287799,664.924978,34.362821,0.04914,194.368057
01286,8404,436.996446,412.737201,24.259245,0.055514,66.059154
01288,8416,1625.578075,1510.928846,114.649229,0.070528,426.874848
01289,8405,2814.06309,2557.978444,256.084646,0.091002,2639.510195
01290,8405,638.714837,589.028809,49.686028,0.077791,277.171262
01291,0059,424.266415,410.602729,13.663687,0.032205,203.49113
01293,8425,70.614379,66.745098,3.869281,0.054795,15.842994
01294,8404,453.462531,426.825313,26.637217,0.058742,203.876974
01295,8434,365.715785,344.38568,21.330105,0.058324,50.239686
01296,8405,210.683231,196.476639,14.206592,0.067431,27.965142
01297,8421,481.929487,451.44857,30.480917,0.063248,59.118024
01298,8416,74.06,66.546667,7.513333,0.101449,11.742636
01299,8405,274.476321,258.706083,15.770238,0.057456,77.552698
01301,8405,1233.886414,1162.042919,71.843495,0.058225,522.353565
01302,8404,77.381818,70.254545,7.127273,0.092105,8.131336
01303,8405,868.678525,788.195459,80.483066,0.09265,635.669339
01304,8405,1374.869802,1233.828905,141.040896,0.102585,1113.267585
01305,0059,943.762533,837.346932,106.415601,0.112757,1497.831927
01306,0059,753.093939,647.234875,105.859063,0.140566,643.462941
01307,8425,384.228496,348.935681,35.292815,0.091854,637.940018
01308,8416,397.866275,371.036892,26.829383,0.067433,42.838901
01309,8405,43.12987,39.974026,3.155844,0.073171,4.166493
01310,8404,64.67264,56.587913,8.084726,0.12501,127.9825
01311,8404,23.0,21.0,2.0,0.086957,9.988698
01313,8416,4818.696272,4329.145753,489.550518,0.101594,1284.126172
01314,8405,919.260961,859.995581,59.26538,0.064471,269.947645
01317,8405,167.38754,154.342497,13.045043,0.077933,11.857558
01318,8434,402.05033,381.500511,20.549819,0.051113,74.835354
01319,8405,232.967724,222.958387,10.009337,0.042964,49.824536
01320,0059,1855.236243,1710.822401,144.413842,0.077841,1344.25045
01321,8405,441.916178,411.581448,30.33473,0.068644,44.443214
01322,8434,2398.272609,2249.139181,149.133427,0.062184,2140.937255
01323,0059,452.372912,423.171665,29.201246,0.064551,120.6941
01325,8405,539.634166,506.624459,33.009707,0.061171,90.579253
01328,8405,258.244342,247.933022,10.31132,0.039929,221.47297
01329,8404,72.195122,60.487805,11.707317,0.162162,16.026017
01331,8405,113.0,103.0,10.0,0.088496,17.060201
01332,0059,413.730421,381.850709,31.879712,0.077054,154.575163
01333,8421,1614.462757,1524.9711,89.491656,0.055431,1312.014576
01334,0059,349.806505,332.777895,17.02861,0.04868,58.041297
01335,8405,210.7833,197.195663,13.587637,0.064463,65.396804
01336,8405,578.480755,530.54761,47.933145,0.08286,208.133112
01337,0059,609.046666,574.288923,34.757743,0.057069,245.779403
01338,8404,591.672697,557.041223,34.631474,0.058531,195.300491
01339,8434,673.39975,649.252417,24.147333,0.035859,195.025198
01342,8421,285.657855,264.591555,21.066299,0.073747,88.311579
