codgeo,ze2020,filosofi_measure,obs_value
22325,5316,S_HH_TAX,56
22213,5304,S_DIR_TAX_DI,-16.4
22198,5308,S_HH_TAX,61
22182,5316,S_HH_TAX,53
21663,2709,S_HH_TAX,44
22307,5316,S_DIR_TAX_DI,-14.1
21584,2709,S_DIR_TAX_DI,-13.2
22339,5304,S_DIR_TAX_DI,-14.7
22176,5316,S_DIR_TAX_DI,-13.6
22161,5306,S_DIR_TAX_DI,-14.5
22195,5308,S_DIR_TAX_DI,-13.1
22186,5307,S_DIR_TAX_DI,-18
21292,2711,S_DIR_TAX_DI,-12.8
22325,5316,S_DIR_TAX_DI,-16.6
23008,7511,S_DIR_TAX_DI,-12.1
22155,5312,S_DIR_TAX_DI,-12.8
22362,5308,S_HH_TAX,40
22372,5316,S_DIR_TAX_DI,-13.7
22278,5316,S_HH_TAX,45
22206,5316,S_HH_TAX,44
22222,5316,S_HH_TAX,51
22206,5316,S_DIR_TAX_DI,-13.1
22055,5316,S_DIR_TAX_DI,-17.3
22194,5308,S_DIR_TAX_DI,-13.4
22364,5304,S_HH_TAX,51
22158,5312,S_HH_TAX,45
22168,5308,S_DIR_TAX_DI,-17.7
22020,5304,S_HH_TAX,45
22225,5306,S_DIR_TAX_DI,-12.9
22203,5316,S_DIR_TAX_DI,-12.4
22251,5316,S_HH_TAX,61
22282,5304,S_DIR_TAX_DI,-17.5
21657,2711,S_HH_TAX,77
22013,5306,S_HH_TAX,44
22048,5304,S_HH_TAX,50
22215,5316,S_HH_TAX,50
22266,5303,S_DIR_TAX_DI,-10.9
22190,5304,S_HH_TAX,49
22210,5308,S_DIR_TAX_DI,-16.9
22162,5308,S_HH_TAX,50
22013,5306,S_DIR_TAX_DI,-13.1
21295,2711,S_HH_TAX,57
21540,2711,S_DIR_TAX_DI,-16.1
22183,5312,S_HH_TAX,43
22070,5306,S_DIR_TAX_DI,-12.2
22158,5312,S_DIR_TAX_DI,-12.8
22237,5304,S_HH_TAX,51
22048,5304,S_DIR_TAX_DI,-13.3
22195,5308,S_HH_TAX,47
21599,2711,S_HH_TAX,56
22226,5308,S_DIR_TAX_DI,-13.2
21355,2711,S_DIR_TAX_DI,-13.9
22339,5304,S_HH_TAX,52
22360,5316,S_HH_TAX,54
22362,5308,S_DIR_TAX_DI,-13.4
22079,5316,S_HH_TAX,47
22237,5304,S_DIR_TAX_DI,-13.3
21607,2704,S_DIR_TAX_DI,-13
22136,5312,S_HH_TAX,47
22155,5312,S_HH_TAX,48
22187,5316,S_DIR_TAX_DI,-17.4
22246,5316,S_HH_TAX,54
22203,5316,S_HH_TAX,44
22084,5307,S_DIR_TAX_DI,-13.1
22389,5316,S_DIR_TAX_DI,-13.7
21617,2711,S_DIR_TAX_DI,-18.6
22054,5307,S_HH_TAX,57
21464,2704,S_HH_TAX,53
21515,2711,S_DIR_TAX_DI,-14.1
22262,5316,S_DIR_TAX_DI,-14.3
22211,5308,S_HH_TAX,53
23008,7511,S_HH_TAX,35
22360,5316,S_DIR_TAX_DI,-14
21425,2709,S_HH_TAX,39
21663,2709,S_DIR_TAX_DI,-11.6
22273,5307,S_HH_TAX,54
22136,5312,S_DIR_TAX_DI,-14.2
22113,5308,S_DIR_TAX_DI,-15.3
22168,5308,S_HH_TAX,58
22389,5316,S_HH_TAX,55
22067,5306,S_HH_TAX,49
22226,5308,S_HH_TAX,47
21464,2704,S_DIR_TAX_DI,-17.1
22161,5306,S_HH_TAX,55
21452,2711,S_HH_TAX,60
21317,2711,S_DIR_TAX_DI,-13.9
22172,5304,S_DIR_TAX_DI,-12.6
22190,5304,S_DIR_TAX_DI,-13.3
22081,5316,S_HH_TAX,57
22025,5303,S_DIR_TAX_DI,-11.9
22214,5308,S_DIR_TAX_DI,-14.3
22207,5308,S_HH_TAX,42
22233,5308,S_HH_TAX,50
22081,5316,S_DIR_TAX_DI,-15.3
21292,2711,S_HH_TAX,49
22166,5308,S_HH_TAX,55
22106,5316,S_HH_TAX,57
22020,5304,S_DIR_TAX_DI,-13.1
22258,5316,S_HH_TAX,50
22185,5307,S_HH_TAX,45
22219,5312,S_DIR_TAX_DI,-13.4
22277,5316,S_DIR_TAX_DI,-12.5
02555,3209,S_HH_TAX,51
02168,3209,S_DIR_TAX_DI,-14
02173,3220,S_HH_TAX,38
02408,3214,S_DIR_TAX_DI,-13.2
02361,3220,S_HH_TAX,31
02738,3220,S_HH_TAX,37
02168,3209,S_HH_TAX,43
02095,3220,S_DIR_TAX_DI,-10.4
02334,3220,S_HH_TAX,37
02722,3221,S_DIR_TAX_DI,-14.1
02340,3220,S_HH_TAX,46
02361,3220,S_DIR_TAX_DI,-11.6
02810,3221,S_HH_TAX,45
03023,8432,S_DIR_TAX_DI,-16.9
03036,8424,S_HH_TAX,45
02722,3221,S_HH_TAX,39
03023,8432,S_HH_TAX,53
02340,3220,S_DIR_TAX_DI,-11.9
02110,3221,S_HH_TAX,40
02810,3221,S_DIR_TAX_DI,-13.6
02789,3217,S_HH_TAX,37
02691,3220,S_DIR_TAX_DI,-13.6
02684,3217,S_DIR_TAX_DI,-11.2
02738,3220,S_DIR_TAX_DI,-10.8
02468,3214,S_HH_TAX,38
02805,3221,S_HH_TAX,44
02334,3220,S_DIR_TAX_DI,-12.8
02381,3217,S_HH_TAX,30
02304,3220,S_HH_TAX,30
02691,3220,S_HH_TAX,39
02360,3214,S_HH_TAX,51
03013,8424,S_DIR_TAX_DI,-15.4
02064,3221,S_HH_TAX,44
02064,3221,S_DIR_TAX_DI,-12.3
03013,8424,S_HH_TAX,55
02805,3221,S_DIR_TAX_DI,-11.7
02095,3220,S_HH_TAX,29
03001,8432,S_DIR_TAX_DI,-15.5
02059,3220,S_HH_TAX,33
02305,3209,S_DIR_TAX_DI,-11.8
02468,3214,S_DIR_TAX_DI,-12.3
02719,3220,S_DIR_TAX_DI,-13
02163,3209,S_HH_TAX,50
02290,3209,S_HH_TAX,59
02163,3209,S_DIR_TAX_DI,-15.9
02243,3221,S_HH_TAX,46
02304,3220,S_DIR_TAX_DI,-10.4
02110,3221,S_DIR_TAX_DI,-12.7
02408,3214,S_HH_TAX,38
02173,3220,S_DIR_TAX_DI,-13
02555,3209,S_DIR_TAX_DI,-13.6
02360,3214,S_DIR_TAX_DI,-14.5
02243,3221,S_DIR_TAX_DI,-13
03001,8432,S_HH_TAX,53
02381,3217,S_DIR_TAX_DI,-10.6
02305,3209,S_HH_TAX,36
03036,8424,S_DIR_TAX_DI,-13.2
02558,3217,S_DIR_TAX_DI,-12.9
02719,3220,S_HH_TAX,51
02684,3217,S_HH_TAX,35
02789,3217,S_DIR_TAX_DI,-12.4
02290,3209,S_DIR_TAX_DI,-16.1
02758,3221,S_HH_TAX,41
02558,3217,S_HH_TAX,38
02758,3221,S_DIR_TAX_DI,-12.1
02059,3220,S_DIR_TAX_DI,-10.7
22067,5306,S_DIR_TAX_DI,-13.9
21452,2711,S_DIR_TAX_DI,-15.3
22209,5304,S_HH_TAX,50
22211,5308,S_DIR_TAX_DI,-14.1
22353,5308,S_DIR_TAX_DI,-16.9
22032,5304,S_DIR_TAX_DI,-12.8
21425,2709,S_DIR_TAX_DI,-12.4
22004,5306,S_HH_TAX,48
22246,5316,S_DIR_TAX_DI,-14
22187,5316,S_HH_TAX,59
22055,5316,S_HH_TAX,60
22185,5307,S_DIR_TAX_DI,-12.9
22046,5307,S_HH_TAX,45
21390,2711,S_HH_TAX,58
22186,5307,S_HH_TAX,60
22233,5308,S_DIR_TAX_DI,-13.2
21481,2711,S_HH_TAX,66
22183,5312,S_DIR_TAX_DI,-12.8
21317,2711,S_HH_TAX,50
22353,5308,S_HH_TAX,59
22207,5308,S_DIR_TAX_DI,-12.3
21603,2709,S_DIR_TAX_DI,-15.5
22171,5316,S_HH_TAX,53
21605,2711,S_HH_TAX,67
21607,2704,S_HH_TAX,43
22134,5308,S_DIR_TAX_DI,-16.6
22222,5316,S_DIR_TAX_DI,-13.8
21485,2711,S_HH_TAX,56
22266,5303,S_HH_TAX,37
22214,5308,S_HH_TAX,51
22343,5308,S_HH_TAX,59
22307,5316,S_HH_TAX,54
21617,2711,S_HH_TAX,55
22004,5306,S_DIR_TAX_DI,-12.6
22225,5306,S_HH_TAX,49
21599,2711,S_DIR_TAX_DI,-14.1
22093,5307,S_DIR_TAX_DI,-15.3
22264,5308,S_HH_TAX,43
22197,5317,S_DIR_TAX_DI,-14.5
22182,5316,S_DIR_TAX_DI,-13.9
22262,5316,S_HH_TAX,44
22277,5316,S_HH_TAX,49
21603,2709,S_HH_TAX,48
22093,5307,S_HH_TAX,54
22135,5306,S_HH_TAX,41
22259,5304,S_HH_TAX,55
22113,5308,S_HH_TAX,51
21355,2711,S_HH_TAX,53
22054,5307,S_DIR_TAX_DI,-16.7
22171,5316,S_DIR_TAX_DI,-13.9
22134,5308,S_HH_TAX,64
22282,5304,S_HH_TAX,58
23030,7511,S_HH_TAX,36
22343,5308,S_DIR_TAX_DI,-17.4
21481,2711,S_DIR_TAX_DI,-16.8
22050,5304,S_DIR_TAX_DI,-15.8
22272,5306,S_DIR_TAX_DI,-14.7
29011,5302,S_DIR_TAX_DI,-19.6
29103,5302,S_DIR_TAX_DI,-14.9
29006,5313,S_DIR_TAX_DI,-19.7
29049,5313,S_HH_TAX,50
29049,5313,S_DIR_TAX_DI,-13.6
29204,5302,S_HH_TAX,48
29165,5313,S_HH_TAX,55
28201,2403,S_DIR_TAX_DI,-17.5
29185,5310,S_HH_TAX,46
28227,2403,S_HH_TAX,63
29077,5302,S_HH_TAX,47
29175,5303,S_HH_TAX,38
