codgeo,ze2020,empsta_enq,obs_value
01367,8405,1T2,343.5
02680,3214,1T2,922.995
01114,8416,1T2,265.96649
03196,8432,1T2,82.09756
02469,3220,1T2,218.05866
02299,3214,1T2,275.93782
03270,8423,1T2,67.40741
03297,8423,1T2,558.84783
02096,3214,1T2,86.37838
03255,8432,1T2,68.13333
02128,3214,1T2,625.52495
02648,3220,1T2,830.2467
03181,8424,1T2,76.32787
02814,3220,1T2,80
02804,3221,1T2,85.90909
02698,3221,1T2,32.66667
02200,3214,1T2,29.7
03170,8424,1T2,69.33333
02324,3217,1T2,150.6524
02275,3217,1T2,139.20843
02380,3220,1T2,21.77778
02634,3214,1T2,32.78947
01047,8405,1T2,792.41247
01185,8404,1T2,2114.98313
01449,8405,1T2,356.40132
03209,8432,1T2,61.92593
02317,3220,1T2,96.32432
02689,3214,1T2,22.22222
02346,3214,1T2,311.96825
01229,8405,1T2,677.67722
01099,8405,1T2,830.8803
02439,3221,1T2,635.55319
03015,8424,1T2,171.92393
02316,3221,1T2,48.46154
02567,3217,1T2,112.07838
02683,3220,1T2,65.71429
02164,3209,1T2,113.74827
02310,3220,1T2,123.62882
03085,8424,1T2,316.98522
02149,3220,1T2,19.66667
02351,3209,1T2,74.88
03094,8432,1T2,1467.58898
01199,8405,1T2,1134.83324
02119,3209,1T2,162.69748
02477,3221,1T2,411.0202
01393,8405,1T2,333.26126
02145,3220,1T2,263.5384
02058,3214,1T2,411.21913
04141,9311,1T2,203.75676
01370,0059,1T2,938.89676
02320,3220,1T2,97.10646
01177,8405,1T2,90.34286
02195,3221,1T2,435.26254
01419,8416,1T2,3417.52818
02154,3221,1T2,158.46929
01406,8405,1T2,85
01203,0059,1T2,666.94163
03023,8432,1T2,3180.98323
01360,8416,1T2,1205.8704
02747,3220,1T2,43.61538
01191,8425,1T2,75.08333
02354,3214,1T2,24.61538
02023,3209,1T2,54.44444
03144,8424,1T2,69.65
02175,3221,1T2,82.24138
02639,3220,1T2,170.68882
02272,3221,1T2,41.66667
02764,3214,1T2,46
04088,9311,1T2,1963.96221
03263,8424,1T2,116.36842
02398,3221,1T2,135.91198
01028,8434,1T2,305.38528
02303,3220,1T2,294.06338
01446,8434,1T2,856.57692
03216,8423,1T2,72.8
03265,8424,1T2,287.02564
01269,8425,1T2,1633.07144
01262,8421,1T2,3495.1786
02536,3221,1T2,39.15789
01304,8405,1T2,1481.18508
02568,3221,1T2,75.83333
03202,8424,1T2,216.76168
03172,8423,1T2,40.17857
01011,8425,1T2,173.77515
03319,8423,1T2,237.62626
01023,0059,1T2,38.5
01224,8421,1T2,1798.17227
03253,8424,1T2,135.38473
02615,3220,1T2,173.37313
02580,3209,1T2,313.83271
01008,8405,1T2,375.76283
01284,0059,1T2,414.62496
03039,8424,1T2,161.35185
02233,3209,1T2,76
02053,3209,1T2,280.48258
01231,0059,1T2,926.8859
02148,3221,1T2,113.66925
03129,8423,1T2,93.8766
02331,3217,1T2,61.94737
02016,3220,1T2,102.92683
01233,8404,1T2,70
01103,8416,1T2,1300.21812
02075,3220,1T2,101.30233
03058,8423,1T2,78.87805
02118,3221,1T2,65
02234,3214,1T2,42.5
03184,8424,1T2,228.39786
02042,3209,1T2,146.05263
04045,9311,1T2,419.83072
02447,3221,1T2,59.62069
03304,8432,1T2,1016.90149
02624,3220,1T2,104.67257
02168,3209,1T2,6384.26276
02670,3217,1T2,68.71429
01211,8405,1T2,760.2692
02459,3220,1T2,70.57143
01296,8405,1T2,225
01053,8405,1T2,18084.67587
01031,8425,1T2,1436.71103
02726,3220,1T2,68.83333
02508,3214,1T2,56.73913
02169,3214,1T2,49.8
02504,3220,1T2,723.86621
04124,9311,1T2,175.8377
02473,3220,1T2,112.10526
01194,8434,1T2,2885.28667
02455,3220,1T2,95.26316
01232,8405,1T2,1068.64286
02411,3209,1T2,106.78049
02409,3214,1T2,114.30508
01162,8404,1T2,23.27273
02478,3214,1T2,114.4898
03279,8423,1T2,229.63559
01127,8405,1T2,251.88741
03183,8424,1T2,157.53397
03074,8424,1T2,292.26441
01141,8404,1T2,204.2069
04121,9307,1T2,252.83781
01305,0059,1T2,973.80016
02675,3214,1T2,78
02445,3217,1T2,104.70588
02682,3221,1T2,38.66667
03125,8432,1T2,63.25926
02386,3220,1T2,75.30873
01140,8405,1T2,390.6559
01389,8434,1T2,985.55836
02746,3220,1T2,307.35
04004,9311,1T2,220.5
02241,3209,1T2,63.02383
03219,8423,1T2,99.20273
02780,3221,1T2,636.43233
02254,3221,1T2,81.29032
02384,3217,1T2,32.22222
02010,3221,1T2,101.44444
02623,3217,1T2,49.76471
02490,3214,1T2,47.30769
02404,3217,1T2,49.41176
02667,3221,1T2,86.4878
01184,8405,1T2,348.00142
03093,8432,1T2,542.29066
04116,9307,1T2,1839.84457
02366,3220,1T2,147.76293
03106,8423,1T2,633.39461
02295,3217,1T2,400.77143
01066,8404,1T2,54.5625
02160,3214,1T2,258.64286
01435,8416,1T2,1204.91893
04074,9307,1T2,45
01078,8416,1T2,816.02089
02465,3209,1T2,260.94761
02173,3220,1T2,4837.80817
02040,3217,1T2,102.66667
02554,3209,1T2,495.87239
03045,8432,1T2,381.64901
01426,8405,1T2,1295.66711
01116,8404,1T2,160.05835
02446,3220,1T2,79.41645
01128,8405,1T2,156.17768
02768,3221,1T2,247.15385
02099,3209,1T2,132.12766
02373,3217,1T2,106.16667
01308,8416,1T2,420.77226
02566,3220,1T2,462.71939
03276,8432,1T2,28.63636
02668,3220,1T2,415.32461
01320,0059,1T2,1838.74705
03223,8432,1T2,210.37096
03028,8432,1T2,168.34552
03069,8424,1T2,133.61625
01153,8416,1T2,1139.38112
02772,3220,1T2,80.46667
02228,3209,1T2,159.35938
01350,8405,1T2,1220.36121
02129,3221,1T2,6.33333
04111,9311,1T2,539.65077
02750,3221,1T2,256.60696
03228,8423,1T2,5.09091
03047,8423,1T2,170.37626
04065,9311,1T2,210.77688
04106,9311,1T2,146.80051
02069,3214,1T2,38.31579
03241,8424,1T2,121.71189
01204,8425,1T2,390.4808
04026,9307,1T2,36.11429
02457,3214,1T2,221.95711
04075,9307,1T2,201.97531
03233,8423,1T2,201.53922
03102,8424,1T2,1088.37696
02759,3217,1T2,156.79245
03206,8423,1T2,59.58333
02106,3214,1T2,390.41765
01067,8425,1T2,142.07272
02162,3209,1T2,147.06393
