TIME_PERIOD,ZE2020,regime_leading_signal
2001-01,0051,0.01565946968436461
2001-01,0052,0.0074423689588165864
2001-01,0053,0.011716693516088977
2001-01,0054,0.01610617896164502
2001-01,0055,0.010917205395593065
2001-01,0056,0.014334921848885103
2001-01,0057,0.014130051025350115
2001-01,0058,0.007675755864411952
2001-01,0059,0.01298952846427868
2001-01,0060,0.014173006507753334
2001-01,0061,0.014063279023932392
2001-01,0062,0.012178567630659956
2001-01,0063,0.012815961132921423
2001-01,0064,0.008619960029066613
2001-01,0101,0.003943369417371527
2001-01,0102,0.006917446207235958
2001-01,0103,0.00817629735435799
2001-01,0104,0.016164326334104785
2001-01,0105,0.011279835438772548
2001-01,0201,0.00921742463429766
2001-01,0202,0.018038933926465228
2001-01,0203,0.016256951521454455
2001-01,0204,0.010220147784530165
2001-01,0205,0.00961096062211987
2001-01,0206,0.009432205595812477
2001-01,0301,0.01653561789964366
2001-01,0302,0.013728638925095365
2001-01,0303,0.016452861000564548
2001-01,0401,0.012189769916824134
2001-01,0402,0.013689463832748371
2001-01,0403,0.02115202116986167
2001-01,0404,0.010280500113490154
2001-01,0601,0.018774443683471694
2001-01,1101,0.022880731609570604
2001-01,1102,0.017621809073427912
2001-01,1103,0.018104557595977115
2001-01,1104,0.020612719252121717
2001-01,1105,0.018505523593111948
2001-01,1106,0.020378675676725563
2001-01,1107,0.017071739987000158
2001-01,1108,0.018706655527904542
2001-01,1109,0.038630884795728876
2001-01,1110,0.016839459578745906
2001-01,1111,0.02454175927862895
2001-01,1112,0.016009130984199076
2001-01,1113,0.022831533036707267
2001-01,1114,0.02740208846667612
2001-01,1115,0.02797058220772717
2001-01,2401,0.012471289241900668
2001-01,2402,0.012619717263886693
2001-01,2403,0.016952289079842454
2001-01,2404,0.013462821064481486
2001-01,2405,0.012442797017583669
2001-01,2406,0.01337926028073795
2001-01,2407,0.009223572896611073
2001-01,2408,0.014595603215406087
2001-01,2409,0.0121565860052157
2001-01,2410,0.016155759099194943
2001-01,2411,0.014075777294861584
2001-01,2412,0.012419877803262635
2001-01,2413,0.015273103413330085
2001-01,2414,0.01705153477284386
2001-01,2415,0.010757556916195492
2001-01,2701,0.014559504092220446
