ZE2020,weight_a17_AZ,weight_a17_C1,weight_a17_C2,weight_a17_C3,weight_a17_C4,weight_a17_C5,weight_a17_DE,weight_a17_FZ,weight_a17_GZ,weight_a17_HZ,weight_a17_IZ,weight_a17_JZ,weight_a17_KZ,weight_a17_LZ,weight_a17_MN,weight_a17_OQ,weight_a17_RU,total_establishments
0051,0.13950842057350932,0.0243513882567137,0.0,0.0029585798816568047,0.002048247610377788,0.02548930359581247,0.011834319526627219,0.10400546199362767,0.17182521620391442,0.019116977696859355,0.06486117432862995,0.010013654984069186,0.03641329085116067,0.013654984069185253,0.09512972234865726,0.18752844788347747,0.09126081019572144,4394.0
0052,0.11779141104294479,0.021625766871165644,0.0,0.0015337423312883436,0.00030674846625766873,0.0299079754601227,0.009355828220858895,0.09616564417177914,0.19800613496932515,0.030521472392638038,0.13052147239263803,0.012423312883435582,0.03496932515337423,0.02791411042944785,0.11380368098159509,0.09095092024539878,0.08420245398773006,6520.0
0053,0.05050587467362924,0.019827023498694515,0.0,0.0031821148825065273,0.0008975195822454308,0.027007180156657963,0.0070169712793733685,0.1197780678851175,0.2164654046997389,0.04120430809399478,0.08975195822454309,0.017134464751958223,0.042836161879895564,0.020316579634464753,0.1402578328981723,0.10631527415143603,0.0975032637075718,12256.0
0054,0.0828001968503937,0.01894685039370079,0.0,0.004552165354330708,0.0022145669291338582,0.03309547244094488,0.009473425196850394,0.13029035433070865,0.18184055118110237,0.03420275590551181,0.0702509842519685,0.010580708661417323,0.029404527559055118,0.01673228346456693,0.11811023622047244,0.171751968503937,0.08575295275590551,8128.0
0055,0.07507507507507508,0.024024024024024024,0.0,0.0045045045045045045,0.00037537537537537537,0.04504504504504504,0.014264264264264264,0.12987987987987987,0.18055555555555555,0.03453453453453453,0.10135135135135136,0.006756756756756757,0.03791291291291291,0.015765765765765764,0.13963963963963963,0.10773273273273273,0.08258258258258258,2664.0
0056,0.20061847700038654,0.02551217626594511,0.0,0.0011596443757247777,0.0015461925009663702,0.03362968689601856,0.01198299188248937,0.09006571318129107,0.1569385388480866,0.018940858136838035,0.0776961731735601,0.010823347506764593,0.03672207189795129,0.011209895632006184,0.08001546192500966,0.16930807885581756,0.07383069192114418,2587.0
0057,0.04212974928922202,0.022486430602222798,0.0,0.007495476867407599,0.001809253036960455,0.04342207288705092,0.016024812613078313,0.14241406048074437,0.1910054277591109,0.031015766347893513,0.07883173946756268,0.02016024812613078,0.03696045489790643,0.019901783406565003,0.11527526492633755,0.1421555957611786,0.08891186353062806,3869.0
0058,0.10825610783487784,0.02274641954507161,0.0,0.007160909856781803,0.0008424599831508003,0.08719460825610784,0.009688289806234204,0.08593091828138164,0.17186183656276327,0.02106149957877001,0.09393428812131424,0.0037910699241786015,0.04422914911541702,0.016006739679865205,0.09351305812973884,0.15459140690817186,0.07919123841617523,2374.0
0059,0.1019741955541738,0.023939064200217627,0.0,0.004508005596144878,0.002176278563656148,0.035131353956163534,0.008083320379294264,0.10819213430747707,0.19462148297839266,0.022229131043059226,0.07850147676045391,0.012902222913104305,0.03948391108347583,0.01647753769625369,0.12622415669205658,0.13104305922586662,0.09451266905020986,6433.0
0060,0.09770708531295187,0.019624044618880395,0.0004131377814501136,0.006197066721751705,0.0030985333608758523,0.03181160917165875,0.012187564552778352,0.09522825862425119,0.1693864903945466,0.027267093575707498,0.07519107622392068,0.008882462301177443,0.04172691592646147,0.019624044618880395,0.10452385870687875,0.18880396612270192,0.09832679198512705,4841.0
