codgeo,ze2020,side_stocks_et_2023_total
04184,9311,24
04179,9307,15
04138,9311,37
04226,9307,186
04135,9311,208
04099,9307,11
04150,9310,4
04095,9307,13
04055,9307,14
04186,9311,16
04194,9315,8
04149,9307,275
04217,9307,61
04209,9307,839
04142,9306,5
04183,9307,22
04074,9307,5
04148,9304,12
04122,9307,48
04093,9307,7
04157,9311,71
04050,9307,3
04121,9307,37
04224,9315,7
04204,9307,8
04061,9307,74
04101,9311,13
04235,9307,7
04053,9307,53
04137,9307,7
04107,9307,0
04132,9306,14
04170,9315,4
01173,8416,680
04068,9311,75
04220,9307,47
04190,9311,12
01135,8416,136
04234,9310,20
04118,9307,13
04069,9307,16
04229,9307,20
04136,9307,33
04139,9307,49
04088,9311,761
04161,9307,55
04228,9307,3
04127,9307,21
04222,9307,18
04233,9307,28
04058,9310,24
04169,9311,11
04218,9307,24
04087,9311,18
04106,9311,48
04175,9311,9
01185,8404,363
04143,9311,591
04113,9307,35
04085,9307,5
04164,9311,8
04072,9307,9
04180,9307,7
04057,9307,21
04065,9311,47
04154,9310,15
04116,9307,334
04092,9307,13
04182,9311,19
04192,9311,146
04112,9311,2985
04162,9311,35
04091,9307,6
01195,8405,128
04195,9307,111
04128,9311,24
04102,9307,23
04214,9307,17
04193,9307,41
04110,9307,82
04059,9307,11
04151,9311,56
04042,9315,16
04177,9307,2
01254,8405,271
01293,8425,8
01213,8405,94
01219,8405,13
01275,8421,403
01277,8404,5
01208,8404,6
01291,0059,72
01283,8425,1774
01299,8405,60
01165,8434,103
01143,8416,736
01268,8404,21
01111,8405,7
01146,8405,23
01141,8404,22
01167,8434,56
01231,0059,128
01159,0059,297
01198,8405,22
01232,8405,161
01284,0059,56
01127,8405,33
01152,8425,52
01204,8425,56
01273,8405,112
01108,8405,95
01249,8421,1014
01290,8405,141
01170,8425,82
01241,8405,105
01193,8404,9
01296,8405,22
01125,8405,34
01235,8405,81
01264,8405,62
01175,0059,60
01207,8405,28
01112,8425,30
01117,8404,12
