codgeo,ze2020,side_stocks_et_2023_total
16210,7502,39
16200,7502,45
16153,7509,88
16193,7509,42
16071,7527,19
16163,7502,88
16109,7509,39
16183,7527,25
16128,7527,15
16166,7502,489
16155,7502,9
16157,7502,8
16185,7502,13
16145,7509,44
16141,7502,28
16078,7502,664
16137,7502,26
16099,7509,15
16216,7509,62
16148,7502,71
16062,7502,8
16084,7502,31
16111,7502,13
16208,7509,26
16138,7502,244
16146,7502,146
16076,7502,73
16063,7502,14
16190,7502,13
16164,7527,19
16079,7509,21
16106,7527,303
16058,7509,89
16191,7502,10
16187,7502,106
16060,7509,33
16135,7502,15
16189,7502,21
16066,7502,61
16136,7502,50
16121,7502,19
16101,7502,56
16100,7527,40
16112,7523,4
16081,7502,18
16050,7509,25
16152,7509,38
16105,7509,42
27547,2803,43
22094,5317,177
16224,7509,47
22070,5306,638
22121,5306,210
22217,5310,28
22110,5308,22
22101,5308,66
16083,7502,31
22193,5307,100
22112,5306,24
22187,5316,2280
22085,5308,10
22168,5308,827
22134,5308,219
16134,7527,44
22109,5316,14
22171,5316,361
22111,5308,24
22177,5316,74
22079,5316,115
22115,5303,13
22067,5306,179
22097,5304,42
22091,5306,17
22140,5307,27
22099,5316,52
22175,5307,88
22153,5316,62
22068,5312,26
22082,5304,51
22183,5312,173
22156,5306,28
22116,5316,67
22181,5303,51
22088,5306,11
22139,5306,5
22127,5308,125
22122,5307,32
22131,5306,57
22195,5308,155
22050,5304,1837
22182,5316,233
22137,5303,104
22146,5303,44
22107,5303,96
22114,5304,49
22103,5317,86
22075,5312,18
22178,5308,69
22206,5316,296
22119,5308,28
22124,5303,10
22052,5303,36
22071,5304,42
22117,5316,104
22145,5304,38
22203,5316,228
22205,5304,35
22225,5306,459
22081,5316,348
22056,5304,168
22129,5306,5
22223,5306,124
22104,5304,34
22143,5304,169
22212,5306,64
22057,5306,26
22221,5308,86
22086,5308,57
22186,5307,530
22215,5316,823
22213,5304,344
22169,5303,12
22226,5308,178
22220,5303,67
22053,5304,47
22174,5304,48
22076,5307,114
22147,5307,191
22148,5307,16
22158,5312,181
22084,5307,187
22216,5306,41
22132,5303,12
22208,5304,121
22210,5308,223
22061,5303,91
22138,5306,23
22222,5316,343
22049,5304,103
22207,5308,117
22161,5306,136
22065,5306,98
22105,5304,70
16306,7527,25
22072,5306,20
22090,5308,91
22054,5307,449
22209,5304,405
22152,5308,108
22092,5303,18
22197,5317,270
22063,5306,32
22135,5306,159
22172,5304,255
22219,5312,151
22062,5307,32
22073,5316,13
22185,5307,155
27672,2815,24
22083,5307,34
27666,2808,35
22214,5308,252
22048,5304,146
27495,2817,9
27562,2817,463
27661,2815,32
27609,2803,16
27643,2808,89
27587,2811,48
27528,2815,287
22211,5308,202
27548,0057,62
27678,2808,58
27496,2817,26
27604,2811,11
27520,2803,6
27540,2817,45
27493,2815,188
27608,2803,21
27553,2817,22
27502,2812,147
27501,2817,15
27624,2808,35
27635,2817,13
27633,2817,33
27542,2811,61
27671,2811,15
27554,2817,217
27558,2815,10
27593,2815,78
27612,2817,24
27681,2817,1907
27546,2808,10
27524,2808,51
27679,2808,661
27630,2803,18
50096,2805,6
35117,5315,88
16387,7509,16
16390,7502,28
35178,5305,82
16321,7502,2
35200,5319,43
16243,7509,78
35251,5315,280
16284,7523,8
16396,7502,13
16422,7502,38
16231,7527,29
16342,7509,26
16400,7502,68
16374,7502,742
16261,7502,26
17002,7509,5
16397,7509,30
16326,7502,9
16339,7509,46
16289,7527,36
16277,7509,43
16378,7502,38
16353,7502,59
16354,7509,3
16358,7502,540
16301,7502,6
16239,7502,12
16364,7502,2
16408,7502,94
16363,7527,48
16300,7502,112
16267,7502,14
16348,7502,86
16404,7502,5
16377,7502,9
16241,7502,13
16350,7523,76
16286,7509,268
16240,7523,11
16405,7509,13
16409,7502,81
16419,7502,16
16283,7502,38
16264,7527,20
16298,7502,21
16329,7527,32
16249,7527,33
16282,7502,29
16380,7509,18
16251,7509,20
16372,7502,7
16293,7502,24
16412,7502,19
16279,7502,22
16255,7502,20
16271,7502,195
16347,7523,42
16273,7502,11
16361,7502,22
16253,7502,28
16252,7502,9
16340,7509,107
16330,7509,45
16331,7502,3
16237,7502,15
16287,7502,254
16281,7502,362
16317,7502,50
16244,7502,179
16382,7502,44
16421,7502,20
16416,7502,28
16365,7516,9
16280,7502,117
16318,7502,24
16383,7502,60
16325,7502,17
16425,7502,22
16303,7502,27
16357,7509,11
16245,7527,46
16232,7502,124
16384,7509,48
16418,7502,94
16368,7502,74
16295,7502,96
16388,7502,28
16297,7509,25
16320,7502,71
16250,7502,8
16256,7509,21
16290,7502,30
16335,7502,8
16375,7502,13
16230,7502,164
17003,7512,393
16254,7523,21
16398,7527,17
16272,7502,37
16424,7502,28
16263,7502,23
16258,7502,27
16360,7509,20
16406,7502,40
16307,7502,14
16393,7502,205
16392,7502,14
16308,7502,81
16370,7502,59
16336,7502,21
16401,7502,7
16366,7509,215
16420,7502,13
16316,7509,35
16349,7509,34
16381,7502,11
16362,7502,33
16359,7509,125
16334,7502,10
16269,7502,56
16270,7527,38
16399,7509,28
16234,7502,32
16402,7502,14
16236,7502,132
16292,7502,403
16413,7502,12
16302,7516,20
16341,7502,209
16403,7527,13
16304,7509,75
16385,7502,62
16242,7502,145
16323,7502,32
16275,7509,24
16414,7502,17
16338,7509,28
16310,7502,12
16291,7502,423
16415,7502,55
16246,7502,15
16315,7502,8
16352,7509,16
16356,7502,6
16389,7502,7
16345,7527,11
16423,7502,16
16268,7502,23
16233,7502,46
16369,7509,71
16343,7509,28
16394,7502,9
16395,7509,19
16312,7502,40
16285,7502,31
16248,7502,9
16379,7502,80
16337,7527,59
16373,7502,8
16276,7509,60
35101,5319,48
50262,2802,39
35248,5317,16
35125,5319,385
50192,2816,1
50150,2805,8
35236,0062,1117
35203,5315,14
35110,5315,46
35183,5319,29
35098,5315,57
16260,7523,23
35174,5305,37
35107,5315,100
35214,5305,23
35140,5315,27
35185,5319,8
35131,5315,298
35094,5315,98
35211,5311,196
35225,5317,52
35192,5319,10
35235,5319,52
35163,5305,93
16346,7523,12
35226,5317,138
35217,5319,78
35106,5315,88
35121,5315,104
35231,5315,79
35152,5315,701
35207,5315,583
35246,5317,87
35221,5315,186
35141,5319,32
35177,5315,676
35128,5315,121
35232,5319,20
35240,5315,852
35165,5319,62
35257,5305,370
35150,5305,335
35136,5315,680
35134,5315,19
35249,5315,67
35171,5315,117
35142,5305,69
35130,5315,167
35153,5317,19
35241,5317,378
35199,5319,13
35166,5319,35
35148,5315,7
35161,5319,152
35154,5319,96
35139,5315,383
35205,5305,27
27615,2808,11
35201,5315,42
27631,2803,20
35223,5311,387
35105,5319,94
35157,5305,19
35219,0062,271
35127,5315,251
35103,5319,28
27595,2815,34
27658,2808,23
27582,2815,97
27564,2803,20
27560,2808,13
27601,2811,29
27580,2815,154
27625,2817,16
27563,2811,52
27590,2803,15
27537,2815,36
27572,2815,11
27652,2808,19
27632,2817,40
27497,2811,56
27597,2811,38
27565,2808,40
27673,2815,14
27684,2808,174
27616,2815,123
27550,2811,18
27686,2811,1
27602,2808,216
27570,2808,4
27662,2811,31
27603,2811,26
27514,2803,31
27650,2808,19
27556,2812,2
27605,2811,35
27586,2815,7
27508,2812,11
27511,2808,44
27522,2811,25
27539,2817,18
27641,2808,11
27613,2803,22
27505,2803,4
27576,2803,31
27541,2811,12
27521,2812,13
27656,2811,74
27644,2817,32
27674,2808,24
27543,0057,50
27489,2808,41
27623,2815,23
27517,2817,195
27629,2803,186
27592,2803,26
27487,2815,28
27578,2808,22
27504,2808,55
27620,2811,22
27599,2817,89
27610,2808,5
27638,2815,203
27627,2803,18
27534,2815,28
27486,2808,44
27552,2803,14
27488,2815,13
27545,2815,9
27584,2803,12
27660,2803,19
17054,7509,8
27538,2811,24
27598,2817,84
27614,2817,4
27682,2817,42
27544,2808,8
27561,2811,52
27536,2803,31
27589,2817,81
27500,2811,103
27649,2817,11
27577,2811,36
27555,0057,13
27569,2803,10
27663,2815,23
27516,2803,60
27618,2808,22
27659,2808,4
27645,2811,10
27492,2808,20
27533,2817,52
27654,2815,49
27640,2808,8
17095,7509,21
17039,7528,12
17083,7525,52
27594,2811,17
27512,2803,16
27571,2811,28
27617,2817,28
17011,7528,19
27670,2815,28
27622,2803,84
27568,2808,27
27529,2815,26
27525,2817,25
27646,2811,18
27567,2817,14
27676,2817,105
27531,2815,15
27530,2803,4
27498,2803,15
27518,2811,17
27527,2803,12
27621,2808,17
17024,7520,134
27606,2811,27
27685,2808,41
17142,7512,606
27507,2808,276
17166,7512,86
17107,7512,107
17004,7525,41
17050,7528,26
17168,7525,431
17057,7512,59
17098,7526,65
17171,7528,51
17005,7509,9
17060,7526,12
17034,7526,31
17080,7512,86
17136,7512,102
17082,7509,30
17105,7520,24
17137,7528,10
17031,7509,12
17087,7525,15
17104,7509,116
17044,7528,61
17023,7509,20
17069,7509,15
17070,7528,79
17075,7525,86
17115,7528,20
17158,7512,151
17128,7528,48
17102,7528,87
17141,7528,30
17145,7509,36
17096,7509,8
17114,7528,21
17156,7509,5
17037,7509,47
17035,7509,3
17047,7528,11
17019,7512,260
17094,7512,719
17112,7528,44
17067,7509,7
17021,7526,348
17085,7525,25
17073,7528,78
17036,7525,39
17092,7509,13
17163,7509,23
17165,7528,27
17043,7512,90
17106,7509,26
17061,7509,11
17167,7509,39
17016,7509,83
17018,7512,57
17118,7509,20
17052,7505,38
17051,7512,462
17139,7520,20
17074,7509,73
17155,7526,227
17009,7512,95
17038,7509,43
17121,7512,353
17007,7512,31
17089,7528,65
17091,7512,151
17022,7528,75
17126,7509,15
17161,7512,542
17113,7516,41
17055,7516,9
17109,7512,101
17133,7528,60
17033,7516,20
17162,7509,32
17110,7509,69
17079,7526,145
17099,7509,49
17153,7512,156
17117,7520,7
17086,7528,262
17122,7509,9
17097,7526,57
17008,7512,166
17046,7528,18
17151,7526,73
17119,7526,105
17143,7528,48
17116,7528,15
17127,7512,175
17042,7528,28
17149,7520,1
17148,7528,30
17049,7528,5
17129,7509,27
17059,7512,105
17146,7525,259
17150,7528,29
17053,7525,111
17017,7528,48
17078,7528,30
17124,7512,28
17010,7512,569
17030,7528,51
17120,7528,148
17164,7528,154
17006,7509,20
17041,7512,114
17025,7528,49
17027,7528,26
17152,7526,87
17071,7509,26
17072,7509,94
17140,7526,473
17045,7525,79
17154,7528,60
17093,7526,530
17157,7528,15
17160,7528,25
17084,7528,34
17159,7528,27
17138,7520,34
17135,7509,13
17172,7528,292
17029,7509,11
17066,7509,15
17032,7512,60
17130,7509,40
17012,7525,8
17134,7528,36
17068,7528,19
17100,7509,75
17048,7509,25
17064,7526,344
17015,7526,64
17131,7526,232
17076,7509,18
17028,7512,1331
17062,7509,15
17058,7526,298
17108,7528,20
17125,7528,19
17111,7528,51
17132,7512,39
17063,7512,30
17026,7528,11
17056,7528,41
17013,7528,26
17147,7528,83
17020,7509,24
17081,7509,26
27668,2808,36
17065,7525,125
27579,2815,9
27667,2803,24
27664,2815,29
27655,2811,41
27611,2808,24
27557,2803,20
27665,2811,43
27680,2803,13
17101,7520,22
27669,2811,25
17077,7516,101
27591,2811,34
35164,5305,34
35162,5305,220
35090,5315,199
35253,5305,405
35097,5319,90
27677,2808,26
35194,5319,59
35238,5315,24363
27683,2817,9
35109,5319,253
35115,5305,1519
35138,5305,50
35159,5317,18
35111,5305,39
35237,0062,68
35179,5317,376
35160,5311,10
35118,5315,71
35155,5315,69
35187,5315,74
35126,5315,751
35247,5317,68
35245,5315,236
35149,5315,99
35180,5315,39
35143,5315,60
35196,5315,588
35193,5315,131
35186,5317,104
35218,5315,31
35252,5319,58
35227,5315,257
35244,5305,13
35208,5315,351
35191,5305,104
35093,5317,1455
35091,5315,17
35176,5315,474
35170,5319,27
35250,5315,139
35210,5315,1289
35222,5317,125
35184,5315,531
35212,5315,59
35096,5319,175
35145,0062,109
35204,5315,240
35239,5319,253
35168,0062,246
35108,5315,72
35122,5317,166
35104,5317,79
35202,5315,35
35216,5315,104
35243,5305,160
35220,5315,179
35181,5317,143
35116,5317,150
35175,0062,53
35133,5315,293
35206,5315,766
17182,7512,36
35124,5315,210
35114,5319,20
35146,5315,45
35195,5315,146
35169,5311,75
35095,5317,664
35102,5319,28
35099,5315,265
35190,5305,14
35233,5315,120
17212,7509,13
35229,5319,84
35156,5315,34
35198,5319,27
35197,5315,93
35172,5317,109
35132,5317,79
35151,0062,42
35224,5317,235
35228,5317,699
35255,5317,71
35088,5315,256
35092,5317,46
35188,5315,493
35119,5319,34
35256,5317,349
35123,5315,294
35120,5315,353
35230,5305,22
35173,5315,656
50121,2802,11
35242,5305,26
50294,2805,99
50079,2805,6
50101,2805,14
50098,2816,23
50196,2805,22
17234,7520,24
50124,2802,4
50147,2806,929
50237,2810,124
50186,2805,12
50178,2805,57
35260,5319,30
50137,2802,48
50105,2805,6
50251,2805,11
50216,2816,47
50238,2805,13
50139,2816,231
50194,2805,14
50200,2809,48
17217,7509,28
50148,2816,31
50268,2805,7
50229,2802,9
50143,2810,69
50168,2802,213
50269,2816,7
50253,2802,20
50082,2805,320
50158,2802,10
50145,2806,30
50115,2810,26
50210,2806,17
17258,7509,17
17264,7512,563
50190,2805,9
17296,7528,85
50234,2816,3
50256,2802,218
17236,7528,132
17215,7528,2
50290,2802,8
50271,2802,7
17260,7509,25
17255,7526,60
17179,7528,170
17187,7528,32
17201,7512,29
17222,7512,271
17210,7528,40
17254,7528,8
17231,7509,8
17198,7528,21
17337,7526,484
17279,7528,55
17220,7528,29
17242,7528,62
17246,7525,45
17304,7528,33
17291,7512,936
17223,7509,10
17181,7528,21
17239,7509,26
17308,7525,187
17307,7526,143
17315,7512,147
17224,7509,229
17230,7526,321
17214,7528,33
17204,7509,25
17331,7528,107
17320,7525,27
17195,7528,19
17288,7528,18
17290,7509,17
17240,7509,309
17259,7509,3
17205,7525,24
17268,7528,20
17305,7509,19
17271,7528,26
17225,7526,402
17226,7528,48
17221,7512,73
17175,7509,35
17314,7528,55
17330,7526,107
17267,7512,101
17323,7526,206
17316,7509,25
17297,7512,474
17294,7528,11
17313,7528,37
17190,7512,278
17298,7528,57
17262,7528,82
17328,7528,86
17269,7509,56
17200,7512,873
17228,7526,334
17194,7512,275
17186,7512,85
17227,7528,19
17289,7528,32
17178,7528,4
17287,7509,11
17295,7509,70
17235,7509,48
17256,7528,15
17333,7526,624
17216,7525,81
17322,7512,41
17184,7525,52
17197,7509,495
17183,7526,62
17229,7509,19
17306,7526,2741
17292,7525,31
17281,7509,1
17206,7520,19
17253,7525,87
17303,7512,81
17270,7509,34
17247,7526,124
17261,7509,34
17324,7528,9
17335,7528,14
17209,7509,14
17325,7528,44
17312,7528,69
35234,5315,63
17265,7526,108
35189,5315,393
17174,7525,62
17252,7528,22
17329,7525,22
17203,7512,65
17177,7509,16
17173,7516,13
17193,7512,254
17311,7526,138
17232,7526,129
17196,7528,38
17213,7528,10
17301,7520,3
17244,7528,67
17241,7509,174
17191,7528,19
17275,7528,49
17219,7526,589
17218,7512,374
17257,7520,60
17276,7509,4
17192,7509,90
17283,7528,465
17293,7512,48
17176,7509,6
17302,7525,45
17300,7512,10637
17211,7528,47
17263,7509,32
17286,7512,159
17243,7509,95
17273,7509,78
17280,7528,48
17327,7512,29
17248,7526,94
17199,7509,7
17285,7528,95
17185,7526,164
17245,7512,57
17277,7528,74
17332,7528,39
17336,7528,315
17278,7528,77
17299,7525,2480
17180,7509,8
17233,7509,21
17319,7509,6
17284,7525,225
17249,7509,16
17266,7528,47
17188,7509,29
17237,7525,30
17274,7512,1273
17318,7512,118
17326,7509,35
17321,7525,19
17310,7526,91
17317,7528,39
17207,7512,122
17208,7512,55
17202,7528,29
17309,7516,129
77158,1105,7
28067,2403,7
77195,1108,41
77246,1110,32
17250,7528,32
77269,1108,122
77200,1105,6
17282,7509,13
77247,1102,22
77282,1112,78
28004,2403,13
77265,1107,52
77156,1105,65
28106,2404,18
77242,1110,24
28139,2403,15
28169,2403,66
28046,0061,30
28159,0061,21
28089,0057,198
28054,0057,24
28071,0061,39
50296,2805,14
77174,1110,26
28118,0057,36
28087,0057,22
28117,0057,15
28080,0061,21
28003,0057,6
28075,2404,44
28116,2403,211
28108,2404,9
28111,0061,34
27695,2803,21
28049,2403,7
28109,2403,14
28031,0061,23
28033,0061,58
28156,0061,52
28155,0057,10
28018,0061,95
28147,0057,50
28127,2404,81
28095,2403,2
28006,2403,120
28061,2404,233
28077,0061,16
28113,0057,110
28016,2404,1
28140,2403,423
28056,0057,145
28098,0057,169
28036,0057,68
28038,0061,7
28086,0061,14
28119,0061,12
28012,2404,210
28040,2403,18
27693,2808,105
28128,2403,19
28141,2403,22
28142,2403,7
28053,0057,16
28148,2403,21
28160,2403,52
28107,2403,22
28166,2403,6
28060,2403,12
28079,2404,17
28019,2410,11
28062,0057,74
28092,2403,14
28027,2404,86
28034,2403,47
28088,2404,829
28021,2403,102
28081,2403,12
28074,2403,18
28121,2410,6
27692,2808,9
28164,2403,56
28149,0061,40
28028,2404,21
28151,0057,8
28026,2403,19
27696,2808,79
28124,0057,44
28099,2403,50
28064,0057,147
28023,2403,86
28055,0057,29
28146,0057,81
27698,2803,23
28068,2403,20
28035,2403,69
28130,0057,78
28134,0057,2005
28076,0057,10
27690,2817,17
28037,0057,18
28168,2403,262
28073,2403,38
28070,2403,207
28030,0061,15
28103,2404,322
28058,0057,32
28104,2403,43
28154,2403,121
28059,0057,103
28032,2403,24
28052,2403,49
28045,0057,12
28110,2403,380
28010,0061,19
28013,2403,92
27701,2815,788
28126,2404,12
28072,0061,11
28050,0057,13
27697,2817,48
27700,2815,21
28114,2404,6
27691,2817,33
27699,2815,4
28001,0057,160
28136,0057,25
28041,2403,14
28084,2403,34
17402,7528,10
28078,2404,12
28144,0061,15
28029,2410,16
28158,2403,181
28057,2403,29
28009,2403,5
28157,2404,7
28005,2404,40
28096,0057,87
28091,2403,11
28105,0061,22
28161,2404,31
28007,0057,276
28065,2404,2
28085,2403,3919
28122,2403,77
28132,2404,30
28135,2403,100
28094,0057,105
28123,2404,13
28120,0057,27
17428,7509,37
28102,2403,41
28143,0057,15
28015,2403,434
27694,2817,19
28008,0057,15
28137,2403,42
17384,7528,20
28090,0057,12
28153,2404,13
17340,7512,111
17339,7509,85
28082,0057,44
28039,2403,76
28163,2403,19
28014,0057,25
17459,7528,40
17467,7528,17
28171,0057,54
28024,2403,226
17445,7526,33
17429,7525,146
17415,7528,3076
17438,7528,25
17440,7528,27
17482,7512,49
17385,7526,1099
17408,7525,60
17434,7512,647
17480,7512,49
17478,7520,5
17420,7512,223
17404,7528,46
17449,7525,689
17410,7528,55
17423,7528,6
17365,7509,40
17374,7528,10
17363,7509,23
17390,7528,3
17347,7528,729
17407,7512,447
18019,2402,29
17473,7520,8
17465,7528,50
18006,2402,10
17403,7509,38
17344,7528,111
17471,7520,11
17476,7509,17
17369,7512,522
17443,7512,147
17386,7516,29
18011,2407,117
17372,7509,3
17382,7512,44
17353,7525,233
17400,7528,41
18013,2402,15
18012,0060,19
18005,2402,51
17474,7520,47
18020,0056,45
17441,7528,68
17401,7520,5
18018,2402,91
17472,7512,162
17450,7528,9
17355,7509,40
17406,7526,41
17466,7512,173
17409,7526,409
17361,7528,5
17359,7512,80
17483,7512,141
17389,7525,42
17342,7528,22
17341,7509,4
17394,7512,55
17367,7528,14
17383,7528,25
17346,7525,86
17485,7526,135
17430,7509,25
17470,7528,16
17398,7509,6
17433,7509,16
17348,7525,51
17350,7528,65
17417,7509,9
17463,7525,94
18008,2402,26
17486,7526,98
17452,7526,610
17442,7526,27
18001,2402,20
18004,2402,81
17468,7509,9
17379,7528,14
17362,7528,27
17414,7512,378
17425,7526,230
17366,7516,30
18002,2402,11
18009,2402,30
17413,7512,168
17435,7528,15
17397,7528,215
17388,7528,13
17356,7525,13
17461,7526,667
18015,2407,334
17484,7525,104
17354,7528,46
18007,0060,9
17375,7525,79
17481,7528,12
17395,7528,47
17349,7512,195
17412,7528,41
17360,7512,538
17377,7509,11
17455,7525,46
17357,7509,45
17380,7526,500
17469,7528,26
17426,7509,18
18016,2402,35
17447,7512,199
18014,0056,15
17458,7509,12
17448,7525,106
17424,7528,25
17376,7512,121
17373,7512,305
17436,7528,54
17387,7528,161
17437,7526,29
17460,7528,54
17422,7520,2
17351,7526,180
17439,7512,37
17418,7509,38
17381,7528,10
18017,0060,9
17453,7525,85
17451,7509,22
17338,7512,130
17343,7528,3
18010,2402,7
17431,7528,40
17444,7528,105
17364,7509,27
17477,7520,15
17462,7528,43
17416,7520,4
17378,7509,25
17393,7526,136
17464,7528,11
18003,2402,120
17446,7509,22
17432,7509,21
17454,7509,20
17358,7520,28
17479,7528,21
17421,7526,709
17427,7509,19
17391,7512,177
17405,7528,15
17457,7512,82
17396,7512,233
17411,7526,187
28167,2403,22
28162,2403,12
17345,7509,17
28048,2403,53
28172,2403,45
28129,2403,44
28051,2404,332
28047,2403,51
28022,2403,60
28170,0057,15
27689,2808,28
77177,1106,76
77183,1107,754
77181,1106,421
77286,1110,23
77290,1107,35
77206,1102,17
77210,1105,145
77192,1106,529
77178,1105,39
77148,1107,117
77235,1107,17
77241,1112,101
77255,1108,118
77260,1110,68
77214,1112,55
77194,1105,28
77132,1106,262
77134,1110,11
77154,1102,82
77142,1107,559
28100,2403,17
77127,1108,122
77167,1110,24
35294,0062,159
35259,5317,82
77155,1106,203
77126,1107,99
77205,1107,10
77202,1105,78
77180,1106,126
77176,1102,238
77217,1108,276
77268,1106,748
77147,1108,38
77172,1105,80
77279,1105,132
77272,1110,56
77238,1107,256
77287,1102,25
77218,1110,16
77276,1107,423
35308,5317,298
77262,1110,33
77256,1110,7
77252,1108,106
77215,1106,681
35337,5315,347
77219,1102,212
77208,1110,71
77141,1107,112
77168,1105,192
77285,1108,946
77188,1108,87
77143,1107,211
77201,1108,55
77186,1105,2334
77221,1106,104
77185,1105,56
77231,1107,40
77250,1102,13
77133,1105,7
77244,1105,85
77165,1108,35
77212,1110,7
77270,1102,87
77266,1108,53
77230,1105,6
77131,1102,1239
77254,1106,110
77163,1107,17
77288,1108,3343
28173,2403,106
77281,1102,48
77274,1107,26
77261,1105,97
77224,1102,17
77175,1108,269
28194,2403,46
77289,1110,17
77227,1110,69
77277,1106,136
77234,1106,66
77236,1110,20
77251,1104,1458
77263,1110,15
77291,1112,190
77253,1108,13
77164,1108,33
35340,5315,104
77184,1105,41
77197,1110,13
77259,1112,135
77130,1107,33
77145,1108,31
77193,1107,21
36035,2405,91
50165,2810,251
50088,2818,16
77139,1106,572
77198,1105,17
50094,2806,20
35302,5315,45
28225,2403,16
35281,5315,1400
35284,5317,314
35261,5305,17
35306,5317,209
35310,5305,95
35268,0062,14
35352,5315,1093
35333,5315,83
28209,2403,350
36006,2405,475
35292,5305,50
36059,2405,10
36023,2405,11
35266,5315,229
35324,5305,74
36056,2405,81
35271,5305,80
36001,2405,135
36019,2405,22
35275,5315,481
36041,2405,4
35300,5319,59
36014,2405,10
35316,5315,43
35318,5315,56
36053,2405,36
35297,5315,357
36026,2405,29
35279,5317,74
35263,5317,272
28272,2404,9
35347,5319,152
36061,2405,21
35335,5315,55
36010,2408,39
35361,5317,92
36004,2412,15
18075,0060,41
35291,5317,26
35258,5315,23
28301,2403,14
18162,2402,25
18026,0056,50
18094,0056,23
18095,2402,8
18181,2402,24
18050,2402,212
18029,2402,24
18180,2402,108
18080,2402,3
18169,2402,10
18152,2402,11
18042,2402,19
18025,0060,23
18117,0056,29
18150,2415,46
18062,0060,15
18107,2402,7
18051,2407,8
18027,2402,27
18129,2402,12
18040,2402,22
18179,2402,62
18035,2402,56
18139,0060,28
18142,2402,29
18081,2402,10
18053,0060,12
18039,0056,40
18134,2415,39
18137,2402,22
18138,2402,130
18147,2407,13
18097,2402,115
18077,2402,17
18024,2405,11
18041,2402,8
18103,2415,91
18157,2402,40
18146,0056,26
18070,2407,5
18165,2415,83
18145,2402,144
18173,2402,21
18175,2402,42
18174,2402,18
18052,2402,58
18033,2402,5151
18069,2402,27
18176,2402,19
18071,2402,0
18099,0060,10
18114,2402,11
18144,0056,31
18160,2402,91
18049,0060,25
18045,2402,19
18124,2415,18
18121,2402,8
18159,2415,81
18104,0056,10
18177,2402,0
18166,2402,19
18143,0060,20
18028,2402,75
18161,0060,13
18164,0060,2
18083,2402,63
18031,2402,30
18030,2407,46
18105,2402,30
18074,0056,10
18060,2402,0
18154,0060,13
18113,2402,6
18133,2402,68
18056,2402,19
18046,2402,4
18022,2407,21
18151,2402,13
18116,0056,17
18170,2407,46
18064,2415,13
18088,2407,12
18135,2402,23
18115,2407,43
18082,0060,57
18072,2402,5
18178,2402,10
18102,0060,17
18084,2407,10
18021,2402,22
18037,2407,76
18038,2402,45
18182,2402,15
18065,2402,37
18057,2405,132
18076,2402,18
18048,0060,16
18055,2402,41
18153,2402,10
18059,2402,57
18092,2402,30
18112,2402,15
18132,0056,10
18098,0056,11
18043,2402,11
18130,2402,17
18085,2415,5
18063,2402,5
18078,2402,2
18054,2402,10
18087,2402,225
18034,2402,11
18096,2415,114
18101,0060,10
18128,2402,8
18067,2407,36
18066,2402,45
18036,2415,35
18106,0060,11
18125,0056,72
18073,2402,14
18090,2402,22
18032,0056,75
18155,0060,26
18127,2402,96
18079,0056,31
18068,2402,3
18089,2402,18
18156,2402,35
18163,2402,20
18168,0056,13
18172,2402,102
18086,2402,38
18158,2402,38
18100,2415,33
18136,2402,16
18148,2415,186
18149,2402,39
18061,2402,3
18141,2402,418
18140,2415,81
18044,2415,24
18118,0060,81
18058,2402,107
18111,2402,26
18108,0060,168
18091,2402,16
18110,0056,71
18122,2402,12
18047,2407,47
18120,0060,30
18119,2402,7
18171,2402,13
18109,2402,175
18167,2415,17
18126,2402,87
36007,2405,25
18023,2402,145
35322,5315,63
18093,2402,6
36021,2405,25
35270,5317,38
35290,5315,46
36015,2405,10
36063,2405,495
28313,2403,13
36017,2405,22
36027,2405,14
36031,2405,275
36045,2408,175
35280,5305,47
28192,0061,8
28352,2403,93
28337,2403,171
28327,0061,13
28277,2404,15
28256,2404,22
36024,2405,10
28252,0061,13
28279,0057,305
28188,2403,63
28236,0061,181
28335,0061,36
28199,2410,179
28298,2403,151
28291,2403,54
28183,2403,49
28195,2403,37
28322,0061,16
28304,2403,24
28254,2403,49
28197,2403,2
28207,2403,10
28175,0061,13
28294,2403,24
28217,0057,15
28201,2403,136
28261,2403,32
28287,2404,76
28234,2403,25
28343,0057,32
28229,2403,530
28354,0061,14
28176,2403,30
28189,2410,6
28245,2403,23
28299,0057,7
28312,0057,8
28226,0057,57
28214,0061,229
28243,2403,12
18223,2402,175
28230,2403,21
28274,2403,15
28360,0057,56
28223,0057,66
28246,2403,21
28348,0057,203
28344,2403,8
28283,2404,13
28330,2404,107
28219,0061,26
28285,2403,19
28200,0057,21
28206,0057,34
28331,0061,78
28282,2403,19
28178,0057,26
28358,2403,178
28268,2403,2
28292,0057,48
28325,2403,58
28306,2404,8
28273,2404,13
28249,2403,35
28237,0061,13
28284,2410,18
28353,2404,20
28202,0061,24
28359,0057,191
28220,2403,492
28278,2403,198
28290,2403,13
28305,2404,14
28350,2403,69
28232,0061,42
28210,2403,8
28215,2403,20
28198,2404,21
28203,2403,27
28231,0057,11
28355,0057,25
28177,2403,241
28255,2403,9
28182,2404,12
28329,2404,6
28196,2403,188
18186,2402,29
28218,2403,761
28235,0057,29
28191,2403,151
28334,2404,160
28257,2403,4
28253,2403,96
28342,0061,21
28184,2403,25
28242,2403,5
28269,2403,152
28280,0061,692
28281,2403,40
28216,0057,13
28323,0057,15
28259,2404,16
28303,2410,16
28309,2403,67
