codgeo,ze2020,libze2020,population_2022_total
56100,5303,Carhaix-Plouguer,1851
47063,7532,Villeneuve-sur-Lot,158
46018,7619,Nord-du-Lot,141
41127,2412,Romorantin-Lanthenay,365
35015,5319,Vitré,2181
13093,9301,Aix-en-Provence,364
16110,7502,Angoulême,801
22287,5316,Saint-Brieuc,1467
17045,7525,Rochefort,1003
21699,2711,Dijon,1206
27110,2811,Honfleur Pont-Audemer,636
17174,7525,Rochefort,889
19103,0063,Ussel,66
03038,8432,Vichy,529
09274,7612,Foix-Pamiers,320
84030,9305,Carpentras,3469
28329,2404,Châteaudun,148
23193,7511,Guéret,2531
51111,4413,Reims,147
58310,0056,Cosne-Cours-sur-Loire,49
63328,8417,Le Livradois,55
62664,3203,Arras,241
32412,7604,Auch,863
37030,2413,Tours,813
77207,1105,Fontainebleau-Nemours,161
55422,4426,Verdun,50
54088,4412,Nancy,211
34010,7616,Montpellier,2956
27640,2808,Évreux,197
33381,7505,Bordeaux,3460
63414,8417,Le Livradois,587
53146,5215,Mayenne,1884
17151,7526,Royan,909
29036,5303,Carhaix-Plouguer,592
71495,0059,Mâcon,869
38163,8409,Grenoble,459
50504,2816,Saint-Lô,209
24432,7529,Sarlat-la-Canéda,657
28398,2404,Châteaudun,1212
42206,8428,Saint-Étienne,1817
03025,8424,Moulins,1384
34339,7606,Béziers,186
46033,7607,Cahors,534
76465,2815,Rouen,534
25591,2714,Montbéliard,147
25002,2706,Besançon,283
54601,4412,Nancy,92
85209,5207,Fontenay-le-Comte,613
78609,1114,Seine-Yvelinoise,971
50169,2805,Cherbourg-en-Cotentin,112
76316,2815,Rouen,437
45069,2411,Pithiviers,961
76049,0058,La Vallée de la Bresle-Vimeu,264
63112,8408,Clermont-Ferrand,631
11148,7617,Narbonne,574
63358,8408,Clermont-Ferrand,372
16002,7502,Angoulême,532
59080,3216,Lille,2852
87103,7517,Limoges,1584
25122,2715,Pontarlier,534
60126,3210,Compiègne,517
18113,2402,Bourges,174
82115,7615,Montauban,2039
22232,5316,Saint-Brieuc,2137
56233,5301,Auray,1580
35237,0062,Redon,1032
32109,7624,Tarbes-Lourdes,203
22282,5304,Dinan,3353
88502,4407,Épinal,117
61064,0051,Alençon,92
80759,3202,Amiens,327
54422,4417,Saint-Dié-des-Vosges,66
81114,7602,Albi,538
63331,8417,Le Livradois,237
80690,3202,Amiens,623
77046,1105,Fontainebleau-Nemours,341
72192,0051,Alençon,105
05026,9302,Briançon,271
33251,7505,Bordeaux,697
62628,3215,Lens,6757
07143,8433,Vienne-Annonay,817
38127,8409,Grenoble,169
21120,2711,Dijon,185
