ZE2020,year,sitadel_monthly_total_autorisee,sitadel_monthly_total_commencee,sitadel_monthly_q1_autorisee,sitadel_monthly_q1_commencee,sitadel_monthly_h1_autorisee,sitadel_monthly_h1_commencee
3214,2013,49324,38369,10118,4760,26089,24096
3215,2013,107441,77244,23731,12864,45640,42179
3216,2013,433285,291578,102679,72528,264546,126757
3217,2013,183997,78229,35416,7459,66910,40670
3218,2013,155335,107312,33663,60067,70157,70334
3219,2013,97005,74255,18097,23887,56909,33605
3220,2013,163444,62220,79273,13175,110579,29338
3221,2013,79141,48844,22958,3481,39938,21711
3222,2013,120310,73809,20756,21529,44513,31244
4401,2013,33275,54892,4561,32834,14133,38075
4402,2013,131315,105542,71284,4225,104925,9572
4403,2013,83808,37891,11269,8716,41288,22267
4404,2013,115762,79352,25265,21707,60015,45527
4405,2013,108948,87311,19630,41476,51728,54053
4406,2013,71503,65356,10294,16323,39736,43426
4407,2013,181973,120199,44422,17681,111817,42921
4408,2013,81171,16457,56976,1384,62528,12759
4409,2013,153373,60937,41960,6601,85316,20534
4410,2013,284020,190305,53808,18787,125757,100143
4411,2013,113276,109616,22955,16478,67631,48035
4412,2013,183261,138960,50666,32494,87814,57167
4413,2013,180007,138395,31816,36360,98873,71515
4414,2013,57004,33884,11178,7051,35814,13128
4415,2013,48584,28125,13128,11152,24770,14696
4416,2013,81436,41117,5656,10871,26130,22275
4417,2013,33953,29587,7013,1698,18373,15561
4418,2013,58733,78621,16440,40752,32892,47083
4419,2013,72929,46398,20164,7299,38831,33695
4420,2013,116313,52838,17548,8998,43002,14099
4421,2013,78832,65683,26140,7632,46701,40000
4422,2013,50159,49967,13108,13784,19602,23888
4423,2013,363996,263455,65348,85254,140023,143499
4424,2013,130224,117144,29735,17123,57310,36847
4425,2013,175848,108457,59324,15765,97297,39179
4426,2013,42760,23166,9322,5771,25099,8160
4427,2013,84249,42629,13691,8310,37728,17823
5201,2013,78437,46732,9503,2074,36009,9425
5202,2013,185537,168798,43321,57092,98188,98531
5203,2013,192345,82269,36742,24726,113414,36984
5204,2013,40497,18703,7865,6255,17773,10838
5205,2013,88353,85201,41332,7571,75656,61590
5206,2013,112711,103036,17855,23800,53445,42745
5207,2013,100120,94749,24705,36537,59809,53480
5208,2013,31468,22206,5838,6213,16948,9958
5209,2013,45138,26720,14344,5974,23428,6394
5210,2013,136629,79413,22442,19346,59897,34319
5211,2013,168353,150581,42882,63057,99587,99285
5212,2013,150838,145434,52372,58403,88478,74714
5213,2013,108525,108248,23312,16285,61445,39875
5214,2013,50159,40852,15974,3254,38149,23081
5215,2013,103288,59831,19024,13303,50418,28585
5216,2013,792398,562235,203322,112772,324922,237679
5217,2013,34348,26157,6910,3839,15613,15142
5218,2013,60227,26010,5107,5427,24087,10133
5219,2013,163096,143072,19912,27114,71654,63680
5220,2013,124650,83422,34041,4092,61412,36132
5221,2013,54337,55714,6399,28500,20961,33844
5301,2013,59459,38552,11881,11153,29114,21691
5302,2013,243621,208265,57767,29466,102046,140811
5303,2013,183330,88450,40747,16561,82705,41187
5304,2013,86166,61748,16943,19843,46750,34852
5305,2013,86518,64831,22202,17260,39594,25766
5306,2013,65015,49663,25795,7672,44784,21168
5307,2013,89905,63707,34534,11039,51319,23467
5308,2013,96560,83029,18872,18235,31046,32303
5309,2013,133294,100195,40435,19419,76001,35853
5310,2013,197557,93075,58487,18313,94161,50770
5311,2013,94761,56033,23400,19008,47028,31009
5312,2013,117277,106437,14806,16342,52428,54319
5313,2013,157043,108360,32081,18040,88409,59969
5314,2013,29891,13520,7416,6664,15685,7148
5315,2013,567102,389859,150655,66161,259520,153274
5316,2013,124297,81848,22849,23875,47888,44577
5317,2013,124237,82818,16719,14311,53702,27709
5318,2013,145600,125076,43132,23382,87105,48620
5319,2013,108267,86150,25727,23407,59398,46018
7501,2013,172345,74589,59462,27124,80108,45032
7502,2013,123845,97044,29541,31329,61140,53053
7503,2013,394316,235677,78163,79759,169568,148542
7504,2013,84385,41823,16602,9152,30569,16843
7505,2013,846097,468440,171199,129604,372927,225526
7506,2013,140547,83005,19717,17782,61337,31647
7507,2013,79912,57420,20154,18237,57364,25461
7508,2013,45144,39095,6443,6193,16009,12293
7509,2013,130990,79383,23052,25236,40228,42294
7510,2013,151885,109218,27265,8979,99324,60225
7511,2013,96741,80381,31607,8467,63665,39932
7512,2013,162916,80613,55661,20471,84389,37734
7513,2013,190656,180667,66540,66910,125672,112887
7514,2013,116724,45533,18231,12284,35840,22998
7515,2013,54052,26413,25872,9158,33997,11927
7516,2013,94629,84423,17073,9677,38508,35837
7517,2013,134126,96844,26732,18716,69716,39153
7518,2013,382974,107622,146899,15807,195210,47547
7519,2013,146360,97023,29473,24360,89954,59299
7520,2013,113357,97687,35485,34298,66095,63500
7521,2013,82992,53811,9320,9010,33169,19092
7522,2013,303999,187359,113465,44845,184552,92299
7523,2013,93122,70971,21011,26823,54904,43989
7524,2013,166151,114687,28273,21030,76998,54582
7525,2013,56893,15001,17559,3142,21457,11239
7526,2013,59513,40761,17545,9427,36557,18395
7527,2013,59283,47104,10663,4519,21899,33842
7528,2013,107880,50355,9832,15532,27064,29619
7529,2013,38235,31817,8269,7074,15274,24957
7530,2013,44630,81999,8836,4101,18439,63397
7531,2013,89111,28081,24535,2665,41293,4746
7532,2013,236714,49323,41260,12648,202140,36007
7601,2013,27487,17078,8979,1809,11706,5959
7602,2013,195030,134926,51844,20194,116891,68339
7603,2013,77846,44232,18242,8049,30266,20057
7604,2013,186645,102792,59836,35265,133335,47482
7605,2013,27628,9495,1909,667,9934,2076
7606,2013,277869,58780,34562,14355,64173,26121
7607,2013,51768,24943,10451,9493,24509,12452
7608,2013,156327,67480,23637,16309,47505,33397
7609,2013,60052,22964,1273,6124,12828,15485
7610,2013,75943,51913,18111,8365,42245,27450
7611,2013,123999,48653,35917,24299,59285,31279
7612,2013,83312,41390,17077,5400,41039,23245
7613,2013,97862,60603,28886,13007,63745,32534
7614,2013,61194,37789,20342,13251,34912,22142
7615,2013,192027,152659,27923,12678,136858,122842
7616,2013,273754,174621,65036,48109,117006,115505
7617,2013,105716,64416,46153,24280,72957,39298
7618,2013,137994,96045,48389,24691,95328,44670
7619,2013,50935,38455,13403,8693,44217,14430
7620,2013,676684,179719,101635,25147,211651,77080
7621,2013,169839,98500,38743,20576,80809,34255
7622,2013,62689,78378,11792,9774,32191,11776
7623,2013,23697,25321,3502,6892,13314,11642
7624,2013,127123,81113,41364,25168,65816,41721
7625,2013,1160812,555478,285718,130874,448041,262875
8401,2013,131567,89372,30034,27129,49981,39988
8402,2013,64522,61140,21392,14160,37174,28748
8403,2013,133755,27898,91465,5575,114326,13796
8404,2013,28860,17187,6460,928,13933,1983
8405,2013,201840,157224,41695,26409,98014,62083
8406,2013,122885,92170,37246,25775,56507,48962
8407,2013,112790,74734,24837,15526,58347,36262
8408,2013,317401,181027,92974,23548,182544,127390
8409,2013,305677,156395,86727,19228,165621,33870
8410,2013,95729,44549,17935,5025,51165,21693
8411,2013,10796,7718,1703,1507,5742,3822
8412,2013,70485,58299,17069,15186,30445,28170
8413,2013,105396,63356,14169,6624,60885,43845
8414,2013,49303,36369,17098,7344,29091,17719
8415,2013,43315,19448,9012,8270,21755,12522
8416,2013,134207,78300,43115,12201,70184,34822
8417,2013,49646,46156,14505,5552,27734,22894
8418,2013,38618,12821,13596,2500,19407,7437
8419,2013,121307,70467,26305,12490,71030,31756
8420,2013,89634,61754,32217,11739,60683,24303
8421,2013,779036,727564,197799,212449,392139,422619
8422,2013,65871,28398,24162,5366,36780,12359
8423,2013,85692,54045,31946,11090,45959,19721
8424,2013,94746,63207,26825,7535,47516,36059
8425,2013,33062,23499,12549,8299,20986,19320
8426,2013,65121,72315,20331,29236,35716,47521
8427,2013,67777,57063,14841,14026,37978,44792
8428,2013,254990,134603,52951,24280,141592,51797
8429,2013,101240,32843,29902,2379,71104,8970
8430,2013,34691,18060,4666,4278,13157,11196
8431,2013,186995,124408,41931,25373,78389,47868
8432,2013,67068,51972,16869,7933,41523,17747
8433,2013,185515,118929,25072,17497,101555,71344
8434,2013,155455,94974,58667,29931,85151,66581
8435,2013,121977,58468,19108,10939,56337,41393
9301,2013,244073,147239,53997,18058,174957,56408
9302,2013,27136,17372,2137,131,11767,7247
9303,2013,44209,30719,10958,3091,22198,9257
9304,2013,115900,135073,7948,71849,50510,89869
9305,2013,36225,25095,15488,5214,21514,9373
9306,2013,79154,46738,34231,7349,50459,21387
9307,2013,53049,26795,5140,2494,10550,8586
9308,2013,30826,24687,5555,13021,11722,13753
9309,2013,38115,29828,7942,9400,16245,17683
9310,2013,107798,31563,16791,3958,37602,14257
9311,2013,71249,49718,21371,10042,40889,31364
9312,2013,423413,336195,87993,84247,186603,201355
9313,2013,299036,127892,34917,15828,123641,34535
9314,2013,2341,12764,191,11949,449,12028
9315,2013,103040,111454,24987,7791,59072,71656
9316,2013,24078,18243,7462,2626,12889,5614
9317,2013,10527,13203,3400,1371,4181,3001
9318,2013,150851,110198,28964,14979,86028,48103
9401,2013,54374,18647,33247,2616,40639,15555
9402,2013,41213,41169,5603,12488,29091,14757
9403,2013,11940,4215,2577,432,6923,1558
9404,2013,8132,4384,3595,54,5156,1280
9405,2013,37810,5771,3689,1004,28180,3053
9406,2013,17801,9553,3300,737,7605,2486
9407,2013,6333,4627,2057,103,2141,633
0051,2014,63144,61761,17546,13850,37059,25686
0052,2014,135346,91672,19737,6978,113391,63246
0053,2014,333315,184971,193080,21590,261895,48203
0054,2014,90220,85104,16856,15930,41755,35888
0055,2014,96303,86763,50318,20768,56494,33060
0056,2014,34929,28508,9304,13012,20194,18218
0057,2014,25514,55815,10339,12808,17508,16748
0058,2014,60911,50842,32871,9033,37031,14768
0059,2014,74438,71411,33013,17022,49525,43696
0060,2014,56678,40868,9338,10583,13191,21956
0061,2014,13451,15486,1481,5542,6398,9955
0062,2014,91525,76029,44065,26557,64614,46977
0063,2014,125044,73402,12941,11733,58087,36941
0064,2014,22295,26134,4936,11272,11599,19512
0101,2014,1834,5578,0,540,499,4017
0102,2014,14451,7910,2593,2728,9413,6400
0103,2014,3447,1239,1157,848,2128,894
0104,2014,73211,35063,24660,12190,38418,22238
0105,2014,10004,7281,3963,1443,6399,2107
0201,2014,16115,4002,9008,0,10746,663
0202,2014,52208,46814,10069,12481,15386,18725
0203,2014,2173,0,1046,0,2132,0
0204,2014,15693,311,13379,0,13655,0
0205,2014,9049,8298,2780,628,5696,1980
0206,2014,39631,9289,553,2337,6103,8915
0301,2014,97507,49376,43773,20818,59705,29905
0302,2014,30912,586,26390,125,29068,125
0303,2014,2213,2847,1418,0,1936,443
0401,2014,25711,23760,8513,4964,11015,9280
0402,2014,122001,68370,31387,19208,45220,30949
0403,2014,87009,79497,29422,6060,38904,34943
0404,2014,112198,91796,15734,28019,26607,64169
0601,2014,44686,0,16578,0,22769,0
1101,2014,221475,131479,57457,32304,79013,64191
1102,2014,16847,30328,2834,23562,5288,26242
1103,2014,30876,13599,10615,2780,20083,7642
1104,2014,389501,173296,34721,56386,167093,78747
1105,2014,75134,51437,12237,20874,39114,36553
1106,2014,171173,299965,66727,67347,121516,113322
1107,2014,132882,87491,71462,5346,93164,73980
1108,2014,143654,122126,66278,7007,125633,15634
1109,2014,1612893,1105326,449023,237260,860162,590468
1110,2014,18295,14461,1500,5230,3076,12559
1111,2014,39701,29255,23300,5389,28727,5999
1112,2014,430040,368971,83128,86669,176378,222468
1113,2014,268370,131054,93839,26428,137864,60175
1114,2014,135815,93722,22754,22731,57585,52997
1115,2014,111433,57926,36041,22411,63723,33178
2401,2014,90386,55032,18180,7550,44570,24099
2402,2014,181170,53677,69148,8181,146201,17718
2403,2014,103476,88848,31386,23149,47232,42490
2404,2014,31104,25815,7789,11271,20210,13544
2405,2014,122615,105763,42723,27279,73154,58801
2406,2014,23243,13461,4651,3308,10930,9413
2407,2014,39980,11234,2432,6575,14759,7924
2408,2014,45326,41604,17091,12538,26941,24787
2409,2014,42236,30094,10994,9047,26088,15141
2410,2014,165655,66676,33223,24518,64323,40414
2411,2014,31690,24731,9500,4787,15094,8013
2412,2014,30872,34802,6232,6901,13757,17503
2413,2014,181246,105515,28409,28387,97206,59921
2414,2014,23885,15126,4216,6773,10113,7804
2415,2014,8726,4284,2850,615,4263,2827
2701,2014,19556,14240,2993,752,4810,6060
2702,2014,82120,78345,25691,28961,42443,49345
2703,2014,17730,15385,3673,2767,10455,10884
2704,2014,63610,45550,21410,21185,33996,32626
2705,2014,63195,43002,19691,9943,30743,17266
2706,2014,188978,123775,52105,32879,99016,51950
2707,2014,45734,36026,13552,14079,26110,23922
2708,2014,65455,66632,16361,26709,33572,30252
2709,2014,74744,42423,11854,12234,32971,23872
2710,2014,36840,27929,6925,3570,28655,11300
2711,2014,187969,146610,41368,38940,85486,91227
2712,2014,42521,18422,2474,8306,17702,12570
2713,2014,101039,82216,22667,23100,56338,37769
2714,2014,105693,48962,10394,16275,82413,21448
2715,2014,117237,89282,32592,21747,64357,31839
2716,2014,16468,9854,992,2275,3505,4913
2717,2014,112204,13468,5656,5158,14727,7843
2718,2014,86016,54916,17427,21776,36816,29293
2801,2014,22225,17724,6696,6998,10087,11035
2802,2014,98260,69143,24950,13848,50999,27790
2803,2014,25271,19983,2755,8901,8827,12571
2804,2014,224033,183226,55781,75721,113671,110542
2805,2014,73032,57041,15483,19025,39687,29868
2806,2014,45707,41130,7750,6960,22811,11851
2807,2014,101324,63686,19986,12690,43179,31218
2808,2014,73844,53704,14515,9522,32054,38071
2809,2014,86094,64528,16969,11191,48437,28422
2810,2014,43946,33762,8987,9334,18284,16383
2811,2014,159826,39572,11276,8075,21925,21204
2812,2014,26135,18779,13116,2902,18022,14364
2813,2014,197089,84963,49640,43575,71693,70674
2814,2014,43714,21001,4826,8338,15670,15674
2815,2014,306844,187157,100922,40809,156408,84044
2816,2014,61579,58335,16383,18465,38270,31815
2817,2014,48853,26319,7146,4758,19472,12893
2818,2014,26230,7256,4256,1490,7345,3934
2819,2014,39563,65563,9102,13307,14853,25462
3201,2014,67206,38258,9028,10259,33746,18611
3202,2014,215706,116847,43642,41312,149348,56551
3203,2014,136491,86072,16773,10233,57130,35280
3204,2014,95913,52351,30533,8101,64936,24657
3205,2014,101174,58982,25813,11625,55444,27363
3206,2014,45970,33031,11526,7757,24817,11855
3207,2014,64493,34903,20750,4271,32266,14340
3208,2014,143293,55602,51809,17667,64003,19869
3209,2014,65083,28026,7173,4228,35261,9119
3210,2014,63824,66018,22169,19360,41186,43708
3211,2014,75954,47032,25235,26279,45684,32345
3212,2014,203949,161608,17489,47523,39381,66575
3213,2014,155521,88937,32603,21699,80927,42452
3214,2014,45789,28026,18158,5586,22523,10300
3215,2014,256385,73070,61447,31346,93564,57318
3216,2014,440492,332730,62707,100636,218081,162951
3217,2014,116171,58406,45756,24447,68551,38086
3218,2014,120764,112962,26536,21914,56859,39009
3219,2014,100773,77588,31076,42918,60328,54744
3220,2014,134741,85447,44501,24342,84635,52493
3221,2014,64660,46403,25242,15446,39178,27480
3222,2014,166164,77484,34682,18296,72337,42790
4401,2014,54806,20077,10311,3467,20262,8443
4402,2014,46582,31322,11749,12537,18021,19160
4403,2014,73616,48193,17475,19496,40774,34338
4404,2014,71010,57822,12933,18821,38675,31745
4405,2014,115243,81598,49659,17367,70664,27194
4406,2014,66367,44770,9408,10458,39058,17385
4407,2014,153404,93603,33814,30700,80897,45962
4408,2014,13433,21438,3404,5378,5936,10087
4409,2014,151971,149452,40174,38004,68995,53590
4410,2014,163047,226091,31733,101630,66037,118905
4411,2014,206813,125732,35913,26524,91374,54733
4412,2014,219061,122329,65869,15656,94922,30630
4413,2014,154637,92802,42266,22602,76741,42022
4414,2014,31274,25049,8402,3711,12438,8025
4415,2014,48479,40244,15084,14202,29447,27284
4416,2014,60420,51967,11510,14021,20764,38169
4417,2014,38079,26707,11683,6185,23364,14722
4418,2014,46089,30325,20056,7642,26474,21999
