ZE2020,year,sitadel_monthly_total_autorisee,sitadel_monthly_total_commencee,sitadel_monthly_q1_autorisee,sitadel_monthly_q1_commencee,sitadel_monthly_h1_autorisee,sitadel_monthly_h1_commencee
5221,2016,36438,29156,7908,9832,17614,12815
5301,2016,53050,24089,4894,6676,22180,9781
5302,2016,348016,229792,104852,38866,193251,144369
5303,2016,164214,133630,33251,39361,78946,97723
5304,2016,74459,40308,44187,8981,53110,23938
5305,2016,105768,73983,45780,13828,74010,33681
5306,2016,37370,35858,11209,14011,21054,18106
5307,2016,98081,43895,20155,17193,29912,29092
5308,2016,75243,51794,9527,8586,23960,31662
5309,2016,94852,62441,25716,12651,47134,36733
5310,2016,310062,265026,121552,74109,171690,104412
5311,2016,90536,49506,25313,11651,48910,19935
5312,2016,143289,81850,35457,19912,70898,34482
5313,2016,138204,117366,34360,35901,62192,64717
5314,2016,21955,35928,6272,3116,9228,7586
5315,2016,490098,272481,147265,79971,233766,160808
5316,2016,101608,65061,28225,9445,54263,17501
5317,2016,59186,70218,15381,13020,32291,38195
5318,2016,138686,138310,36947,43830,76743,88209
5319,2016,125984,122613,34191,12239,100115,89652
7501,2016,128061,87051,67017,5374,79231,36269
7502,2016,103848,100366,23055,41146,63999,66254
7503,2016,286995,131747,34881,19123,65863,64685
7504,2016,60104,44712,18261,14644,38174,23854
7505,2016,743641,350673,167971,89156,351113,179925
7506,2016,138483,105245,44437,28867,90549,52347
7507,2016,91399,52809,30884,4952,47551,29946
7508,2016,21899,14521,8452,2007,12100,11569
7509,2016,117276,89825,38227,21589,64239,47372
7510,2016,129885,119342,27239,48752,54569,78029
7511,2016,74556,60411,7131,12052,27927,20316
7512,2016,106549,64343,9585,22094,55788,33465
7513,2016,142964,67846,46079,6710,76355,15162
7514,2016,71183,50584,14768,11010,23948,30244
7515,2016,64123,28180,19956,7807,26537,11381
7516,2016,49433,96943,18635,11649,31767,77051
7517,2016,167603,135834,67758,23395,98736,44066
7518,2016,169487,118782,8234,40467,59718,60315
7519,2016,97438,71615,14084,21022,52807,27868
7520,2016,89692,54640,30024,21015,47590,30103
7521,2016,56333,49309,9908,12347,21890,32513
7522,2016,150797,120420,38280,31182,65592,62801
7523,2016,108257,82506,9222,8879,44336,31217
7524,2016,114080,97178,26389,31304,59859,61108
7525,2016,27605,16953,13593,3716,15875,7177
7526,2016,55324,24712,17283,7301,30603,11607
7527,2016,76651,32330,14058,6371,37094,17201
7528,2016,79159,88394,20553,49838,49338,56606
7529,2016,46699,35295,6821,8738,12628,11108
7530,2016,56831,32248,27636,4617,41289,9880
7531,2016,77141,36088,28554,7970,44193,21959
7532,2016,80383,76290,8082,5050,27398,23506
7601,2016,26212,10032,19369,2940,22490,7372
7602,2016,218618,140197,57633,44614,113414,58929
7603,2016,52003,30532,12739,7359,22338,16217
7604,2016,118101,102569,30906,19079,69040,31380
7605,2016,24510,8980,8055,2118,14532,2800
7606,2016,105911,82179,29670,26806,54125,50003
7607,2016,51177,24985,7846,4892,22375,11242
7608,2016,66055,37516,10402,7771,33600,25492
7609,2016,47392,27422,9025,15792,20766,18430
7610,2016,104084,63191,36627,13486,59204,32707
7611,2016,86760,61020,8964,21339,33737,30990
7612,2016,83142,40212,27233,9525,57004,17974
7613,2016,96937,55678,38718,16742,65434,32390
7614,2016,77041,44411,17387,10155,32970,22200
7615,2016,235669,137128,30999,23617,62094,42710
7616,2016,219995,217638,42289,110316,99483,142194
7617,2016,95858,41714,37325,17272,61548,25308
7618,2016,96262,48462,11617,11963,44596,21941
7619,2016,43016,12498,6686,3227,11255,5869
7620,2016,427385,173343,59821,66716,112194,105539
7621,2016,241019,154372,43311,40137,114728,82528
7622,2016,52168,39253,9180,17479,21027,23436
7623,2016,35637,25619,11466,5193,17277,9265
7624,2016,193991,67930,15968,20228,49273,36419
7625,2016,1029536,630273,166554,216569,396819,331687
8401,2016,117128,70837,17311,15960,41853,26907
8402,2016,64503,40681,14007,7985,32323,19377
8403,2016,103199,71524,34955,15558,54875,35024
8404,2016,16073,15223,1125,3287,5257,11578
8405,2016,115561,71944,31092,27305,62779,43693
8406,2016,218147,149900,97150,40362,134983,109558
8407,2016,132838,84296,32309,15613,66317,35916
8408,2016,236144,138143,71471,25482,117071,59629
8409,2016,274469,144777,100781,28929,178168,71512
8410,2016,54575,39201,13890,5992,24957,22224
8411,2016,12205,9208,2248,345,6172,2507
8412,2016,41273,30450,11420,11911,16998,17112
8413,2016,102471,41584,7837,7106,22713,15523
8414,2016,80664,32143,47682,11549,54229,15708
8415,2016,94202,37264,17141,16015,26586,24311
8416,2016,146382,75444,29099,17590,55981,37673
8417,2016,49015,25619,15497,5464,23119,9252
8418,2016,26237,34109,3708,7030,12259,14663
8419,2016,129307,99633,38454,30920,84104,61286
8420,2016,88253,42375,20133,11798,39408,21626
8421,2016,671308,529980,106015,131175,350943,260361
8422,2016,54206,28804,23884,6255,39058,11917
8423,2016,62120,36332,15515,8847,35251,15191
8424,2016,85139,82437,19744,7807,55396,22804
8425,2016,34996,22210,6194,3970,12560,13317
8426,2016,75979,65017,21234,9436,56450,32910
8427,2016,75308,20671,12003,7889,23093,10241
8428,2016,186581,114413,37864,25876,96562,87461
8429,2016,89341,73769,23881,21275,45752,43863
8430,2016,25115,26465,8783,12323,15416,13934
8431,2016,176693,74059,54132,29516,93021,42419
8432,2016,72393,50687,31015,12128,45093,25350
8433,2016,246018,148131,48861,53404,143882,73765
8434,2016,62762,38978,24334,5115,38936,18147
8435,2016,125127,78466,26417,22100,55600,44134
9301,2016,169457,117183,31753,12590,92319,63727
9302,2016,21128,5682,5074,291,8330,4273
9303,2016,95537,20991,28590,6854,52185,11970
9304,2016,93392,73044,20873,10696,32509,34845
9305,2016,46463,33541,9027,21403,16904,23972
9306,2016,42970,17431,12842,6341,25339,11402
9307,2016,53997,22126,15071,8544,33684,16434
9308,2016,21862,27024,3975,3283,10971,11822
9309,2016,44603,31148,12146,8088,22595,15130
9310,2016,92026,46996,25247,7245,55436,21558
9311,2016,71159,21907,19299,4815,44487,8435
9312,2016,272727,166162,63804,50677,94356,77485
9313,2016,165004,123644,21918,56255,54442,69812
9314,2016,13893,2150,216,473,1751,473
9315,2016,217745,53563,10234,9773,76889,20401
9316,2016,79890,26485,6008,12450,15111,19092
9317,2016,23862,16273,1819,13615,3583,14576
9318,2016,184249,116479,34711,20720,114335,39502
9401,2016,28323,44106,8845,16034,16825,23407
9402,2016,28670,12200,1315,2191,9139,7715
9403,2016,14748,5032,4935,2640,10390,3229
9404,2016,10119,2440,3290,854,5736,2001
9405,2016,14980,3678,2330,1724,5494,2093
9406,2016,6377,6943,1714,1736,3099,3889
9407,2016,11143,4418,2944,242,4483,1415
0051,2017,86747,76227,29179,23638,59632,34190
0052,2017,162680,23368,26801,5085,30027,6411
0053,2017,211305,151215,64427,41403,125347,79417
0054,2017,175605,53830,78098,10764,100150,33785
0055,2017,50956,58740,22654,7114,31086,23990
0056,2017,36147,28199,10286,4082,18783,15460
0057,2017,61571,27001,4895,18368,15699,21904
0058,2017,42955,26944,8654,7853,22106,16861
0059,2017,101382,77058,36884,17544,61846,45529
0060,2017,72134,32895,15434,5074,40054,16501
0061,2017,44753,38595,13091,8429,19974,15317
0062,2017,80090,54632,30749,7974,53009,27029
0063,2017,85745,79566,20449,21091,43442,47405
0064,2017,29745,22844,13238,4143,19512,7369
0101,2017,4327,435,493,435,1402,435
0102,2017,56410,4198,8572,2222,10344,3411
0103,2017,11787,359,3154,0,3580,0
0104,2017,121001,71360,20721,11429,72737,19022
0105,2017,6792,1584,762,54,3161,1547
0201,2017,14384,8676,2463,572,2932,5560
0202,2017,52646,37513,12981,2478,20394,21924
0203,2017,316,534,237,237,237,274
0204,2017,1642,1959,500,181,870,181
0205,2017,13700,3913,7859,254,9563,425
0206,2017,37125,4999,2076,2670,27202,2947
0301,2017,37813,13328,15301,7823,19913,7823
0302,2017,25895,759,4101,368,5017,368
0303,2017,2775,8547,74,0,765,0
0401,2017,61038,8274,6788,3229,37451,4552
0402,2017,107634,49709,27961,17787,49622,22957
0403,2017,116148,21496,12406,3865,18676,8690
0404,2017,181506,113522,47390,31871,106239,54392
0601,2017,45566,13479,7706,6279,12881,12080
1101,2017,277161,204886,38812,39136,172657,112078
1102,2017,37058,4217,4871,1387,10940,2237
1103,2017,18012,15127,4930,7218,9433,10960
1104,2017,284507,220610,118362,15663,165968,128560
1105,2017,77192,24788,12541,6305,23254,11856
1106,2017,474906,343608,90504,40782,171764,71610
1107,2017,49633,28132,6747,7776,19910,16067
1108,2017,152616,22920,9264,9319,21504,15378
1109,2017,2598059,1874693,482068,561091,1218786,986724
1110,2017,28233,13360,8193,2583,16236,3582
1111,2017,26431,6890,4653,2486,11066,5217
1112,2017,601166,458392,117904,109356,343885,207534
1113,2017,505066,295198,62292,40517,98298,68034
1114,2017,259511,146142,79777,49999,126479,86380
1115,2017,248015,182658,52098,41446,112732,93492
2401,2017,190440,102896,8105,5585,19281,57243
2402,2017,47400,115991,8253,18013,22989,31230
2403,2017,81819,44611,14201,10643,26170,23323
2404,2017,41084,17221,14709,3793,22697,6209
2405,2017,95167,59584,17093,9795,41663,20738
2406,2017,71681,57210,2578,13176,44328,50667
2407,2017,86082,76925,14462,3282,17187,7050
2408,2017,36819,34141,12095,3617,24676,8450
2409,2017,55309,39543,8859,6627,22856,19889
2410,2017,257594,124131,39251,35621,79116,79876
2411,2017,36375,10808,5476,897,10351,5338
2412,2017,63900,25295,16531,9340,33690,12253
2413,2017,211981,171368,63111,25139,124272,64097
2414,2017,41697,25881,4911,6418,19934,8418
2415,2017,11494,9119,6588,3938,8109,6860
2701,2017,22535,8672,1993,2455,10715,2745
2702,2017,72820,46096,12039,8651,30512,19689
2703,2017,26520,26593,2544,8192,13273,18473
2704,2017,54667,31740,21127,7723,29180,13370
2705,2017,65721,89585,9660,37318,28784,55767
2706,2017,177611,124267,43670,44530,83207,73405
2707,2017,194361,154605,33442,7802,54213,21856
2708,2017,79615,50282,8532,3497,32991,22918
2709,2017,61158,31018,12729,10316,26063,17949
2710,2017,85977,152616,10735,73643,72239,135868
2711,2017,210709,106574,42580,14801,112282,45433
2712,2017,43434,36320,5950,2156,14714,21794
2713,2017,107304,57382,26441,12429,41791,33644
2714,2017,64993,44430,11238,2852,31072,15255
2715,2017,137261,84701,32381,9985,82889,33571
2716,2017,19081,10032,2062,1553,6434,5229
2717,2017,45374,80090,11796,703,21488,8375
2718,2017,53746,34503,9578,11415,17168,18077
2801,2017,25875,14800,3110,1183,9627,4542
2802,2017,108709,78776,20671,17360,52225,37092
2803,2017,55789,16495,7330,3188,15200,5936
2804,2017,275978,177184,34893,48938,96036,101791
2805,2017,118673,113201,16004,33918,41154,47810
2806,2017,47703,29528,9131,8667,25784,14190
2807,2017,44231,46130,15569,7298,26205,21039
2808,2017,41144,29326,8654,4598,20813,8019
2809,2017,107051,65964,29981,6446,56748,32318
2810,2017,28543,18672,4184,5141,11252,11710
2811,2017,52952,43324,8003,3474,22632,26301
2812,2017,35031,23282,10757,9502,20551,12955
2813,2017,136943,64736,19808,16314,69065,25618
2814,2017,51655,34334,10285,8257,24548,17595
2815,2017,336826,232332,58131,92998,163816,146893
2816,2017,80356,39617,13340,12803,31452,26375
2817,2017,83189,56985,32585,3201,58466,6864
2818,2017,56001,33529,7554,3809,20080,12655
2819,2017,69617,70409,39901,18448,50274,29201
3201,2017,55959,24315,12922,3393,26287,8708
3202,2017,203517,127730,25206,30425,77743,70852
3203,2017,128694,86369,30180,13187,65140,37685
3204,2017,74944,29123,13016,6876,47965,19728
3205,2017,140838,92002,36838,32627,82998,63525
3206,2017,121986,47656,21096,9745,65797,14129
3207,2017,95499,23323,9912,5514,37104,6316
3208,2017,106727,50970,10940,5136,32491,19869
3209,2017,14899,18362,2592,2020,8688,7010
3210,2017,65435,21909,17476,1099,35974,4947
3211,2017,116425,122602,24714,21311,37181,34431
3212,2017,295080,59483,23531,10448,65401,20977
3213,2017,225273,88142,49571,25440,123909,41246
3214,2017,27596,13300,4382,5183,9663,11001
3215,2017,247053,134588,52394,51948,127992,63699
3216,2017,499436,427513,100597,228380,205392,287996
3217,2017,170855,30284,33249,10401,78023,14384
3218,2017,158341,83736,17989,32427,54495,44774
3219,2017,94313,53082,20469,20486,51873,30526
3220,2017,208286,125856,17924,40113,57451,75365
3221,2017,311641,124938,196716,1849,222191,22689
3222,2017,154986,78448,43094,9882,84355,35635
4401,2017,33975,15761,2760,824,5039,4760
4402,2017,46222,36113,8683,6351,16574,15178
4403,2017,79559,34532,11308,8013,27633,14584
4404,2017,104018,61827,21257,21836,49303,34768
4405,2017,64570,49296,16680,9979,28007,15283
4406,2017,86419,79027,17352,18582,49243,49692
4407,2017,127228,71009,26051,10415,52206,27466
4408,2017,30428,22155,5187,3575,12339,5219
4409,2017,152407,96647,58519,20713,99536,70259
4410,2017,165021,75612,37885,20504,76063,27794
4411,2017,200497,78932,32230,18021,60331,37360
4412,2017,166933,126170,24669,8210,58385,39706
4413,2017,290879,261027,18852,25944,67139,68077
4414,2017,32706,16105,7435,4211,14760,9126
4415,2017,144376,130241,60095,18144,113106,60201
4416,2017,46101,22055,11501,2593,12680,7627
4417,2017,16350,9546,4260,3806,7780,5501
4418,2017,117092,69170,27850,8213,64516,16277
4419,2017,73912,27651,19305,5735,38578,15187
4420,2017,46086,33713,6129,5764,18784,8634
4421,2017,86574,33070,13504,8510,35243,14316
4422,2017,75896,34260,8859,5399,22849,18929
4423,2017,396029,279552,110031,93769,209678,150505
4424,2017,129743,54098,51236,10219,68543,28327
4425,2017,146762,77403,21492,19580,79138,43848
4426,2017,38436,21883,2888,6397,11738,10147
4427,2017,82178,54093,13442,8091,22209,18631
5201,2017,119527,37296,11903,14725,23822,22888
5202,2017,259848,146702,41805,17638,111154,51268
5203,2017,156981,116866,27827,28796,103166,51435
5204,2017,44979,23303,11930,4115,19195,11564
5205,2017,66812,56171,9669,3939,21812,22055
5206,2017,178761,120690,39222,15935,97269,44528
5207,2017,118628,73314,17976,25932,57953,44831
5208,2017,50960,17325,8443,6344,32210,10135
5209,2017,34760,29492,10489,5513,17755,10614
5210,2017,219450,155497,47517,15010,110552,65239
5211,2017,173466,109790,58364,25270,82548,62044
5212,2017,285313,136986,33783,19715,151019,72519
5213,2017,155514,121208,45208,25191,83981,53856
5214,2017,123946,80287,7643,3769,73158,7479
5215,2017,70938,51464,24504,11828,45660,24022
5216,2017,1299827,862343,404544,302511,824140,416192
5217,2017,45536,35470,3579,9138,34459,14899
5218,2017,69736,58632,30116,19221,40472,43387
5219,2017,141005,131139,29197,39009,88378,68035
5220,2017,126878,75248,13215,4812,22379,16802
5221,2017,66273,36363,26167,5735,38048,13804
5301,2017,54662,30680,20996,8945,27725,21218
5302,2017,305845,241788,99736,64558,149572,116009
5303,2017,114331,88392,28309,30921,51025,62017
5304,2017,64343,52889,14434,31847,33830,40897
5305,2017,43190,38729,12067,5765,20753,27586
5306,2017,59130,38895,11667,3084,22585,17571
5307,2017,103761,76654,28598,16705,52173,48364
5308,2017,103397,63562,31528,12568,52826,39496
5309,2017,131103,73398,23450,12439,59496,41863
5310,2017,273219,142432,38779,59365,112200,97420
5311,2017,107574,69961,17412,13753,53258,23638
5312,2017,193732,81416,57354,26116,79171,43066
5313,2017,198003,105851,61694,11410,97824,29509
5314,2017,39029,20668,9090,6290,18390,15526
5315,2017,477826,347027,114148,113035,237248,188202
5316,2017,86365,52420,9704,13363,28319,24306
5317,2017,91418,74919,32041,20553,56107,46936
5318,2017,169258,91752,34725,27920,78749,55363
5319,2017,107825,50441,47990,12166,62590,17675
7501,2017,141761,47708,30788,5642,76268,23516
7502,2017,120643,78299,28885,17142,75962,38724
7503,2017,184183,123379,24101,53759,62682,80817
7504,2017,101972,31097,21626,4498,45314,13245
7505,2017,587058,491570,131592,151850,235633,248771
7506,2017,124226,83336,19639,17664,73038,39504
7507,2017,147201,59418,27031,15831,77107,32399
7508,2017,35911,18605,6194,1858,16240,7980
7509,2017,55897,47024,9769,10707,26929,20378
7510,2017,128356,66299,16474,25809,79187,38414
7511,2017,64812,51418,10615,12205,20484,29308
7512,2017,217562,73546,30786,23964,56902,44857
7513,2017,70491,65474,27248,30206,43033,37225
7514,2017,79759,50551,28167,5192,59019,13494
7515,2017,23709,34040,3408,6762,9681,22108
7516,2017,120228,27419,19898,6379,34321,14593
7517,2017,93689,78961,19770,23491,44578,41299
7518,2017,213729,69360,67956,21829,143035,53419
7519,2017,116163,49068,31715,8312,44371,24074
7520,2017,127402,98748,42715,17836,76869,37726
7521,2017,61352,37213,24980,9355,38933,15474
7522,2017,198463,110785,48920,26032,101479,50025
7523,2017,77476,50034,22744,11823,38749,21529
7524,2017,116095,70661,32812,16501,68412,35017
7525,2017,22187,19149,4856,1941,14715,2568
7526,2017,52504,32732,14164,4961,29769,16577
7527,2017,35445,45032,4172,18331,15990,31668
7528,2017,63516,31370,11976,9876,36749,15559
7529,2017,43520,26964,13571,4483,27966,7240
7530,2017,29047,20546,3305,7778,12270,13101
7531,2017,40413,35003,6197,9404,18294,23435
7532,2017,79360,22968,20793,6079,45619,15759
7601,2017,28679,19860,13867,12903,18002,13751
7602,2017,174965,84337,33434,18433,66036,37746
7603,2017,49922,41532,11031,8311,19015,15958
7604,2017,127544,59572,20658,18034,54549,30282
7605,2017,30034,13132,8764,4996,14100,7711
7606,2017,139851,67294,22401,12822,42141,26932
7607,2017,62674,27814,7284,5030,20207,14833
7608,2017,286502,62201,94807,7021,115852,28288
7609,2017,53686,39619,10193,6335,22888,13163
7610,2017,116477,87580,34316,30269,70988,59701
7611,2017,56279,37742,10706,11770,22348,23358
7612,2017,65698,38763,11237,7612,40003,21454
7613,2017,114206,78110,23140,24066,62141,38323
7614,2017,87463,27111,9590,7390,33250,16140
7615,2017,205640,71464,25595,21690,52288,43039
7616,2017,443903,178451,75991,19168,148102,62014
7617,2017,50600,37051,15258,11546,33700,26729
7618,2017,188161,136566,58297,25554,75395,40886
7619,2017,76958,26009,14004,3704,29892,14248
7620,2017,303328,225698,91599,37906,167117,61985
7621,2017,220527,148323,58041,44548,114726,91714
7622,2017,71362,34355,23187,6412,34091,15639
7623,2017,30383,16851,6688,7007,15562,10095
7624,2017,150669,88805,36281,18676,76255,47431
7625,2017,758836,602025,171357,180681,292949,282165
8401,2017,122513,64048,25391,7505,56993,19112
8402,2017,77321,39193,14824,10611,29093,16882
8403,2017,105082,82051,40529,13904,68243,31735
8404,2017,17213,9570,4921,210,9874,6690
8405,2017,236962,178927,19538,89654,71653,95485
8406,2017,176664,248817,72745,25729,99968,151444
8407,2017,116387,78448,22453,41494,48480,47753
8408,2017,234685,173754,35646,40715,101165,92864
8409,2017,378859,213972,82056,32675,140161,98794
8410,2017,62685,49142,15111,9026,40313,22431
8411,2017,55269,17873,5326,918,18055,4542
8412,2017,33780,31141,5838,8598,10984,16398
8413,2017,191153,104455,41027,11282,89306,44684
8414,2017,70859,33304,7017,8287,31944,14040
8415,2017,57328,42721,16983,6163,30983,16735
8416,2017,199506,125642,31596,11957,95280,38874
8417,2017,58753,29541,19706,7996,39056,16328
8418,2017,84384,19090,10175,3527,29528,10805
8419,2017,121411,73753,37766,26804,69096,40015
8420,2017,86899,60440,18424,13211,33744,29625
8421,2017,1065878,659618,158446,85498,387568,281220
8422,2017,66244,35081,22298,5307,34528,24016
8423,2017,49017,46582,14684,11145,25533,18148
8424,2017,90536,56890,26905,7454,57028,27206
8425,2017,44363,32506,9546,3697,15659,14517
8426,2017,55192,46319,13535,13208,22188,23241
8427,2017,60515,51686,4663,9093,10380,26941
8428,2017,319541,256926,126246,61718,161018,109978
8429,2017,96726,67034,27519,13226,46135,37431
8430,2017,29110,22403,4842,7274,13955,14082
8431,2017,328221,154584,131241,38204,178780,59521
8432,2017,72625,49690,20831,15569,36613,30878
8433,2017,212079,160129,52262,35368,84432,78569
8434,2017,76895,44680,21255,5678,36420,17234
8435,2017,119823,40966,52132,10421,66053,24385
9301,2017,184125,101671,24443,10859,57469,33897
9302,2017,20674,8690,1682,1682,5982,4022
9303,2017,61182,70216,6535,16877,26368,31715
9304,2017,172316,39663,17113,9608,25276,15266
9305,2017,71348,39489,18878,5279,26499,7933
9306,2017,53690,38498,18605,11391,24931,18526
9307,2017,41752,14146,10732,4752,21848,8551
9308,2017,28915,29007,13652,3394,18210,11577
9309,2017,39719,45440,13663,17782,20069,23431
9310,2017,86724,73390,22748,24159,40992,42346
9311,2017,50779,26454,7678,4544,24489,8260
9312,2017,297737,216665,69252,61566,132678,96067
9313,2017,212195,164889,74196,50514,99792,141139
9314,2017,16379,7015,1156,0,2083,302
9315,2017,158633,148898,36144,23187,102255,36735
9316,2017,21481,13620,3195,1531,10252,4365
9317,2017,17607,16239,6491,1893,10620,8582
9318,2017,146276,88379,33992,21701,70197,48078
9401,2017,43197,32160,19663,14897,29138,19669
9402,2017,67511,19547,26896,6130,40465,10114
9403,2017,14647,6551,2484,4018,5549,5408
9404,2017,4701,2911,548,1192,1135,1492
9405,2017,21745,4122,8256,986,15558,2231
9406,2017,34688,7250,10106,3100,13836,5339
9407,2017,4058,2466,1328,1763,2548,1801
0051,2018,106597,49727,24452,12749,50206,25932
0052,2018,166476,115751,25173,61668,50774,91712
0053,2018,210496,95293,24451,28927,70313,66685
0054,2018,211534,124671,23387,29754,37442,52447
0055,2018,76573,42317,15267,6862,38182,10864
0056,2018,31982,17889,9723,2580,22389,6542
0057,2018,57529,23259,4124,3584,27315,5863
0058,2018,42071,29889,7490,8529,20422,19212
0059,2018,96093,76780,25565,12437,51767,33852
0060,2018,49578,28595,9651,10404,18015,19955
0061,2018,37572,22330,8055,1838,22204,12182
0062,2018,79223,45581,17432,15521,37025,28861
0063,2018,92029,56410,25997,11963,51191,30164
0064,2018,30269,16721,9103,7414,18045,10568
0101,2018,4212,0,144,0,1246,0
0102,2018,29912,10718,11731,0,22944,9912
0103,2018,572,712,0,610,151,610
0104,2018,71571,53864,13372,5779,29622,14554
0105,2018,12546,7367,2838,3207,9472,5937
0201,2018,23327,9629,2868,785,5224,1205
0202,2018,54218,35922,25385,7652,39631,28207
0203,2018,4278,0,41,0,50,0
0204,2018,2726,645,0,0,0,495
0205,2018,2634,1617,906,0,1484,1526
0206,2018,9585,7196,2049,255,3661,3469
0301,2018,39585,23986,28088,20378,29115,21274
0302,2018,1989,964,1374,441,1559,858
0303,2018,3990,2155,0,0,325,2010
0401,2018,41112,11976,4974,5166,11811,7780
0402,2018,137605,54190,52194,14021,70676,21647
0403,2018,71300,55237,12267,3340,20897,5232
0404,2018,175008,64602,36173,15889,70524,36787
0601,2018,32497,9576,7325,3217,18027,6936
1101,2018,232179,129227,53857,22840,117515,77192
1102,2018,29817,16245,9729,4943,11221,9500
1103,2018,41490,11903,5066,298,21811,3147
1104,2018,318408,228339,146266,153147,166728,185830
1105,2018,70016,41177,13882,1590,30790,13245
1106,2018,288049,189773,110159,28606,185120,70519
1107,2018,52400,15927,16025,3737,24675,10184
1108,2018,75317,23281,12211,2469,25234,11977
1109,2018,2743089,1954383,904657,662572,1380832,1096175
1110,2018,31671,8373,719,4730,4869,5947
1111,2018,39966,19017,7765,4587,19863,7871
1112,2018,493933,293500,70736,107848,162355,168602
1113,2018,457015,238430,166716,70390,251301,134348
1114,2018,240565,175428,89521,39471,155934,96634
1115,2018,159251,105893,30915,37082,47714,57862
2401,2018,79439,106608,10607,81660,24074,87847
2402,2018,110334,69568,34130,13888,60867,26842
2403,2018,119225,42284,15925,9870,40901,14304
2404,2018,20916,19128,4521,5606,6895,9667
2405,2018,88842,65534,14166,14945,41981,24814
2406,2018,37971,66238,798,44393,23731,44704
2407,2018,43403,16282,32528,3349,33286,5247
2408,2018,50989,25717,10920,3712,23904,8762
2409,2018,61040,45657,13748,16223,30323,30129
2410,2018,241278,133229,72516,39295,104413,58677
2411,2018,14458,14151,8535,7333,9800,9717
2412,2018,44515,33797,16738,5000,19803,20527
2413,2018,228040,136761,58162,35726,121593,63713
2414,2018,23799,23878,5851,3402,10935,7658
2415,2018,29774,9192,13866,412,21645,3034
2701,2018,11938,24263,3376,3671,7549,5317
2702,2018,75846,39968,18296,12027,35371,22748
2703,2018,35225,17439,3647,1758,6966,3542
2704,2018,57448,37627,13718,2811,31437,16550
2705,2018,64268,33492,20019,8274,34292,18363
2706,2018,182393,125129,55360,33134,103973,69689
2707,2018,175340,73023,111990,33527,129579,44878
2708,2018,69872,48531,20299,23166,35729,31698
2709,2018,69953,43710,13976,15764,21364,22652
2710,2018,34938,22419,16129,6104,20203,14825
2711,2018,164425,122523,46206,35787,92278,52515
2712,2018,39909,32698,6905,13132,22914,22514
2713,2018,86499,63720,21345,22670,56042,36057
2714,2018,69910,44538,19536,6240,32212,23055
2715,2018,105674,95597,26466,39239,58985,57163
2716,2018,17202,15180,4184,2681,10188,6882
2717,2018,30688,25400,10434,6277,16474,17067
2718,2018,85926,55554,23986,5479,46877,20255
2801,2018,39627,16976,7691,593,18377,7150
2802,2018,100953,239146,18344,13709,28191,22787
2803,2018,26418,18190,2893,7039,9225,8678
2804,2018,284496,163192,40747,46987,128893,77620
2805,2018,96016,58866,21022,16571,54167,37789
2806,2018,41915,31529,12084,8588,27581,14913
2807,2018,69513,30372,9812,8604,34805,17412
2808,2018,69320,41898,9177,6826,33709,12609
2809,2018,114049,64157,23233,12536,50330,32284
2810,2018,29262,24880,7760,8921,18451,12244
2811,2018,66135,61775,15767,12054,39269,37409
2812,2018,39765,27345,10524,6562,25890,18825
2813,2018,168349,164725,19835,68188,48206,113685
2814,2018,98746,94401,65347,10981,75491,21385
2815,2018,318655,171447,101879,63749,167864,109191
2816,2018,87753,67924,13569,24006,37951,43578
2817,2018,107625,24895,12236,1903,18879,13951
2818,2018,45376,43149,8440,18175,21780,25384
2819,2018,93513,86950,64976,3204,72963,10822
3201,2018,53025,26019,13934,3750,28839,8099
3202,2018,296607,145650,51719,44334,106857,84698
3203,2018,187227,125895,87271,19833,120769,27455
3204,2018,57838,50936,14030,13285,35592,28483
3205,2018,102052,81816,14415,22038,42817,41536
3206,2018,62167,42173,18039,9869,30988,30618
3207,2018,50130,37462,17847,15420,24167,20265
3208,2018,112401,51574,31084,14367,39598,35026
3209,2018,31863,12267,9685,4510,15171,4510
3210,2018,77807,55051,21930,9870,38088,13065
3211,2018,106703,26254,7420,3340,25935,11855
3212,2018,133888,53257,17970,25080,24294,37131
3213,2018,134629,107201,34927,21775,48160,27695
3214,2018,64716,13498,12584,4728,17814,7228
3215,2018,355277,310789,119132,87378,179157,175138
3216,2018,795498,435102,190613,72807,396257,211276
3217,2018,120067,87600,22536,44345,57657,56659
3218,2018,159483,96721,36602,52418,63824,72821
3219,2018,131854,136392,23660,9920,65520,23649
3220,2018,87775,97829,22716,19381,43790,45122
3221,2018,69520,76537,15825,11555,34215,48403
3222,2018,169323,148686,28518,39371,62525,83739
4401,2018,33551,13934,7088,2263,15824,7544
4402,2018,62629,29415,24564,14848,36590,21624
4403,2018,59640,69596,9643,23922,32536,35183
4404,2018,95519,80689,33533,25934,50074,38275
4405,2018,109312,55348,22427,13438,44532,34333
4406,2018,41268,53834,12329,11972,18162,17590
4407,2018,146383,73789,28474,23270,64757,45501
4408,2018,13569,15379,6459,10510,7961,13120
4409,2018,157592,86749,73280,28116,112287,56549
4410,2018,110199,127618,29264,43493,65338,65186
4411,2018,176277,145201,69644,57074,106389,83412
4412,2018,217263,94909,63898,24600,140704,56937
4413,2018,230357,135280,71058,27503,122914,55671
4414,2018,36176,16117,3190,3499,12702,6673
4415,2018,80936,75456,37915,13587,56828,31125
4416,2018,57319,32851,23990,4410,29718,24536
