ZE2020,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1102,67061.0,67363.0,68107.0,69279.0,70406.0,71002.0,71593.0,72009.0,72475.0,72959.0,72999.0,73150.0,73440.0,73848.0,74526.0,74981.0,75538.0,76400.0
1103,99794.0,99955.0,100376.0,101064.0,102687.0,104070.0,105143.0,106149.0,106865.0,107038.0,107381.0,108164.0,108043.0,108354.0,109327.0,110371.0,110492.0,111261.0
1104,556443.0,561022.0,564277.0,566271.0,569120.0,573919.0,582017.0,590188.0,596718.0,601251.0,607273.0,608151.0,607772.0,610715.0,612518.0,614986.0,620425.0,626010.0
1105,194738.0,195749.0,195485.0,195323.0,195705.0,195443.0,195711.0,195965.0,197120.0,198279.0,198322.0,198611.0,199224.0,199806.0,201120.0,201762.0,201743.0,202185.0
1106,414662.0,422732.0,430409.0,434445.0,438277.0,444625.0,450917.0,454984.0,460450.0,464689.0,467479.0,470160.0,473484.0,476648.0,477011.0,479781.0,486528.0,492542.0
1107,183933.0,185049.0,186528.0,189016.0,191421.0,194408.0,197153.0,199435.0,200168.0,201876.0,203633.0,205805.0,207888.0,209155.0,210922.0,211831.0,214153.0,215640.0
1108,183852.0,184649.0,185999.0,186575.0,188311.0,189343.0,191436.0,192691.0,194829.0,196093.0,197537.0,197882.0,199179.0,200767.0,202689.0,204875.0,208003.0,212137.0
1109,6398090.0,6432635.0,6469371.0,6520066.0,6556918.0,6586273.0,6599038.0,6619047.0,6646508.0,6662642.0,6665728.0,6692712.0,6707860.0,6724920.0,6717550.0,6734045.0,6741720.0,6760197.0
1110,55011.0,55869.0,56455.0,57109.0,57313.0,57615.0,57849.0,57939.0,57981.0,58029.0,58122.0,57947.0,57879.0,57921.0,57800.0,57585.0,57467.0,57227.0
1111,75405.0,76474.0,76685.0,77490.0,77872.0,77546.0,77604.0,77782.0,77921.0,77701.0,78443.0,78907.0,79020.0,79127.0,79058.0,79180.0,79818.0,80722.0
1112,882625.0,885607.0,888996.0,891422.0,891127.0,895267.0,898860.0,904379.0,910609.0,919406.0,925201.0,931614.0,936269.0,942531.0,943049.0,947994.0,956544.0,971104.0
1113,497116.0,498489.0,499172.0,499734.0,503806.0,508991.0,514156.0,522105.0,528465.0,532727.0,536730.0,542315.0,542781.0,544204.0,545965.0,550254.0,555004.0,563404.0
1114,763397.0,770065.0,772144.0,773430.0,774455.0,777391.0,776548.0,780392.0,783409.0,787314.0,789117.0,792929.0,797231.0,803398.0,805611.0,809740.0,820478.0,831825.0
1115,585587.0,586158.0,586014.0,585168.0,584766.0,587162.0,586440.0,588237.0,588868.0,591092.0,593462.0,596094.0,595966.0,597762.0,597332.0,599855.0,605097.0,609205.0
2401,167055.0,167802.0,167806.0,168176.0,169731.0,170704.0,171075.0,171268.0,172682.0,172339.0,172493.0,172754.0,172119.0,172072.0,172521.0,172538.0,173252.0,173218.0
2402,208068.0,208397.0,206919.0,205116.0,205804.0,206689.0,206991.0,207049.0,206075.0,205385.0,204509.0,202745.0,202704.0,202342.0,201732.0,200420.0,200628.0,200409.0
