codgeo,ze2020,bpe_facilities_2023_total
02824,3214,8.0
02826,3217,10.0
02827,3214,10.0
02828,3221,2.0
02829,3221,1.0
02830,3220,40.0
02831,3217,6.0
02832,3220,3.0
02833,3217,14.0
02834,3214,5.0
03001,8432,102.0
03002,8424,8.0
03003,8424,70.0
03004,8432,4.0
03005,8423,15.0
03006,8432,25.0
03007,8423,6.0
03008,8432,14.0
03009,8424,4.0
03010,8423,14.0
03011,8424,11.0
03012,8424,17.0
03013,8424,152.0
03014,8432,7.0
03015,8424,5.0
03016,8432,4.0
03017,8432,3.0
03018,8432,27.0
03019,8424,43.0
03020,8423,16.0
03021,8432,4.0
03022,8432,81.0
03023,8432,335.0
03024,8432,13.0
03025,8424,39.0
03026,8424,28.0
03027,8423,23.0
03028,8432,17.0
03029,8432,25.0
03030,8432,18.0
03031,8423,9.0
03032,8423,3.0
03033,8432,3.0
03034,8432,17.0
03035,8432,11.0
03036,8424,142.0
03037,8424,7.0
03038,8432,12.0
03039,8424,13.0
03040,8424,23.0
03041,8424,11.0
03042,8432,24.0
03043,8432,55.0
03044,8432,36.0
03045,8432,24.0
03046,8424,30.0
03047,8423,9.0
03048,8424,77.0
03049,8432,11.0
03050,8432,10.0
03051,8423,6.0
03052,8423,29.0
03053,8432,58.0
03054,8424,8.0
03055,8423,29.0
03056,8432,12.0
03057,8424,9.0
03058,8423,7.0
03059,8432,15.0
03060,8432,60.0
03061,8432,13.0
03062,8432,21.0
03063,8424,33.0
03064,8424,3.0
03065,8424,27.0
03066,8432,19.0
03067,8424,4.0
03068,8432,6.0
03069,8424,7.0
03070,8423,4.0
03071,8432,7.0
03072,8423,14.0
03073,8424,13.0
03074,8424,42.0
03075,8432,4.0
03076,8424,6.0
03077,8432,2.0
03078,8432,7.0
03079,8432,11.0
03080,8432,18.0
03081,8423,6.0
03082,8423,205.0
03083,8432,11.0
03084,8423,100.0
03085,8424,21.0
03086,8424,12.0
03087,8424,23.0
03088,8423,12.0
03089,8432,4.0
03090,8424,15.0
03091,8432,21.0
03092,8424,21.0
03093,8432,42.0
03094,8432,100.0
03095,8432,537.0
03096,8432,3.0
03097,8423,8.0
03098,8423,123.0
03099,8424,15.0
03100,8424,37.0
03101,8423,308.0
03102,8424,154.0
03103,8424,87.0
03104,8423,36.0
03105,8432,11.0
03106,8423,30.0
03107,8432,81.0
03108,8432,17.0
03109,8432,23.0
03110,8432,25.0
03111,8423,43.0
03112,8432,19.0
03113,8432,30.0
03114,8432,11.0
03115,8432,9.0
03116,8432,6.0
03117,8424,15.0
03118,8432,292.0
03119,8424,22.0
03120,8424,22.0
03121,8424,11.0
03122,8424,16.0
03124,8424,7.0
03125,8432,6.0
03126,8432,31.0
03127,8423,24.0
03128,8423,79.0
03129,8423,10.0
03130,8424,7.0
03131,8432,24.0
03132,8432,47.0
03133,8432,19.0
03134,8432,4.0
03135,8432,18.0
03136,8423,5.0
03137,8432,6.0
03138,8432,178.0
03139,8432,16.0
03140,8423,19.0
03141,8432,13.0
03142,8432,11.0
03143,8423,4.0
03144,8424,4.0
03145,8423,14.0
03146,8424,10.0
03147,8432,4.0
03148,8432,9.0
03149,8432,14.0
03150,8424,7.0
03151,8423,4.0
03152,8432,18.0
03154,8424,10.0
03155,8424,92.0
03156,8424,47.0
03157,8432,26.0
03158,8423,28.0
03159,8423,42.0
03160,8432,15.0
03161,8423,62.0
03162,8424,8.0
03163,8432,21.0
03164,8432,6.0
03165,8432,129.0
03166,8432,9.0
03167,8423,15.0
03168,8423,39.0
03169,8424,10.0
03170,8424,5.0
03171,8424,6.0
03172,8423,3.0
03173,8424,30.0
03174,8432,24.0
03175,8432,9.0
03176,8432,20.0
03177,8424,9.0
03178,8432,13.0
03179,8432,12.0
03180,8424,12.0
03181,8424,12.0
03182,8432,10.0
03183,8424,35.0
03184,8424,10.0
03185,8423,1427.0
03186,8423,110.0
03187,8432,8.0
03188,8432,5.0
03189,8423,20.0
03190,8424,913.0
03191,8423,13.0
03192,8432,6.0
