codgeo,ze2020,side_stocks_ul_2023_total
17051,7512,408
17114,7528,21
17165,7528,26
17138,7520,33
17127,7512,162
17166,7512,81
17147,7528,81
10198,4425,8
17046,7528,17
17062,7509,15
17095,7509,19
17158,7512,135
17031,7509,12
17064,7526,328
17065,7525,120
17101,7520,21
46292,7611,10
10225,4415,17
10171,4425,11
10169,4415,15
60612,3211,1440
60608,0054,2
61079,0061,89
61076,0051,11
04097,9307,30
10207,4415,10
61048,0051,6
25121,2716,32
60638,3211,35
04120,9307,14
61020,2801,12
61018,2814,1
17087,7525,15
60667,3210,243
60605,0054,10
60622,0054,19
61049,2801,13
61069,2809,6
61037,0051,19
61032,2812,14
60642,3210,37
60650,3221,22
61061,0061,94
61072,2814,11
60673,0054,12
60644,0054,161
04095,9307,13
17085,7525,24
61050,0061,57
61039,2801,7
61071,2814,11
60660,0054,15
61030,2809,4
60628,0054,59
60700,0054,84
61082,0051,5
60675,3210,26
60666,3221,56
60634,0054,10
61053,2812,19
04116,9307,315
60688,0054,4
61040,2809,30
60655,3210,14
60620,0054,36
60624,0054,9
61063,2809,74
10168,4425,5
25163,2706,7
25161,2715,1
25225,2706,8
25099,2715,10
04028,9307,11
25106,2706,4
25105,2706,40
25124,2715,10
25119,2706,14
25142,2715,23
04159,9311,8
25171,2706,5
04216,9307,19
04158,9311,43
25182,2718,9
25236,2706,29
01060,8404,39
04214,9307,17
04031,9307,52
25173,2715,9
25162,2706,9
04112,9311,2573
10193,4425,23
25072,2718,2
04148,9304,12
25078,2706,63
25147,2706,194
25113,2715,13
25241,2706,33
01035,8425,20
01074,8405,205
01088,8405,89
01065,8405,107
01080,8404,26
01005,8434,169
25139,2715,22
04050,9307,3
25073,2706,31
04109,9307,22
04081,9311,56
01001,8405,68
04179,9307,13
01079,8404,75
01062,8421,74
01044,8416,34
01023,0059,3
01098,8404,108
01041,8405,33
01051,8425,9
01103,8416,69
01069,8405,106
01045,8405,21
01064,8405,82
01082,8416,24
01061,8404,82
01043,8421,629
01021,8434,116
01014,8425,364
01046,0059,49
01095,8405,52
01016,0059,28
01105,8434,259
01107,8405,11
01042,0059,16
01089,8405,218
01034,8404,795
01030,8434,77
01087,8425,16
01101,8425,7
01037,8404,17
01096,8405,93
01050,0059,13
01038,8405,51
01024,8405,203
01006,8404,5
01007,8405,171
01032,8421,244
01084,8405,72
01026,0059,70
01004,8405,1130
01100,8404,6
01058,8404,66
01011,8425,24
01067,8425,14
01028,8434,39
01104,8416,32
01093,8405,513
01027,8421,142
01085,8405,24
01054,8405,88
01029,8405,33
01040,8405,22
01063,8425,55
01076,8404,4
01002,8405,18
01019,8404,1
01066,8404,6
01017,8405,22
01068,8405,62
01073,8404,82
01099,8405,138
01083,8434,115
01022,8404,95
01072,8405,322
01078,8416,61
01025,0059,215
01094,0059,31
01090,8405,37
01081,8416,55
01031,8425,284
01047,8405,137
01075,8434,147
01057,0059,33
01053,8405,3367
01036,8404,85
01049,8421,305
01056,8405,22
01013,8405,9
01008,8405,54
01071,8416,283
01106,8405,2
01033,8416,924
01077,8405,5
01052,8405,28
01092,8405,120
01015,8404,47
01009,8404,19
01010,8416,67
04183,9307,22
01102,0059,57
01012,8404,23
04040,9307,5
04061,9307,75
04163,9306,37
25212,2706,398
04128,9311,23
04180,9307,7
04041,9311,28
04167,9307,20
04157,9311,69
04162,9311,33
25200,2706,228
04195,9307,104
04108,9307,109
04218,9307,24
04130,9311,6
04088,9311,690
04087,9311,18
04172,9311,75
04191,9307,1
04193,9307,41
04140,9311,8
04063,9311,94
04086,9307,34
04184,9311,23
04186,9311,14
04194,9315,7
04230,9311,353
04150,9310,3
04156,9311,25
04224,9315,6
04229,9307,17
04096,9307,150
04092,9307,13
04072,9307,9
04174,9315,12
04055,9307,14
04190,9311,12
04181,9311,2
04219,9307,26
04084,9307,42
04137,9307,7
04155,9307,23
04202,9315,8
04045,9311,135
04160,9311,194
04057,9307,21
04188,9311,90
04053,9307,52
04161,9307,52
04122,9307,47
04149,9307,248
04192,9311,144
04177,9307,2
04123,9307,97
04189,9311,47
04211,9307,13
04209,9307,698
04077,9311,14
04129,9311,8
04170,9315,4
04217,9307,59
04043,9315,10
04139,9307,49
04073,9307,87
04074,9307,5
04152,9311,371
04110,9307,79
04173,9307,129
04126,9307,89
04203,9307,74
