annee,trimestre,code_zone_d_emploi,effectifs_salaries_brut,effectifs_salaries_cvs,masse_salariale_cvs
2012,4,2712,16538,16521,103106142
2012,2,2714,51434,51218,340333512
2012,2,2808,44630,44230,273615849
2012,1,2811,10981,11081,63729387
2012,3,2812,1058,1063,7409910
2012,4,2813,94888,95068,665326451
2012,4,7605,17246,17499,131397012
2012,2,7606,44221,43332,240685231
2012,3,7608,35144,34444,182087485
2012,1,7610,360,382,2232328
2012,3,7610,415,376,2076523
2012,1,0052,4151,4197,23251182
2012,2,0052,4387,4327,23854905
2012,4,0052,4195,4247,23613110
2012,4,0053,8074,8128,52165708
2012,2,8401,87954,87493,581094714
2012,3,8401,87957,87691,585240027
2012,4,8401,87628,87639,586402953
2012,4,8402,24784,25866,140409317
2012,2,8404,10063,10004,60961896
2012,3,8404,10106,10022,60789857
2012,4,8404,9850,9857,60957620
2012,3,8405,67619,67554,423250239
2012,4,8405,67296,67329,423610927
2012,2,8406,60096,59456,388687444
2012,1,8407,71381,71829,452191700
2012,4,8407,70960,71101,452006665
2012,1,8409,196117,194721,1439429169
2012,2,8409,195145,194366,1442536936
2012,1,8411,13794,11736,73531412
2012,3,8411,10751,11911,74189383
2012,2,8412,18310,18245,105297027
2012,3,8412,18281,18180,104965211
2012,4,8412,18048,18123,105136319
2012,3,8413,31742,39771,248907154
2012,1,8415,27159,25242,155684600
2012,4,8415,26304,25467,157695430
2012,1,8416,54658,54968,343127064
2012,1,8417,1382,1387,7414255
2012,1,8419,290,330,1362177
2012,2,8419,351,329,1390994
2012,3,8419,375,331,1369484
2012,4,8419,297,329,1346341
2012,3,8420,4395,4371,25346194
2012,3,8425,20331,20272,135431599
2012,3,8427,23036,22971,136183836
2012,4,8428,143372,143209,895639925
2012,2,8430,13352,13277,77374718
2012,3,8430,13281,13249,78502566
2012,4,8430,13217,13185,79058013
2012,3,8431,82358,82168,505680654
2012,4,8431,81074,81461,507406821
2012,1,0064,4405,4580,22866552
2012,3,0064,4701,4518,23700992
2012,4,0064,4366,4548,23482268
2012,1,8408,133355,134442,887683391
2012,3,8408,135510,135178,898623149
2012,4,8410,17589,17611,101885795
2012,1,8429,5852,5966,30592786
2012,4,8429,5802,5872,30515433
2012,1,8432,28017,28411,160063924
2012,2,0063,5356,5279,26721232
2012,4,0063,5138,5243,27086006
2012,3,9301,123082,123759,836332173
2012,4,9301,124449,124076,837588964
2012,4,9302,10539,9769,55654527
2012,2,9303,19134,18830,99956683
2012,4,9303,18584,18718,101419157
2012,1,9304,129805,132851,950632236
2012,2,9304,137198,133295,958262459
2012,1,9305,15756,16121,86805937
2012,1,9307,16210,16187,90853887
2012,2,9308,18303,17859,93051006
2012,3,9308,18153,17836,93505578
2012,3,9309,29094,28032,165225666
2012,1,9310,23417,23152,125086074
2012,3,9310,22836,22898,125526354
2012,4,9310,22930,22922,125895267
2012,2,9311,23471,23052,148288242
2012,4,9311,22298,22756,149041471
2012,1,9312,347660,350417,2400084473
2012,3,9313,71135,71083,500647625
2012,2,9314,11380,11003,60441286
2012,4,9314,10552,11027,60928584
2012,1,9315,160866,163111,1041098146
2012,3,9315,163696,162713,1046864474
2012,2,9316,12853,12621,71768380
2012,4,9316,12935,13082,73012283
2012,4,9317,14658,17706,110702875
2012,1,9318,118191,121101,708197367
2012,2,9318,123810,121316,710336622
2012,3,3220,54723,54337,329726196
2012,1,3221,32356,32724,197332838
2012,3,3221,32617,32527,199957679
2012,2,0054,62715,61791,395128411
2012,4,0054,60549,60687,390838587
2012,1,0058,10953,11074,65468653
2012,3,0058,11073,11036,66616096
2012,4,0058,10985,11070,66087203
2012,2,3203,47970,47784,279737907
2012,1,3208,34856,34915,191617975
2012,3,3208,34284,34292,191722115
2012,4,3208,34606,34316,192577942
2012,2,3212,49867,49541,302351716
2012,3,3212,49043,48966,299378383
2012,4,3212,48853,48875,298571087
2012,1,3213,70899,71590,477253975
2012,1,3215,89289,90380,526945357
2012,4,3215,89035,88878,521684535
2012,1,3216,322011,324323,2201272826
2012,3,3216,325864,325621,2227110762
2012,3,3218,91439,91092,577983043
2012,1,3219,43087,43683,256429125
2012,3,3219,43699,43363,250642527
2012,2,4402,25476,25298,151599167
2012,1,4403,37784,38113,231450686
2012,2,4403,37850,37605,229068776
2012,2,4404,25889,25559,149909031
2012,3,4406,18517,18354,120534975
2012,1,4413,90331,91157,578565478
2012,2,4413,91406,90864,576730796
2012,4,4413,90643,90578,579085134
2012,3,4415,16540,16424,108660657
