zone_id,target_year,stock
BE_eeklo,2015,7238.0
BE_eeklo,2016,7406.0
BE_eeklo,2017,7593.0
BE_eeklo,2018,7821.0
BE_eeklo,2019,8095.0
BE_eeklo,2020,8416.0
BE_furnes,2007,5428.0
BE_furnes,2008,5512.0
BE_furnes,2009,5577.0
BE_furnes,2010,5589.0
BE_furnes,2011,5655.0
BE_furnes,2012,5669.0
BE_furnes,2013,5667.0
BE_furnes,2014,5767.0
BE_furnes,2015,5889.0
BE_furnes,2016,6098.0
BE_furnes,2017,6317.0
BE_furnes,2018,6490.0
BE_furnes,2019,6643.0
BE_furnes,2020,6812.0
BE_gand,2007,41156.0
BE_gand,2008,42218.0
BE_gand,2009,42762.0
BE_gand,2010,43508.0
BE_gand,2011,44651.0
BE_gand,2012,45569.0
BE_gand,2013,46136.0
BE_gand,2014,48076.0
BE_gand,2015,49449.0
BE_gand,2016,51741.0
BE_gand,2017,54048.0
BE_gand,2018,56303.0
BE_gand,2019,58833.0
BE_gand,2020,61492.0
BE_hal_vilvorde,2007,38459.0
BE_hal_vilvorde,2008,39239.0
BE_hal_vilvorde,2009,39588.0
BE_hal_vilvorde,2010,40386.0
BE_hal_vilvorde,2011,41287.0
BE_hal_vilvorde,2012,42199.0
BE_hal_vilvorde,2013,42684.0
BE_hal_vilvorde,2014,44102.0
BE_hal_vilvorde,2015,45460.0
BE_hal_vilvorde,2016,47612.0
BE_hal_vilvorde,2017,49874.0
BE_hal_vilvorde,2018,52520.0
BE_hal_vilvorde,2019,56161.0
BE_hal_vilvorde,2020,60050.0
BE_hasselt,2007,27146.0
BE_hasselt,2008,28223.0
BE_hasselt,2009,28849.0
BE_hasselt,2010,29854.0
BE_hasselt,2011,30800.0
BE_hasselt,2012,31504.0
BE_hasselt,2013,31770.0
BE_hasselt,2014,32742.0
BE_hasselt,2015,33414.0
BE_hasselt,2016,34900.0
BE_hasselt,2017,36392.0
BE_hasselt,2018,37810.0
BE_hasselt,2019,39206.0
BE_hasselt,2020,41244.0
BE_huy,2007,6644.0
BE_huy,2008,6720.0
BE_huy,2009,6774.0
BE_huy,2010,6928.0
BE_huy,2011,7106.0
BE_huy,2012,7285.0
BE_huy,2013,7381.0
BE_huy,2014,7684.0
BE_huy,2015,7829.0
BE_huy,2016,8125.0
BE_huy,2017,8379.0
BE_huy,2018,8612.0
BE_huy,2019,8751.0
BE_huy,2020,9093.0
BE_liege,2007,31455.0
BE_liege,2008,31906.0
BE_liege,2009,32193.0
BE_liege,2010,32799.0
BE_liege,2011,33484.0
BE_liege,2012,34210.0
BE_liege,2013,34663.0
BE_liege,2014,35542.0
BE_liege,2015,36010.0
BE_liege,2016,37023.0
BE_liege,2017,38126.0
BE_liege,2018,39065.0
BE_liege,2019,39810.0
BE_liege,2020,40775.0
BE_louvain,2007,31907.0
BE_louvain,2008,32749.0
BE_louvain,2009,33281.0
BE_louvain,2010,34194.0
BE_louvain,2011,34990.0
BE_louvain,2012,35843.0
BE_louvain,2013,36366.0
BE_louvain,2014,37558.0
BE_louvain,2015,38575.0
BE_louvain,2016,40474.0
BE_louvain,2017,42591.0
BE_louvain,2018,44413.0
BE_louvain,2019,46350.0
BE_louvain,2020,48256.0
BE_maaseik,2007,15338.0
BE_maaseik,2008,15743.0
BE_maaseik,2009,16079.0
BE_maaseik,2010,16448.0
BE_maaseik,2011,16925.0
BE_maaseik,2012,17282.0
BE_maaseik,2013,17368.0
BE_maaseik,2014,17618.0
BE_maaseik,2015,17937.0
BE_maaseik,2016,18741.0
BE_maaseik,2017,19379.0
BE_maaseik,2018,20035.0
BE_maaseik,2019,20879.0
BE_maaseik,2020,22007.0
BE_malines,2007,20971.0
BE_malines,2008,21496.0
BE_malines,2009,21741.0
BE_malines,2010,22344.0
BE_malines,2011,23085.0
BE_malines,2012,23687.0
BE_malines,2013,24039.0
BE_malines,2014,24694.0
BE_malines,2015,25590.0
BE_malines,2016,26900.0
BE_malines,2017,28199.0
BE_malines,2018,29268.0
BE_malines,2019,30369.0
BE_malines,2020,31852.0
BE_marche_en_famenne,2007,4320.0
BE_marche_en_famenne,2008,4352.0
BE_marche_en_famenne,2009,4353.0
BE_marche_en_famenne,2010,4369.0
BE_marche_en_famenne,2011,4406.0
BE_marche_en_famenne,2012,4508.0
BE_marche_en_famenne,2013,4540.0
BE_marche_en_famenne,2014,4518.0
BE_marche_en_famenne,2015,4599.0
BE_marche_en_famenne,2016,4758.0
BE_marche_en_famenne,2017,4846.0
BE_marche_en_famenne,2018,4972.0
BE_marche_en_famenne,2019,5022.0
BE_marche_en_famenne,2020,5241.0
BE_mons,2007,11310.0
BE_mons,2008,11497.0
BE_mons,2009,11463.0
BE_mons,2010,11534.0
BE_mons,2011,11736.0
BE_mons,2012,11851.0
BE_mons,2013,11968.0
BE_mons,2014,12265.0
BE_mons,2015,12356.0
BE_mons,2016,12729.0
BE_mons,2017,13058.0
BE_mons,2018,13345.0
BE_mons,2019,13555.0
BE_mons,2020,14064.0
BE_namur,2007,18194.0
BE_namur,2008,18547.0
BE_namur,2009,18682.0
BE_namur,2010,18945.0
BE_namur,2011,19383.0
BE_namur,2012,19870.0
BE_namur,2013,19924.0
BE_namur,2014,20569.0
BE_namur,2015,21124.0
BE_namur,2016,22157.0
BE_namur,2017,23227.0
BE_namur,2018,24065.0
BE_namur,2019,25044.0
BE_namur,2020,26010.0
BE_neufchateau,2007,5162.0
BE_neufchateau,2008,5134.0
BE_neufchateau,2009,5071.0
BE_neufchateau,2010,5108.0
BE_neufchateau,2011,5165.0
BE_neufchateau,2012,5202.0
BE_neufchateau,2013,5213.0
BE_neufchateau,2014,5275.0
BE_neufchateau,2015,5331.0
BE_neufchateau,2016,5462.0
BE_neufchateau,2017,5534.0
BE_neufchateau,2018,5562.0
BE_neufchateau,2019,5650.0
BE_neufchateau,2020,5788.0
BE_nivelles,2007,30710.0
BE_nivelles,2008,31671.0
BE_nivelles,2009,32129.0
BE_nivelles,2010,32847.0
BE_nivelles,2011,33935.0
BE_nivelles,2012,34899.0
BE_nivelles,2013,35467.0
BE_nivelles,2014,36594.0
BE_nivelles,2015,37637.0
BE_nivelles,2016,39575.0
BE_nivelles,2017,41498.0
BE_nivelles,2018,43145.0
BE_nivelles,2019,44135.0
BE_nivelles,2020,45649.0
BE_ostende,2007,10381.0
BE_ostende,2008,10578.0
BE_ostende,2009,10658.0
BE_ostende,2010,10829.0
BE_ostende,2011,10932.0
BE_ostende,2012,11017.0
BE_ostende,2013,11045.0
BE_ostende,2014,11134.0
BE_ostende,2015,11407.0
BE_ostende,2016,11881.0
BE_ostende,2017,12220.0
BE_ostende,2018,12613.0
