zone_id,target_year,y,stock
BE_verviers,2024,1864.0,26105.0
BE_virton,2021,238.0,3372.0
BE_virton,2022,318.0,3528.0
BE_virton,2023,241.0,3537.0
BE_virton,2024,258.0,3562.0
BE_waremme,2021,628.0,6969.0
BE_waremme,2022,662.0,7251.0
BE_waremme,2023,605.0,7480.0
BE_waremme,2024,640.0,7655.0
BE_ypres,2021,974.0,12046.0
BE_ypres,2022,1110.0,12554.0
BE_ypres,2023,897.0,12710.0
BE_ypres,2024,872.0,12830.0
