zone_id,target_year,a10,jobs
BE_alost,2008,A,60.0
BE_alost,2008,BE,9800.0
BE_alost,2008,FZ,4748.0
BE_alost,2008,GI,15499.0
BE_alost,2008,JZ,835.0
BE_alost,2008,KZ,1161.0
BE_alost,2008,LZ,185.0
BE_alost,2008,MN,5806.0
BE_alost,2008,OPQ,25850.0
BE_alost,2008,RSU,1674.0
BE_alost,2009,A,79.0
BE_alost,2009,BE,8999.0
BE_alost,2009,FZ,4686.0
BE_alost,2009,GI,15189.0
BE_alost,2009,JZ,814.0
BE_alost,2009,KZ,1156.0
BE_alost,2009,LZ,189.0
BE_alost,2009,MN,5833.0
BE_alost,2009,OPQ,26024.0
BE_alost,2009,RSU,1743.0
BE_alost,2010,A,79.0
BE_alost,2010,BE,8939.0
BE_alost,2010,FZ,4780.0
BE_alost,2010,GI,15107.0
BE_alost,2010,JZ,815.0
BE_alost,2010,KZ,1160.0
BE_alost,2010,LZ,210.0
BE_alost,2010,MN,6197.0
BE_alost,2010,OPQ,25914.0
BE_alost,2010,RSU,1743.0
BE_alost,2011,A,74.0
BE_alost,2011,BE,8874.0
BE_alost,2011,FZ,4871.0
BE_alost,2011,GI,14911.0
BE_alost,2011,JZ,631.0
BE_alost,2011,KZ,1151.0
BE_alost,2011,LZ,223.0
BE_alost,2011,MN,6574.0
BE_alost,2011,OPQ,25372.0
BE_alost,2011,RSU,1766.0
BE_alost,2012,A,74.0
BE_alost,2012,BE,8835.0
BE_alost,2012,FZ,4870.0
BE_alost,2012,GI,14429.0
BE_alost,2012,JZ,585.0
BE_alost,2012,KZ,1186.0
BE_alost,2012,LZ,231.0
BE_alost,2012,MN,7091.0
BE_alost,2012,OPQ,26318.0
BE_alost,2012,RSU,1740.0
BE_alost,2013,A,84.0
BE_alost,2013,BE,8734.0
BE_alost,2013,FZ,4721.0
BE_alost,2013,GI,15326.0
BE_alost,2013,JZ,593.0
BE_alost,2013,KZ,1181.0
BE_alost,2013,LZ,225.0
BE_alost,2013,MN,7257.0
BE_alost,2013,OPQ,25759.0
BE_alost,2013,RSU,1768.0
BE_alost,2014,A,80.0
BE_alost,2014,BE,8660.0
BE_alost,2014,FZ,4826.0
BE_alost,2014,GI,15476.0
BE_alost,2014,JZ,602.0
BE_alost,2014,KZ,1212.0
BE_alost,2014,LZ,228.0
BE_alost,2014,MN,7643.0
BE_alost,2014,OPQ,25811.0
BE_alost,2014,RSU,1803.0
BE_alost,2015,A,75.0
BE_alost,2015,BE,8757.0
BE_alost,2015,FZ,4637.0
BE_alost,2015,GI,15719.0
BE_alost,2015,JZ,616.0
BE_alost,2015,KZ,1197.0
BE_alost,2015,LZ,239.0
BE_alost,2015,MN,7857.0
BE_alost,2015,OPQ,25866.0
BE_alost,2015,RSU,1832.0
BE_alost,2016,A,86.0
BE_alost,2016,BE,8960.0
BE_alost,2016,FZ,4853.0
BE_alost,2016,GI,15758.0
BE_alost,2016,JZ,663.0
BE_alost,2016,KZ,1220.0
BE_alost,2016,LZ,242.0
BE_alost,2016,MN,8797.0
BE_alost,2016,OPQ,26295.0
BE_alost,2016,RSU,1807.0
BE_alost,2017,A,83.0
BE_alost,2017,BE,9127.0
BE_alost,2017,FZ,4785.0
BE_alost,2017,GI,15994.0
BE_alost,2017,JZ,699.0
BE_alost,2017,KZ,1244.0
BE_alost,2017,LZ,247.0
BE_alost,2017,MN,9343.0
BE_alost,2017,OPQ,26614.0
BE_alost,2017,RSU,1797.0
BE_alost,2018,A,81.0
BE_alost,2018,BE,9104.0
BE_alost,2018,FZ,4892.0
BE_alost,2018,GI,16389.0
BE_alost,2018,JZ,645.0
BE_alost,2018,KZ,1244.0
BE_alost,2018,LZ,258.0
BE_alost,2018,MN,9403.0
BE_alost,2018,OPQ,27185.0
BE_alost,2018,RSU,1737.0
BE_alost,2019,A,78.0
BE_alost,2019,BE,8876.0
BE_alost,2019,FZ,4903.0
BE_alost,2019,GI,17079.0
BE_alost,2019,JZ,720.0
BE_alost,2019,KZ,1150.0
BE_alost,2019,LZ,272.0
BE_alost,2019,MN,9761.0
BE_alost,2019,OPQ,27394.0
BE_alost,2019,RSU,1755.0
BE_alost,2020,A,82.0
BE_alost,2020,BE,8795.0
BE_alost,2020,FZ,4873.0
BE_alost,2020,GI,16345.0
BE_alost,2020,JZ,787.0
BE_alost,2020,KZ,1219.0
BE_alost,2020,LZ,289.0
BE_alost,2020,MN,9658.0
BE_alost,2020,OPQ,27641.0
BE_alost,2020,RSU,1617.0
BE_anvers,2008,A,891.0
BE_anvers,2008,BE,60286.0
BE_anvers,2008,FZ,19753.0
BE_anvers,2008,GI,104882.0
BE_anvers,2008,JZ,11037.0
BE_anvers,2008,KZ,14942.0
BE_anvers,2008,LZ,1427.0
BE_anvers,2008,MN,54321.0
BE_anvers,2008,OPQ,115118.0
BE_anvers,2008,RSU,12970.0
BE_anvers,2009,A,871.0
BE_anvers,2009,BE,57754.0
BE_anvers,2009,FZ,19933.0
BE_anvers,2009,GI,101811.0
BE_anvers,2009,JZ,10277.0
BE_anvers,2009,KZ,14347.0
BE_anvers,2009,LZ,1463.0
BE_anvers,2009,MN,55323.0
BE_anvers,2009,OPQ,117976.0
BE_anvers,2009,RSU,13092.0
BE_anvers,2010,A,867.0
BE_anvers,2010,BE,56186.0
BE_anvers,2010,FZ,20048.0
