country,eval_year,exclude_covid,community_id,region_id,community_size,n_graph_edges,modularity
FR,2017,False,0,1104,13,915,0.3836643881447538
FR,2017,False,0,1105,13,915,0.3836643881447538
FR,2017,False,0,1112,13,915,0.3836643881447538
FR,2017,False,0,2807,13,915,0.3836643881447538
FR,2017,False,0,4417,13,915,0.3836643881447538
FR,2017,False,0,5210,13,915,0.3836643881447538
FR,2017,False,0,5310,13,915,0.3836643881447538
FR,2017,False,0,7504,13,915,0.3836643881447538
FR,2017,False,0,7519,13,915,0.3836643881447538
FR,2017,False,0,7523,13,915,0.3836643881447538
FR,2017,False,0,8412,13,915,0.3836643881447538
FR,2017,False,0,8427,13,915,0.3836643881447538
FR,2017,False,0,9309,13,915,0.3836643881447538
FR,2017,False,1,1108,22,915,0.3836643881447538
FR,2017,False,1,1113,22,915,0.3836643881447538
FR,2017,False,1,2404,22,915,0.3836643881447538
FR,2017,False,1,3206,22,915,0.3836643881447538
FR,2017,False,1,4411,22,915,0.3836643881447538
FR,2017,False,1,4412,22,915,0.3836643881447538
FR,2017,False,1,4414,22,915,0.3836643881447538
FR,2017,False,1,5220,22,915,0.3836643881447538
FR,2017,False,1,5303,22,915,0.3836643881447538
FR,2017,False,1,5314,22,915,0.3836643881447538
FR,2017,False,1,7505,22,915,0.3836643881447538
FR,2017,False,1,7513,22,915,0.3836643881447538
FR,2017,False,1,7528,22,915,0.3836643881447538
FR,2017,False,1,7607,22,915,0.3836643881447538
FR,2017,False,1,7615,22,915,0.3836643881447538
FR,2017,False,1,7617,22,915,0.3836643881447538
FR,2017,False,1,8419,22,915,0.3836643881447538
FR,2017,False,1,8426,22,915,0.3836643881447538
FR,2017,False,1,8434,22,915,0.3836643881447538
FR,2017,False,1,9305,22,915,0.3836643881447538
FR,2017,False,1,9313,22,915,0.3836643881447538
FR,2017,False,1,9317,22,915,0.3836643881447538
FR,2017,False,2,2405,25,915,0.3836643881447538
FR,2017,False,2,2408,25,915,0.3836643881447538
FR,2017,False,2,2414,25,915,0.3836643881447538
FR,2017,False,2,2710,25,915,0.3836643881447538
FR,2017,False,2,2713,25,915,0.3836643881447538
FR,2017,False,2,2714,25,915,0.3836643881447538
FR,2017,False,2,2802,25,915,0.3836643881447538
FR,2017,False,2,2803,25,915,0.3836643881447538
FR,2017,False,2,3217,25,915,0.3836643881447538
FR,2017,False,2,3219,25,915,0.3836643881447538
FR,2017,False,2,4418,25,915,0.3836643881447538
FR,2017,False,2,5204,25,915,0.3836643881447538
FR,2017,False,2,5207,25,915,0.3836643881447538
FR,2017,False,2,5218,25,915,0.3836643881447538
FR,2017,False,2,56,25,915,0.3836643881447538
FR,2017,False,2,7531,25,915,0.3836643881447538
FR,2017,False,2,7603,25,915,0.3836643881447538
FR,2017,False,2,7604,25,915,0.3836643881447538
FR,2017,False,2,7606,25,915,0.3836643881447538
FR,2017,False,2,8416,25,915,0.3836643881447538
FR,2017,False,2,8425,25,915,0.3836643881447538
FR,2017,False,2,9310,25,915,0.3836643881447538
FR,2017,False,2,9311,25,915,0.3836643881447538
FR,2017,False,2,9312,25,915,0.3836643881447538
FR,2017,False,2,9318,25,915,0.3836643881447538
FR,2017,False,3,2401,23,915,0.3836643881447538
FR,2017,False,3,2403,23,915,0.3836643881447538
FR,2017,False,3,2409,23,915,0.3836643881447538
FR,2017,False,3,2718,23,915,0.3836643881447538
FR,2017,False,3,2806,23,915,0.3836643881447538
FR,2017,False,3,2811,23,915,0.3836643881447538
FR,2017,False,3,2815,23,915,0.3836643881447538
FR,2017,False,3,2816,23,915,0.3836643881447538
FR,2017,False,3,3204,23,915,0.3836643881447538
FR,2017,False,3,3209,23,915,0.3836643881447538
FR,2017,False,3,4405,23,915,0.3836643881447538
FR,2017,False,3,4413,23,915,0.3836643881447538
FR,2017,False,3,51,23,915,0.3836643881447538
FR,2017,False,3,5205,23,915,0.3836643881447538
FR,2017,False,3,5206,23,915,0.3836643881447538
FR,2017,False,3,5213,23,915,0.3836643881447538
FR,2017,False,3,5219,23,915,0.3836643881447538
FR,2017,False,3,7530,23,915,0.3836643881447538
FR,2017,False,3,7532,23,915,0.3836643881447538
FR,2017,False,3,7605,23,915,0.3836643881447538
FR,2017,False,3,7609,23,915,0.3836643881447538
FR,2017,False,3,8408,23,915,0.3836643881447538
FR,2017,False,3,8418,23,915,0.3836643881447538
FR,2017,False,4,1101,43,915,0.3836643881447538
FR,2017,False,4,1102,43,915,0.3836643881447538
FR,2017,False,4,1109,43,915,0.3836643881447538
FR,2017,False,4,1111,43,915,0.3836643881447538
FR,2017,False,4,1114,43,915,0.3836643881447538
FR,2017,False,4,2412,43,915,0.3836643881447538
FR,2017,False,4,2413,43,915,0.3836643881447538
FR,2017,False,4,2701,43,915,0.3836643881447538
FR,2017,False,4,2707,43,915,0.3836643881447538
FR,2017,False,4,2712,43,915,0.3836643881447538
FR,2017,False,4,2715,43,915,0.3836643881447538
FR,2017,False,4,3201,43,915,0.3836643881447538
FR,2017,False,4,3202,43,915,0.3836643881447538
FR,2017,False,4,3205,43,915,0.3836643881447538
FR,2017,False,4,3213,43,915,0.3836643881447538
FR,2017,False,4,3214,43,915,0.3836643881447538
FR,2017,False,4,4404,43,915,0.3836643881447538
FR,2017,False,4,4419,43,915,0.3836643881447538
FR,2017,False,4,4427,43,915,0.3836643881447538
FR,2017,False,4,5201,43,915,0.3836643881447538
FR,2017,False,4,5202,43,915,0.3836643881447538
FR,2017,False,4,5209,43,915,0.3836643881447538
FR,2017,False,4,5211,43,915,0.3836643881447538
FR,2017,False,4,5215,43,915,0.3836643881447538
FR,2017,False,4,5216,43,915,0.3836643881447538
FR,2017,False,4,5217,43,915,0.3836643881447538
FR,2017,False,4,53,43,915,0.3836643881447538
FR,2017,False,4,5305,43,915,0.3836643881447538
FR,2017,False,4,5307,43,915,0.3836643881447538
FR,2017,False,4,5316,43,915,0.3836643881447538
FR,2017,False,4,5319,43,915,0.3836643881447538
FR,2017,False,4,55,43,915,0.3836643881447538
FR,2017,False,4,58,43,915,0.3836643881447538
FR,2017,False,4,60,43,915,0.3836643881447538
FR,2017,False,4,7509,43,915,0.3836643881447538
FR,2017,False,4,7517,43,915,0.3836643881447538
FR,2017,False,4,7529,43,915,0.3836643881447538
FR,2017,False,4,7619,43,915,0.3836643881447538
FR,2017,False,4,8421,43,915,0.3836643881447538
FR,2017,False,4,8424,43,915,0.3836643881447538
FR,2017,False,4,8432,43,915,0.3836643881447538
FR,2017,False,4,9314,43,915,0.3836643881447538
FR,2017,False,4,9316,43,915,0.3836643881447538
FR,2017,False,5,1103,32,915,0.3836643881447538
FR,2017,False,5,2801,32,915,0.3836643881447538
FR,2017,False,5,2810,32,915,0.3836643881447538
FR,2017,False,5,2819,32,915,0.3836643881447538
FR,2017,False,5,4401,32,915,0.3836643881447538
FR,2017,False,5,4403,32,915,0.3836643881447538
FR,2017,False,5,4406,32,915,0.3836643881447538
FR,2017,False,5,4407,32,915,0.3836643881447538
FR,2017,False,5,4415,32,915,0.3836643881447538
FR,2017,False,5,4423,32,915,0.3836643881447538
FR,2017,False,5,52,32,915,0.3836643881447538
FR,2017,False,5,5302,32,915,0.3836643881447538
FR,2017,False,5,5312,32,915,0.3836643881447538
FR,2017,False,5,5315,32,915,0.3836643881447538
FR,2017,False,5,7501,32,915,0.3836643881447538
FR,2017,False,5,7502,32,915,0.3836643881447538
FR,2017,False,5,7524,32,915,0.3836643881447538
FR,2017,False,5,7525,32,915,0.3836643881447538
FR,2017,False,5,7526,32,915,0.3836643881447538
FR,2017,False,5,7527,32,915,0.3836643881447538
FR,2017,False,5,7601,32,915,0.3836643881447538
FR,2017,False,5,7608,32,915,0.3836643881447538
FR,2017,False,5,7610,32,915,0.3836643881447538
FR,2017,False,5,7611,32,915,0.3836643881447538
FR,2017,False,5,7618,32,915,0.3836643881447538
FR,2017,False,5,7620,32,915,0.3836643881447538
FR,2017,False,5,7624,32,915,0.3836643881447538
FR,2017,False,5,8402,32,915,0.3836643881447538
FR,2017,False,5,8405,32,915,0.3836643881447538
FR,2017,False,5,8415,32,915,0.3836643881447538
FR,2017,False,5,9301,32,915,0.3836643881447538
FR,2017,False,5,9315,32,915,0.3836643881447538
FR,2017,False,6,1107,34,915,0.3836643881447538
FR,2017,False,6,1110,34,915,0.3836643881447538
FR,2017,False,6,2410,34,915,0.3836643881447538
FR,2017,False,6,2415,34,915,0.3836643881447538
FR,2017,False,6,2709,34,915,0.3836643881447538
FR,2017,False,6,2716,34,915,0.3836643881447538
FR,2017,False,6,2809,34,915,0.3836643881447538
FR,2017,False,6,2813,34,915,0.3836643881447538
FR,2017,False,6,3210,34,915,0.3836643881447538
FR,2017,False,6,3215,34,915,0.3836643881447538
FR,2017,False,6,3216,34,915,0.3836643881447538
FR,2017,False,6,4402,34,915,0.3836643881447538
FR,2017,False,6,4408,34,915,0.3836643881447538
FR,2017,False,6,4416,34,915,0.3836643881447538
FR,2017,False,6,4421,34,915,0.3836643881447538
FR,2017,False,6,4422,34,915,0.3836643881447538
FR,2017,False,6,4424,34,915,0.3836643881447538
FR,2017,False,6,4426,34,915,0.3836643881447538
