ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
40,2018,14.2,5.5,50.6,4.0,2.4,1.0,30.0,44.7,4.6,157.0
1,2019,8.1,2.0,10.3,0.5,0.6,0.3,6.1,17.5,1.0,46.4
2,2019,3.5,0.5,4.7,0.0,0.2,0.1,2.3,4.3,0.3,15.899999999999999
3,2019,15.8,6.4,41.2,7.4,3.8,1.6,38.5,85.8,5.2,205.7
4,2019,13.8,5.2,31.1,1.9,4.3,1.0,19.8,49.1,3.3,129.5
5,2019,8.3,2.2,15.3,0.5,0.8,0.3,6.2,16.3,2.5,52.400000000000006
6,2019,12.3,3.4,21.6,1.2,1.5,0.7,16.8,29.2,2.9,89.60000000000002
7,2019,7.1,2.8,18.6,1.1,2.1,0.6,9.6,32.0,2.7,76.60000000000001
8,2019,9.5,2.8,15.7,0.7,1.0,0.4,11.0,20.7,2.0,63.8
9,2019,7.0,2.3,14.8,1.0,2.1,0.3,14.8,21.099999999999998,1.3,64.7
10,2019,24.0,10.5,51.7,3.1,3.7,1.0,32.5,67.5,5.7,199.7
11,2019,8.6,3.0,17.9,2.6,1.3,0.6,13.2,21.6,2.5,71.30000000000001
12,2019,42.5,17.0,79.2,6.8,6.1,2.0,48.0,90.60000000000001,7.3,299.5
13,2019,35.5,18.9,87.6,8.4,8.6,2.6,58.0,112.7,11.9,344.2
14,2019,29.9,7.5,48.1,1.8,3.2,1.0,22.6,53.1,4.3,171.5
15,2019,30.8,10.4,83.3,6.7,7.4,2.8,65.5,129.7,12.5,349.1
16,2019,13.2,6.2,33.7,2.5,2.1,0.8,21.7,27.6,2.9,110.70000000000002
17,2019,44.5,30.3,180.6,47.5,35.6,6.5,139.6,233.39999999999998,32.6,750.6
18,2019,14.5,7.6,42.9,1.1,3.5,1.3,18.4,57.0,3.7,149.99999999999997
19,2019,8.8,4.1,29.2,2.4,3.7,0.9,12.7,36.3,3.7,101.8
20,2019,14.9,3.6,20.5,0.7,1.4,0.7,9.1,19.900000000000002,2.6,73.4
21,2019,4.4,1.4,24.4,2.4,2.1,0.7,13.3,31.8,4.8,85.3
22,2019,7.8,3.9,20.3,1.0,1.0,0.6,10.2,17.0,1.6,63.4
23,2019,44.6,19.9,281.5,72.3,65.0,11.2,256.4,212.2,36.6,999.6999999999999
24,2019,6.6,2.1,28.7,13.0,3.4,1.5,20.6,31.3,4.9,112.10000000000001
25,2019,15.8,5.9,50.5,3.6,4.6,1.3,25.9,67.8,6.0,181.39999999999998
26,2019,11.8,9.4,81.9,15.9,16.1,3.7,85.2,165.0,22.6,411.6
27,2019,10.8,5.1,32.6,5.8,2.2,1.1,35.5,42.7,3.3,139.10000000000002
28,2019,11.0,8.3,40.2,4.4,3.5,1.1,20.9,39.5,3.6,132.5
29,2019,55.3,29.1,201.0,19.7,22.5,6.2,141.8,205.9,20.7,702.2
30,2019,24.8,14.4,50.5,3.4,3.5,1.6,31.0,44.6,3.9,177.7
31,2019,8.3,2.5,13.3,0.3,0.7,0.3,5.7,11.7,0.7,43.5
32,2019,15.0,5.2,34.2,1.2,2.9,0.9,13.6,40.699999999999996,3.0,116.69999999999999
33,2019,38.7,13.0,91.1,5.7,6.6,2.0,63.0,89.0,7.5,316.6
34,2019,26.5,9.0,67.3,2.9,6.8,1.5,60.9,63.3,9.3,247.5
35,2019,47.5,19.7,91.2,9.3,8.3,2.1,54.1,92.30000000000001,9.3,333.8
36,2019,76.4,14.8,99.7,13.7,12.1,2.8,93.4,108.60000000000001,10.0,431.5
37,2019,22.2,3.8,44.6,1.4,2.4,0.6,29.2,41.4,3.5,149.1
38,2019,15.9,4.6,31.4,1.2,2.0,0.7,17.0,31.5,2.6,106.9
39,2019,32.4,7.5,67.6,5.2,7.7,2.1,47.9,87.5,8.0,265.9
40,2019,14.9,5.4,50.1,4.0,2.3,1.0,31.3,47.3,4.6,160.9
1,2020,7.9,2.1,10.4,0.6,0.6,0.3,5.5,17.799999999999997,1.0,46.2
2,2020,3.6,0.6,4.9,0.0,0.2,0.1,1.8,4.4,0.2,15.8
3,2020,16.1,6.6,38.9,7.2,4.0,1.7,35.2,88.7,4.8,203.20000000000002
4,2020,13.8,5.5,29.6,2.0,4.8,0.9,19.4,51.599999999999994,3.2,130.79999999999998
5,2020,8.2,2.1,14.7,0.5,0.8,0.3,6.3,16.2,2.4,51.49999999999999
6,2020,12.2,3.6,21.5,1.2,1.5,0.6,14.7,29.400000000000002,2.8,87.5
7,2020,6.7,2.8,18.6,1.1,2.1,0.6,10.9,32.3,2.5,77.6
8,2020,9.6,2.9,15.5,0.7,0.9,0.4,9.4,20.9,1.8,62.099999999999994
9,2020,7.0,2.4,14.5,1.0,2.2,0.4,13.3,21.3,1.2,63.3
10,2020,23.8,11.0,49.8,3.2,4.1,1.2,32.8,68.6,5.1,199.6
11,2020,8.7,3.1,16.1,2.7,1.2,0.6,12.2,22.400000000000002,2.3,69.3
12,2020,42.3,17.2,75.9,7.2,6.2,2.1,46.0,93.5,6.5,296.9
13,2020,35.1,19.5,85.1,8.3,10.2,2.4,54.0,116.2,10.3,341.1
14,2020,30.0,7.6,46.4,2.0,3.1,1.0,21.0,54.1,3.8,169.0
15,2020,31.5,10.5,80.1,6.8,8.1,2.8,60.5,131.89999999999998,11.5,343.7
16,2020,13.2,6.6,33.0,2.7,2.1,0.8,21.0,29.2,2.5,111.10000000000001
17,2020,44.7,30.9,174.2,48.4,39.7,6.2,134.7,242.1,31.8,752.6999999999999
18,2020,14.7,7.7,41.4,1.2,3.4,1.3,16.5,58.599999999999994,3.2,148.0
19,2020,9.0,4.3,28.8,2.5,3.9,1.1,12.2,36.6,3.3,101.7
20,2020,14.6,3.4,20.5,0.7,1.2,0.7,8.3,20.400000000000002,2.3,72.10000000000001
21,2020,4.5,1.5,23.1,2.7,2.2,0.7,11.8,32.9,4.3,83.7
22,2020,7.7,3.7,19.7,1.0,1.0,0.6,10.1,17.7,1.6,63.1
23,2020,43.6,20.1,250.8,71.9,64.7,11.2,228.7,217.1,33.7,941.8000000000001
24,2020,6.4,2.1,26.9,13.4,3.7,1.6,15.6,32.3,4.2,106.2
25,2020,16.1,5.9,47.4,4.1,5.1,1.3,26.5,69.10000000000001,5.4,180.9
26,2020,11.4,9.4,76.4,16.8,15.5,3.7,82.8,171.5,22.1,409.6
27,2020,11.5,5.1,31.9,5.9,2.2,1.1,34.5,44.3,2.9,139.4
28,2020,10.8,8.3,39.1,4.7,3.5,1.1,19.7,40.2,3.2,130.6
29,2020,54.4,29.5,193.9,21.0,22.7,6.2,131.8,212.6,18.3,690.4
30,2020,22.1,14.5,49.3,3.2,3.5,1.5,30.1,47.0,3.7,174.9
31,2020,8.1,2.4,12.4,0.3,0.7,0.3,5.2,11.9,0.7,42.0
32,2020,14.8,5.4,32.8,1.2,2.8,1.1,12.4,42.0,2.7,115.2
33,2020,38.1,13.2,87.0,6.1,6.4,2.1,55.2,90.80000000000001,6.9,305.8
34,2020,26.1,9.0,67.2,3.1,7.3,1.5,52.2,65.7,8.5,240.60000000000002
35,2020,47.0,19.9,87.8,9.6,8.2,2.2,50.5,94.2,8.3,327.7
36,2020,78.0,15.4,95.2,13.8,12.4,2.7,81.6,111.0,9.1,419.20000000000005
37,2020,21.4,3.8,42.8,1.5,2.0,0.8,26.2,43.300000000000004,3.1,144.9
38,2020,15.7,4.8,28.8,1.3,2.1,0.7,15.6,32.6,2.4,104.0
39,2020,31.6,8.0,63.1,5.3,7.0,2.2,46.9,89.8,7.2,261.09999999999997
40,2020,14.9,5.4,49.8,4.0,2.5,1.0,30.1,48.699999999999996,4.3,160.7
1,2021,8.1,2.2,10.6,0.6,0.6,0.4,5.0,18.5,1.1,47.1
2,2021,3.6,0.6,5.2,0.1,0.2,0.1,2.1,4.8,0.2,16.9
3,2021,15.6,6.9,41.3,7.6,4.2,1.7,37.7,91.7,5.0,211.7
4,2021,13.9,5.8,31.6,2.0,4.8,0.9,22.1,52.2,3.3,136.60000000000002
5,2021,8.4,2.1,15.1,0.5,0.8,0.2,6.5,16.7,2.4,52.699999999999996
6,2021,12.1,3.8,22.5,1.3,1.7,0.6,14.4,30.5,2.7,89.60000000000001
7,2021,6.6,2.8,19.3,1.0,2.1,0.6,11.9,34.8,2.5,81.6
8,2021,9.5,3.1,16.0,0.7,1.0,0.4,9.5,21.200000000000003,1.9,63.300000000000004
9,2021,7.2,2.4,14.6,1.1,2.2,0.3,14.3,22.099999999999998,1.2,65.4
10,2021,25.5,11.4,52.3,3.7,3.9,1.1,33.5,70.39999999999999,5.2,206.99999999999994
11,2021,8.8,3.2,17.4,3.0,1.2,0.6,12.4,23.5,2.5,72.6
12,2021,41.6,17.9,80.3,8.1,6.4,2.1,50.0,96.1,7.2,309.7
13,2021,35.9,20.0,88.0,8.7,10.2,2.5,54.6,118.4,10.9,349.19999999999993
14,2021,30.3,7.5,47.8,1.9,3.0,1.1,22.4,56.0,3.8,173.8
15,2021,31.5,10.8,83.2,7.4,8.8,2.7,65.3,136.39999999999998,12.0,358.09999999999997
16,2021,13.5,7.2,34.7,2.5,2.2,0.9,20.6,29.4,2.5,113.5
17,2021,44.0,31.5,183.6,53.1,41.1,6.4,136.6,248.5,33.3,778.1
18,2021,15.1,8.1,42.2,1.3,3.3,1.4,16.9,59.5,3.4,151.20000000000002
19,2021,9.0,4.2,29.0,2.6,4.1,1.0,13.8,37.0,3.3,104.0
20,2021,14.8,3.5,21.1,0.7,1.2,0.8,8.3,21.0,2.3,73.7
21,2021,4.4,1.5,23.0,3.1,2.2,0.8,13.3,33.300000000000004,4.4,86.0
22,2021,7.5,4.0,20.1,0.9,1.0,0.6,9.9,18.0,1.5,63.5
23,2021,44.5,20.8,266.7,79.1,67.2,11.4,248.1,224.5,36.6,998.9
24,2021,6.3,2.0,27.8,13.9,3.9,1.7,15.1,32.400000000000006,4.6,107.7
25,2021,17.0,6.0,48.8,4.3,4.9,1.4,27.0,69.5,5.4,184.3
26,2021,11.2,9.5,81.0,16.5,14.6,3.9,85.0,176.4,23.1,421.20000000000005
27,2021,11.6,5.4,33.3,5.8,2.2,1.1,33.6,45.4,2.9,141.3
28,2021,10.5,8.5,39.9,4.8,3.4,1.1,19.4,41.900000000000006,3.4,132.9
29,2021,54.6,29.1,200.8,21.7,23.1,6.4,141.6,217.79999999999998,19.0,714.0999999999999
30,2021,22.0,14.6,51.0,3.4,3.6,1.4,34.0,48.5,3.6,182.1
31,2021,8.4,2.4,12.8,0.2,0.7,0.3,5.1,12.2,0.7,42.8
32,2021,14.7,6.1,34.3,1.3,2.8,0.9,13.5,42.7,2.9,119.2
33,2021,38.3,13.1,89.9,6.6,6.3,2.2,58.5,92.60000000000001,7.1,314.6
34,2021,26.6,9.4,70.0,3.3,7.4,1.5,57.5,69.0,8.9,253.6
35,2021,47.7,21.1,90.2,10.3,8.3,2.2,52.3,95.0,8.7,335.8
36,2021,82.3,15.8,98.5,14.3,12.5,2.9,86.6,113.6,9.5,436.0
37,2021,21.4,3.8,44.7,1.6,2.2,0.8,28.6,43.8,3.3,150.2
38,2021,15.9,4.9,28.9,1.2,1.9,0.8,13.8,32.6,2.5,102.5
39,2021,30.9,7.7,64.9,5.3,6.9,2.2,51.7,92.5,7.5,269.6
40,2021,15.6,5.6,51.9,4.1,2.6,1.0,32.3,49.8,4.4,167.29999999999998
1,2022,8.1,2.2,11.4,0.5,0.6,0.4,5.2,18.5,1.0,47.900000000000006
2,2022,2.8,0.7,5.1,0.1,0.2,0.1,1.8,5.3,0.3,16.4
3,2022,16.0,6.6,43.9,7.9,4.2,1.8,37.3,93.4,5.3,216.40000000000003
4,2022,14.3,6.0,33.2,2.1,4.7,0.9,20.9,53.199999999999996,3.5,138.79999999999998
5,2022,8.3,2.3,16.0,0.5,1.0,0.2,6.4,17.099999999999998,1.9,53.699999999999996
6,2022,12.3,4.1,23.3,1.4,1.6,0.7,13.6,31.099999999999998,2.8,90.9
7,2022,6.4,3.0,19.2,1.1,2.2,0.6,11.8,35.199999999999996,2.7,82.2
8,2022,9.4,3.3,16.5,0.6,1.0,0.4,10.1,22.5,2.0,65.8
9,2022,7.6,2.4,15.0,1.2,2.3,0.3,15.0,22.1,1.3,67.2
10,2022,26.2,11.8,54.3,3.7,4.3,1.3,31.7,72.2,5.7,211.2
11,2022,8.9,3.2,18.2,3.4,1.3,0.6,12.7,23.2,2.6,74.1
12,2022,42.8,18.3,84.3,8.5,6.6,2.2,51.3,97.5,7.3,318.79999999999995
