zone_id,ZE2020
CR01,1
CR02,2
CR03,3
CR04,4
CR05,5
CR06,6
CR07,7
CR08,8
CR09,9
CR10,10
CR11,11
CR12,12
CR13,13
CR14,14
CR15,15
CR16,16
CR17,17
CR18,18
CR19,19
CR20,20
CR21,21
CR22,22
CR23,23
CR24,24
CR25,25
CR26,26
CR27,27
CR28,28
CR29,29
CR30,30
CR31,31
CR32,32
CR33,33
CR34,34
CR35,35
CR36,36
CR37,37
CR38,38
CR39,39
CR40,40
