ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,growth_1y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
38,2016,37,1835.0,1835.0,1790.0,0.0251396648044692,0,0,0,1,0,0,21230.0
39,2016,38,4430.0,4430.0,4355.0,0.0172215843857634,0,0,0,1,0,0,46280.0
40,2016,39,4320.0,4320.0,4140.0,0.0434782608695652,0,0,0,1,0,0,37165.0
1,2017,0,845.0,845.0,915.0,-0.0765027322404371,0,0,0,1,0,0,11325.0
2,2017,1,225.0,225.0,270.0,-0.1666666666666666,0,0,0,1,0,0,3510.0
3,2017,2,3530.0,3530.0,3540.0,-0.0028248587570621,0,0,0,1,0,0,35535.0
4,2017,3,2310.0,2310.0,2445.0,-0.0552147239263803,0,0,0,1,0,0,29720.0
5,2017,4,1105.0,1105.0,1075.0,0.027906976744186,0,0,0,1,0,0,15055.0
6,2017,5,1405.0,1405.0,1310.0,0.0725190839694656,0,0,0,1,0,0,17960.0
7,2017,6,1350.0,1350.0,1465.0,-0.0784982935153583,0,0,0,1,0,0,17130.0
8,2017,7,1095.0,1095.0,1175.0,-0.0680851063829787,0,0,0,1,0,0,14425.0
9,2017,8,945.0,945.0,1020.0,-0.0735294117647058,0,0,0,1,0,0,12580.0
10,2017,9,3005.0,3005.0,2930.0,0.0255972696245733,0,0,0,1,0,0,34355.0
11,2017,10,1260.0,1260.0,1230.0,0.024390243902439,0,0,0,1,0,0,13620.0
12,2017,11,4720.0,4720.0,4850.0,-0.0268041237113402,0,0,0,1,0,0,55440.0
13,2017,12,5690.0,5690.0,5775.0,-0.0147186147186147,0,0,0,1,0,0,66615.0
14,2017,13,2790.0,2790.0,3105.0,-0.1014492753623188,0,0,0,1,0,0,39190.0
15,2017,14,7025.0,7025.0,6970.0,0.0078909612625538,0,0,0,1,0,0,67970.0
16,2017,15,2100.0,2100.0,2110.0,-0.0047393364928909,0,0,0,1,0,0,27280.0
17,2017,16,14780.0,14780.0,14525.0,0.0175559380378657,0,0,0,1,0,0,142805.0
18,2017,17,3225.0,3225.0,2985.0,0.0804020100502512,0,0,0,1,0,0,36685.0
19,2017,18,2350.0,2350.0,2305.0,0.0195227765726681,0,0,0,1,0,0,24195.0
20,2017,19,1725.0,1725.0,1705.0,0.0117302052785923,0,0,0,1,0,0,17480.0
21,2017,20,2960.0,2960.0,3010.0,-0.0166112956810631,0,0,0,1,0,0,27690.0
22,2017,21,1635.0,1635.0,1705.0,-0.0410557184750733,0,0,0,1,0,0,14895.0
23,2017,22,23720.0,23720.0,23355.0,0.0156283451081138,0,0,0,1,0,0,181705.0
24,2017,23,3300.0,3300.0,3165.0,0.0426540284360189,0,0,0,1,0,0,33780.0
25,2017,24,4010.0,4010.0,3955.0,0.0139064475347661,0,0,0,1,0,0,39445.0
26,2017,25,11315.0,11315.0,10720.0,0.0555037313432835,0,0,0,1,0,0,83475.0
27,2017,26,2280.0,2280.0,2280.0,0.0,0,0,0,1,0,0,23515.0
28,2017,27,2935.0,2935.0,2950.0,-0.0050847457627118,0,0,0,1,0,0,32095.0
29,2017,28,14900.0,14900.0,14510.0,0.0268780151619572,0,0,0,1,0,0,129490.0
30,2017,29,3290.0,3290.0,3340.0,-0.0149700598802395,0,0,0,1,0,0,35935.0
31,2017,30,675.0,675.0,725.0,-0.0689655172413793,0,0,0,1,0,0,9445.0
32,2017,31,2180.0,2180.0,2140.0,0.0186915887850467,0,0,0,1,0,0,26700.0
33,2017,32,5695.0,5695.0,5650.0,0.0079646017699115,0,0,0,1,0,0,61945.0
34,2017,33,4260.0,4260.0,4305.0,-0.0104529616724738,0,0,0,1,0,0,45830.0
35,2017,34,6035.0,6035.0,5960.0,0.0125838926174496,0,0,0,1,0,0,69315.0
36,2017,35,7195.0,7195.0,7170.0,0.003486750348675,0,0,0,1,0,0,76425.0
37,2017,36,2005.0,2005.0,1965.0,0.0203562340966921,0,0,0,1,0,0,24345.0
38,2017,37,1830.0,1830.0,1835.0,-0.0027247956403269,0,0,0,1,0,0,21980.0
39,2017,38,4285.0,4285.0,4430.0,-0.0327313769751693,0,0,0,1,0,0,47950.0
40,2017,39,4310.0,4310.0,4320.0,-0.0023148148148148,0,0,0,1,0,0,38670.0
1,2018,0,870.0,870.0,845.0,0.029585798816568,0,0,0,1,0,0,11605.0
