fold,target_year,train_years_max,train_years_min,eval_year,covid_in_train,is_post_covid_eval,note
fold_2017,2017,2016,2016,2017,0,0,strict ex-ante fold 2017
fold_2018,2018,2017,2016,2018,0,0,strict ex-ante fold 2018
fold_2019,2019,2018,2016,2019,0,0,strict ex-ante fold 2019
fold_2020,2020,2019,2016,2020,0,0,strict ex-ante fold 2020
fold_2021,2021,2020,2016,2021,1,1,strict ex-ante fold 2021
fold_2022,2022,2021,2016,2022,1,0,strict ex-ante fold 2022
fold_2023,2023,2022,2016,2023,1,0,strict ex-ante fold 2023
fold_2024,2024,2023,2016,2024,1,0,strict ex-ante fold 2024
