country,sector,mean_loyo_pearson,min_loyo_pearson,mean_loyo_jaccard,stable
FR,BE,0.10140363114688597,0.05511595493998655,0.06925783865652463,False
FR,FZ,0.1000222775709404,0.060241934463041234,0.06849197410489777,False
FR,GI,0.09642758209804678,0.05085764779967895,0.06641886651795736,False
FR,JZ,0.10735970813502675,0.06068471287932838,0.07225416541274203,False
FR,KZ,0.10779563562783731,0.06812216272489316,0.07289271477076387,False
FR,LZ,0.10396260138304196,0.05678012693434593,0.07039440159324818,False
FR,MN,0.10837102949885206,0.06848216277635938,0.07302561580947044,False
FR,OQ,0.10401420091824995,0.06329094495078993,0.07055307269235794,False
FR,RU,0.10591051524875314,0.0649005507332648,0.07297191885201747,False
NL,BE,0.13124329667332463,0.07128297929854163,0.16792934372918453,False
NL,FZ,0.139721985810682,0.06861588898958587,0.1759295542872646,False
NL,GI,0.13332930904699927,0.05199899355620264,0.17182927170805062,False
NL,JZ,0.1421671992170121,0.06722024595946961,0.17057659850660667,False
NL,KZ,0.13711956609000459,0.05703038538877376,0.17236817927374037,False
NL,LZ,0.14127342628511094,0.05595266317252945,0.1688741737211636,False
NL,MN,0.14227410179928277,0.07983783186539675,0.17539333927703982,False
NL,OQ,0.2609236405553716,0.19203904242876457,0.2529299574071358,False
NL,RU,0.1383478102643919,0.054871539401648274,0.17054349490897444,False
PT,BE,0.18560474165258686,0.06563820620098125,0.26096726592557073,False
PT,FZ,0.1912766870786502,0.062073003880756976,0.2665283370887606,False
PT,GI,0.19041944024774615,0.09268423351709827,0.26718270150385764,False
PT,JZ,0.23209349481275227,0.14708683934969358,0.2777306937284371,False
PT,LZ,0.20961553671395064,0.10118949973229101,0.26228321805461996,False
PT,MN,0.1720048219067002,0.0643310375031541,0.25956200471712004,False
PT,OQ,0.15756925644734976,0.10944929204675961,0.24885790741838826,False
PT,RU,0.17420739581664463,0.04454983901074635,0.255344786982478,False
