country,sector,eval_year,n_edges_topk5,density,w_mean,w_std,w_median
FR,BE,2017,869,0.022247823860727087,0.976739950758895,0.022438860817863508,0.9829486578232146
FR,BE,2018,892,0.022836661546338965,0.9365644292923168,0.04564315118607637,0.9465631112200485
FR,BE,2019,884,0.022631848438300052,0.9375073473794389,0.043742491325515706,0.9453156297849721
FR,BE,2020,877,0.022452636968766,0.9520030279198363,0.04453737090819838,0.9654106725134618
FR,BE,2021,884,0.022631848438300052,0.9444850483091125,0.04809554833694099,0.9587363960317269
FR,BE,2022,893,0.02286226318484383,0.948232549645197,0.046791653644624794,0.9632321622308966
FR,BE,2023,896,0.022939068100358423,0.9395064726602481,0.05710802691411129,0.9597785976789672
FR,BE,2024,892,0.022836661546338965,0.9403674953696904,0.05961382782052393,0.9636744440341508
FR,BE,2025,904,0.02314388120839734,0.9370767383554244,0.055101512141335705,0.9545205216254562
FR,BE,2026,904,0.02314388120839734,0.9424143473841405,0.06392356620783851,0.963453133865013
FR,FZ,2017,862,0.022068612391193038,0.9767483757385461,0.027857418030419405,0.9870424048701304
FR,FZ,2018,888,0.02273425499231951,0.9391990082862489,0.0543106009906963,0.956604579348598
FR,FZ,2019,881,0.022555043522785458,0.9468403770737603,0.047919466566950376,0.9609562985445212
FR,FZ,2020,904,0.02314388120839734,0.9546510393864603,0.049149131030068086,0.969094574186425
FR,FZ,2021,904,0.02314388120839734,0.9380897125754059,0.056143073114307086,0.9537080471111565
FR,FZ,2022,877,0.022452636968766,0.9388689061738816,0.05421745331288222,0.9547742506873566
FR,FZ,2023,879,0.02250384024577573,0.9372036144716698,0.04980939245819089,0.9521453458537558
FR,FZ,2024,885,0.022657450076804916,0.9469445840828478,0.04566802337352477,0.9609628678020088
FR,FZ,2025,875,0.022401433691756272,0.94008153486136,0.05011779952732947,0.9539951098596088
FR,FZ,2026,877,0.022452636968766,0.9429047618300085,0.051813762240896566,0.9591091602076004
FR,GI,2017,852,0.021812596006144394,0.9765338470665642,0.026355916477106167,0.9852960687242409
FR,GI,2018,861,0.02204301075268817,0.9369281967679569,0.04989522926106756,0.949137363190366
FR,GI,2019,865,0.02214541730670763,0.9449894797943295,0.038940837865492,0.9545018756052076
FR,GI,2020,881,0.022555043522785458,0.9418341287924764,0.04670357030168551,0.9521697948406942
FR,GI,2021,853,0.021838197644649258,0.929630004140222,0.0383743857018582,0.9311443785273326
FR,GI,2022,846,0.02165898617511521,0.9301371564397479,0.03929368057811949,0.9331399170449783
FR,GI,2023,911,0.023323092677931388,0.9539645167910507,0.0704537057671568,0.976779685588612
FR,GI,2024,916,0.02345110087045571,0.9630742792250216,0.045482105196082014,0.9787314084168721
FR,GI,2025,929,0.023783922171018945,0.9637311332493516,0.055034476052173056,0.9814296042799212
FR,GI,2026,912,0.023348694316436252,0.9600497942161176,0.07300058993340117,0.9803345512908908
FR,JZ,2017,860,0.022017409114183307,0.9761967688619286,0.02570467801043892,0.9852348117535537
FR,JZ,2018,875,0.022401433691756272,0.9391747324313234,0.04717549036246221,0.9527817833504516
FR,JZ,2019,881,0.022555043522785458,0.9403330874813994,0.050434881571131095,0.9530287512904986
FR,JZ,2020,883,0.02260624679979519,0.9426056478009226,0.050251815160688613,0.9552368468028156
FR,JZ,2021,878,0.022478238607270867,0.9400063930923247,0.047375379242200436,0.9505414871557034
FR,JZ,2022,896,0.022939068100358423,0.9424519645446213,0.049014912773743,0.9576946821628398
FR,JZ,2023,888,0.02273425499231951,0.9404222249970098,0.049391167475639,0.9546173122545517
FR,JZ,2024,882,0.02258064516129032,0.9432662934466812,0.04753329744903774,0.9554913784551284
FR,JZ,2025,881,0.022555043522785458,0.9393739683920714,0.04680189148064859,0.9490643949662954
FR,JZ,2026,898,0.02299027137736815,0.9387476514131304,0.04780440025910969,0.9500356939942989
FR,KZ,2017,869,0.022247823860727087,0.9748046077887441,0.021615531897799963,0.9806809173238168
FR,KZ,2018,898,0.02299027137736815,0.9355066276760501,0.041692764413007746,0.9454848910240955
FR,KZ,2019,882,0.02258064516129032,0.9343904860269158,0.04149409604702505,0.9422537347777531
FR,KZ,2020,885,0.022657450076804916,0.9325801807624484,0.04208955937413915,0.940873359487945
FR,KZ,2021,882,0.02258064516129032,0.9348091593264373,0.04386851811219378,0.9413723568609782
FR,KZ,2022,884,0.022631848438300052,0.943447523206524,0.04587815861666663,0.9554783446702315
FR,KZ,2023,894,0.022887864823348696,0.9392507633969264,0.05184014411228226,0.9523326321996408
FR,KZ,2024,896,0.022939068100358423,0.9380689134271021,0.05648694005597488,0.9556499288267595
