country,sector,eval_year,jaccard_k3_k5,jaccard_k5_k10
FR,BE,2017,0.6156501726121979,0.5194261805140467
FR,BE,2018,0.602017937219731,0.5076835515082527
FR,BE,2019,0.6255656108597285,0.5160537069468768
FR,BE,2020,0.6271379703534777,0.5002852253280091
FR,BE,2021,0.6119909502262444,0.5014180374361883
FR,BE,2022,0.6215005599104143,0.5085421412300684
FR,BE,2023,0.6183035714285714,0.5096700796359499
FR,BE,2024,0.6098654708520179,0.5016872890888638
FR,BE,2025,0.6039823008849557,0.5078651685393258
FR,BE,2026,0.6183628318584071,0.5136363636363637
FR,FZ,2017,0.6148491879350348,0.5137067938021455
FR,FZ,2018,0.6126126126126126,0.5085910652920962
FR,FZ,2019,0.6129398410896708,0.5040045766590389
FR,FZ,2020,0.6172566371681416,0.5136363636363637
FR,FZ,2021,0.6039823008849557,0.5136363636363637
FR,FZ,2022,0.6191562143671607,0.5101803374054683
FR,FZ,2023,0.626848691695108,0.5149384885764499
FR,FZ,2024,0.6203389830508474,0.5142359093550262
FR,FZ,2025,0.6205714285714286,0.5060728744939271
FR,FZ,2026,0.6259977194982896,0.5069364161849711
FR,GI,2017,0.6115023474178404,0.5114045618247299
FR,GI,2018,0.627177700348432,0.5082644628099173
FR,GI,2019,0.630057803468208,0.5067369654364382
FR,GI,2020,0.6129398410896708,0.5240928019036288
FR,GI,2021,0.6295427901524033,0.5233128834355828
FR,GI,2022,0.624113475177305,0.5149117468046257
FR,GI,2023,0.6114160263446762,0.5027593818984547
FR,GI,2024,0.6124454148471615,0.5035733919736118
FR,GI,2025,0.5952637244348762,0.5065430752453653
FR,GI,2026,0.6118421052631579,0.49700272479564034
FR,JZ,2017,0.6174418604651163,0.5097806757557795
FR,JZ,2018,0.6217142857142857,0.5069524913093859
FR,JZ,2019,0.6186152099886493,0.5140023337222871
FR,JZ,2020,0.6274065685164213,0.5172817809021676
FR,JZ,2021,0.6252847380410023,0.5057603686635944
FR,JZ,2022,0.6082589285714286,0.514646754738656
FR,JZ,2023,0.6182432432432432,0.5016949152542373
FR,JZ,2024,0.6292517006802721,0.5063145809414467
FR,JZ,2025,0.6095346197502838,0.5048710601719197
FR,JZ,2026,0.6191536748329621,0.5166858457997698
FR,KZ,2017,0.6064441887226697,0.5163398692810458
FR,KZ,2018,0.60913140311804,0.5202780996523755
FR,KZ,2019,0.6077097505668935,0.5231316725978647
FR,KZ,2020,0.6237288135593221,0.5233589591957422
FR,KZ,2021,0.6201814058956916,0.5101214574898786
FR,KZ,2022,0.6312217194570136,0.5089234312032239
FR,KZ,2023,0.6129753914988815,0.5105653912050258
FR,KZ,2024,0.6183035714285714,0.5036537380550872
FR,KZ,2025,0.6134078212290502,0.5093910073989756
FR,KZ,2026,0.6287625418060201,0.5090805902383655
FR,LZ,2017,0.6187134502923977,0.5128974205158968
FR,LZ,2018,0.6238532110091743,0.5052143684820394
FR,LZ,2019,0.616685456595265,0.5193208430913349
FR,LZ,2020,0.6095661846496107,0.5220673635307782
FR,LZ,2021,0.6139954853273137,0.5127314814814815
FR,LZ,2022,0.6031746031746031,0.5256257449344458
FR,LZ,2023,0.6064073226544623,0.5087310826542492
FR,LZ,2024,0.6208053691275168,0.5025295109612141
FR,LZ,2025,0.6201550387596899,0.5095936794582393
FR,LZ,2026,0.6172839506172839,0.49720982142857145
FR,MN,2017,0.6129411764705882,0.5092869982025164
FR,MN,2018,0.6188850967007964,0.5089751013317892
FR,MN,2019,0.6343713956170703,0.5136255924170616
FR,MN,2020,0.6173526140155728,0.5223707147007554
FR,MN,2021,0.6029082774049217,0.5155709342560554
FR,MN,2022,0.6152149944873209,0.514755959137344
FR,MN,2023,0.6037946428571429,0.5099601593625498
FR,MN,2024,0.6215921483097055,0.5114333519241495
FR,MN,2025,0.6141732283464567,0.49526462395543175
FR,MN,2026,0.6188888888888889,0.5093378607809848
FR,OQ,2017,0.6210153482880756,0.515520389531345
FR,OQ,2018,0.6268656716417911,0.5169139465875371
FR,OQ,2019,0.6234213547646383,0.514775413711584
FR,OQ,2020,0.6277205040091638,0.5177935943060499
FR,OQ,2021,0.6181192660550459,0.5011494252873563
FR,OQ,2022,0.631638418079096,0.49303621169916434
FR,OQ,2023,0.6077777777777778,0.5053340819764177
FR,OQ,2024,0.5969498910675382,0.503565551289084
FR,OQ,2025,0.6010928961748634,0.5024711696869851
FR,OQ,2026,0.6147902869757175,0.507563025210084
FR,RU,2017,0.6127906976744186,0.5137395459976105
FR,RU,2018,0.6178489702517163,0.49857387335995434
FR,RU,2019,0.6042600896860987,0.5088419851682829
FR,RU,2020,0.6055555555555555,0.5128205128205128
FR,RU,2021,0.6143646408839779,0.5050223214285714
FR,RU,2022,0.6137855579868708,0.4953929539295393
FR,RU,2023,0.5965480043149946,0.4994612068965517
FR,RU,2024,0.6118279569892473,0.49785867237687365
FR,RU,2025,0.6185344827586207,0.49973074851911686
FR,RU,2026,0.6102783725910065,0.5101037684325506
NL,BE,2012,0.6074074074074074,0.5152671755725191
NL,BE,2013,0.5985401459854015,0.5229007633587787
NL,BE,2014,0.6194029850746269,0.5095057034220533
NL,BE,2015,0.608,0.49019607843137253
NL,BE,2016,0.626984126984127,0.5142857142857142
NL,BE,2017,0.6722689075630253,0.5173913043478261
NL,BE,2018,0.64,0.5506607929515418
NL,BE,2019,0.6333333333333333,0.5286343612334802
NL,BE,2020,0.6324786324786325,0.5021459227467812
NL,BE,2021,0.5748031496062992,0.5204918032786885
NL,BE,2022,0.5955882352941176,0.5528455284552846
NL,BE,2023,0.6165413533834586,0.5215686274509804
NL,BE,2024,0.6258992805755396,0.547244094488189
NL,BE,2025,0.6214285714285714,0.5
NL,BE,2026,0.5971223021582733,0.5072992700729927
NL,FZ,2012,0.6296296296296297,0.5094339622641509
NL,FZ,2013,0.5971223021582733,0.5129151291512916
NL,FZ,2014,0.6111111111111112,0.5255474452554745
NL,FZ,2015,0.5985401459854015,0.5169811320754717
NL,FZ,2016,0.6176470588235294,0.5230769230769231
NL,FZ,2017,0.624,0.5040322580645161
NL,FZ,2018,0.6422764227642277,0.484251968503937
NL,FZ,2019,0.6165413533834586,0.48363636363636364
NL,FZ,2020,0.6131386861313869,0.528957528957529
NL,FZ,2021,0.6521739130434783,0.5092250922509225
NL,FZ,2022,0.6240601503759399,0.5155038759689923
NL,FZ,2023,0.6068965517241379,0.5272727272727272
NL,FZ,2024,0.6028368794326241,0.5280898876404494
NL,FZ,2025,0.5955882352941176,0.5037037037037037
NL,FZ,2026,0.6165413533834586,0.4962686567164179
NL,GI,2012,0.5971223021582733,0.5036231884057971
NL,GI,2013,0.5957446808510638,0.5222222222222223
NL,GI,2014,0.6180555555555556,0.5161290322580645
NL,GI,2015,0.6197183098591549,0.5201465201465202
NL,GI,2016,0.6122448979591837,0.5364963503649635
NL,GI,2017,0.6044776119402985,0.5
NL,GI,2018,0.5909090909090909,0.5
NL,GI,2019,0.6307692307692307,0.5118110236220472
NL,GI,2020,0.6,0.5185185185185185
NL,GI,2021,0.6090225563909775,0.5076335877862596
NL,GI,2022,0.631578947368421,0.4962686567164179
NL,GI,2023,0.631578947368421,0.5037878787878788
NL,GI,2024,0.6330935251798561,0.5110294117647058
NL,GI,2025,0.6041666666666666,0.5142857142857142
NL,GI,2026,0.582089552238806,0.4962962962962963
NL,JZ,2012,0.632,0.4770992366412214
NL,JZ,2013,0.6046511627906976,0.48134328358208955
NL,JZ,2014,0.5777777777777777,0.5094339622641509
NL,JZ,2015,0.609375,0.4866920152091255
NL,JZ,2016,0.5826771653543307,0.49609375
NL,JZ,2017,0.6209677419354839,0.5
NL,JZ,2018,0.6349206349206349,0.5101214574898786
NL,JZ,2019,0.5826771653543307,0.5141700404858299
NL,JZ,2020,0.6475409836065574,0.49795918367346936
NL,JZ,2021,0.6166666666666667,0.5150214592274678
