node_idx,ze2020,libze2020,target_mean_2012_2024,target_cv_2012_2024,target_growth_2019_2024,size_group,volatility_group
0,0051,Alençon,951.3076923076923,0.23780380373148846,0.42988741044012285,mid_low,low_vol
1,0052,Arles,2052.153846153846,0.23533799120850685,0.38846153846153847,mid_high,low_vol
2,0053,Avignon,4547.7692307692305,0.2500077728692378,0.37292759706190975,large,mid_low_vol
3,0054,Beauvais,2570.6923076923076,0.27575017838368665,0.48947778643803586,large,mid_high_vol
4,0055,Bollène-Pierrelatte,933.6923076923077,0.2519001332849835,0.40021119324181625,mid_low,mid_low_vol
5,0056,Cosne-Cours-sur-Loire,598.5384615384615,0.2348208139781136,0.30537974683544306,small,low_vol
6,0057,Dreux,1439.8461538461538,0.2957924994427457,0.48840381991814463,mid_high,high_vol
7,0058,La Vallée de la Bresle-Vimeu,504.0769230769231,0.2529440189724782,0.48927875243664715,small,mid_low_vol
8,0059,Mâcon,1775.5384615384614,0.294093274324484,0.44696969696969696,mid_high,high_vol
9,0060,Nevers,1253.5384615384614,0.2538291435190422,0.3894080996884735,mid_low,mid_low_vol
10,0061,Nogent-le-Rotrou,548.8461538461538,0.24330618518646682,0.46153846153846156,small,mid_low_vol
11,0062,Redon,704.4615384615385,0.30188594665574464,0.7203007518796992,small,high_vol
12,0063,Ussel,674.0769230769231,0.2732374935973976,0.4884437596302003,small,mid_high_vol
13,0064,Valréas,822.0769230769231,0.16930582443223596,0.3530864197530864,mid_low,low_vol
14,1101,Cergy-Vexin,8701.461538461539,0.35328730607567405,0.3100502512562814,large,high_vol
15,1102,Coulommiers,856.5384615384615,0.2851587063751079,0.3704115684093437,mid_low,high_vol
16,1103,Étampes,1199.076923076923,0.2870310489689592,0.23209169054441262,mid_low,high_vol
17,1104,Évry-Courcouronnes,8101.0,0.35188444977119704,0.3571030640668524,large,high_vol
18,1105,Fontainebleau-Nemours,2416.5384615384614,0.24762700215587907,0.25475285171102663,mid_high,mid_low_vol
19,1106,Marne-la-Vallée,6900.307692307692,0.3474465661184499,0.31993299832495814,large,high_vol
20,1107,Meaux,2582.0,0.3298211098081891,0.34193776520509195,large,high_vol
21,1108,Melun,2525.076923076923,0.35563818620403453,0.45571010248901905,large,high_vol
22,1109,Paris,157684.15384615384,0.28378308773508887,0.25269941459808104,large,high_vol
23,1110,Provins,579.6153846153846,0.25826991440636565,0.45087719298245615,small,mid_high_vol
24,1111,Rambouillet,982.0769230769231,0.23942179913969927,0.21857410881801126,mid_low,low_vol
25,1112,Roissy,13773.846153846154,0.36445412203067185,0.3470109210277129,large,high_vol
26,1113,Saclay,7208.2307692307695,0.34177887722378253,0.2865347018572825,large,high_vol
27,1114,Seine-Yvelinoise,11364.153846153846,0.32526432704009917,0.31711145996860285,large,high_vol
28,1115,Versailles-Saint-Quentin,8377.615384615385,0.2915840801400992,0.22197686645636172,large,high_vol
29,2401,Blois,1681.2307692307693,0.2578276802683415,0.31620111731843575,mid_high,mid_high_vol
30,2402,Bourges,1723.076923076923,0.27915032391212147,0.42492581602373886,mid_high,mid_high_vol
31,2403,Chartres,2018.3846153846155,0.2786606154988356,0.4021113243761996,mid_high,mid_high_vol
32,2404,Châteaudun,445.61538461538464,0.2611487867419085,0.4976635514018692,small,mid_high_vol
33,2405,Châteauroux,1627.6923076923076,0.24566865293670126,0.45186136071887034,mid_high,mid_low_vol
34,2406,Chinon,387.84615384615387,0.24924678666113095,0.34438775510204084,small,mid_low_vol
35,2407,Gien,636.9230769230769,0.25348822706959073,0.699825479930192,small,mid_low_vol
36,2408,Loches,487.84615384615387,0.26330611344237465,0.3511450381679389,small,mid_high_vol
37,2409,Montargis,1266.4615384615386,0.25797597466517097,0.5864661654135338,mid_low,mid_high_vol
38,2410,Orléans,4628.923076923077,0.30169006782872293,0.46729546852573306,large,high_vol
39,2411,Pithiviers,571.6153846153846,0.2635377940320621,0.5539033457249071,small,mid_high_vol
40,2412,Romorantin-Lanthenay,801.6923076923077,0.2374476013941481,0.46824408468244083,mid_low,low_vol
41,2413,Tours,5827.2307692307695,0.29613057527080133,0.35276123007567217,large,high_vol
42,2414,Vendôme,544.2307692307693,0.26596197682953043,0.4936936936936937,small,mid_high_vol
43,2415,Vierzon,402.3076923076923,0.2470708700621827,0.5654596100278552,small,mid_low_vol
44,2701,Autun,355.3076923076923,0.2580607019744843,0.27455919395465994,small,mid_high_vol
45,2702,Auxerre,1703.923076923077,0.24480492989598712,0.37646402677077523,mid_high,mid_low_vol
46,2703,Avallon,454.61538461538464,0.2716805263807547,0.7379807692307693,small,mid_high_vol
47,2704,Beaune,897.0,0.2374438002347449,0.30106382978723406,mid_low,low_vol
48,2705,Belfort,1695.923076923077,0.25405797916853734,0.31846414455110106,mid_high,mid_low_vol
49,2706,Besançon,3280.0,0.23304452077127025,0.2911855815263306,large,low_vol
50,2707,Chalon-sur-Saône,1530.923076923077,0.2834768627858646,0.49287564766839376,mid_high,high_vol
51,2708,Charolais,741.0,0.2582474372826531,0.35159235668789807,small,mid_high_vol
52,2709,Châtillon-Montbard,548.7692307692307,0.22136036035907736,0.2257001647446458,small,low_vol
53,2710,Creusot-Montceau,761.1538461538462,0.2530927516253224,0.46291208791208793,small,mid_low_vol
54,2711,Dijon,4591.307692307692,0.26675703108506016,0.2684458398744113,large,mid_high_vol
55,2712,Dole,790.0769230769231,0.22393372925858993,0.2746234067207416,small,low_vol
56,2713,Lons-le-Saunier,1500.076923076923,0.2400588919258574,0.5147887323943662,mid_high,low_vol
57,2714,Montbéliard,1452.7692307692307,0.25486797681653234,0.4971870604781997,mid_high,mid_low_vol
58,2715,Pontarlier,1138.0,0.2821230842437814,0.39766081871345027,mid_low,high_vol
59,2716,Saint-Claude,505.6923076923077,0.2767732995900985,0.40823970037453183,small,mid_high_vol
60,2717,Sens,1152.923076923077,0.28923612678390287,0.6040925266903915,mid_low,high_vol
61,2718,Vesoul,1013.4615384615385,0.23002847062893292,0.399,mid_low,low_vol
62,2801,Argentan,313.2307692307692,0.2578359557572636,0.4775641025641026,small,mid_high_vol
63,2802,Avranches,688.0769230769231,0.2499568850720832,0.31613756613756616,small,mid_low_vol
64,2803,Bernay,610.3846153846154,0.22282894333989103,0.48327759197324416,small,low_vol
65,2804,Caen,5892.7692307692305,0.26067979435269834,0.2473514509442653,large,mid_high_vol
66,2805,Cherbourg-en-Cotentin,1237.0,0.28689277832651333,0.5875202593192869,mid_low,high_vol
67,2806,Coutances,506.15384615384613,0.2957998052965154,0.676829268292683,small,high_vol
68,2807,Dieppe-Caux maritime,1110.3846153846155,0.22499542279755066,0.42870285188592455,mid_low,low_vol
69,2808,Évreux,1781.6923076923076,0.23746087764674614,0.3006993006993007,mid_high,low_vol
70,2809,Flers,621.7692307692307,0.24944349396596066,0.4968051118210863,small,mid_low_vol
71,2810,Granville,509.0769230769231,0.22419800495303283,0.3612662942271881,small,low_vol
72,2811,Honfleur Pont-Audemer,1227.076923076923,0.24700861457683335,0.321483771251932,mid_low,mid_low_vol
73,2812,L'Aigle,379.0,0.2686913331747263,0.32808398950131235,small,mid_high_vol
74,2813,Le Havre,2706.6923076923076,0.3329491541341429,0.38092016238159676,large,high_vol
75,2814,Lisieux,744.4615384615385,0.24620984540930255,0.3236040609137056,small,mid_low_vol
76,2815,Rouen,7228.153846153846,0.2985451095868629,0.3645423551009704,large,high_vol
77,2816,Saint-Lô,802.0769230769231,0.26492200634638763,0.5324357405140759,mid_low,mid_high_vol
78,2817,Vernon-Gisors,1286.3846153846155,0.27318155327427096,0.3606194690265487,mid_low,mid_high_vol
79,2818,Vire Normandie,305.0,0.24660736616829526,0.2545454545454545,small,mid_low_vol
80,2819,Yvetot-Vallée du Commerce,797.6153846153846,0.27309200070979167,0.3946731234866828,small,mid_high_vol
81,3201,Abbeville,740.3076923076923,0.22308172464497333,0.25759416767922233,small,low_vol
82,3202,Amiens,3445.923076923077,0.2982904820557554,0.29917706397663923,large,high_vol
83,3203,Arras,1577.6153846153845,0.24599424087501268,0.32234871180347513,mid_high,mid_low_vol
84,3204,Berck,1087.3076923076924,0.22800637408579913,0.32345013477088946,mid_low,low_vol
85,3205,Béthune,1906.1538461538462,0.25857975542146444,0.515069967707212,mid_high,mid_high_vol
86,3206,Boulogne-sur-Mer,1287.3076923076924,0.2560776042700131,0.3662182361733931,mid_low,mid_low_vol
87,3207,Calais,1094.076923076923,0.2545497399504643,0.2023217247097844,mid_low,mid_low_vol
88,3208,Cambrai,1171.4615384615386,0.24131414151459415,0.3503344481605351,mid_low,mid_low_vol
89,3209,Château-Thierry,638.8461538461538,0.23982642213385194,0.4009009009009009,small,low_vol
90,3210,Compiègne,1780.3846153846155,0.23934132408823885,0.3136094674556213,mid_high,low_vol
91,3211,Creil,3128.769230769231,0.2699299473993936,0.44946974422956953,large,mid_high_vol
92,3212,Douai,1770.076923076923,0.27537911255021974,0.4317059791552386,mid_high,mid_high_vol
93,3213,Dunkerque,1939.0,0.3198330569899781,0.25969173283512376,mid_high,high_vol
94,3214,Laon,763.9230769230769,0.2363794044667457,0.5826558265582655,small,low_vol
95,3215,Lens,2862.923076923077,0.30548755650691994,0.5040431266846361,large,high_vol
96,3216,Lille,13048.923076923076,0.2917561238779462,0.3001319719385983,large,high_vol
97,3217,Maubeuge,1619.5384615384614,0.24802956407732252,0.37728075338434375,mid_high,mid_low_vol
98,3218,Roubaix-Tourcoing,4691.0,0.29784407969585813,0.29041682898324894,large,high_vol
99,3219,Saint-Omer,1240.3846153846155,0.2792800046446778,0.28076379066478074,mid_low,mid_high_vol
100,3220,Saint-Quentin,1812.2307692307693,0.23569347214184264,0.3944954128440367,mid_high,low_vol
101,3221,Soissons,1387.1538461538462,0.25024196219209377,0.5231343283582089,mid_high,mid_low_vol
102,3222,Valenciennes,3111.6923076923076,0.2829225594524486,0.3233015494636472,large,high_vol
103,4401,Bar-le-Duc,481.7692307692308,0.22482806729954016,0.42348008385744235,small,low_vol
104,4402,Châlons-en-Champagne,912.6923076923077,0.24484144751543072,0.3842746400885936,mid_low,mid_low_vol
105,4403,Charleville-Mézières,1292.1538461538462,0.21402633441013988,0.3559451219512195,mid_low,low_vol
106,4404,Chaumont,948.3846153846154,0.22813880000099945,0.4174757281553398,mid_low,low_vol
107,4405,Colmar,2021.6923076923076,0.22697746453876413,0.35413642960812775,mid_high,low_vol
108,4406,Épernay,738.8461538461538,0.2187769804830878,0.303595206391478,small,low_vol
109,4407,Épinal,1615.0,0.22050995297722556,0.43008739076154806,mid_high,low_vol
110,4408,Forbach,854.7692307692307,0.23590718819399137,0.49640287769784175,mid_low,low_vol
111,4409,Haguenau,2140.3846153846152,0.24123170596073523,0.5168869309838473,mid_high,mid_low_vol
112,4410,Metz,4591.2307692307695,0.26647875163550944,0.48775055679287305,large,mid_high_vol
113,4411,Mulhouse,4393.615384615385,0.25009009500138424,0.3471915081822203,large,mid_low_vol
114,4412,Nancy,5710.692307692308,0.26395718465974827,0.3755190167746222,large,mid_high_vol
115,4413,Reims,3976.5384615384614,0.3469010106800746,0.4594140249759846,large,high_vol
116,4414,Remiremont,830.6153846153846,0.18632720405565534,0.30660377358490565,mid_low,low_vol
117,4415,Romilly-sur-Seine,753.5384615384615,0.37954445513233764,0.4211287988422576,small,high_vol
118,4416,Saint-Avold,1040.0,0.24232772353099835,0.5386934673366834,mid_low,mid_low_vol
119,4417,Saint-Dié-des-Vosges,801.5384615384615,0.23638748828444933,0.4438964241676942,mid_low,low_vol
120,4418,Saint-Louis,799.3076923076923,0.28287445968463365,0.34647550776583036,mid_low,high_vol
121,4419,Sarrebourg,913.9230769230769,0.22690557758198027,0.39032620922384703,mid_low,low_vol
122,4420,Sarreguemines,950.6923076923077,0.22640132890319703,0.41316073354908306,mid_low,low_vol
123,4421,Sedan,718.3076923076923,0.24560327002999652,0.6066066066066066,small,mid_low_vol
124,4422,Sélestat,935.6153846153846,0.23831326425018062,0.4188034188034188,mid_low,low_vol
125,4423,Strasbourg,9346.0,0.2599313637751097,0.2876726035621373,large,mid_high_vol
126,4424,Thionville,2504.769230769231,0.30847652689706895,0.6166736489317135,mid_high,high_vol
127,4425,Troyes,2530.3076923076924,0.2741642736114667,0.355,large,mid_high_vol
128,4426,Verdun,583.8461538461538,0.24388111009370084,0.5220458553791887,small,mid_low_vol
129,4427,Vitry-le-François Saint-Dizier,860.8461538461538,0.2792641006550991,0.6040868454661558,mid_low,mid_high_vol
130,5201,Ancenis,940.6153846153846,0.2822443483431056,0.3964248159831756,mid_low,high_vol
131,5202,Angers,4358.923076923077,0.30850201625668133,0.4059000861326443,large,high_vol
132,5203,Challans,1692.0,0.273934310661399,0.47281993204983014,mid_high,mid_high_vol
133,5204,Château-Gontier-sur-Mayenne,331.6923076923077,0.27484821205133425,0.567741935483871,small,mid_high_vol
134,5205,Châteaubriant,486.0769230769231,0.27959118230773483,0.5433403805496829,small,mid_high_vol
135,5206,Cholet,1557.4615384615386,0.273621161477391,0.3122699386503067,mid_high,mid_high_vol
136,5207,Fontenay-le-Comte,1065.076923076923,0.23904853091276027,0.3945701357466063,mid_low,low_vol
137,5208,La Ferté-Bernard,454.0769230769231,0.2708470755291775,0.5303370786516854,small,mid_high_vol
138,5209,La Flèche,438.15384615384613,0.30711732032865013,0.74,small,high_vol
139,5210,La Roche-sur-Yon,1708.3076923076924,0.2926035392818793,0.31781266919328643,mid_high,high_vol
140,5211,Laval,1547.6923076923076,0.32785958363159196,0.4845430107526882,mid_high,high_vol
141,5212,Le Mans,3188.923076923077,0.3186261699168052,0.5693316677076827,large,high_vol
142,5213,Les Herbiers-Montaigu,1153.6153846153845,0.30395395671696324,0.43639427127211455,mid_low,high_vol
143,5214,Les Sables-d'Olonne,1072.923076923077,0.2687313544550122,0.2827356130108424,mid_low,mid_high_vol
144,5215,Mayenne,548.6923076923077,0.27785275294050077,0.39,small,mid_high_vol
145,5216,Nantes,12516.0,0.27598417649222734,0.22141223556317896,large,mid_high_vol
146,5217,Pornic,860.0769230769231,0.28117371401785024,0.3652173913043478,mid_low,high_vol
147,5218,Sablé-sur-Sarthe,373.84615384615387,0.29266977908008174,0.468586387434555,small,high_vol
148,5219,Saint-Nazaire,2615.230769230769,0.28496134895315034,0.4798464491362764,large,high_vol
149,5220,Saumur,818.3846153846154,0.25483319679738314,0.46135552913198574,mid_low,mid_low_vol
150,5221,Segré-en-Anjou Bleu,419.6923076923077,0.2874294674553955,0.5115740740740741,small,high_vol
151,5301,Auray,1134.6153846153845,0.2453848394446625,0.3977272727272727,mid_low,mid_low_vol
152,5302,Brest,3465.3076923076924,0.27993002665371247,0.4709203839638622,large,mid_high_vol
153,5303,Carhaix-Plouguer,660.6923076923077,0.25468336353307636,0.36657303370786515,small,mid_low_vol
154,5304,Dinan,935.6153846153846,0.29958446805550404,0.6485875706214689,mid_low,high_vol
155,5305,Fougères,590.6153846153846,0.3340932441034309,0.5907473309608541,small,high_vol
156,5306,Guingamp,447.3076923076923,0.31810150554354805,0.7965686274509803,small,high_vol
157,5307,Lamballe-Armor,599.5384615384615,0.314781496645445,0.6539735099337748,small,high_vol
158,5308,Lannion,1048.4615384615386,0.2347773007587418,0.44087038789025546,mid_low,low_vol
159,5309,Lorient,2203.076923076923,0.27141156588649,0.39709649871904357,mid_high,mid_high_vol
160,5310,Morlaix,1014.0,0.25811933575197665,0.41418983700862894,mid_low,mid_high_vol
161,5311,Ploërmel,638.6153846153846,0.2673479428265491,0.5650793650793651,small,mid_high_vol
162,5312,Pontivy-Loudéac,875.6153846153846,0.2858218780164145,0.7264851485148515,mid_low,high_vol
163,5313,Quimper,2737.923076923077,0.25633587457381246,0.4767691208005718,large,mid_low_vol
164,5314,Quimperlé,493.0769230769231,0.2895891791784298,0.4980694980694981,small,high_vol
165,5315,Rennes,8249.384615384615,0.3093807144461814,0.409054805401112,large,high_vol
166,5316,Saint-Brieuc,1777.2307692307693,0.30873208212045533,0.6366742596810934,mid_high,high_vol
167,5317,Saint-Malo,1689.3846153846155,0.29471973846817967,0.46153846153846156,mid_high,high_vol
168,5318,Vannes,2550.076923076923,0.2559758288020864,0.35232600072124054,large,mid_low_vol
169,5319,Vitré,765.2307692307693,0.30041618650626806,0.4765432098765432,small,high_vol
170,7501,Agen,1568.076923076923,0.2764757031857974,0.44423791821561337,mid_high,mid_high_vol
171,7502,Angoulême,2454.5384615384614,0.2615326407393158,0.41832669322709165,mid_high,mid_high_vol
172,7503,Bayonne,5840.923076923077,0.27610526205440467,0.3086339154561776,large,mid_high_vol
173,7504,Bergerac,1368.076923076923,0.2357004291304021,0.25739247311827956,mid_high,low_vol
174,7505,Bordeaux,20877.30769230769,0.2970754403822651,0.33015709502961627,large,high_vol
175,7506,Bressuire,897.0,0.25850813221790536,0.46705202312138727,mid_low,mid_high_vol
176,7507,Brive-la-Gaillarde,1415.4615384615386,0.25693090968647475,0.3565331582403152,mid_high,mid_low_vol
177,7508,Châtellerault,775.6923076923077,0.26140326103753475,0.4508301404853129,small,mid_high_vol
178,7509,Cognac,1322.6923076923076,0.2497839004071464,0.41363636363636364,mid_low,mid_low_vol
179,7510,Dax,2185.4615384615386,0.2758721164394775,0.3773987206823028,mid_high,mid_high_vol
180,7511,Guéret,1102.2307692307693,0.2286270055434324,0.46709916589434664,mid_low,low_vol
181,7512,La Rochelle,3696.5384615384614,0.25051706081342207,0.26425902864259027,large,mid_low_vol
182,7513,La Teste-de-Buch,2654.3846153846152,0.255243444675024,0.29427886262418634,large,mid_low_vol
183,7514,Langon,1506.2307692307693,0.23677361508522896,0.40730717185385656,mid_high,low_vol
184,7515,Lesparre-Médoc,961.3076923076923,0.24366109276974926,0.5005675368898979,mid_low,mid_low_vol
185,7516,Libourne,1971.0,0.25095972659005267,0.3552047360631475,mid_high,mid_low_vol
186,7517,Limoges,3036.5384615384614,0.2794790189624042,0.4357976653696498,large,mid_high_vol
187,7518,Marmande,1049.3076923076924,0.23799563426766107,0.2870456663560112,mid_low,low_vol
188,7519,Mont-de-Marsan,1396.1538461538462,0.27180518170451184,0.38275636838667537,mid_high,mid_high_vol
189,7520,Niort,1890.6153846153845,0.24851128167218542,0.39521871820956256,mid_high,mid_low_vol
190,7521,Oloron-Sainte-Marie,654.4615384615385,0.21076126077542973,0.423861852433281,small,low_vol
191,7522,Pau,3641.6923076923076,0.2738622216814446,0.3319848293299621,large,mid_high_vol
192,7523,Périgueux,2363.076923076923,0.2548051714391819,0.3894210745522699,mid_high,mid_low_vol
193,7524,Poitiers,3238.846153846154,0.2738634212946257,0.3742258920672368,large,mid_high_vol
194,7525,Rochefort,844.1538461538462,0.23227522587294103,0.37276785714285715,mid_low,low_vol
195,7526,Royan,1696.7692307692307,0.22469774783365917,0.33277121978639684,mid_high,low_vol
196,7527,Saint-Junien,858.6923076923077,0.24049270391585642,0.34075723830734966,mid_low,low_vol
197,7528,Saintes,1381.6153846153845,0.24753889273387175,0.29837618403247634,mid_high,mid_low_vol
198,7529,Sarlat-la-Canéda,870.4615384615385,0.21036279565868782,0.20414507772020726,mid_low,low_vol
199,7530,Thouars,499.0769230769231,0.24843642174423045,0.5267665952890792,small,mid_low_vol
200,7531,Tulle,763.1538461538462,0.24186247607448472,0.47925033467202144,small,mid_low_vol
201,7532,Villeneuve-sur-Lot,972.5384615384615,0.2694470127742426,0.4402451481103167,mid_low,mid_high_vol
202,7601,Agde-Pézenas,1462.1538461538462,0.19699677617649033,0.39919354838709675,mid_high,low_vol
203,7602,Albi,2911.923076923077,0.28050058455983584,0.31730465042708006,large,mid_high_vol
204,7603,Alès-Le Vigan,2325.6153846153848,0.2420058429273526,0.43104943625325237,mid_high,mid_low_vol
205,7604,Auch,1851.8461538461538,0.24762563531839044,0.40653950953678475,mid_high,mid_low_vol
206,7605,Bagnols-sur-Cèze,823.3076923076923,0.2642401009011248,0.4957780458383595,mid_low,mid_high_vol
207,7606,Béziers,3349.6923076923076,0.2507949890575924,0.5164333536214242,large,mid_low_vol
208,7607,Cahors,994.2307692307693,0.22225173446709232,0.40080160320641284,mid_low,low_vol
209,7608,Carcassonne-Limoux,2344.6923076923076,0.22714592314880408,0.39011217282924804,mid_high,low_vol
210,7609,Castelsarrasin-Moissac,761.2307692307693,0.2527785083864449,0.4032258064516129,small,mid_low_vol
211,7610,Castres-Mazamet,1699.6153846153845,0.28136414024608575,0.4586894586894587,mid_high,high_vol
212,7611,Figeac-Villefranche,1003.6153846153846,0.23756494212863066,0.25387596899224807,mid_low,low_vol
213,7612,Foix-Pamiers,1625.0,0.21331977274455124,0.26943308007013445,mid_high,low_vol
214,7613,Mende,624.6153846153846,0.24513425892974028,0.5434027777777778,small,mid_low_vol
215,7614,Millau,702.9230769230769,0.22917419117356097,0.2982456140350877,small,low_vol
216,7615,Montauban,2368.769230769231,0.247237294523216,0.34532955923978975,mid_high,mid_low_vol
217,7616,Montpellier,14107.384615384615,0.26105873249807776,0.32160042185749127,large,mid_high_vol
218,7617,Narbonne,2247.6153846153848,0.2214077734446766,0.47653429602888087,mid_high,low_vol
219,7618,Nîmes,5374.2307692307695,0.2556450972667207,0.41243950528768597,large,mid_low_vol
220,7619,Nord-du-Lot,595.0,0.2168414624850306,0.46924428822495606,small,low_vol
221,7620,Perpignan,7123.153846153846,0.21921479529656426,0.45376009063871975,large,low_vol
222,7621,Rodez,1547.923076923077,0.27338091849629037,0.48514851485148514,mid_high,mid_high_vol
223,7622,Saint-Gaudens,1478.4615384615386,0.2489077887236819,0.38095238095238093,mid_high,mid_low_vol
224,7623,Sète,1514.6923076923076,0.23192269243738123,0.3790891597177678,mid_high,low_vol
225,7624,Tarbes-Lourdes,2699.153846153846,0.2474681818496315,0.35267229254571025,large,mid_low_vol
226,7625,Toulouse,20285.30769230769,0.3032028842648002,0.285677683832949,large,high_vol
227,8401,Annecy,4684.384615384615,0.2865399950635869,0.37121815286624205,large,high_vol
228,8402,Aubenas,1681.923076923077,0.21762719860162805,0.29485002829654783,mid_high,low_vol
229,8403,Aurillac,716.2307692307693,0.24762623222206753,0.5281899109792285,small,mid_low_vol
230,8404,Belley,562.8461538461538,0.25700672889298515,0.3443708609271523,small,mid_high_vol
231,8405,Bourg-en-Bresse,2788.3076923076924,0.2829865548108757,0.33046526449968133,large,high_vol
232,8406,Bourgoin-Jallieu,3020.0,0.29134158852159514,0.3071682464454976,large,high_vol
233,8407,Chambéry,3445.3846153846152,0.29333746516209575,0.40397899972368057,large,high_vol
234,8408,Clermont-Ferrand,5170.846153846154,0.28319238794053303,0.3939336850037679,large,high_vol
235,8409,Grenoble,8200.923076923076,0.23089531854602094,0.20131763689383303,large,low_vol
236,8410,Issoire,792.9230769230769,0.2608549177301796,0.66,small,mid_high_vol
237,8411,La Maurienne,510.6923076923077,0.180866966545444,0.464,small,low_vol
238,8412,La Plaine du Forez,866.0,0.25537737542156164,0.32096069868995636,mid_low,mid_low_vol
239,8413,La Tarentaise,2216.846153846154,0.18814327378802878,0.31608451918930575,mid_high,low_vol
240,8414,La Vallée de l'Arve,1073.923076923077,0.2887071898891234,0.5226860254083484,mid_low,high_vol
241,8415,Le Chablais,1654.4615384615386,0.25614015731016915,0.40011682242990654,mid_high,mid_low_vol
242,8416,Le Genevois Français,3981.846153846154,0.33081484685575185,0.5377830750893922,large,high_vol
243,8417,Le Livradois,771.7692307692307,0.258516797730264,0.5166002656042497,small,mid_high_vol
244,8418,Le Mont Blanc,1326.3076923076924,0.2169668274110641,0.1524513096037609,mid_low,low_vol
245,8419,Le Puy-en-Velay,1066.6153846153845,0.27104635605755484,0.5061032863849765,mid_low,mid_high_vol
246,8420,Les Sources de la Loire,773.3076923076923,0.2771048861588329,0.5615696887686062,small,mid_high_vol
247,8421,Lyon,32291.076923076922,0.294928694287432,0.1382787817515481,large,high_vol
248,8422,Montélimar,1369.5384615384614,0.20927591442318194,0.3362255965292842,mid_high,low_vol
249,8423,Montluçon,974.0769230769231,0.22905184803283996,0.4725158562367865,mid_low,low_vol
250,8424,Moulins,821.7692307692307,0.2610948162101429,0.5587467362924282,mid_low,mid_high_vol
251,8425,Oyonnax,563.8461538461538,0.27540623937999137,0.40522875816993464,small,mid_high_vol
252,8426,Roanne,1335.8461538461538,0.2642911885566942,0.37337192474674386,mid_low,mid_high_vol
253,8427,Romans-sur-Isère,1203.3846153846155,0.24964759482723006,0.3949304987735078,mid_low,mid_low_vol
254,8428,Saint-Étienne,6115.846153846154,0.29104417635467017,0.34260505458352025,large,high_vol
255,8429,Saint-Flour,307.61538461538464,0.2154365127937153,0.5445205479452054,small,low_vol
256,8430,Tarare,532.0769230769231,0.27232515486427467,0.36106194690265486,small,mid_high_vol
257,8431,Valence,3711.153846153846,0.2293477547716477,0.2662107396149949,large,low_vol
258,8432,Vichy,1366.923076923077,0.28995587543575235,0.576036866359447,mid_high,high_vol
259,8433,Vienne-Annonay,2772.5384615384614,0.26752675992511427,0.4360056258790436,large,mid_high_vol
260,8434,Villefranche-sur-Saône,2254.3846153846152,0.28802116023320873,0.4027836355967946,mid_high,high_vol
261,8435,Voiron,2333.923076923077,0.24629447601627003,0.3209044030146767,mid_high,mid_low_vol
262,9301,Aix-en-Provence,7548.461538461538,0.2449457968842028,0.22542658014900263,large,mid_low_vol
263,9302,Briançon,643.0,0.1493190544458108,0.28773584905660377,small,low_vol
264,9303,Brignoles,2127.153846153846,0.24753878341896773,0.36444237050863276,mid_high,mid_low_vol
265,9304,Cannes,9599.384615384615,0.22856556658355004,0.3191232656344259,large,low_vol
266,9305,Carpentras,1401.4615384615386,0.2428273859034984,0.38169491525423727,mid_high,mid_low_vol
267,9306,Cavaillon,1977.6153846153845,0.21615415986879705,0.3750613647520864,mid_high,low_vol
268,9307,Digne-les-Bains,1067.2307692307693,0.2339248604945872,0.26912691269126915,mid_low,low_vol
269,9308,Draguignan,1880.5384615384614,0.252463178527827,0.3957135389440669,mid_high,mid_low_vol
270,9309,Fréjus,2382.923076923077,0.25405688087281203,0.4278565471226022,mid_high,mid_low_vol
271,9310,Gap,1486.6153846153845,0.22925769771845333,0.3002628120893561,mid_high,low_vol
