fold_validation_year,target_role,model,wmape,mae,rmse,rows,zones
2020,test,persistence,14.316937027125192,565.925,1224.9737067149063,280,280
2020,test,ridge_autoregressive,8.357557210879694,330.3605062735136,613.4256773731071,280,280
2020,test,spatial_blend,14.316937027125192,565.925,1224.9737067149063,280,280
2020,test,segmented_size,13.047389110781578,515.7418565527995,1213.7823682591636,280,280
2020,test,segmented_volatility,12.486130731980484,493.55623490612885,1188.0784111317607,280,280
2020,test,segmented_size_volatility,12.672716230649101,500.93165313517994,1191.9286500783564,280,280
2020,validation,persistence,3.96366700093532,134.24642857142857,227.64297704958963,280,280
2020,validation,ridge_autoregressive,5.93678265154646,201.07437582088994,1038.050051831002,280,280
2020,validation,spatial_blend,3.96366700093532,134.24642857142857,227.64297704958963,280,280
2020,validation,segmented_size,3.8547752817697187,130.55834771207904,224.32776625535175,280,280
2020,validation,segmented_volatility,3.677558146246989,124.55613624477584,219.3567202620259,280,280
2020,validation,segmented_size_volatility,3.630262425132057,122.95426564240393,218.9965403413207,280,280
2021,test,persistence,3.3687525018585234,134.65,469.7219162136557,280,280
2021,test,ridge_autoregressive,8.337680554420178,333.25947395461867,1455.6100198268134,280,280
2021,test,spatial_blend,5.215870247731075,208.4798240504533,949.76513943326,280,280
2021,test,segmented_size,8.337680554420178,333.25947395461867,1455.6100198268134,280,280
2021,test,segmented_volatility,8.337680554420178,333.25947395461867,1455.6100198268134,280,280
2021,test,segmented_size_volatility,8.434612070645755,337.13385435287387,1455.830705741526,280,280
2021,validation,persistence,14.316937027125192,565.925,1224.9737067149063,280,280
2021,validation,ridge_autoregressive,7.436053337255884,293.9349720483853,1166.684846666673,280,280
2021,validation,spatial_blend,14.274123242733028,564.2326414399092,1612.2661694235758,280,280
2021,validation,segmented_size,7.436053337255884,293.9349720483853,1166.684846666673,280,280
2021,validation,segmented_volatility,7.436053337255884,293.9349720483853,1166.684846666673,280,280
2021,validation,segmented_size_volatility,7.41642627540419,293.1591465378466,1166.7273342317221,280,280
2022,test,persistence,3.5657895094423715,140.58214285714286,470.6559442492391,280,280
2022,test,ridge_autoregressive,10.405756549264238,410.24955339387986,1013.8162325371801,280,280
2022,test,spatial_blend,3.5657895094423715,140.58214285714286,470.6559442492391,280,280
2022,test,segmented_size,3.769191776939649,148.6013281037899,472.4408683109102,280,280
2022,test,segmented_volatility,4.141781948906391,163.2907887811217,489.1944985466541,280,280
2022,test,segmented_size_volatility,4.232687058650652,166.87474545906662,489.94507021340814,280,280
2022,validation,persistence,3.3687525018585234,134.65,469.7219162136557,280,280
2022,validation,ridge_autoregressive,4.850262166082046,193.86636456748968,491.6554548282676,280,280
2022,validation,spatial_blend,3.3687525018585234,134.65,469.7219162136557,280,280
2022,validation,segmented_size,3.366750977156792,134.5699984858076,469.69892547069475,280,280
2022,validation,segmented_volatility,3.278148301713634,131.02852423329443,468.29606728441644,280,280
2022,validation,segmented_size_volatility,3.2591145938771473,130.26774149286783,468.16558709782817,280,280
2023,test,persistence,9.469858230203045,412.3071428571429,1319.3677923265261,280,280
2023,test,ridge_autoregressive,3.1130257051774244,135.53769263925147,295.29280761671436,280,280
2023,test,spatial_blend,9.469858230203045,412.3071428571429,1319.3677923265261,280,280
2023,test,segmented_size,9.469858230203045,412.3071428571429,1319.3677923265261,280,280
2023,test,segmented_volatility,9.469858230203045,412.3071428571429,1319.3677923265261,280,280
2023,test,segmented_size_volatility,9.476365821800814,412.5904761904762,1319.4126137179737,280,280
2023,validation,persistence,3.5657895094423715,140.58214285714286,470.6559442492391,280,280
2023,validation,ridge_autoregressive,10.311432349116204,406.5307982219937,1024.2329024444941,280,280
2023,validation,spatial_blend,3.5657895094423715,140.58214285714286,470.6559442492391,280,280
2023,validation,segmented_size,3.5657895094423715,140.58214285714286,470.6559442492391,280,280
2023,validation,segmented_volatility,3.5657895094423715,140.58214285714286,470.6559442492391,280,280
2023,validation,segmented_size_volatility,3.526716169629024,139.04166666666669,469.84141743750365,280,280
