fold,target_year,train_years_max,train_years_min,eval_year,covid_in_train,is_post_covid_eval,note
fold_2016,2016,2015,2012,2016,0,0,pre-COVID stability fold — treino 2012-2015
fold_2017,2017,2016,2012,2017,0,0,pre-COVID stability fold — treino 2012-2016
fold_2018,2018,2017,2012,2018,0,0,pre-COVID stability fold — treino 2012-2017
fold_2019,2019,2018,2012,2019,0,0,pre-COVID stability fold — treino 2012-2018
