index,node_idx,ze2020,libze2020,profile_target_mean_train_scope,profile_target_std_train_scope,profile_target_cv_train_scope,first_year,last_year,first_value,last_value,profile_growth_train_scope,size_group_train_scope,volatility_group_train_scope,size_volatility_group_train_scope
33,33,2405,Châteauroux,1459.9,274.00423759902367,0.18768699061512684,2012,2021,1345.0,2100.0,0.5613382899628253,mid_high,mid_low_vol,mid_high__mid_low_vol
34,34,2406,Chinon,346.1,63.39549580915735,0.1831710367210556,2012,2021,320.0,474.0,0.48125,small,low_vol,small__low_vol
35,35,2407,Gien,563.1,84.46491710895256,0.14999985279515637,2012,2021,543.0,787.0,0.44935543278084716,small,low_vol,small__low_vol
36,36,2408,Loches,436.0,92.25086569903951,0.2115845543555952,2012,2021,393.0,618.0,0.5725190839694656,small,mid_high_vol,small__mid_high_vol
37,37,2409,Montargis,1117.4,178.63631583004988,0.15986783231613555,2012,2021,1033.0,1553.0,0.5033881897386253,mid_low,low_vol,mid_low__low_vol
38,38,2410,Orléans,4067.0,1004.2685563798822,0.24693104410619182,2012,2021,3308.0,6170.0,0.8651753325272068,large,high_vol,large__high_vol
39,39,2411,Pithiviers,504.2,90.04542063746372,0.17859067956656827,2012,2021,409.0,711.0,0.7383863080684596,small,low_vol,small__low_vol
40,40,2412,Romorantin-Lanthenay,716.8,110.08057654887773,0.1535722329085906,2012,2021,669.0,978.0,0.4618834080717489,small,low_vol,small__low_vol
41,41,2413,Tours,5182.3,1387.618267231862,0.26776108431234436,2012,2021,4278.0,8173.0,0.9104721832632071,large,high_vol,large__high_vol
42,42,2414,Vendôme,481.9,90.73949281076877,0.18829527456063244,2012,2021,455.0,694.0,0.5252747252747253,small,mid_low_vol,small__mid_low_vol
43,43,2415,Vierzon,364.3,77.63454271277845,0.2131060738753183,2012,2021,363.0,558.0,0.5371900826446281,small,mid_high_vol,small__mid_high_vol
44,44,2701,Autun,317.9,65.78322987915183,0.20693057527257577,2012,2021,274.0,415.0,0.5145985401459854,small,mid_high_vol,small__mid_high_vol
45,45,2702,Auxerre,1534.9,296.0579710499655,0.19288420812428528,2012,2021,1332.0,2148.0,0.6126126126126126,mid_high,mid_low_vol,mid_high__mid_low_vol
46,46,2703,Avallon,399.6,65.55947257600876,0.1640627441842061,2012,2021,375.0,554.0,0.47733333333333333,small,low_vol,small__low_vol
47,47,2704,Beaune,815.0,165.30779372632938,0.20283164874396242,2012,2021,735.0,1197.0,0.6285714285714286,mid_low,mid_low_vol,mid_low__mid_low_vol
48,48,2705,Belfort,1543.1,363.6089016145415,0.23563534548282128,2012,2021,1337.0,2267.0,0.6955871353777113,mid_high,high_vol,mid_high__high_vol
49,49,2706,Besançon,2997.5,610.5618996738442,0.20369037520395136,2012,2021,2709.0,4159.0,0.5352528608342562,large,mid_high_vol,large__mid_high_vol
50,50,2707,Chalon-sur-Saône,1354.2,308.1935899542508,0.22758351052595688,2012,2021,1100.0,2005.0,0.8227272727272728,mid_high,mid_high_vol,mid_high__mid_high_vol
51,51,2708,Charolais,662.5,136.26546803125788,0.20568372533020057,2012,2021,609.0,984.0,0.6157635467980296,small,mid_high_vol,small__mid_high_vol
52,52,2709,Châtillon-Montbard,501.2,92.35294617209928,0.18426365956125157,2012,2021,478.0,667.0,0.39539748953974896,small,low_vol,small__low_vol
53,53,2710,Creusot-Montceau,686.8,148.88235474882697,0.21677687063020817,2012,2021,599.0,985.0,0.6444073455759599,small,mid_high_vol,small__mid_high_vol
54,54,2711,Dijon,4155.4,1027.5159041753727,0.2472724416844041,2012,2021,3307.0,6110.0,0.8475960084668884,large,high_vol,large__high_vol
55,55,2712,Dole,719.8,129.83904565953102,0.18038211400323845,2012,2021,632.0,937.0,0.4825949367088608,mid_low,low_vol,mid_low__low_vol
56,56,2713,Lons-le-Saunier,1351.8,250.89741152732344,0.18560246451200138,2012,2021,1264.0,1929.0,0.5261075949367089,mid_high,mid_low_vol,mid_high__mid_low_vol
57,57,2714,Montbéliard,1300.3,256.7177654762348,0.19742964352552086,2012,2021,1073.0,1882.0,0.7539608574091333,mid_high,mid_low_vol,mid_high__mid_low_vol
58,58,2715,Pontarlier,1014.2,247.26719690785245,0.2438051635849462,2012,2021,765.0,1510.0,0.9738562091503268,mid_low,high_vol,mid_low__high_vol
59,59,2716,Saint-Claude,449.8,102.34451621850577,0.22753338421188476,2012,2021,387.0,666.0,0.7209302325581395,small,mid_high_vol,small__mid_high_vol
60,60,2717,Sens,1019.5,235.63967313581887,0.23113258767613426,2012,2021,903.0,1516.0,0.6788482834994463,mid_low,mid_high_vol,mid_low__mid_high_vol
61,61,2718,Vesoul,910.7,145.17579381946257,0.1594112153502389,2012,2021,841.0,1173.0,0.3947681331747919,mid_low,low_vol,mid_low__low_vol
62,62,2801,Argentan,282.4,61.339130160843396,0.2172065515610602,2012,2021,273.0,415.0,0.5201465201465202,small,mid_high_vol,small__mid_high_vol
63,63,2802,Avranches,621.6,130.10440252180382,0.20930566686261876,2012,2021,547.0,845.0,0.5447897623400365,small,mid_high_vol,small__mid_high_vol
64,64,2803,Bernay,553.1,87.34917159182322,0.15792654419060426,2012,2021,566.0,742.0,0.31095406360424027,small,low_vol,small__low_vol
65,65,2804,Caen,5353.3,1308.9784863693433,0.2445180517380575,2012,2021,4561.0,7919.0,0.7362420521815392,large,high_vol,large__high_vol
66,66,2805,Cherbourg-en-Cotentin,1085.7,223.06204916519923,0.20545459073887742,2012,2021,959.0,1536.0,0.6016684045881127,mid_low,mid_high_vol,mid_low__mid_high_vol
67,67,2806,Coutances,444.0,95.88418940460298,0.2159553815418986,2012,2021,397.0,677.0,0.7052896725440806,small,mid_high_vol,small__mid_high_vol
68,68,2807,Dieppe-Caux maritime,1010.4,181.89142060275654,0.1800192207073996,2012,2021,939.0,1406.0,0.49733759318423854,mid_low,low_vol,mid_low__low_vol
69,69,2808,Évreux,1608.1,304.39282003504763,0.18928724583984058,2012,2021,1429.0,2221.0,0.5542337298810357,mid_high,mid_low_vol,mid_high__mid_low_vol
70,70,2809,Flers,560.0,108.06582356241134,0.1929746849328774,2012,2021,456.0,795.0,0.743421052631579,small,mid_low_vol,small__mid_low_vol
71,71,2810,Granville,466.9,87.75147988622312,0.18794491301397115,2012,2021,408.0,662.0,0.6225490196078431,small,mid_low_vol,small__mid_low_vol
72,72,2811,Honfleur Pont-Audemer,1110.3,235.282832163996,0.21190924269476358,2012,2021,995.0,1615.0,0.6231155778894473,mid_low,mid_high_vol,mid_low__mid_high_vol
73,73,2812,L'Aigle,334.9,56.675391485194,0.16923078974378622,2012,2021,286.0,439.0,0.534965034965035,small,low_vol,small__low_vol
74,74,2813,Le Havre,2367.8,720.7867306708074,0.30441199876290537,2012,2021,1817.0,3767.0,1.0731975784259769,large,high_vol,large__high_vol
75,75,2814,Lisieux,677.3,148.65474541141745,0.21948138994746413,2012,2021,672.0,981.0,0.45982142857142855,small,mid_high_vol,small__mid_high_vol
76,76,2815,Rouen,6425.0,1749.6403439945407,0.2723175632676328,2012,2021,5014.0,9870.0,0.9684882329477463,large,high_vol,large__high_vol
77,77,2816,Saint-Lô,720.3,150.24798020457894,0.2085908374352061,2012,2021,619.0,1053.0,0.7011308562197092,mid_low,mid_high_vol,mid_low__mid_high_vol
78,78,2817,Vernon-Gisors,1135.7,234.09829369542854,0.20612687654788106,2012,2021,937.0,1589.0,0.695837780149413,mid_low,mid_high_vol,mid_low__mid_high_vol
79,79,2818,Vire Normandie,278.2,63.132664551191965,0.22693265474907248,2012,2021,254.0,417.0,0.6417322834645669,small,mid_high_vol,small__mid_high_vol
80,80,2819,Yvetot-Vallée du Commerce,715.0,169.2631087981075,0.23673162069665385,2012,2021,586.0,1084.0,0.8498293515358362,small,high_vol,small__high_vol
81,81,3201,Abbeville,679.6,131.0726685638331,0.19286737575608168,2012,2021,587.0,887.0,0.5110732538330494,small,mid_low_vol,small__mid_low_vol
82,82,3202,Amiens,3056.5,821.1722312239579,0.2686642340009677,2012,2021,2431.0,4594.0,0.8897573015220074,large,high_vol,large__high_vol
83,83,3203,Arras,1428.1,296.6960472342771,0.2077557924755109,2012,2021,1287.0,2063.0,0.602952602952603,mid_high,mid_high_vol,mid_high__mid_high_vol
84,84,3204,Berck,994.6,195.07787618737746,0.19613701607417802,2012,2021,879.0,1456.0,0.6564277588168373,mid_low,mid_low_vol,mid_low__mid_low_vol
85,85,3205,Béthune,1699.2,331.0111780589896,0.1948041302136238,2012,2021,1602.0,2438.0,0.5218476903870163,mid_high,mid_low_vol,mid_high__mid_low_vol
86,86,3206,Boulogne-sur-Mer,1157.7,248.95874267748772,0.21504599004706548,2012,2021,1015.0,1662.0,0.6374384236453202,mid_low,mid_high_vol,mid_low__mid_high_vol
87,87,3207,Calais,1001.4,248.08654403923913,0.24773970844741275,2012,2021,924.0,1536.0,0.6623376623376623,mid_low,high_vol,mid_low__high_vol
88,88,3208,Cambrai,1058.7,211.0876858348471,0.19938385362694538,2012,2021,987.0,1476.0,0.49544072948328266,mid_low,mid_low_vol,mid_low__mid_low_vol
89,89,3209,Château-Thierry,580.2,113.6493632968429,0.19587963339683367,2012,2021,547.0,832.0,0.5210237659963437,small,mid_low_vol,small__mid_low_vol
