action,source,destination,notes
moved,TD_FLORES2020_NA88_NBETAB.zip,data/raw/employment/flores/TD_FLORES2020_NA88_NBETAB.zip,organized root raw download
moved,TD_FLORES2020_NA88_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2020_NA88_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2020_NA88_NBSAL.zip,data/raw/employment/flores/TD_FLORES2020_NA88_NBSAL.zip,organized root raw download
moved,TD_FLORES2020_NA88_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2020_NA88_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2021_NA05_TREF_NBETAB_csv.zip,data/raw/employment/flores/TD_FLORES2021_NA05_TREF_NBETAB_csv.zip,organized root raw download
moved,TD_FLORES2021_NA05_TREF_NBETAB_xlsx.zip,data/raw/employment/flores/TD_FLORES2021_NA05_TREF_NBETAB_xlsx.zip,organized root raw download
moved,TD_FLORES2021_NA05_TREF_NBSAL_csv.zip,data/raw/employment/flores/TD_FLORES2021_NA05_TREF_NBSAL_csv.zip,organized root raw download
moved,TD_FLORES2021_NA05_TREF_NBSAL_xlsx.zip,data/raw/employment/flores/TD_FLORES2021_NA05_TREF_NBSAL_xlsx.zip,organized root raw download
moved,TD_FLORES2021_NA17_TREF_NBETAB_csv.zip,data/raw/employment/flores/TD_FLORES2021_NA17_TREF_NBETAB_csv.zip,organized root raw download
moved,TD_FLORES2021_NA17_TREF_NBETAB_xlsx.zip,data/raw/employment/flores/TD_FLORES2021_NA17_TREF_NBETAB_xlsx.zip,organized root raw download
moved,TD_FLORES2021_NA17_TREF_NBSAL_csv.zip,data/raw/employment/flores/TD_FLORES2021_NA17_TREF_NBSAL_csv.zip,organized root raw download
moved,TD_FLORES2021_NA17_TREF_NBSAL_xlsx.zip,data/raw/employment/flores/TD_FLORES2021_NA17_TREF_NBSAL_xlsx.zip,organized root raw download
moved,TD_FLORES2021_NA38_TREF_NBETAB_csv.zip,data/raw/employment/flores/TD_FLORES2021_NA38_TREF_NBETAB_csv.zip,organized root raw download
moved,TD_FLORES2021_NA38_TREF_NBETAB_xlsx.zip,data/raw/employment/flores/TD_FLORES2021_NA38_TREF_NBETAB_xlsx.zip,organized root raw download
moved,TD_FLORES2021_NA38_TREF_NBSAL_csv.zip,data/raw/employment/flores/TD_FLORES2021_NA38_TREF_NBSAL_csv.zip,organized root raw download
moved,TD_FLORES2021_NA38_TREF_NBSAL_xlsx.zip,data/raw/employment/flores/TD_FLORES2021_NA38_TREF_NBSAL_xlsx.zip,organized root raw download
moved,TD_FLORES2021_NA88_NBETAB_csv.zip,data/raw/employment/flores/TD_FLORES2021_NA88_NBETAB_csv.zip,organized root raw download
moved,TD_FLORES2021_NA88_NBETAB_xlsx.zip,data/raw/employment/flores/TD_FLORES2021_NA88_NBETAB_xlsx.zip,organized root raw download
moved,TD_FLORES2021_NA88_NBSAL_csv.zip,data/raw/employment/flores/TD_FLORES2021_NA88_NBSAL_csv.zip,organized root raw download
moved,TD_FLORES2021_NA88_NBSAL_xlsx.zip,data/raw/employment/flores/TD_FLORES2021_NA88_NBSAL_xlsx.zip,organized root raw download
moved,base-cc-demo-entreprises-2022-csv.zip,data/raw/census/rp_2022/base-cc-demo-entreprises-2022-csv.zip,organized root raw download
moved,base-cc-demo-entreprises-2022.zip,data/raw/census/rp_2022/base-cc-demo-entreprises-2022.zip,organized root raw download
moved,base-flux-mobilite-domicile-lieu-travail-2022_xlsx.zip,data/raw/census/rp_2022/base-flux-mobilite-domicile-lieu-travail-2022_xlsx.zip,organized root raw download
moved,base-pop-historiques-1876-2023.xlsx,data/raw/population/base-pop-historiques-1876-2023.xlsx,organized root raw download
moved,bpe-ensemble.csv,data/raw/temporal_depth/bpe/bpe-ensemble.csv,organized root raw download
moved,bpe19_bfc.zip,data/raw/temporal_depth/bpe/regional_mirrors/bpe19_bfc.zip,organized root raw download
moved,bpe20_ensemble_csv.zip,data/raw/temporal_depth/bpe/bpe20_ensemble_csv.zip,organized root raw download
moved,bpe_ens_xy_bfc.csv,data/raw/temporal_depth/bpe/regional_mirrors/bpe_ens_xy_bfc.csv,organized root raw download
moved,bpe_ens_xy_bfc.zip,data/raw/temporal_depth/bpe/regional_mirrors/bpe_ens_xy_bfc.zip,organized root raw download
moved,buildingref-france-bpe-all-geolocated-millesime.csv,data/raw/temporal_depth/bpe/third_party_mirrors/buildingref-france-bpe-all-geolocated-millesime.csv,organized root raw download
moved,buildingref-france-bpe-all-geolocated.csv,data/raw/temporal_depth/bpe/third_party_mirrors/buildingref-france-bpe-all-geolocated.csv,organized root raw download
moved,buildingref-france-bpe-all-geolocated.parquet,data/raw/temporal_depth/bpe/third_party_mirrors/buildingref-france-bpe-all-geolocated.parquet,organized root raw download
moved,contenu_bpe1520.pdf,data/raw/temporal_depth/bpe/docs/contenu_bpe1520.pdf,organized root raw download
moved,contenu_bpe20_enseignement.pdf,data/raw/temporal_depth/bpe/docs/contenu_bpe20_enseignement.pdf,organized root raw download
moved,contenu_bpe20_enseignement_xy.pdf,data/raw/temporal_depth/bpe/docs/contenu_bpe20_enseignement_xy.pdf,organized root raw download
removed_duplicate,contenu_bpe20_ensemble (1).pdf,contenu_bpe20_ensemble.pdf,byte-identical duplicate of preferred root file
moved,contenu_bpe20_ensemble.pdf,data/raw/temporal_depth/bpe/docs/contenu_bpe20_ensemble.pdf,organized root raw download
moved,contenu_bpe20_ensemble_xy.pdf,data/raw/temporal_depth/bpe/docs/contenu_bpe20_ensemble_xy.pdf,organized root raw download
moved,contenu_bpe20_sport_loisir.pdf,data/raw/temporal_depth/bpe/docs/contenu_bpe20_sport_loisir.pdf,organized root raw download
moved,contenu_bpe20_sport_loisir_xy.pdf,data/raw/temporal_depth/bpe/docs/contenu_bpe20_sport_loisir_xy.pdf,organized root raw download
removed_duplicate,ds_bpe_evolution_com_2019_2024_geo_2025.zip,data/raw/temporal_depth/bpe/ds_bpe_evolution_com_2019_2024_geo_2025.zip,destination already had identical bytes
moved,if113.xls,data/raw/temporal_depth/bpe/derived_article_tables/if113.xls,organized root raw download
moved,if125.xls,data/raw/temporal_depth/bpe/derived_article_tables/if125.xls,organized root raw download
moved,indic-struct-distrib-revenu-2021-COMMUNES_XLSX.zip,data/raw/income/filosofi/indic-struct-distrib-revenu-2021-COMMUNES_XLSX.zip,organized root raw download
moved,indic-struct-distrib-revenu-2021-ETUDES_XLSX.zip,data/raw/income/filosofi/indic-struct-distrib-revenu-2021-ETUDES_XLSX.zip,organized root raw download
moved,indic-struct-distrib-revenu-2021-SUPRA_XLSX.zip,data/raw/income/filosofi/indic-struct-distrib-revenu-2021-SUPRA_XLSX.zip,organized root raw download
moved,methode_constitution_ze2020.pdf,data/raw/territorial/docs/methode_constitution_ze2020.pdf,organized root raw download
kept_root,requirements.txt,,root file intentionally kept
moved,scan_output_bundle.tar.gz,reports/scan_archives/scan_output_bundle.tar.gz,organized root raw download
moved,table_passage_flores.zip,data/raw/employment/flores/table_passage_flores.zip,organized root raw download
