fold_validation_year,test_target_year,aggregate_y_true,aggregate_y_lag_0,aggregate_growth_vs_lag_0,best_test_model,best_test_wmape,persistence_wmape,ridge_wmape,segmented_size_volatility_wmape,ridge_delta_vs_persistence,segmented_delta_vs_persistence
2020,2021,1106794.0,948339.0,0.1670868750520647,ridge_autoregressive,8.357557210879694,14.316937027125192,8.357557210879694,12.6727162306491,-5.959379816245498,-1.6442207964760929
2021,2022,1119168.0,1106794.0,0.011180038923232327,persistence,3.368752501858524,3.368752501858524,8.337680554420178,8.434612070645755,4.968928052561655,5.065859568787232
2022,2023,1103907.0,1119168.0,-0.013636022473837708,persistence,3.5657895094423715,3.5657895094423715,10.405756549264238,4.232687058650652,6.839967039821866,0.6668975492082803
2023,2024,1219089.0,1103907.0,0.10434031127622163,ridge_autoregressive,3.1130257051774244,9.469858230203045,3.1130257051774244,9.476365821800814,-6.35683252502562,0.006507591597769036
