fold,target_year,train_years_max,train_years_min,eval_year,covid_in_train,is_post_covid_eval,note
fold_2021,2021,2020,2012,2021,1,1,2020 retained in train with is_covid_year=1 flag
fold_2022,2022,2021,2012,2022,1,0,2020 retained in train with is_covid_year=1 flag
fold_2023,2023,2022,2012,2023,1,0,2020 retained in train with is_covid_year=1 flag
fold_2024,2024,2023,2012,2024,1,0,2020 retained in train with is_covid_year=1 flag
