package,model,split,mae,rmse,mape,wmape
long_history_side_lags,ridge_autoregressive,test,265.739287013158,746.5090087334424,7.185606836017352,6.406123847280343
long_history_side_lags,persistence,test,276.44464285714287,990.517134956714,6.983805196760645,6.664195719665466
long_history_side_lags,spatial_blend,test,276.44464285714287,990.517134956714,6.983805196760645,6.664195719665466
long_history_side_lags,moving_average_3,test,293.88214285714287,1287.158306638778,7.8293469159027795,7.084558044869642
long_history_side_lags,delta,test,335.8285714285714,929.3138501834874,9.488123588933764,8.095752209646507
long_history_side_lags,spatial_neighbor_average,test,3586.0891220238095,12197.286731484342,115.15704650255259,86.44913328879315
long_history_side_lags,ridge_autoregressive,train,214.71866246369768,708.5445729639707,6.9762496119803075,6.726534304383497
long_history_side_lags,delta,train,253.90642857142856,809.5634789369957,9.33907177550226,7.954177258243529
long_history_side_lags,persistence,train,332.8092857142857,1101.2940767894054,10.194266637934636,10.425982778991086
long_history_side_lags,spatial_blend,train,332.8092857142857,1101.2940767894054,10.194266637934636,10.425982778991086
long_history_side_lags,moving_average_3,train,559.822619047619,1969.2648629769321,15.476143440037793,17.537674686429654
long_history_side_lags,spatial_neighbor_average,train,2741.3756989795916,9798.579896090087,111.02011222407182,85.8796225200366
long_history_side_lags,persistence,validation,134.65,469.7219162136557,4.4380298266143345,3.3687525018585234
long_history_side_lags,spatial_blend,validation,134.65,469.7219162136557,4.4380298266143345,3.3687525018585234
long_history_side_lags,ridge_autoregressive,validation,193.8663645674028,491.6554548277502,5.3902572610961474,4.850262166079872
long_history_side_lags,moving_average_3,validation,459.9892857142857,1200.2793522395937,13.818375792732521,11.508281151712701
long_history_side_lags,delta,validation,530.0035714285714,1013.9723527507331,15.022618878688968,13.259939526505404
long_history_side_lags,spatial_neighbor_average,validation,3539.0465887188207,11415.846977215488,123.12322558354798,88.54193872959823
rich_feature_augmented,persistence,test,412.3071428571429,1319.3677923265261,9.878610946282853,9.469858230203045
rich_feature_augmented,target_lag_plus_external_features,test,2330.009668636743,7929.0360969627045,52.205413191020526,53.51559297297309
rich_feature_augmented,external_features,test,3224.8084926399774,13919.720143147966,56.535629282416785,74.06730582748214
rich_feature_augmented,target_lag_plus_external_features,train,200.98736204286024,1097.6674100606597,5.096040511710285,5.318631853627069
rich_feature_augmented,persistence,train,278.2738095238095,768.7697066773391,8.790179401025105,7.363825925770745
rich_feature_augmented,external_features,train,1821.6495588668774,11207.059486758642,31.630167526510238,48.205435762020585
rich_feature_augmented,persistence,validation,140.58214285714286,470.6559442492391,4.088999447238438,3.5657895094423715
rich_feature_augmented,target_lag_plus_external_features,validation,2036.4090055697316,8158.076174291538,47.730615894652075,51.65240564282361
rich_feature_augmented,external_features,validation,2741.8441064984236,12099.701866336822,50.455202381789945,69.5453828827572
rich_temporal_baselines,ridge_autoregressive,test,144.82489347149735,451.95181861813114,3.8996131964554355,3.326333858481149
rich_temporal_baselines,moving_average_3,test,396.6428571428571,1592.1683338060086,9.741217840041704,9.11008138044064
rich_temporal_baselines,persistence,test,412.3071428571429,1319.3677923265261,9.878610946282853,9.469858230203045
rich_temporal_baselines,spatial_blend,test,412.3071428571429,1319.3677923265261,9.878610946282853,9.469858230203045
rich_temporal_baselines,delta,test,475.9892857142857,1217.217636661579,11.681224036070805,10.932507798856358
rich_temporal_baselines,spatial_neighbor_average,test,3641.3013003975952,12751.081275659004,105.7852354446112,83.63330028499368
rich_temporal_baselines,persistence,train,278.2738095238095,768.7697066773391,8.790179401025105,7.363825925770745
rich_temporal_baselines,spatial_blend,train,278.2738095238095,768.7697066773391,8.790179401025105,7.363825925770745
rich_temporal_baselines,ridge_autoregressive,train,303.7763513715292,705.9282339007877,8.928075208878337,8.038687419752712
rich_temporal_baselines,delta,train,441.00357142857143,1125.3743456544328,12.736359632662014,11.670065315167024
rich_temporal_baselines,moving_average_3,train,586.7718253968254,1480.9797893204557,17.190840997862086,15.527460481325917
rich_temporal_baselines,spatial_neighbor_average,train,3271.6167150257334,10924.884939577645,115.9311429851702,86.57521894179587
rich_temporal_baselines,persistence,validation,140.58214285714286,470.6559442492391,4.088999447238438,3.5657895094423715
rich_temporal_baselines,spatial_blend,validation,140.58214285714286,470.6559442492391,4.088999447238438,3.5657895094423715
rich_temporal_baselines,moving_average_3,validation,191.1214285714286,882.3565093111802,5.917475991763853,4.847690973967916
rich_temporal_baselines,delta,validation,195.66785714285714,495.61042088087123,7.295023141796722,4.96300865924394
rich_temporal_baselines,ridge_autoregressive,validation,287.8920056322257,667.5396970100159,7.36861520657468,7.302223971496076
rich_temporal_baselines,spatial_neighbor_average,validation,3530.877081389805,11617.122548371535,124.52886520982757,89.55877467840546
