fold_validation_year,test_target_year,group_type,group,zones,target_sum,aggregate_growth_vs_lag_0,persistence_wmape,ridge_wmape,segmented_size_volatility_wmape,ridge_delta_vs_persistence,segmented_delta_vs_persistence
2020,2021,size_group,large,70,800207.0,0.15457823346169883,13.388285781054151,6.901616946840002,12.39364055903368,-6.486668834214149,-0.9946452220204716
2020,2021,size_group,mid_high,70,163203.0,0.20603449549962313,17.083632041077674,11.995416897529413,13.748047979914224,-5.088215143548261,-3.33558406116345
2020,2021,size_group,mid_low,70,91764.0,0.1940197519940666,16.249291661217907,11.771189693730037,12.683339431769113,-4.47810196748787,-3.5659522294487935
2020,2021,size_group,small,70,51620.0,0.1979299621730756,16.5304145679969,13.357468200221815,13.580234848500083,-3.1729463677750847,-2.9501797194968162
2020,2021,volatility_group,high_vol,70,684223.0,0.14383558208775576,12.575432278657688,5.897082673758083,12.382460574859879,-6.678349604899605,-0.19297170379780937
2020,2021,volatility_group,low_vol,70,106606.0,0.22600455413206982,18.434234470855298,14.787532096970798,15.280119174270723,-3.6467023738844997,-3.1541152965845747
2020,2021,volatility_group,mid_high_vol,70,165709.0,0.19577280828985633,16.37207393684109,11.088639047418516,12.814765271935274,-5.283434889422574,-3.5573086649058165
2020,2021,volatility_group,mid_low_vol,70,150256.0,0.20568434398144805,17.05955169843467,11.987858339988168,11.987858339988168,-5.0716933584465025,-5.0716933584465025
2020,2021,size_volatility_group,large__high_vol,43,645301.0,0.1415498376924914,12.399794824430769,5.712430215014879,12.399794824430769,-6.68736460941589,0.0
2020,2021,size_volatility_group,large__low_vol,3,19388.0,0.26685833768949296,21.064576026408087,16.969637465340238,21.064576026408087,-4.094938561067849,0.0
2020,2021,size_volatility_group,large__mid_high_vol,16,82026.0,0.20495343302876282,17.009240972374613,11.162039164292255,11.162039164292255,-5.8472018080823585,-5.8472018080823585
2020,2021,size_volatility_group,large__mid_low_vol,8,53492.0,0.2045034902049088,16.97823973678307,11.065215477686888,11.065215477686888,-5.913024259096183,-5.913024259096183
2020,2021,size_volatility_group,mid_high__high_vol,6,18121.0,0.20078192300046385,16.720931515920757,9.434596430238408,9.434596430238408,-7.286335085682349,-7.286335085682349
2020,2021,size_volatility_group,mid_high__low_vol,17,37928.0,0.22859641734961614,18.60630668635309,14.470690992625773,14.470690992625773,-4.135615693727317,-4.135615693727317
2020,2021,size_volatility_group,mid_high__mid_high_vol,25,53135.0,0.18101398057389256,15.326997271101911,9.943828916186169,15.326997271101911,-5.3831683549157425,0.0
2020,2021,size_volatility_group,mid_high__mid_low_vol,22,54019.0,0.21749419639838627,17.86408485903108,13.134526455233914,13.134526455233914,-4.729558403797167,-4.729558403797167
2020,2021,size_volatility_group,mid_low__high_vol,8,11408.0,0.19131161236424393,16.058906030855542,8.721729614181479,16.058906030855542,-7.337176416674064,0.0
2020,2021,size_volatility_group,mid_low__low_vol,23,29221.0,0.2065818812453547,17.12124841723418,13.979946501625355,13.979946501625355,-3.1413019156088264,-3.1413019156088264
2020,2021,size_volatility_group,mid_low__mid_high_vol,15,20044.0,0.1882855110267963,15.84514069048094,12.000290214194873,12.000290214194873,-3.8448504762860676,-3.8448504762860676
2020,2021,size_volatility_group,mid_low__mid_low_vol,24,31091.0,0.18708716734756214,15.760187835708084,10.66649917466612,10.66649917466612,-5.0936886610419645,-5.0936886610419645
2020,2021,size_volatility_group,small__high_vol,13,9393.0,0.14117361195480502,12.413499414457576,8.327568908392244,12.413499414457576,-4.085930506065331,0.0
2020,2021,size_volatility_group,small__low_vol,27,20069.0,0.21182295755087252,17.47969505207036,14.454129795174019,13.114754098360656,-3.025565256896339,-4.364940953709702
2020,2021,size_volatility_group,small__mid_high_vol,14,10504.0,0.2148970622253065,17.688499619192687,14.566898029661473,14.566898029661473,-3.1216015895312132,-3.1216015895312132
2020,2021,size_volatility_group,small__mid_low_vol,16,11654.0,0.2072930695120688,17.17007036210743,14.43290080453151,14.43290080453151,-2.737169557575921,-2.737169557575921
2021,2022,size_group,large,70,805541.0,0.005974346774364757,2.918038932841407,9.442557581312787,9.442557581312787,6.52451864847138,6.52451864847138
2021,2022,size_group,mid_high,70,165775.0,0.019194235581268097,3.660383049313829,5.302353260297556,5.302353260297556,1.641970210983727,1.641970210983727
2021,2022,size_group,mid_low,70,93906.0,0.02334248724990192,4.415053351223564,5.155596142315749,5.155596142315749,0.7405427910921842,0.7405427910921842
2021,2022,size_group,small,70,53946.0,0.04506005424254165,7.381455529603678,6.705946150871381,8.7168950840851,-0.675509378732297,1.3354395544814226
2021,2022,volatility_group,high_vol,70,694662.0,0.004166064355720027,2.9933982282030684,10.078024250430664,10.078024250430664,7.084626022227596,7.084626022227596
2021,2022,volatility_group,low_vol,70,109991.0,0.027338788014645447,4.0357847460246745,4.940184120200838,5.5918989060610915,0.9043993741761636,1.556114160036417
2021,2022,volatility_group,mid_high_vol,70,155826.0,0.016384674589404753,3.87226778586372,6.242409199251042,6.478569340303189,2.370141413387322,2.6063015544394696
2021,2022,volatility_group,mid_low_vol,70,158689.0,0.02620993817739724,4.05510148781579,5.131668492643791,5.131668492643791,1.076567004828001,1.076567004828001
2021,2022,size_volatility_group,large__high_vol,45,654190.0,0.003928609793901447,2.9199468044451917,10.266926618241085,10.266926618241085,7.346979813795893,7.346979813795893
2021,2022,size_volatility_group,large__low_vol,3,16756.0,0.002572847483994495,0.26856051563619004,6.4323434251629505,6.4323434251629505,6.163782909526761,6.163782909526761
2021,2022,size_volatility_group,large__mid_high_vol,14,64986.0,-0.00018462106526354657,3.034499738405195,7.265450610798288,7.265450610798288,4.230950872393093,4.230950872393093
2021,2022,size_volatility_group,large__mid_low_vol,8,69609.0,0.03252936988252047,3.4291542760275253,4.452206358312552,4.452206358312552,1.023052082285027,1.023052082285027
2021,2022,size_volatility_group,mid_high__high_vol,8,21083.0,0.013995767602924201,4.529715884836124,7.177355413133524,7.177355413133524,2.6476395282974003,2.6476395282974003
2021,2022,size_volatility_group,mid_high__low_vol,19,44433.0,0.024321084420674075,3.832736929759413,4.731721509726389,4.731721509726389,0.8989845799669762,0.8989845799669762
2021,2022,size_volatility_group,mid_high__mid_high_vol,23,54339.0,0.025535046993545463,3.303336461841403,4.38013919665543,4.38013919665543,1.0768027348140272,1.0768027348140272
2021,2022,size_volatility_group,mid_high__mid_low_vol,20,45920.0,0.009297316306569664,3.5169860627177703,6.0849403724303395,6.0849403724303395,2.567954309712569,2.567954309712569
2021,2022,size_volatility_group,mid_low__high_vol,9,13239.0,-0.00030204636411689195,3.3688345041166254,6.508584127988902,6.508584127988902,3.1397496238722766,3.1397496238722766
2021,2022,size_volatility_group,mid_low__low_vol,23,30316.0,0.033899461155446425,4.921493600738884,4.6415867707137455,4.6415867707137455,-0.27990683002513883,-0.27990683002513883
2021,2022,size_volatility_group,mid_low__mid_high_vol,17,23644.0,0.01624688386486719,3.924885806124175,5.476098232087024,5.476098232087024,1.5512124259628486,1.5512124259628486
2021,2022,size_volatility_group,mid_low__mid_low_vol,21,26707.0,0.0298461419812594,4.792750964166697,4.784627810290716,4.784627810290716,-0.008123153875981615,-0.008123153875981615
2021,2022,size_volatility_group,small__high_vol,8,6150.0,0.005723630417007359,4.7317073170731705,7.611776913819682,7.611776913819682,2.8800695967465115,2.8800695967465115
2021,2022,size_volatility_group,small__low_vol,25,18486.0,0.047306101637301,6.485989397381803,4.578411703470163,8.45609000118493,-1.90757769391164,1.9701006038031261
2021,2022,size_volatility_group,small__mid_high_vol,16,12857.0,0.06573275862068965,10.414560161779574,10.35139084410284,13.213636324354216,-0.06316931767673495,2.799076162574641
2021,2022,size_volatility_group,small__mid_low_vol,21,16453.0,0.041988600379987334,7.0078405154075245,5.909086014826281,5.909086014826281,-1.0987545005812436,-1.0987545005812436
2022,2023,size_group,large,70,794363.0,-0.013876388663022739,3.360176644682595,10.545643636165185,3.616896528496325,7.18546699148259,0.2567198838137301
