panel_key,model,target_year,mean_pred,std_pred,min_pred,max_pred,mean_ridge,delta_vs_ridge,pct_vs_ridge
lag_only,semiv2_graph_nossl,2026,1346260.0571591458,4361.868666784199,1339172.6957069468,1352612.5137401056,1365926.1019257137,-19666.04476656788,-1.4397590571585273
lag_only,semiv2_graph_nossl,2027,1432936.4234660123,12583.101108181509,1413752.3362289823,1452377.5357797744,1442251.9857918848,-9315.56232587248,-0.6459039347938679
lag_only,semiv2_graph_ssl,2026,1340838.525171557,5524.306844606978,1330887.8021585476,1346213.6106225085,1365926.1019257137,-25087.576754156733,-1.8366715972985432
lag_only,semiv2_graph_ssl,2027,1413926.2190739785,10581.46370186809,1397989.6492006464,1428273.550302711,1432711.488958203,-18785.269884224515,-1.3111690685110815
lag_only,v6_full,2026,1346557.7416558,4346.134500278959,1339110.526075942,1352224.0540772504,1365926.1019257137,-19368.360269913683,-1.41796545527666
lag_only,v6_full,2027,1431119.462216452,9162.716631719206,1412978.979942448,1442663.7775328977,1443331.9759740033,-12212.513757551322,-0.846133388634306
lag_only,v7_graph_only,2026,1345865.732942743,4078.3436940528118,1340699.1518245768,1354560.548670826,1365926.1019257137,-20060.368982970715,-1.4686276918413925
lag_only,v7_graph_only,2027,1433451.051354882,11798.532919695801,1411976.2504271525,1451340.0544322843,1441878.2721879329,-8427.220833050786,-0.5844613235112535
lag_only,v7_ridge_only,2026,1365926.1019257137,2.4542504767641887e-10,1365926.1019257135,1365926.101925714,1365926.1019257137,0.0,0.0
lag_only,v7_ridge_only,2027,1489273.6942692786,4.720845050409917e-10,1489273.6942692779,1489273.6942692788,1489273.6942692786,0.0,0.0
no_source_flags,semiv2_graph_nossl,2026,1342043.681270326,8080.497890792538,1325565.3278626031,1352237.4999996251,1365926.1019257137,-23882.420655387687,-1.7484416339740274
no_source_flags,semiv2_graph_nossl,2027,1414076.1339527355,10163.830160614472,1392446.0110615129,1431858.3224952053,1437063.9751907515,-22987.84123801603,-1.599639378265306
no_source_flags,semiv2_graph_ssl,2026,1336855.9641251476,4712.9782752579395,1330791.6373542375,1344227.725600822,1365926.1019257137,-29070.137800566154,-2.1282364953405906
no_source_flags,semiv2_graph_ssl,2027,1398013.2195629373,12101.614085932732,1381125.7928547112,1419799.3427077362,1428685.4615486576,-30672.24198572035,-2.146885567973264
no_source_flags,v6_full,2026,1343430.5292913746,8703.825811129082,1330752.6657217573,1358155.761846764,1365926.1019257137,-22495.5726343391,-1.646909931849485
no_source_flags,v6_full,2027,1417382.9687457008,14166.134004950467,1398666.3916917157,1444777.8379122654,1438182.6855010432,-20799.716755342437,-1.446249976795966
no_source_flags,v7_graph_only,2026,1339858.63925115,6643.096668648325,1330236.2763016648,1349229.2033893894,1365926.1019257137,-26067.46267456375,-1.9084094401456453
no_source_flags,v7_graph_only,2027,1413295.4658837894,14371.600771204223,1397916.8922985431,1447432.7950996202,1434140.2882542224,-20844.822370433016,-1.4534716401982821
no_source_flags,v7_ridge_only,2026,1365926.1019257137,2.4542504767641887e-10,1365926.1019257135,1365926.101925714,1365926.1019257137,0.0,0.0
no_source_flags,v7_ridge_only,2027,1489273.6942692786,4.720845050409917e-10,1489273.6942692779,1489273.6942692788,1489273.6942692786,0.0,0.0
