label,pareto
HC5_trainopt,True
L5_trainopt,True
L5_gate_no_auditor,True
AUD_alpha_trainopt,True
AUD_both_trainopt,False
L4_a10g,True
L3_gate,False
side2_AUDboth,False
clean_flags_side2,False
clean_flags_side2_trainopt,False
extended_flags_current_trainopt,False
extended_flags_current,False
ridge_side2,False
