zone_id,target_year,cae_section,births_cae,a10
1111601,2018,D,1.0,BE
1111601,2018,E,2.0,BE
1111601,2018,F,48.0,F
1111601,2018,G,37.0,G
1111601,2018,H,10.0,G
1111601,2018,I,61.0,G
1111601,2018,J,5.0,J
1111601,2018,L,4.0,L
1111601,2018,M,18.0,MN
1111601,2018,N,45.0,MN
1111601,2018,P,26.0,OPQ
1111601,2018,Q,40.0,OPQ
1111601,2018,R,8.0,RSU
1111601,2018,S,9.0,RSU
1111601,2019,A,78.0,A
1111601,2019,B,0.0,BE
1111601,2019,C,7.0,BE
1111601,2019,D,0.0,BE
1111601,2019,E,0.0,BE
1111601,2019,F,40.0,F
1111601,2019,G,29.0,G
1111601,2019,H,3.0,G
1111601,2019,I,35.0,G
1111601,2019,J,1.0,J
1111601,2019,L,13.0,L
1111601,2019,M,16.0,MN
1111601,2019,N,39.0,MN
1111601,2019,P,16.0,OPQ
1111601,2019,Q,24.0,OPQ
1111601,2019,R,11.0,RSU
1111601,2019,S,15.0,RSU
1111601,2020,A,70.0,A
1111601,2020,B,0.0,BE
1111601,2020,C,10.0,BE
1111601,2020,D,0.0,BE
1111601,2020,E,1.0,BE
1111601,2020,F,40.0,F
1111601,2020,G,39.0,G
1111601,2020,H,3.0,G
1111601,2020,I,28.0,G
1111601,2020,J,3.0,J
1111601,2020,L,6.0,L
1111601,2020,M,9.0,MN
1111601,2020,N,39.0,MN
1111601,2020,P,11.0,OPQ
1111601,2020,Q,25.0,OPQ
1111601,2020,R,8.0,RSU
1111601,2020,S,6.0,RSU
1111601,2021,A,100.0,A
1111601,2021,B,0.0,BE
1111601,2021,C,6.0,BE
1111601,2021,D,0.0,BE
1111601,2021,E,0.0,BE
1111601,2021,F,39.0,F
1111601,2021,G,42.0,G
1111601,2021,H,3.0,G
1111601,2021,I,41.0,G
1111601,2021,J,3.0,J
1111601,2021,L,8.0,L
1111601,2021,M,20.0,MN
1111601,2021,N,41.0,MN
1111601,2021,P,15.0,OPQ
1111601,2021,Q,32.0,OPQ
1111601,2021,R,9.0,RSU
1111601,2021,S,8.0,RSU
1111601,2022,A,65.0,A
1111601,2022,B,0.0,BE
1111601,2022,C,6.0,BE
1111601,2022,D,3.0,BE
1111601,2022,E,0.0,BE
1111601,2022,F,29.0,F
1111601,2022,G,33.0,G
1111601,2022,H,2.0,G
1111601,2022,I,36.0,G
1111601,2022,J,6.0,J
1111601,2022,L,14.0,L
1111601,2022,M,13.0,MN
1111601,2022,N,64.0,MN
1111601,2022,P,17.0,OPQ
1111601,2022,Q,27.0,OPQ
1111601,2022,R,12.0,RSU
1111601,2022,S,10.0,RSU
1111601,2023,A,82.0,A
1111601,2023,B,0.0,BE
1111601,2023,C,9.0,BE
1111601,2023,D,2.0,BE
1111601,2023,E,0.0,BE
1111601,2023,F,42.0,F
1111601,2023,G,24.0,G
1111601,2023,H,3.0,G
1111601,2023,I,50.0,G
1111601,2023,J,7.0,J
1111601,2023,L,7.0,L
1111601,2023,M,25.0,MN
1111601,2023,N,51.0,MN
1111601,2023,P,17.0,OPQ
1111601,2023,Q,22.0,OPQ
1111601,2023,R,13.0,RSU
1111601,2023,S,11.0,RSU
1111601,2024,A,59.0,A
1111601,2024,B,0.0,BE
1111601,2024,C,14.0,BE
1111601,2024,D,0.0,BE
1111601,2024,E,1.0,BE
1111601,2024,F,56.0,F
1111601,2024,G,43.0,G
1111601,2024,H,7.0,G
1111601,2024,I,41.0,G
1111601,2024,J,6.0,J
1111601,2024,L,12.0,L
1111601,2024,M,26.0,MN
1111601,2024,N,69.0,MN
1111601,2024,P,17.0,OPQ
1111601,2024,Q,30.0,OPQ
1111601,2024,R,9.0,RSU
1111601,2024,S,13.0,RSU
1111602,2008,A,5.0,A
1111602,2008,B,0.0,BE
1111602,2008,C,7.0,BE
1111602,2008,D,0.0,BE
1111602,2008,E,0.0,BE
1111602,2008,F,32.0,F
1111602,2008,G,46.0,G
1111602,2008,H,3.0,G
1111602,2008,I,21.0,G
1111602,2008,J,5.0,J
1111602,2008,L,3.0,L
1111602,2008,M,19.0,MN
1111602,2008,N,42.0,MN
1111602,2008,P,23.0,OPQ
1111602,2008,Q,17.0,OPQ
1111602,2008,R,14.0,RSU
1111602,2008,S,8.0,RSU
1111602,2009,A,17.0,A
1111602,2009,B,0.0,BE
1111602,2009,C,8.0,BE
1111602,2009,D,0.0,BE
1111602,2009,E,0.0,BE
1111602,2009,F,29.0,F
1111602,2009,G,32.0,G
1111602,2009,H,1.0,G
1111602,2009,I,24.0,G
1111602,2009,J,0.0,J
1111602,2009,L,3.0,L
1111602,2009,M,16.0,MN
1111602,2009,N,41.0,MN
1111602,2009,P,31.0,OPQ
1111602,2009,Q,19.0,OPQ
1111602,2009,R,7.0,RSU
1111602,2009,S,7.0,RSU
1111602,2010,A,25.0,A
1111602,2010,B,1.0,BE
1111602,2010,C,4.0,BE
1111602,2010,D,0.0,BE
1111602,2010,E,0.0,BE
1111602,2010,F,28.0,F
1111602,2010,G,38.0,G
1111602,2010,H,3.0,G
1111602,2010,I,20.0,G
1111602,2010,J,1.0,J
1111602,2010,L,7.0,L
1111602,2010,M,23.0,MN
1111602,2010,N,33.0,MN
1111602,2010,P,25.0,OPQ
1111602,2010,Q,14.0,OPQ
1111602,2010,R,6.0,RSU
1111602,2010,S,11.0,RSU
1111602,2011,A,22.0,A
1111602,2011,B,0.0,BE
1111602,2011,C,4.0,BE
1111602,2011,D,0.0,BE
1111602,2011,E,0.0,BE
1111602,2011,F,26.0,F
1111602,2011,G,30.0,G
1111602,2011,H,1.0,G
1111602,2011,I,26.0,G
1111602,2011,J,3.0,J
1111602,2011,L,7.0,L
1111602,2011,M,14.0,MN
1111602,2011,N,45.0,MN
1111602,2011,P,25.0,OPQ
1111602,2011,Q,16.0,OPQ
1111602,2011,R,11.0,RSU
1111602,2011,S,10.0,RSU
1111602,2012,A,15.0,A
1111602,2012,B,0.0,BE
1111602,2012,C,8.0,BE
1111602,2012,D,0.0,BE
1111602,2012,E,0.0,BE
1111602,2012,F,21.0,F
1111602,2012,G,45.0,G
1111602,2012,H,2.0,G
1111602,2012,I,25.0,G
1111602,2012,J,1.0,J
1111602,2012,L,3.0,L
1111602,2012,M,17.0,MN
1111602,2012,N,36.0,MN
1111602,2012,P,10.0,OPQ
1111602,2012,Q,13.0,OPQ
1111602,2012,R,9.0,RSU
1111602,2012,S,7.0,RSU
1111602,2013,A,50.0,A
1111602,2013,B,0.0,BE
1111602,2013,C,11.0,BE
1111602,2013,D,1.0,BE
1111602,2013,E,0.0,BE
1111602,2013,F,37.0,F
1111602,2013,G,41.0,G
1111602,2013,H,0.0,G
1111602,2013,I,32.0,G
1111602,2013,J,3.0,J
1111602,2013,L,3.0,L
1111602,2013,M,12.0,MN
1111602,2013,N,41.0,MN
1111602,2013,P,14.0,OPQ
1111602,2013,Q,12.0,OPQ
1111602,2013,R,5.0,RSU
1111602,2013,S,8.0,RSU
1111602,2014,A,76.0,A
1111602,2014,B,0.0,BE
1111602,2014,C,10.0,BE
1111602,2014,D,1.0,BE
1111602,2014,E,0.0,BE
1111602,2014,F,22.0,F
1111602,2014,G,35.0,G
1111602,2014,H,5.0,G
1111602,2014,I,32.0,G
1111602,2014,J,2.0,J
1111602,2014,L,4.0,L
1111602,2014,M,16.0,MN
1111602,2014,N,52.0,MN
1111602,2014,P,22.0,OPQ
1111602,2014,Q,18.0,OPQ
1111602,2014,R,8.0,RSU
1111602,2014,S,10.0,RSU
1111602,2015,A,32.0,A
1111602,2015,B,0.0,BE
1111602,2015,C,12.0,BE
1111602,2015,D,1.0,BE
1111602,2015,E,1.0,BE
1111602,2015,F,32.0,F
1111602,2015,G,49.0,G
1111602,2015,H,1.0,G
1111602,2015,I,30.0,G
1111602,2015,J,4.0,J
1111602,2015,L,11.0,L
1111602,2015,M,18.0,MN
1111602,2015,N,40.0,MN
1111602,2015,P,18.0,OPQ
1111602,2015,Q,15.0,OPQ
1111602,2015,R,9.0,RSU
1111602,2015,S,7.0,RSU
1111602,2016,A,17.0,A
1111602,2016,B,0.0,BE
1111602,2016,C,7.0,BE
1111602,2016,D,2.0,BE
1111602,2016,E,0.0,BE
1111602,2016,F,31.0,F
1111602,2016,G,36.0,G
1111602,2016,H,3.0,G
1111602,2016,I,46.0,G
1111602,2016,J,3.0,J
1111602,2016,L,9.0,L
1111602,2016,M,18.0,MN
1111602,2016,N,51.0,MN
1111602,2016,P,23.0,OPQ
1111602,2016,Q,15.0,OPQ
1111602,2016,R,11.0,RSU
1111602,2016,S,15.0,RSU
1111602,2017,A,15.0,A
1111602,2017,B,0.0,BE
1111602,2017,C,5.0,BE
1111602,2017,D,0.0,BE
1111602,2017,E,0.0,BE
1111602,2017,F,47.0,F
1111602,2017,G,43.0,G
1111602,2017,H,2.0,G
1111602,2017,I,32.0,G
1111602,2017,J,0.0,J
1111602,2017,L,5.0,L
1111602,2017,M,23.0,MN
1111602,2017,N,50.0,MN
1111602,2017,P,33.0,OPQ
1111602,2017,Q,20.0,OPQ
1111602,2017,R,12.0,RSU
1111602,2017,S,13.0,RSU
1111602,2018,A,25.0,A
1111602,2018,B,0.0,BE
1111602,2018,C,8.0,BE
1111602,2018,D,0.0,BE
1111602,2018,E,0.0,BE
1111602,2018,F,32.0,F
1111602,2018,G,35.0,G
1111602,2018,H,2.0,G
1111602,2018,I,54.0,G
1111602,2018,J,5.0,J
1111602,2018,L,8.0,L
1111602,2018,M,13.0,MN
1111602,2018,N,55.0,MN
1111602,2018,P,21.0,OPQ
1111602,2018,Q,18.0,OPQ
1111602,2018,R,13.0,RSU
1111602,2018,S,15.0,RSU
1111602,2019,A,26.0,A
1111602,2019,B,0.0,BE
1111602,2019,C,8.0,BE
1111602,2019,D,0.0,BE
1111602,2019,E,0.0,BE
1111602,2019,F,40.0,F
1111602,2019,G,35.0,G
1111602,2019,H,0.0,G
1111602,2019,I,37.0,G
1111602,2019,J,5.0,J
1111602,2019,L,6.0,L
1111602,2019,M,18.0,MN
1111602,2019,N,65.0,MN
1111602,2019,P,18.0,OPQ
1111602,2019,Q,15.0,OPQ
1111602,2019,R,13.0,RSU
1111602,2019,S,18.0,RSU
1111602,2020,A,18.0,A
1111602,2020,B,0.0,BE
1111602,2020,C,10.0,BE
1111602,2020,D,0.0,BE
1111602,2020,E,0.0,BE
1111602,2020,F,32.0,F
1111602,2020,G,32.0,G
1111602,2020,H,1.0,G
1111602,2020,I,19.0,G
1111602,2020,J,2.0,J
1111602,2020,L,4.0,L
1111602,2020,M,21.0,MN
1111602,2020,N,54.0,MN
1111602,2020,P,10.0,OPQ
1111602,2020,Q,16.0,OPQ
1111602,2020,R,7.0,RSU
1111602,2020,S,7.0,RSU
1111602,2021,A,13.0,A
1111602,2021,B,0.0,BE
1111602,2021,C,9.0,BE
1111602,2021,D,0.0,BE
1111602,2021,E,0.0,BE
1111602,2021,F,44.0,F
1111602,2021,G,41.0,G
1111602,2021,H,1.0,G
1111602,2021,I,28.0,G
1111602,2021,J,8.0,J
1111602,2021,L,8.0,L
1111602,2021,M,25.0,MN
1111602,2021,N,58.0,MN
1111602,2021,P,21.0,OPQ
1111602,2021,Q,27.0,OPQ
1111602,2021,R,16.0,RSU
1111602,2021,S,9.0,RSU
1111602,2022,A,23.0,A
1111602,2022,B,0.0,BE
1111602,2022,C,8.0,BE
1111602,2022,D,4.0,BE
1111602,2022,E,0.0,BE
1111602,2022,F,40.0,F
1111602,2022,G,33.0,G
1111602,2022,H,6.0,G
1111602,2022,I,35.0,G
1111602,2022,J,6.0,J
1111602,2022,L,10.0,L
1111602,2022,M,15.0,MN
1111602,2022,N,88.0,MN
1111602,2022,P,21.0,OPQ
1111602,2022,Q,19.0,OPQ
1111602,2022,R,19.0,RSU
1111602,2022,S,14.0,RSU
1111602,2023,A,12.0,A
1111602,2023,B,0.0,BE
1111602,2023,C,9.0,BE
1111602,2023,D,1.0,BE
1111602,2023,E,0.0,BE
1111602,2023,F,28.0,F
1111602,2023,G,33.0,G
1111602,2023,H,11.0,G
1111602,2023,I,58.0,G
1111602,2023,J,9.0,J
1111602,2023,L,12.0,L
1111602,2023,M,24.0,MN
