zone_id,target_year,a10,jobs,source
PT_111,2010,BE,19320.0,Eurostat nama_10r_3empers
PT_111,2010,FZ,12340.0,Eurostat nama_10r_3empers
PT_111,2010,GI,19890.0,Eurostat nama_10r_3empers
PT_111,2010,JZ,330.0,Eurostat nama_10r_3empers
PT_111,2010,KZ,1150.0,Eurostat nama_10r_3empers
PT_111,2010,LZ,360.0,Eurostat nama_10r_3empers
PT_111,2010,MN,4160.0,Eurostat nama_10r_3empers
PT_111,2010,OPQ,19740.0,Eurostat nama_10r_3empers
PT_111,2010,RSU,5220.0,Eurostat nama_10r_3empers
PT_111,2011,A,12490.0,Eurostat nama_10r_3empers
PT_111,2011,BE,18820.0,Eurostat nama_10r_3empers
PT_111,2011,FZ,12010.0,Eurostat nama_10r_3empers
PT_111,2011,GI,19840.0,Eurostat nama_10r_3empers
PT_111,2011,JZ,320.0,Eurostat nama_10r_3empers
PT_111,2011,KZ,1210.0,Eurostat nama_10r_3empers
PT_111,2011,LZ,400.0,Eurostat nama_10r_3empers
PT_111,2011,MN,4160.0,Eurostat nama_10r_3empers
PT_111,2011,OPQ,19780.0,Eurostat nama_10r_3empers
PT_111,2011,RSU,5300.0,Eurostat nama_10r_3empers
PT_111,2012,A,11540.0,Eurostat nama_10r_3empers
PT_111,2012,BE,18410.0,Eurostat nama_10r_3empers
PT_111,2012,FZ,10220.0,Eurostat nama_10r_3empers
PT_111,2012,GI,19770.0,Eurostat nama_10r_3empers
PT_111,2012,JZ,330.0,Eurostat nama_10r_3empers
PT_111,2012,KZ,1170.0,Eurostat nama_10r_3empers
PT_111,2012,LZ,360.0,Eurostat nama_10r_3empers
PT_111,2012,MN,4300.0,Eurostat nama_10r_3empers
PT_111,2012,OPQ,18800.0,Eurostat nama_10r_3empers
PT_111,2012,RSU,5250.0,Eurostat nama_10r_3empers
PT_111,2013,A,11760.0,Eurostat nama_10r_3empers
PT_111,2013,BE,18580.0,Eurostat nama_10r_3empers
PT_111,2013,FZ,9860.0,Eurostat nama_10r_3empers
PT_111,2013,GI,19260.0,Eurostat nama_10r_3empers
PT_111,2013,JZ,330.0,Eurostat nama_10r_3empers
PT_111,2013,KZ,1110.0,Eurostat nama_10r_3empers
PT_111,2013,LZ,350.0,Eurostat nama_10r_3empers
PT_111,2013,MN,4600.0,Eurostat nama_10r_3empers
PT_111,2013,OPQ,18630.0,Eurostat nama_10r_3empers
PT_111,2013,RSU,5250.0,Eurostat nama_10r_3empers
PT_111,2014,A,11710.0,Eurostat nama_10r_3empers
PT_111,2014,BE,18990.0,Eurostat nama_10r_3empers
PT_111,2014,FZ,9720.0,Eurostat nama_10r_3empers
PT_111,2014,GI,20450.0,Eurostat nama_10r_3empers
PT_111,2014,JZ,400.0,Eurostat nama_10r_3empers
PT_111,2014,KZ,1030.0,Eurostat nama_10r_3empers
PT_111,2014,LZ,360.0,Eurostat nama_10r_3empers
PT_111,2014,MN,5170.0,Eurostat nama_10r_3empers
PT_111,2014,OPQ,18720.0,Eurostat nama_10r_3empers
PT_111,2014,RSU,5320.0,Eurostat nama_10r_3empers
PT_111,2015,A,11120.0,Eurostat nama_10r_3empers
PT_111,2015,BE,19930.0,Eurostat nama_10r_3empers
PT_111,2015,FZ,9580.0,Eurostat nama_10r_3empers
PT_111,2015,GI,20850.0,Eurostat nama_10r_3empers
PT_111,2015,JZ,400.0,Eurostat nama_10r_3empers
PT_111,2015,KZ,990.0,Eurostat nama_10r_3empers
PT_111,2015,LZ,380.0,Eurostat nama_10r_3empers
PT_111,2015,MN,5040.0,Eurostat nama_10r_3empers
PT_111,2015,OPQ,18760.0,Eurostat nama_10r_3empers
PT_111,2015,RSU,5230.0,Eurostat nama_10r_3empers
PT_111,2016,A,10450.0,Eurostat nama_10r_3empers
PT_111,2016,BE,19820.0,Eurostat nama_10r_3empers
PT_111,2016,FZ,10100.0,Eurostat nama_10r_3empers
PT_111,2016,GI,21980.0,Eurostat nama_10r_3empers
PT_111,2016,JZ,420.0,Eurostat nama_10r_3empers
PT_111,2016,KZ,940.0,Eurostat nama_10r_3empers
PT_111,2016,LZ,440.0,Eurostat nama_10r_3empers
PT_111,2016,MN,5440.0,Eurostat nama_10r_3empers
PT_111,2016,OPQ,19360.0,Eurostat nama_10r_3empers
PT_111,2016,RSU,5100.0,Eurostat nama_10r_3empers
PT_111,2017,A,9890.0,Eurostat nama_10r_3empers
PT_111,2017,BE,21100.0,Eurostat nama_10r_3empers
PT_111,2017,FZ,10030.0,Eurostat nama_10r_3empers
PT_111,2017,GI,22670.0,Eurostat nama_10r_3empers
PT_111,2017,JZ,440.0,Eurostat nama_10r_3empers
PT_111,2017,KZ,920.0,Eurostat nama_10r_3empers
PT_111,2017,LZ,560.0,Eurostat nama_10r_3empers
PT_111,2017,MN,6120.0,Eurostat nama_10r_3empers
PT_111,2017,OPQ,19880.0,Eurostat nama_10r_3empers
PT_111,2017,RSU,5170.0,Eurostat nama_10r_3empers
PT_111,2018,A,9640.0,Eurostat nama_10r_3empers
PT_111,2018,BE,22860.0,Eurostat nama_10r_3empers
PT_111,2018,FZ,9990.0,Eurostat nama_10r_3empers
PT_111,2018,GI,23300.0,Eurostat nama_10r_3empers
PT_111,2018,JZ,560.0,Eurostat nama_10r_3empers
PT_111,2018,KZ,910.0,Eurostat nama_10r_3empers
PT_111,2018,LZ,580.0,Eurostat nama_10r_3empers
PT_111,2018,MN,6690.0,Eurostat nama_10r_3empers
PT_111,2018,OPQ,20240.0,Eurostat nama_10r_3empers
PT_111,2018,RSU,5240.0,Eurostat nama_10r_3empers
PT_111,2019,A,7980.0,Eurostat nama_10r_3empers
PT_111,2019,BE,23280.0,Eurostat nama_10r_3empers
PT_111,2019,FZ,9930.0,Eurostat nama_10r_3empers
PT_111,2019,GI,23620.0,Eurostat nama_10r_3empers
PT_111,2019,JZ,640.0,Eurostat nama_10r_3empers
PT_111,2019,KZ,900.0,Eurostat nama_10r_3empers
PT_111,2019,LZ,660.0,Eurostat nama_10r_3empers
PT_111,2019,MN,6900.0,Eurostat nama_10r_3empers
PT_111,2019,OPQ,20350.0,Eurostat nama_10r_3empers
PT_111,2019,RSU,5360.0,Eurostat nama_10r_3empers
PT_111,2020,A,7900.0,Eurostat nama_10r_3empers
PT_111,2020,BE,22840.0,Eurostat nama_10r_3empers
PT_111,2020,FZ,9740.0,Eurostat nama_10r_3empers
PT_111,2020,GI,22130.0,Eurostat nama_10r_3empers
PT_111,2020,JZ,740.0,Eurostat nama_10r_3empers
PT_111,2020,KZ,850.0,Eurostat nama_10r_3empers
PT_111,2020,LZ,730.0,Eurostat nama_10r_3empers
PT_111,2020,MN,7040.0,Eurostat nama_10r_3empers
PT_111,2020,OPQ,20770.0,Eurostat nama_10r_3empers
PT_111,2020,RSU,5350.0,Eurostat nama_10r_3empers
PT_111,2021,A,7390.0,Eurostat nama_10r_3empers
PT_111,2021,BE,23160.0,Eurostat nama_10r_3empers
PT_111,2021,FZ,9870.0,Eurostat nama_10r_3empers
PT_111,2021,GI,21910.0,Eurostat nama_10r_3empers
PT_111,2021,JZ,740.0,Eurostat nama_10r_3empers
PT_111,2021,KZ,900.0,Eurostat nama_10r_3empers
PT_111,2021,LZ,790.0,Eurostat nama_10r_3empers
PT_111,2021,MN,7530.0,Eurostat nama_10r_3empers
PT_111,2021,OPQ,21580.0,Eurostat nama_10r_3empers
PT_111,2021,RSU,5510.0,Eurostat nama_10r_3empers
PT_111,2022,A,7520.0,Eurostat nama_10r_3empers
PT_111,2022,BE,24320.0,Eurostat nama_10r_3empers
PT_111,2022,FZ,10440.0,Eurostat nama_10r_3empers
PT_111,2022,GI,22700.0,Eurostat nama_10r_3empers
PT_111,2022,JZ,830.0,Eurostat nama_10r_3empers
PT_111,2022,KZ,860.0,Eurostat nama_10r_3empers
PT_111,2022,LZ,850.0,Eurostat nama_10r_3empers
PT_111,2022,MN,8240.0,Eurostat nama_10r_3empers
PT_111,2022,OPQ,22150.0,Eurostat nama_10r_3empers
PT_111,2022,RSU,5850.0,Eurostat nama_10r_3empers
PT_111,2023,A,7280.0,Eurostat nama_10r_3empers
PT_111,2023,BE,24330.0,Eurostat nama_10r_3empers
PT_111,2023,FZ,10580.0,Eurostat nama_10r_3empers
PT_111,2023,GI,23060.0,Eurostat nama_10r_3empers
