country,nuts3_id,year,nace_r2,enterprise_births,active_enterprises,enterprise_deaths,employment
FR,FR103,2020,B-S_X_O_S94,,,10012.0,
FR,FR103,2020,F,,,711.0,
FR,FR103,2020,G,,,1293.0,
FR,FR103,2020,H,,,1175.0,
FR,FR103,2020,I,,,338.0,
FR,FR103,2020,J,,,708.0,
FR,FR103,2020,K_L,,,599.0,
FR,FR103,2020,M_N,,,2849.0,
FR,FR103,2020,P_Q,,,1216.0,
FR,FR103,2020,R_S_X_S94,,,859.0,
FR,FR103,2021,B-E,608.0,3684.0,407.0,110701.0
FR,FR103,2021,B-S_X_O_S94,17936.0,99995.0,13382.0,478295.0
FR,FR103,2021,F,1148.0,9046.0,895.0,108345.0
FR,FR103,2021,G,2006.0,12384.0,1589.0,67981.0
FR,FR103,2021,H,2350.0,6834.0,2088.0,10311.0
FR,FR103,2021,I,476.0,3581.0,328.0,30364.0
FR,FR103,2021,J,1433.0,7119.0,1057.0,13634.0
FR,FR103,2021,K_L,1341.0,8195.0,719.0,11052.0
FR,FR103,2021,M_N,4886.0,24653.0,3693.0,86571.0
FR,FR103,2021,P_Q,2109.0,15650.0,1554.0,26328.0
FR,FR103,2021,R_S_X_S94,1579.0,8849.0,1052.0,13007.0
FR,FR103,2022,B-E,529.0,3849.0,374.0,122256.0
FR,FR103,2022,B-S_X_O_S94,16727.0,105721.0,12993.0,502442.0
FR,FR103,2022,F,1122.0,9372.0,911.0,116318.0
FR,FR103,2022,G,1661.0,12731.0,1521.0,61170.0
FR,FR103,2022,H,1293.0,6178.0,1541.0,9576.0
FR,FR103,2022,I,550.0,3895.0,399.0,33867.0
FR,FR103,2022,J,1510.0,7746.0,1000.0,14479.0
FR,FR103,2022,K_L,1299.0,9198.0,800.0,12317.0
FR,FR103,2022,M_N,4844.0,26248.0,3658.0,90651.0
FR,FR103,2022,P_Q,2115.0,16493.0,1590.0,27727.0
FR,FR103,2022,R_S_X_S94,1804.0,10011.0,1199.0,14082.0
FR,FR103,2023,B-E,579.0,4005.0,409.0,107116.0
FR,FR103,2023,B-S_X_O_S94,16577.0,107863.0,13406.0,475580.0
