country,region_system,window_start,window_end,source_sector,target_sector,score_presence,score_sign,score_lag1,score_lag2,inferred_lag,inferred_sign,confidence,stability,covid_period,validation_status,provenance,claim_scope,score_direction,checkpoint_hash
FR,ZE2020,2014,2020,GI,KZ,0.6482812166213989,0.8879405856132507,0.9992275238037109,0.0007725224131718278,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028755068778992,39b30a52da2ad330
FR,ZE2020,2014,2020,GI,LZ,0.5741734504699707,0.8809924125671387,0.99941086769104,0.0005891015171073377,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5026726722717285,39b30a52da2ad330
FR,ZE2020,2014,2020,GI,MN,0.6616606712341309,0.8865654468536377,0.9992924928665161,0.0007075387984514236,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5029082894325256,39b30a52da2ad330
FR,ZE2020,2014,2020,GI,OQ,0.6989909410476685,0.8957737684249878,0.9991545677185059,0.0008454262278974056,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5030025839805603,39b30a52da2ad330
FR,ZE2020,2014,2020,GI,RU,0.6416957974433899,0.8750970959663391,0.9990780353546143,0.0009219425264745951,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028155446052551,39b30a52da2ad330
FR,ZE2020,2014,2020,JZ,BE,0.652410089969635,0.8492693901062012,0.9989598989486694,0.0010400821920484304,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5029352307319641,39b30a52da2ad330
FR,ZE2020,2014,2020,JZ,FZ,0.6902941465377808,0.8610422015190125,0.9983439445495605,0.001656066975556314,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5029527544975281,39b30a52da2ad330
FR,ZE2020,2014,2020,JZ,GI,0.646430492401123,0.874722957611084,0.9991152882575989,0.0008847361896187067,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028797388076782,39b30a52da2ad330
FR,ZE2020,2014,2020,JZ,KZ,0.652201235294342,0.8812574148178101,0.9991452693939209,0.0008547155885025859,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5029024481773376,39b30a52da2ad330
FR,ZE2020,2014,2020,JZ,LZ,0.5720847249031067,0.8671371936798096,0.999332845211029,0.0006671312730759382,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5027245283126831,39b30a52da2ad330
FR,ZE2020,2014,2020,JZ,MN,0.6575707793235779,0.8762421011924744,0.9992185831069946,0.0007814252749085426,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5029304623603821,39b30a52da2ad330
