decision_year,family,src_ZE2020,src_sector,dst_ZE2020,dst_sector,weight
2019,analogy,2802,BE,7504,BE,0.02479038531968989
2019,analogy,2809,BE,2714,BE,0.02838608198504371
2019,analogy,2809,BE,7611,BE,0.028216847552551032
2019,analogy,2809,BE,62,BE,0.027698688087272265
2019,analogy,2809,BE,7511,BE,0.027392023411335256
2019,analogy,2809,BE,7619,BE,0.027003334249834005
2019,analogy,2809,BE,63,BE,0.026949281506519977
2019,analogy,2809,BE,8403,BE,0.024708555046342395
2019,analogy,2809,BE,5305,BE,0.02447823380095807
2019,analogy,2809,BE,7507,BE,0.024302738359872365
2019,analogy,2809,BE,7531,BE,0.02423094018421837
2019,analogy,2816,BE,4419,BE,0.023075061402529618
2019,analogy,2816,BE,5319,BE,0.022873627654049735
2019,analogy,2816,BE,8434,BE,0.022865608592267862
2019,analogy,2816,BE,5317,BE,0.02275746214112939
2019,analogy,2816,BE,1102,BE,0.022668480798999132
2019,analogy,2816,BE,5312,BE,0.022624840794164994
2019,analogy,2816,BE,4424,BE,0.022607642060610507
2019,analogy,2816,BE,3210,BE,0.022520691936241573
2019,analogy,2816,BE,5303,BE,0.02248807921390361
2019,analogy,2816,BE,58,BE,0.022373863246082575
2019,analogy,3204,BE,4407,BE,0.02642728402702924
2019,analogy,3204,BE,4401,BE,0.026348712176214272
2019,analogy,3204,BE,1103,BE,0.025519760482690303
2019,analogy,3204,BE,5203,BE,0.0250016217478939
2019,analogy,3204,BE,8415,BE,0.02431550671751911
2019,analogy,3204,BE,2406,BE,0.023681712747227524
2019,analogy,3204,BE,7515,BE,0.02331264143630051
2019,analogy,3204,BE,8410,BE,0.023212692481241734
2019,analogy,3204,BE,54,BE,0.023149965792695244
2019,analogy,3204,BE,5204,BE,0.02310455558688
2019,analogy,3211,BE,8404,BE,0.022398240142967898
2019,analogy,3211,BE,1104,BE,0.02228062907939062
2019,analogy,3211,BE,9318,BE,0.022276013059777132
2019,analogy,3211,BE,9304,BE,0.02218093903105231
2019,analogy,3211,BE,7602,BE,0.022170316118094658
2019,analogy,3211,BE,2412,BE,0.02192960164433234
2019,analogy,3211,BE,4414,BE,0.021777347100496672
2019,analogy,3211,BE,1105,BE,0.021693595853848176
2019,analogy,3211,BE,7503,BE,0.021581905743742004
2019,analogy,3211,BE,9305,BE,0.021443232079600905
2019,analogy,3218,BE,8433,BE,0.022327059334769365
2019,analogy,3218,BE,7503,BE,0.02230477402456046
2019,analogy,3218,BE,7602,BE,0.022117387444703766
2019,analogy,3218,BE,4405,BE,0.022062123223325934
2019,analogy,3218,BE,8404,BE,0.02183961414542807
2019,analogy,3218,BE,1114,BE,0.021765617931384217
2019,analogy,3218,BE,3207,BE,0.02172133021273886
2019,analogy,3218,BE,7505,BE,0.021570530754655683
2019,analogy,3218,BE,8417,BE,0.02149546535193372
2019,analogy,3218,BE,8419,BE,0.021260526150099907
2019,analogy,4403,BE,5217,BE,0.024228609992809957
2019,analogy,4403,BE,5204,BE,0.024036977216299833
2019,analogy,4403,BE,2801,BE,0.0239520520487877
2019,analogy,4403,BE,5210,BE,0.02389629295542132
2019,analogy,4403,BE,8405,BE,0.023737755347759952
2019,analogy,4403,BE,8415,BE,0.023645157068547064
2019,analogy,4403,BE,8427,BE,0.02360914765491396
2019,analogy,4403,BE,7613,BE,0.0235185987313961
2019,analogy,4403,BE,61,BE,0.023511292180831776
2019,analogy,4403,BE,5209,BE,0.023436396702226827
2019,analogy,4410,BE,2705,BE,0.022391582712118042
2019,analogy,4410,BE,2710,BE,0.02234127775480839
2019,analogy,4410,BE,3214,BE,0.022311625316335983
2019,analogy,4410,BE,9312,BE,0.02225324607169896
2019,analogy,4410,BE,5315,BE,0.022252296212281895
2019,analogy,4410,BE,7524,BE,0.022230045421405435
2019,analogy,4410,BE,2712,BE,0.02220367033843803
2019,analogy,4410,BE,5306,BE,0.022136041559952874
2019,analogy,4410,BE,4417,BE,0.022066623875472733
2019,analogy,4410,BE,1112,BE,0.02202267496578859
