ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1,mask_target,mask_sector_a10,mask_employment,mask_tensor,mask_eu_signals,flag_target_concept,flag_has_national_employment,flag_has_eurostat_bd,eu_employment_rate_lag1,eu_unemployment_rate_lag1,eu_sts_turnover_lag1,eu_esi_lag1,eu_eei_lag1,eu_credit_standards_lag1,eu_gdp_growth_lag1
29,2015,28,13805.0,13805.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
30,2015,29,3400.0,3400.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
31,2015,30,800.0,800.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
32,2015,31,2135.0,2135.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
33,2015,32,5635.0,5635.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
34,2015,33,4140.0,4140.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
35,2015,34,6110.0,6110.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
36,2015,35,6930.0,6930.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
37,2015,36,1975.0,1975.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
38,2015,37,1790.0,1790.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
39,2015,38,4355.0,4355.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
40,2015,39,4140.0,4140.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
1,2016,0,915.0,915.0,885.0,,,,,0,0,0,1,0,0,11030.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
2,2016,1,270.0,270.0,300.0,,,,,0,0,0,1,0,0,3390.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
3,2016,2,3540.0,3540.0,3470.0,,,,,0,0,0,1,0,0,33995.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
4,2016,3,2445.0,2445.0,2565.0,,,,,0,0,0,1,0,0,28565.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
5,2016,4,1075.0,1075.0,1090.0,,,,,0,0,0,1,0,0,14625.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
6,2016,5,1310.0,1310.0,1465.0,,,,,0,0,0,1,0,0,17270.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
7,2016,6,1465.0,1465.0,1430.0,,,,,0,0,0,1,0,0,16395.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
8,2016,7,1175.0,1175.0,1215.0,,,,,0,0,0,1,0,0,13950.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
9,2016,8,1020.0,1020.0,1030.0,,,,,0,0,0,1,0,0,12150.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
10,2016,9,2930.0,2930.0,2960.0,,,,,0,0,0,1,0,0,32970.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
11,2016,10,1230.0,1230.0,1240.0,,,,,0,0,0,1,0,0,13025.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
12,2016,11,4850.0,4850.0,5090.0,,,,,0,0,0,1,0,0,53330.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
13,2016,12,5775.0,5775.0,5905.0,,,,,0,0,0,1,0,0,63830.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
14,2016,13,3105.0,3105.0,3110.0,,,,,0,0,0,1,0,0,37825.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
15,2016,14,6970.0,6970.0,6680.0,,,,,0,0,0,1,0,0,65045.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
