ze2020,libze2020,reg,population_2022_total,side_stocks_et_2023_total,side_stocks_ul_2023_total,bpe_facilities_2024_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_per_1000_pop_2024
2711,Dijon,27,403427.0,34463.0,30306.0,15864.0,85.425616,39.323099
2712,Dole,27,82972.0,5920.0,5286.0,3479.0,71.349371,41.929808
2713,Lons-le-Saunier,27,158299.0,13452.0,12136.0,7243.0,84.978427,45.755185
2714,Montbéliard,27,166376.0,9316.0,8313.0,5515.0,55.993653,33.14781
2715,Pontarlier,27,127034.0,8961.0,8126.0,5125.0,70.54017,40.34353
2716,Saint-Claude,27,51794.0,4119.0,3776.0,2456.0,79.526586,47.41862
2717,Sens,27,114192.0,7893.0,7110.0,4330.0,69.120429,37.918593
2718,Vesoul,27,126165.0,8281.0,7477.0,5388.0,65.63627,42.70598
2801,Argentan,28,41551.0,2636.0,2349.0,1486.0,63.44011,35.763279
2802,Avranches,28,89226.0,6506.0,5754.0,3535.0,72.915966,39.618497
2803,Bernay,28,69837.0,4950.0,4511.0,2765.0,70.879333,39.592193
2804,Caen,28,542066.0,46065.0,40796.0,20944.0,84.980427,38.637362
2805,Cherbourg-en-Cotentin,28,185457.0,10931.0,9621.0,5847.0,58.940887,31.527524
2806,Coutances,28,64192.0,4684.0,4283.0,2554.0,72.968594,39.786889
2807,Dieppe-Caux maritime,28,145057.0,9206.0,8192.0,5594.0,63.464707,38.564151
2808,Évreux,28,184524.0,12777.0,11426.0,6750.0,69.243025,36.580607
2809,Flers,28,93218.0,5287.0,4713.0,3262.0,56.716514,34.993242
2810,Granville,28,54355.0,4943.0,4462.0,2340.0,90.939196,43.050317
2811,Honfleur Pont-Audemer,28,104504.0,10411.0,9197.0,5426.0,99.622981,51.921458
2812,L'Aigle,28,44422.0,3002.0,2741.0,1803.0,67.579127,40.587997
2813,Le Havre,28,321805.0,20137.0,17451.0,10325.0,62.575162,32.084648
2814,Lisieux,28,74037.0,6195.0,5534.0,3136.0,83.674379,42.3572
2815,Rouen,28,737878.0,50812.0,44341.0,24596.0,68.862332,33.333424
2816,Saint-Lô,28,107393.0,7110.0,6302.0,3788.0,66.205432,35.272318
2817,Vernon-Gisors,28,132054.0,9244.0,8290.0,4799.0,70.001666,36.341194
2818,Vire Normandie,28,43756.0,2642.0,2344.0,1454.0,60.380291,33.229728
2819,Yvetot-Vallée du Commerce,28,117688.0,6515.0,5748.0,3706.0,55.358235,31.490041
3201,Abbeville,32,92321.0,6450.0,5385.0,3915.0,69.864928,42.406386
3202,Amiens,32,384611.0,24471.0,21362.0,13679.0,63.625325,35.565805
3203,Arras,32,181801.0,12179.0,10701.0,6386.0,66.990831,35.126319
3204,Berck,32,126986.0,9610.0,8543.0,5580.0,75.677634,43.941852
3205,Béthune,32,275053.0,14302.0,12865.0,8387.0,51.997251,30.492305
3206,Boulogne-sur-Mer,32,165320.0,10628.0,9411.0,5674.0,64.287443,34.321316
3207,Calais,32,143503.0,8035.0,7036.0,4472.0,55.991861,31.163112
3208,Cambrai,32,153787.0,9086.0,8079.0,5330.0,59.081717,34.658326
3209,Château-Thierry,32,71928.0,4346.0,3957.0,2640.0,60.421533,36.70337
3210,Compiègne,32,200394.0,13504.0,11997.0,7021.0,67.387247,35.035979
3211,Creil,32,303955.0,19902.0,17974.0,10448.0,65.476798,34.373509
3212,Douai,32,243824.0,12306.0,10991.0,7149.0,50.470831,29.320329
3213,Dunkerque,32,272414.0,14926.0,13144.0,8447.0,54.791604,31.007951
3214,Laon,32,104372.0,5705.0,5149.0,3730.0,54.660254,35.737554
3215,Lens,32,390806.0,18724.0,16415.0,11251.0,47.91124,28.78922
3216,Lille,32,944572.0,88797.0,77811.0,33659.0,94.007656,35.634128
3217,Maubeuge,32,242992.0,11440.0,10227.0,7713.0,47.079739,31.741786
3218,Roubaix-Tourcoing,32,413993.0,28692.0,26080.0,12747.0,69.30552,30.790376
3219,Saint-Omer,32,172004.0,10336.0,9204.0,5743.0,60.091626,33.388758
3220,Saint-Quentin,32,248554.0,13876.0,12232.0,8413.0,55.826903,33.847776
3221,Soissons,32,166743.0,9891.0,8891.0,5682.0,59.318832,34.076393
3222,Valenciennes,32,391127.0,21111.0,18850.0,11988.0,53.974796,30.649891
4401,Bar-le-Duc,44,66470.0,3918.0,3466.0,2705.0,58.943884,40.69505
4402,Châlons-en-Champagne,44,107630.0,6735.0,5898.0,3795.0,62.57549,35.259686
