year,ze2020,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count
2012,3216,Lille,7340.0,8640.0,133
2012,3217,Maubeuge,1176.0,1310.0,199
2012,3218,Roubaix-Tourcoing,2940.0,3450.0,22
2012,3219,Saint-Omer,869.0,975.0,126
2012,3220,Saint-Quentin,1239.0,1417.0,326
2012,3221,Soissons,1024.0,1148.0,232
2012,3222,Valenciennes,2076.0,2292.0,125
2012,4401,Bar-le-Duc,389.0,445.0,154
2012,4402,Châlons-en-Champagne,564.0,691.0,151
2012,4403,Charleville-Mézières,935.0,1048.0,180
2012,4404,Chaumont,693.0,813.0,369
2012,4405,Colmar,1490.0,1662.0,100
2012,4406,Épernay,531.0,611.0,113
2012,4407,Épinal,1193.0,1332.0,328
2012,4408,Forbach,700.0,793.0,30
2012,4409,Haguenau,1576.0,1793.0,164
2012,4410,Metz,3220.0,3687.0,246
2012,4411,Mulhouse,3166.0,3511.0,170
2012,4412,Nancy,3692.0,4277.0,445
2012,4413,Reims,2264.0,2649.0,225
2012,4414,Remiremont,624.0,694.0,49
2012,4415,Romilly-sur-Seine,448.0,522.0,170
2012,4416,Saint-Avold,786.0,865.0,131
2012,4417,Saint-Dié-des-Vosges,665.0,720.0,110
2012,4418,Saint-Louis,557.0,615.0,91
2012,4419,Sarrebourg,597.0,689.0,215
2012,4420,Sarreguemines,760.0,809.0,141
2012,4421,Sedan,517.0,581.0,245
2012,4422,Sélestat,674.0,750.0,72
2012,4423,Strasbourg,5829.0,6667.0,213
2012,4424,Thionville,1757.0,1988.0,190
2012,4425,Troyes,1698.0,1998.0,358
2012,4426,Verdun,467.0,495.0,231
2012,4427,Vitry-le-François Saint-Dizier,572.0,682.0,224
2012,5201,Ancenis,637.0,683.0,23
2012,5202,Angers,2723.0,3110.0,67
2012,5203,Challans,1167.0,1357.0,42
2012,5204,Château-Gontier-sur-Mayenne,192.0,236.0,32
2012,5205,Châteaubriant,339.0,375.0,32
2012,5206,Cholet,1029.0,1168.0,35
2012,5207,Fontenay-le-Comte,724.0,834.0,98
2012,5208,La Ferté-Bernard,303.0,341.0,80
2012,5209,La Flèche,271.0,305.0,28
2012,5210,La Roche-sur-Yon,1069.0,1240.0,45
2012,5211,Laval,870.0,1049.0,85
2012,5212,Le Mans,1879.0,2210.0,148
2012,5213,Les Herbiers-Montaigu,700.0,806.0,49
2012,5214,Les Sables-d'Olonne,740.0,837.0,18
2012,5215,Mayenne,371.0,436.0,92
2012,5216,Nantes,7534.0,8640.0,95
2012,5217,Pornic,660.0,687.0,16
2012,5218,Sablé-sur-Sarthe,258.0,281.0,52
2012,5219,Saint-Nazaire,1792.0,1973.0,37
2012,5220,Saumur,584.0,638.0,45
