ze2020,libze2020,nb_com,geometry_type,is_multipolygon
5213,Les Herbiers-Montaigu,49,Polygon,0
5214,Les Sables-d'Olonne,18,Polygon,0
5215,Mayenne,92,Polygon,0
5216,Nantes,95,Polygon,0
5217,Pornic,16,Polygon,0
5218,Sablé-sur-Sarthe,52,Polygon,0
5219,Saint-Nazaire,37,Polygon,0
5220,Saumur,45,Polygon,0
5221,Segré-en-Anjou Bleu,30,Polygon,0
5301,Auray,28,MultiPolygon,1
5302,Brest,92,MultiPolygon,1
5303,Carhaix-Plouguer,81,Polygon,0
5304,Dinan,66,Polygon,0
5305,Fougères,45,Polygon,0
5306,Guingamp,49,Polygon,0
5307,Lamballe-Armor,40,Polygon,0
5308,Lannion,65,MultiPolygon,1
5309,Lorient,35,MultiPolygon,1
5310,Morlaix,59,MultiPolygon,1
5311,Ploërmel,53,Polygon,0
5312,Pontivy-Loudéac,64,Polygon,0
5313,Quimper,83,MultiPolygon,1
5314,Quimperlé,18,Polygon,0
5315,Rennes,160,Polygon,0
5316,Saint-Brieuc,58,Polygon,0
5317,Saint-Malo,54,MultiPolygon,1
5318,Vannes,60,MultiPolygon,1
5319,Vitré,56,Polygon,0
7501,Agen,99,Polygon,0
7502,Angoulême,229,Polygon,0
7503,Bayonne,111,Polygon,0
7504,Bergerac,153,Polygon,0
7505,Bordeaux,164,Polygon,0
7506,Bressuire,80,Polygon,0
7507,Brive-la-Gaillarde,98,Polygon,0
7508,Châtellerault,50,Polygon,0
7509,Cognac,191,Polygon,0
7510,Dax,119,Polygon,0
7511,Guéret,255,Polygon,0
7512,La Rochelle,83,MultiPolygon,1
7513,La Teste-de-Buch,33,MultiPolygon,1
7514,Langon,175,Polygon,0
7515,Lesparre-Médoc,40,Polygon,0
7516,Libourne,140,Polygon,0
7517,Limoges,130,Polygon,0
7518,Marmande,131,Polygon,0
7519,Mont-de-Marsan,166,Polygon,0
7520,Niort,158,Polygon,0
7521,Oloron-Sainte-Marie,163,Polygon,0
7522,Pau,286,Polygon,0
7523,Périgueux,231,Polygon,0
7524,Poitiers,163,Polygon,0
7525,Rochefort,41,MultiPolygon,1
7526,Royan,51,MultiPolygon,1
7527,Saint-Junien,104,Polygon,0
7528,Saintes,147,Polygon,0
7529,Sarlat-la-Canéda,107,Polygon,0
7530,Thouars,76,Polygon,0
7531,Tulle,130,Polygon,0
7532,Villeneuve-sur-Lot,98,Polygon,0
7601,Agde-Pézenas,18,Polygon,0
7602,Albi,190,Polygon,0
7603,Alès-Le Vigan,172,Polygon,0
7604,Auch,392,Polygon,0
7605,Bagnols-sur-Cèze,52,Polygon,0
7606,Béziers,110,Polygon,0
7607,Cahors,134,Polygon,0
7608,Carcassonne-Limoux,309,Polygon,0
7609,Castelsarrasin-Moissac,104,Polygon,0
7610,Castres-Mazamet,134,Polygon,0
7611,Figeac-Villefranche,136,Polygon,0
7612,Foix-Pamiers,268,Polygon,0
7613,Mende,135,Polygon,0
7614,Millau,91,Polygon,0
7615,Montauban,101,Polygon,0
7616,Montpellier,172,Polygon,0
7617,Narbonne,102,Polygon,0
7618,Nîmes,118,Polygon,0
7619,Nord-du-Lot,110,Polygon,0
7620,Perpignan,235,Polygon,0
7621,Rodez,133,Polygon,0
7622,Saint-Gaudens,387,Polygon,0
7623,Sète,11,Polygon,0
7624,Tarbes-Lourdes,477,MultiPolygon,1
7625,Toulouse,335,Polygon,0
8401,Annecy,98,Polygon,0
8402,Aubenas,175,Polygon,0
8403,Aurillac,102,Polygon,0
8404,Belley,72,Polygon,0
8405,Bourg-en-Bresse,166,Polygon,0
8406,Bourgoin-Jallieu,106,Polygon,0
8407,Chambéry,110,Polygon,0
8408,Clermont-Ferrand,191,Polygon,0
8409,Grenoble,189,Polygon,0
8410,Issoire,138,Polygon,0
8411,La Maurienne,48,Polygon,0
8412,La Plaine du Forez,88,Polygon,0
8413,La Tarentaise,68,Polygon,0
8414,La Vallée de l'Arve,28,Polygon,0
8415,Le Chablais,48,Polygon,0
8416,Le Genevois Français,146,Polygon,0
8417,Le Livradois,109,Polygon,0
8418,Le Mont Blanc,20,Polygon,0
8419,Le Puy-en-Velay,184,Polygon,0
8420,Les Sources de la Loire,77,Polygon,0
8421,Lyon,235,Polygon,0
8422,Montélimar,65,Polygon,0
8423,Montluçon,114,Polygon,0
8424,Moulins,101,Polygon,0
8425,Oyonnax,35,Polygon,0
8426,Roanne,76,Polygon,0
8427,Romans-sur-Isère,57,Polygon,0
8428,Saint-Étienne,134,Polygon,0
8429,Saint-Flour,88,Polygon,0
8430,Tarare,42,Polygon,0
8431,Valence,157,Polygon,0
8432,Vichy,144,Polygon,0
8433,Vienne-Annonay,146,Polygon,0
8434,Villefranche-sur-Saône,92,Polygon,0
8435,Voiron,130,Polygon,0
9301,Aix-en-Provence,61,Polygon,0
9302,Briançon,36,Polygon,0
9303,Brignoles,41,Polygon,0
9304,Cannes,50,MultiPolygon,1
9305,Carpentras,29,Polygon,0
