target_year,ze2020,node_idx,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count
2014,8415,241,Le Chablais,1135,1216,48
2015,8415,241,Le Chablais,1093,1243,48
2016,8415,241,Le Chablais,1195,1333,48
2017,8415,241,Le Chablais,1279,1429,48
2018,8415,241,Le Chablais,1307,1450,48
2019,8415,241,Le Chablais,1551,1712,48
2020,8415,241,Le Chablais,1776,1938,48
2021,8415,241,Le Chablais,1838,2081,48
2022,8415,241,Le Chablais,1908,2157,48
2023,8415,241,Le Chablais,1828,2078,48
2024,8415,241,Le Chablais,2022,2327,48
2025,8415,241,Le Chablais,2136,2487,48
2012,8416,242,Le Genevois Français,2578,2768,146
2013,8416,242,Le Genevois Français,2486,2701,146
2014,8416,242,Le Genevois Français,2677,2854,146
2015,8416,242,Le Genevois Français,2462,2647,146
2016,8416,242,Le Genevois Français,2674,2839,146
2017,8416,242,Le Genevois Français,2916,3150,146
2018,8416,242,Le Genevois Français,3112,3367,146
2019,8416,242,Le Genevois Français,3916,4195,146
2020,8416,242,Le Genevois Français,4568,4826,146
2021,8416,242,Le Genevois Français,5012,5427,146
2022,8416,242,Le Genevois Français,4984,5366,146
2023,8416,242,Le Genevois Français,4836,5173,146
2024,8416,242,Le Genevois Français,5593,6338,146
2025,8416,242,Le Genevois Français,6308,7007,146
2012,8417,243,Le Livradois,597,664,109
2013,8417,243,Le Livradois,559,599,109
2014,8417,243,Le Livradois,621,649,109
2015,8417,243,Le Livradois,547,563,109
2016,8417,243,Le Livradois,542,584,109
2017,8417,243,Le Livradois,567,619,109
2018,8417,243,Le Livradois,633,669,109
2019,8417,243,Le Livradois,677,753,109
2020,8417,243,Le Livradois,709,763,109
2021,8417,243,Le Livradois,849,1000,109
2022,8417,243,Le Livradois,930,1041,109
2023,8417,243,Le Livradois,882,987,109
2024,8417,243,Le Livradois,949,1123,109
2025,8417,243,Le Livradois,931,1129,109
2012,8418,244,Le Mont Blanc,897,1070,20
2013,8418,244,Le Mont Blanc,933,1042,20
2014,8418,244,Le Mont Blanc,1004,1140,20
2015,8418,244,Le Mont Blanc,889,978,20
2016,8418,244,Le Mont Blanc,914,1052,20
2017,8418,244,Le Mont Blanc,981,1118,20
2018,8418,244,Le Mont Blanc,1056,1180,20
2019,8418,244,Le Mont Blanc,1370,1489,20
2020,8418,244,Le Mont Blanc,1284,1452,20
2021,8418,244,Le Mont Blanc,1402,1607,20
2022,8418,244,Le Mont Blanc,1499,1713,20
2023,8418,244,Le Mont Blanc,1466,1685,20
2024,8418,244,Le Mont Blanc,1382,1650,20
2025,8418,244,Le Mont Blanc,1464,1799,20
2012,8419,245,Le Puy-en-Velay,741,840,184
2013,8419,245,Le Puy-en-Velay,790,870,184
2014,8419,245,Le Puy-en-Velay,753,822,184
2015,8419,245,Le Puy-en-Velay,737,803,184
2016,8419,245,Le Puy-en-Velay,700,783,184
2017,8419,245,Le Puy-en-Velay,738,848,184
2018,8419,245,Le Puy-en-Velay,770,913,184
2019,8419,245,Le Puy-en-Velay,941,1065,184
2020,8419,245,Le Puy-en-Velay,973,1110,184
2021,8419,245,Le Puy-en-Velay,1204,1373,184
2022,8419,245,Le Puy-en-Velay,1262,1440,184
2023,8419,245,Le Puy-en-Velay,1235,1395,184
2024,8419,245,Le Puy-en-Velay,1329,1573,184
2025,8419,245,Le Puy-en-Velay,1403,1714,184
2012,8420,246,Les Sources de la Loire,552,624,77
2013,8420,246,Les Sources de la Loire,535,580,77
2014,8420,246,Les Sources de la Loire,548,576,77
2015,8420,246,Les Sources de la Loire,524,545,77
2016,8420,246,Les Sources de la Loire,498,561,77
2017,8420,246,Les Sources de la Loire,603,676,77
2018,8420,246,Les Sources de la Loire,638,712,77
2019,8420,246,Les Sources de la Loire,659,739,77
2020,8420,246,Les Sources de la Loire,728,815,77
2021,8420,246,Les Sources de la Loire,871,965,77
2022,8420,246,Les Sources de la Loire,975,1075,77
2023,8420,246,Les Sources de la Loire,934,1031,77
2024,8420,246,Les Sources de la Loire,991,1122,77
2025,8420,246,Les Sources de la Loire,1041,1221,77
2012,8421,247,Lyon,18613,21257,235
2013,8421,247,Lyon,18778,20800,235
2014,8421,247,Lyon,19335,21590,235
2015,8421,247,Lyon,19718,22172,235
2016,8421,247,Lyon,21958,24447,235
2017,8421,247,Lyon,25408,27915,235
2018,8421,247,Lyon,29689,32376,235
2019,8421,247,Lyon,36365,39565,235
2020,8421,247,Lyon,36243,39178,235
2021,8421,247,Lyon,39304,42491,235
2022,8421,247,Lyon,39204,42303,235
2023,8421,247,Lyon,37565,40654,235
2024,8421,247,Lyon,40644,44445,235
2025,8421,247,Lyon,41266,46119,235
2012,8422,248,Montélimar,996,1170,65
2013,8422,248,Montélimar,1016,1117,65
2014,8422,248,Montélimar,1062,1154,65
2015,8422,248,Montélimar,977,1060,65
2016,8422,248,Montélimar,1047,1135,65
2017,8422,248,Montélimar,948,1112,65
2018,8422,248,Montélimar,1121,1226,65
2019,8422,248,Montélimar,1265,1383,65
2020,8422,248,Montélimar,1279,1450,65
2021,8422,248,Montélimar,1551,1747,65
2022,8422,248,Montélimar,1536,1692,65
2023,8422,248,Montélimar,1537,1710,65
2024,8422,248,Montélimar,1570,1828,65
2025,8422,248,Montélimar,1554,1830,65
2012,8423,249,Montluçon,682,804,114
2013,8423,249,Montluçon,640,777,114
2014,8423,249,Montluçon,719,873,114
2015,8423,249,Montluçon,610,754,114
2016,8423,249,Montluçon,650,775,114
2017,8423,249,Montluçon,653,791,114
2018,8423,249,Montluçon,717,867,114
2019,8423,249,Montluçon,810,946,114
2020,8423,249,Montluçon,822,980,114
2021,8423,249,Montluçon,979,1180,114
2022,8423,249,Montluçon,1028,1227,114
2023,8423,249,Montluçon,1114,1296,114
2024,8423,249,Montluçon,1139,1375,114
2025,8423,249,Montluçon,1143,1407,114
2012,8424,250,Moulins,583,680,101
2013,8424,250,Moulins,636,744,101
2014,8424,250,Moulins,534,631,101
2015,8424,250,Moulins,537,628,101
2016,8424,250,Moulins,492,612,101
2017,8424,250,Moulins,519,630,101
2018,8424,250,Moulins,532,692,101
2019,8424,250,Moulins,573,766,101
2020,8424,250,Moulins,651,842,101
2021,8424,250,Moulins,820,1089,101
2022,8424,250,Moulins,863,1090,101
2023,8424,250,Moulins,870,1085,101
2024,8424,250,Moulins,908,1178,101
2025,8424,250,Moulins,913,1194,101
2012,8425,251,Oyonnax,407,457,35
2013,8425,251,Oyonnax,357,418,35
2014,8425,251,Oyonnax,412,459,35
2015,8425,251,Oyonnax,361,399,35
2016,8425,251,Oyonnax,387,426,35
2017,8425,251,Oyonnax,374,424,35
2018,8425,251,Oyonnax,442,497,35
2019,8425,251,Oyonnax,563,612,35
2020,8425,251,Oyonnax,559,613,35
2021,8425,251,Oyonnax,613,653,35
2022,8425,251,Oyonnax,715,781,35
2023,8425,251,Oyonnax,686,731,35
2024,8425,251,Oyonnax,743,852,35
2025,8425,251,Oyonnax,781,871,35
2012,8426,252,Roanne,890,1011,76
2013,8426,252,Roanne,940,1012,76
2014,8426,252,Roanne,927,1023,76
2015,8426,252,Roanne,868,976,76
2016,8426,252,Roanne,874,968,76
2017,8426,252,Roanne,1008,1129,76
2018,8426,252,Roanne,1063,1199,76
2019,8426,252,Roanne,1278,1382,76
2020,8426,252,Roanne,1403,1545,76
2021,8426,252,Roanne,1518,1687,76
2022,8426,252,Roanne,1616,1803,76
2023,8426,252,Roanne,1543,1733,76
2024,8426,252,Roanne,1608,1857,76
2025,8426,252,Roanne,1694,2002,76
2012,8427,253,Romans-sur-Isère,878,972,57
2013,8427,253,Romans-sur-Isère,837,895,57
2014,8427,253,Romans-sur-Isère,912,1014,57
2015,8427,253,Romans-sur-Isère,812,849,57
2016,8427,253,Romans-sur-Isère,775,875,57
2017,8427,253,Romans-sur-Isère,967,1060,57
2018,8427,253,Romans-sur-Isère,1010,1074,57
2019,8427,253,Romans-sur-Isère,1122,1223,57
2020,8427,253,Romans-sur-Isère,1273,1365,57
2021,8427,253,Romans-sur-Isère,1471,1636,57
2022,8427,253,Romans-sur-Isère,1327,1494,57
2023,8427,253,Romans-sur-Isère,1345,1481,57
2024,8427,253,Romans-sur-Isère,1464,1690,57
2025,8427,253,Romans-sur-Isère,1465,1701,57
2012,8428,254,Saint-Étienne,4043,4493,134
2013,8428,254,Saint-Étienne,4021,4410,134
2014,8428,254,Saint-Étienne,4146,4587,134
2015,8428,254,Saint-Étienne,3858,4283,134
2016,8428,254,Saint-Étienne,3995,4364,134
2017,8428,254,Saint-Étienne,4316,4825,134
2018,8428,254,Saint-Étienne,4947,5380,134
2019,8428,254,Saint-Étienne,6137,6687,134
2020,8428,254,Saint-Étienne,6681,7240,134
2021,8428,254,Saint-Étienne,7661,8243,134
2022,8428,254,Saint-Étienne,7582,8142,134
2023,8428,254,Saint-Étienne,7300,7874,134
2024,8428,254,Saint-Étienne,8044,8842,134
2025,8428,254,Saint-Étienne,8226,9292,134
2012,8429,255,Saint-Flour,184,303,88
2013,8429,255,Saint-Flour,180,316,88
2014,8429,255,Saint-Flour,186,234,88
2015,8429,255,Saint-Flour,190,272,88
2016,8429,255,Saint-Flour,168,250,88
2017,8429,255,Saint-Flour,177,243,88
2018,8429,255,Saint-Flour,207,245,88
2019,8429,255,Saint-Flour,218,292,88
2020,8429,255,Saint-Flour,207,282,88
2021,8429,255,Saint-Flour,250,343,88
2022,8429,255,Saint-Flour,270,392,88
2023,8429,255,Saint-Flour,300,376,88
2024,8429,255,Saint-Flour,353,438,88
2025,8429,255,Saint-Flour,344,496,88
2012,8430,256,Tarare,345,387,42
2013,8430,256,Tarare,355,355,42
2014,8430,256,Tarare,422,450,42
2015,8430,256,Tarare,389,416,42
2016,8430,256,Tarare,358,369,42
2017,8430,256,Tarare,399,455,42
2018,8430,256,Tarare,462,490,42
2019,8430,256,Tarare,531,565,42
2020,8430,256,Tarare,527,568,42
2021,8430,256,Tarare,590,645,42
2022,8430,256,Tarare,643,717,42
2023,8430,256,Tarare,671,731,42
2024,8430,256,Tarare,660,762,42
2025,8430,256,Tarare,691,805,42
2012,8431,257,Valence,2639,2919,157
2013,8431,257,Valence,2639,2897,157
2014,8431,257,Valence,2756,2920,157
2015,8431,257,Valence,2622,2868,157
2016,8431,257,Valence,2714,2943,157
2017,8431,257,Valence,2790,3064,157
2018,8431,257,Valence,3027,3368,157
2019,8431,257,Valence,3567,3948,157
2020,8431,257,Valence,3813,4210,157
2021,8431,257,Valence,4295,4809,157
2022,8431,257,Valence,4242,4713,157
2023,8431,257,Valence,4164,4587,157
2024,8431,257,Valence,4343,4944,157
2025,8431,257,Valence,4463,5166,157
2012,8432,258,Vichy,935,1052,144
2013,8432,258,Vichy,1010,1098,144
2014,8432,258,Vichy,969,1089,144
2015,8432,258,Vichy,904,1019,144
2016,8432,258,Vichy,857,995,144
2017,8432,258,Vichy,958,1069,144
2018,8432,258,Vichy,972,1121,144
2019,8432,258,Vichy,1134,1302,144
2020,8432,258,Vichy,1217,1382,144
2021,8432,258,Vichy,1514,1772,144
2022,8432,258,Vichy,1665,1933,144
2023,8432,258,Vichy,1622,1886,144
2024,8432,258,Vichy,1654,2016,144
2025,8432,258,Vichy,1768,2148,144
2012,8433,259,Vienne-Annonay,1897,2064,146
2013,8433,259,Vienne-Annonay,1990,2109,146
2014,8433,259,Vienne-Annonay,2119,2352,146
2015,8433,259,Vienne-Annonay,1878,2105,146
2016,8433,259,Vienne-Annonay,1930,2046,146
2017,8433,259,Vienne-Annonay,2020,2180,146
2018,8433,259,Vienne-Annonay,2189,2356,146
2019,8433,259,Vienne-Annonay,2600,2844,146
2020,8433,259,Vienne-Annonay,2799,3047,146
2021,8433,259,Vienne-Annonay,3130,3466,146
2022,8433,259,Vienne-Annonay,3409,3723,146
2023,8433,259,Vienne-Annonay,3333,3667,146
2024,8433,259,Vienne-Annonay,3537,4036,146
2025,8433,259,Vienne-Annonay,3756,4312,146
2012,8434,260,Villefranche-sur-Saône,1501,1668,92
2013,8434,260,Villefranche-sur-Saône,1508,1546,92
2014,8434,260,Villefranche-sur-Saône,1515,1616,92
2015,8434,260,Villefranche-sur-Saône,1463,1537,92
2016,8434,260,Villefranche-sur-Saône,1672,1810,92
2017,8434,260,Villefranche-sur-Saône,1658,1839,92
2018,8434,260,Villefranche-sur-Saône,1870,2048,92
2019,8434,260,Villefranche-sur-Saône,2209,2371,92
2020,8434,260,Villefranche-sur-Saône,2405,2595,92
2021,8434,260,Villefranche-sur-Saône,2761,2997,92
2022,8434,260,Villefranche-sur-Saône,2750,3027,92
2023,8434,260,Villefranche-sur-Saône,2655,2927,92
2024,8434,260,Villefranche-sur-Saône,2863,3283,92
2025,8434,260,Villefranche-sur-Saône,2941,3361,92
2012,8435,261,Voiron,1662,1828,130
2013,8435,261,Voiron,1734,1864,130
2014,8435,261,Voiron,1786,1879,130
2015,8435,261,Voiron,1585,1682,130
2016,8435,261,Voiron,1636,1783,130
2017,8435,261,Voiron,1784,1891,130
2018,8435,261,Voiron,2005,2132,130
2019,8435,261,Voiron,2363,2521,130
2020,8435,261,Voiron,2306,2517,130
2021,8435,261,Voiron,2666,2934,130
2022,8435,261,Voiron,2868,3121,130
2023,8435,261,Voiron,2576,2859,130
2024,8435,261,Voiron,2855,3286,130
2025,8435,261,Voiron,2931,3393,130
2012,9301,262,Aix-en-Provence,5205,5874,61
2013,9301,262,Aix-en-Provence,5174,5736,61
2014,9301,262,Aix-en-Provence,5143,5673,61
2015,9301,262,Aix-en-Provence,4771,5447,61
2016,9301,262,Aix-en-Provence,5226,5856,61
2017,9301,262,Aix-en-Provence,5633,6251,61
2018,9301,262,Aix-en-Provence,6661,7389,61
2019,9301,262,Aix-en-Provence,7582,8322,61
2020,9301,262,Aix-en-Provence,7510,8206,61
2021,9301,262,Aix-en-Provence,8883,9801,61
2022,9301,262,Aix-en-Provence,8879,9957,61
2023,9301,262,Aix-en-Provence,8565,9420,61
2024,9301,262,Aix-en-Provence,8736,10072,61
2025,9301,262,Aix-en-Provence,8919,10241,61
2012,9302,263,Briançon,472,544,36
2013,9302,263,Briançon,526,608,36
2014,9302,263,Briançon,534,574,36
2015,9302,263,Briançon,478,568,36
2016,9302,263,Briançon,481,574,36
2017,9302,263,Briançon,459,528,36
2018,9302,263,Briançon,504,595,36
2019,9302,263,Briançon,549,636,36
2020,9302,263,Briançon,558,651,36
2021,9302,263,Briançon,633,730,36
2022,9302,263,Briançon,676,767,36
2023,9302,263,Briançon,682,765,36
2024,9302,263,Briançon,610,764,36
2025,9302,263,Briançon,685,870,36
2012,9303,264,Brignoles,1592,1796,41
2013,9303,264,Brignoles,1576,1628,41
2014,9303,264,Brignoles,1545,1612,41
2015,9303,264,Brignoles,1518,1592,41
2016,9303,264,Brignoles,1574,1675,41
2017,9303,264,Brignoles,1614,1714,41
2018,9303,264,Brignoles,1774,1968,41
2019,9303,264,Brignoles,1970,2143,41
2020,9303,264,Brignoles,2092,2242,41
2021,9303,264,Brignoles,2471,2715,41
2022,9303,264,Brignoles,2691,2990,41
2023,9303,264,Brignoles,2459,2654,41
2024,9303,264,Brignoles,2531,2882,41
2025,9303,264,Brignoles,2790,3215,41
2012,9304,265,Cannes,7324,8360,50
2013,9304,265,Cannes,6829,7544,50
2014,9304,265,Cannes,6711,7450,50
2015,9304,265,Cannes,6444,7165,50
2016,9304,265,Cannes,6881,7657,50
2017,9304,265,Cannes,6996,7730,50
2018,9304,265,Cannes,8012,9006,50
2019,9304,265,Cannes,9103,9946,50
2020,9304,265,Cannes,9303,10116,50
2021,9304,265,Cannes,10878,11990,50
2022,9304,265,Cannes,11508,12645,50
2023,9304,265,Cannes,11035,12063,50
2024,9304,265,Cannes,11345,12954,50
2025,9304,265,Cannes,11905,13655,50
2012,9305,266,Carpentras,1053,1183,29
2013,9305,266,Carpentras,1009,1131,29
2014,9305,266,Carpentras,1030,1132,29
2015,9305,266,Carpentras,916,1020,29
2016,9305,266,Carpentras,979,1047,29
2017,9305,266,Carpentras,1025,1148,29
2018,9305,266,Carpentras,1202,1272,29
2019,9305,266,Carpentras,1319,1475,29
2020,9305,266,Carpentras,1294,1438,29
2021,9305,266,Carpentras,1658,1842,29
2022,9305,266,Carpentras,1619,1744,29
2023,9305,266,Carpentras,1600,1749,29
2024,9305,266,Carpentras,1760,2013,29
2025,9305,266,Carpentras,1772,2011,29
2012,9306,267,Cavaillon,1526,1767,54
2013,9306,267,Cavaillon,1442,1610,54
2014,9306,267,Cavaillon,1538,1697,54
2015,9306,267,Cavaillon,1368,1546,54
2016,9306,267,Cavaillon,1312,1454,54
2017,9306,267,Cavaillon,1470,1623,54
2018,9306,267,Cavaillon,1630,1810,54
2019,9306,267,Cavaillon,1836,2037,54
2020,9306,267,Cavaillon,1821,2058,54
2021,9306,267,Cavaillon,2197,2485,54
2022,9306,267,Cavaillon,2139,2406,54
2023,9306,267,Cavaillon,2179,2415,54
2024,9306,267,Cavaillon,2372,2756,54
2025,9306,267,Cavaillon,2412,2780,54
2012,9307,268,Digne-les-Bains,830,978,123
2013,9307,268,Digne-les-Bains,769,900,123
2014,9307,268,Digne-les-Bains,763,827,123
2015,9307,268,Digne-les-Bains,742,830,123
2016,9307,268,Digne-les-Bains,688,819,123
2017,9307,268,Digne-les-Bains,729,834,123
2018,9307,268,Digne-les-Bains,774,883,123
2019,9307,268,Digne-les-Bains,945,1111,123
2020,9307,268,Digne-les-Bains,935,1107,123
2021,9307,268,Digne-les-Bains,1138,1325,123
2022,9307,268,Digne-les-Bains,1244,1473,123
2023,9307,268,Digne-les-Bains,1199,1377,123
2024,9307,268,Digne-les-Bains,1124,1379,123
2025,9307,268,Digne-les-Bains,1175,1433,123
2012,9308,269,Draguignan,1406,1560,39
2013,9308,269,Draguignan,1355,1440,39
2014,9308,269,Draguignan,1413,1496,39
2015,9308,269,Draguignan,1304,1407,39
2016,9308,269,Draguignan,1363,1444,39
2017,9308,269,Draguignan,1384,1530,39
2018,9308,269,Draguignan,1549,1658,39
2019,9308,269,Draguignan,1738,1913,39
2020,9308,269,Draguignan,1776,1915,39
2021,9308,269,Draguignan,2254,2461,39
2022,9308,269,Draguignan,2285,2467,39
2023,9308,269,Draguignan,2293,2486,39
2024,9308,269,Draguignan,2286,2636,39
2025,9308,269,Draguignan,2444,2795,39
2012,9309,270,Fréjus,1710,1947,5
2013,9309,270,Fréjus,1727,1912,5
2014,9309,270,Fréjus,1704,1851,5
2015,9309,270,Fréjus,1619,1741,5
2016,9309,270,Fréjus,1621,1863,5
2017,9309,270,Fréjus,1736,1921,5
2018,9309,270,Fréjus,1890,2085,5
2019,9309,270,Fréjus,2170,2398,5
2020,9309,270,Fréjus,2260,2482,5
2021,9309,270,Fréjus,2768,3077,5
2022,9309,270,Fréjus,2852,3165,5
2023,9309,270,Fréjus,2794,3112,5
2024,9309,270,Fréjus,2831,3332,5
2025,9309,270,Fréjus,2996,3531,5
2012,9310,271,0Gap,1049,1239,125
2013,9310,271,0Gap,1030,1230,125
2014,9310,271,0Gap,1028,1191,125
2015,9310,271,0Gap,968,1087,125
2016,9310,271,0Gap,958,1189,125
2017,9310,271,0Gap,1055,1226,125
2018,9310,271,0Gap,1176,1354,125
2019,9310,271,0Gap,1347,1522,125
2020,9310,271,0Gap,1333,1589,125
2021,9310,271,0Gap,1604,1879,125
2022,9310,271,0Gap,1785,2095,125
2023,9310,271,0Gap,1536,1746,125
2024,9310,271,0Gap,1599,1911,125
2025,9310,271,0Gap,1597,1974,125
2012,9311,272,Manosque,991,1100,67
2013,9311,272,Manosque,954,1055,67
2014,9311,272,Manosque,969,1055,67
2015,9311,272,Manosque,957,1053,67
2016,9311,272,Manosque,935,1061,67
2017,9311,272,Manosque,923,1027,67
2018,9311,272,Manosque,1094,1222,67
2019,9311,272,Manosque,1190,1338,67
2020,9311,272,Manosque,1166,1347,67
2021,9311,272,Manosque,1475,1647,67
2022,9311,272,Manosque,1495,1697,67
2023,9311,272,Manosque,1452,1655,67
2024,9311,272,Manosque,1468,1735,67
2025,9311,272,Manosque,1573,1815,67
2012,9312,273,Marseille,13370,15018,32
2013,9312,273,Marseille,13011,14165,32
2014,9312,273,Marseille,12759,14134,32
2015,9312,273,Marseille,12731,13888,32
2016,9312,273,Marseille,13354,14695,32
2017,9312,273,Marseille,15043,16527,32
2018,9312,273,Marseille,18105,19825,32
2019,9312,273,Marseille,21034,22627,32
2020,9312,273,Marseille,21700,23394,32
2021,9312,273,Marseille,28990,31253,32
2022,9312,273,Marseille,30181,32743,32
2023,9312,273,Marseille,25858,27883,32
2024,9312,273,Marseille,26420,29519,32
2025,9312,273,Marseille,28316,31795,32
2012,9313,274,Martigues-Salon,2845,3333,26
2013,9313,274,Martigues-Salon,2901,3214,26
2014,9313,274,Martigues-Salon,2813,3011,26
2015,9313,274,Martigues-Salon,2612,2883,26
2016,9313,274,Martigues-Salon,2831,3190,26
2017,9313,274,Martigues-Salon,2876,3266,26
2018,9313,274,Martigues-Salon,3261,3576,26
2019,9313,274,Martigues-Salon,3842,4174,26
2020,9313,274,Martigues-Salon,4038,4354,26
2021,9313,274,Martigues-Salon,4862,5295,26
2022,9313,274,Martigues-Salon,5006,5444,26
2023,9313,274,Martigues-Salon,4853,5239,26
2024,9313,274,Martigues-Salon,5100,5734,26
2025,9313,274,Martigues-Salon,5478,6214,26
2012,9314,275,Menton,917,1010,18
2013,9314,275,Menton,889,997,18
2014,9314,275,Menton,837,930,18
2015,9314,275,Menton,877,962,18
2016,9314,275,Menton,848,1012,18
2017,9314,275,Menton,880,991,18
2018,9314,275,Menton,912,1078,18
2019,9314,275,Menton,1170,1290,18
2020,9314,275,Menton,1270,1399,18
2021,9314,275,Menton,1405,1709,18
2022,9314,275,Menton,1607,1842,18
2023,9314,275,Menton,1546,1754,18
2024,9314,275,Menton,1534,1726,18
2025,9314,275,Menton,1733,1969,18
2012,9315,276,Nice,9190,10303,116
2013,9315,276,Nice,8766,9660,116
2014,9315,276,Nice,8640,9530,116
2015,9315,276,Nice,8570,9670,116
2016,9315,276,Nice,8811,9803,116
2017,9315,276,Nice,9399,10203,116
2018,9315,276,Nice,10623,11667,116
2019,9315,276,Nice,11941,13047,116
2020,9315,276,Nice,12575,13614,116
2021,9315,276,Nice,15179,16587,116
2022,9315,276,Nice,15870,17562,116
2023,9315,276,Nice,14922,16201,116
2024,9315,276,Nice,15066,16875,116
2025,9315,276,Nice,16847,18981,116
2012,9316,277,Orange,678,782,16
2013,9316,277,Orange,633,718,16
2014,9316,277,Orange,669,744,16
2015,9316,277,Orange,656,719,16
2016,9316,277,Orange,594,676,16
2017,9316,277,Orange,696,776,16
2018,9316,277,Orange,693,769,16
2019,9316,277,Orange,838,916,16
2020,9316,277,Orange,844,932,16
2021,9316,277,Orange,1077,1206,16
2022,9316,277,Orange,1045,1181,16
2023,9316,277,Orange,1026,1138,16
2024,9316,277,Orange,1141,1304,16
2025,9316,277,Orange,1094,1267,16
2012,9317,278,Sainte-Maxime,1149,1410,12
2013,9317,278,Sainte-Maxime,1017,1234,12
2014,9317,278,Sainte-Maxime,1078,1247,12
2015,9317,278,Sainte-Maxime,1012,1226,12
2016,9317,278,Sainte-Maxime,1053,1264,12
2017,9317,278,Sainte-Maxime,1025,1212,12
2018,9317,278,Sainte-Maxime,1194,1416,12
2019,9317,278,Sainte-Maxime,1290,1507,12
2020,9317,278,Sainte-Maxime,1360,1580,12
2021,9317,278,Sainte-Maxime,1807,2100,12
2022,9317,278,Sainte-Maxime,1867,2176,12
2023,9317,278,Sainte-Maxime,1722,1983,12
2024,9317,278,Sainte-Maxime,1786,2173,12
2025,9317,278,Sainte-Maxime,1848,2271,12
2012,9318,279,Toulon,6594,7357,33
2013,9318,279,Toulon,6349,6842,33
2014,9318,279,Toulon,6329,6973,33
2015,9318,279,Toulon,6107,6663,33
2016,9318,279,Toulon,6315,6959,33
2017,9318,279,Toulon,6718,7318,33
2018,9318,279,Toulon,7585,8267,33
2019,9318,279,Toulon,8563,9376,33
2020,9318,279,Toulon,8854,9580,33
2021,9318,279,Toulon,10530,11510,33
2022,9318,279,Toulon,10531,11497,33
2023,9318,279,Toulon,10412,11317,33
2024,9318,279,Toulon,10930,12604,33
2025,9318,279,Toulon,11441,13349,33
