target_year,fr_climat_affaires_t_minus_1,fr_climat_emploi_t_minus_1,fr_bdf_conj_services_climate_t_minus_1,fr_bdf_gstix_comp_t_minus_1
1970,,,,0.0285025
1971,,,,2.5566675
1972,,,,-2.054603333333333
1973,,,,-2.2791641666666664
1974,,,,5.408473333333333
1975,,,,7.1610375
1976,,,,-1.738755
1977,,,,-2.078650833333333
1978,94.89999999999999,,,-1.9563308333333334
1979,101.78333333333335,,,0.33498916666666667
1980,107.68333333333334,,,2.3042308333333335
1981,98.875,,,1.0709341666666667
1982,90.97500000000001,,,0.6829208333333333
1983,92.43333333333334,,,-1.7537716666666665
1984,82.575,,,0.5115208333333333
1985,89.94166666666666,,,-0.49530083333333336
1986,98.09166666666665,,,-2.4185166666666666
1987,104.60000000000001,,,-1.6066541666666667
1988,105.0,,,0.5481941666666666
1989,113.825,,,0.6066883333333334
1990,116.14166666666667,,120.18625,-1.2750033333333333
1991,107.44166666666666,,115.52833333333332,-1.5872008333333334
1992,92.75833333333333,93.88333333333333,99.47916666666667,0.051875000000000004
1993,88.09166666666665,88.26666666666667,88.18333333333334,-0.41601249999999995
1994,81.375,82.24166666666666,79.45916666666666,-0.1748316666666667
1995,103.26666666666667,94.96666666666665,97.31416666666667,-0.21154083333333332
1996,102.54166666666667,99.95,99.435,0.056565833333333336
1997,91.06666666666666,94.175,95.96083333333333,-2.2612608333333335
1998,101.43333333333334,97.98333333333333,108.91583333333334,-1.5446916666666668
1999,108.94166666666666,105.00833333333333,118.92083333333333,-1.1639333333333333
2000,109.075,109.96666666666665,114.9925,-0.3537041666666667
2001,116.35000000000001,116.52499999999999,120.27749999999999,-0.15318083333333335
2002,103.66666666666667,110.51666666666667,110.03916666666667,-1.5679841666666665
2003,99.59166666666665,100.375,92.26583333333333,-0.5539999999999999
2004,94.24166666666667,94.51666666666667,90.005,1.329635
2005,103.89166666666667,102.0,100.77166666666666,2.3574108333333332
2006,103.01666666666667,103.875,104.44083333333333,-0.8456058333333334
2007,107.69166666666666,108.97500000000001,105.32916666666667,-1.791385
2008,111.80833333333334,112.91666666666667,105.99916666666667,0.573465
2009,96.39166666666667,103.8,99.09750000000001,1.2266441666666668
2010,79.74166666666666,80.325,86.21833333333332,1.44776
2011,98.97500000000001,97.59166666666665,96.84333333333335,0.345655
2012,103.89166666666667,105.95833333333333,100.53333333333335,-1.8016266666666665
2013,90.99166666666667,93.85833333333333,92.60916666666667,-1.967465
2014,89.825,90.01666666666667,90.96,-0.21511166666666667
2015,94.47500000000001,94.47500000000001,93.48166666666667,-0.14577666666666667
2016,100.15833333333335,97.93333333333334,95.59500000000001,-0.90984
2017,103.8,102.7,98.26833333333333,-1.2097208333333334
2018,109.55833333333334,106.97500000000001,101.25166666666667,0.11866666666666666
2019,109.06666666666666,108.60000000000001,103.06,0.7678016666666667
2020,106.59166666666665,107.65833333333335,100.94,0.20732333333333333
2021,86.38333333333333,82.05833333333334,88.45,2.9839558333333334
2022,107.08333333333333,101.77499999999999,98.13333333333333,4.810215
2023,105.75833333333333,110.86666666666667,106.92916666666667,1.3715908333333333
2024,100.93333333333334,106.05,100.54666666666667,-3.6309883333333333
2025,97.90833333333335,99.55,96.01916666666666,0.3071808333333334
2026,96.5,95.56666666666666,92.7275,1.0441925
2027,97.025,94.2,92.7375,-0.20596333333333336
