ze2020,libze2020,reg,population_2022_total,active_15_64_2022_total,employed_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_est_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021
7601,Agde-Pézenas,76,84748.0,32984.20257,27122.63781,5861.56476,0.177708,25895.82304,305.562645,10667.0,9598.0,125.867277,5464.0,64.473498,3094.0,978.0,42.547785,-13.947838
7602,Albi,76,249009.0,107441.24705,95362.32351,12078.92354,0.112424,88154.09309000001,354.019706,23925.0,21688.0,96.080865,11349.0,45.576666,5887.0,2854.0,45.998914,-14.115846
7603,Alès-Le Vigan,76,198201.0,77900.47643,64354.90133,13545.5751,0.173883,60994.532059999976,307.740789,18477.0,17123.0,93.223546,10170.0,51.311547,4891.0,1816.0,37.682034,-12.423057
7604,Auch,76,160174.0,68302.30768,61911.98875,6390.31893,0.093559,60423.16983,377.234569,15457.0,14164.0,96.501305,8574.0,53.529287,4278.0,2450.0,45.006022,-13.878592
7605,Bagnols-sur-Cèze,76,77265.0,33268.31712,28859.58309,4408.73403,0.132521,27838.410280000004,360.29781,6298.0,5761.0,81.511681,3190.0,41.286482,1516.0,841.0,45.927506,-14.049441
7606,Béziers,76,239094.0,96311.90234,80322.60544,15989.2969,0.166016,80717.20976000003,337.596133,24393.0,22143.0,102.022635,12712.0,53.167374,5988.0,2597.0,40.439433,-13.917872
7607,Cahors,76,88493.0,37072.59712,32424.27176,4648.32536,0.125384,32417.192720000014,366.324938,8742.0,7900.0,98.787475,4808.0,54.331981,2417.0,990.0,46.414866,-14.859843
7608,Carcassonne-Limoux,76,202600.0,86244.17093,74400.58425,11843.58668,0.137326,73716.88403999992,363.854314,17247.0,15610.0,85.128332,10058.0,49.64462,4977.0,2247.0,41.826814,-13.6474
7609,Castelsarrasin-Moissac,76,77879.0,32207.95696,27772.23133,4435.72563,0.137721,26017.125410000015,334.071128,5768.0,5290.0,74.063611,3362.0,43.169532,1523.0,927.0,39.826326,-12.712522
7610,Castres-Mazamet,76,162580.0,69482.96143,60938.27573,8544.6857,0.122975,58701.790939999984,361.064036,14311.0,13015.0,88.024357,7144.0,43.941444,3664.0,1960.0,43.286943,-13.485
7611,Figeac-Villefranche,76,95152.0,39320.47981,35046.20077,4274.27904,0.108704,35020.94672999999,368.05266,8494.0,7769.0,89.267698,4885.0,51.33891,2281.0,1062.0,43.469816,-13.243799
7612,Foix-Pamiers,76,137583.0,60404.10258,52470.33749,7933.76509,0.131345,49595.93549999998,360.480114,12672.0,11548.0,92.104402,7247.0,52.673659,3538.0,1291.0,43.101859,-13.298674
7613,Mende,76,71410.0,31977.13132,29510.06852,2467.0628,0.077151,30540.71220999999,427.681168,6177.0,5584.0,86.50049,4239.0,59.361434,2399.0,946.0,48.564863,-14.586456
7614,Millau,76,66685.0,28938.99503,26249.85309,2689.14194,0.092925,26380.94425000001,395.605372,6468.0,5825.0,96.993327,3635.0,54.51001,1897.0,1053.0,43.651048,-13.6567
7615,Montauban,76,193673.0,87984.98701,78507.45191,9477.5351,0.107718,71062.64017000001,366.920738,17401.0,15722.0,89.84732,8811.0,45.494209,4334.0,2213.0,47.474943,-14.708504
7616,Montpellier,76,786431.0,368448.5468,317510.56575,50937.98105,0.13825,331731.4568400002,421.818897,98050.0,88535.0,124.677181,40240.0,51.167871,20646.0,10383.0,51.442964,-16.918615
7617,Narbonne,76,169632.0,69372.94345,58080.36556,11292.57789,0.162781,57424.91258000001,338.526414,16826.0,15043.0,99.19119,8530.0,50.285324,4372.0,1984.0,42.309226,-13.782754
7618,Nîmes,76,391933.0,172514.70351,148997.31762,23517.38589,0.136321,143760.57268999994,366.798847,39009.0,35452.0,99.529767,18100.0,46.181363,9503.0,4599.0,46.34126,-15.207275
7619,Nord-du-Lot,76,54499.0,23230.52267,20950.66335,2279.85932,0.098141,21361.991540000003,391.97034,5126.0,4657.0,94.056772,3053.0,56.019377,1519.0,670.0,43.797121,-13.593573
7620,Perpignan,76,498258.0,202572.50096,168452.35148,34120.14948,0.168434,168230.27465,337.636876,50407.0,45542.0,101.166464,27114.0,54.417591,13589.0,5207.0,43.726887,-14.32405
7621,Rodez,76,149077.0,66888.74888,62378.51373,4510.23515,0.067429,64531.729049999994,432.875152,14354.0,12852.0,96.285812,7616.0,51.087693,4192.0,2526.0,53.023226,-15.501958
7622,Saint-Gaudens,76,128921.0,54089.00525,47422.28147,6666.72378,0.123255,43336.27988000001,336.146011,12418.0,11390.0,96.322554,7566.0,58.687103,3360.0,1254.0,39.908448,-13.007136
7623,Sète,76,112075.0,46275.20448,39484.85237,6790.35211,0.146738,34798.719939999995,310.494936,11806.0,10735.0,105.340174,5530.0,49.341959,2826.0,1238.0,46.488756,-15.155925
7624,Tarbes-Lourdes,76,241212.0,102961.24484,91306.35814,11654.8867,0.113197,93511.11909999992,387.67192,22814.0,20596.0,94.580701,12603.0,52.248644,6854.0,2440.0,42.935174,-13.25769
7625,Toulouse,76,1357607.0,689890.23851,617486.08763,72404.15088,0.10495,657592.5528799994,484.376224,139791.0,123678.0,102.968679,56599.0,41.690268,29875.0,15887.0,57.130706,-17.766507
8401,Annecy,84,316672.0,162070.7129,150386.80363,11683.90927,0.072091,139257.75659000012,439.75393,40048.0,35907.0,126.465238,14957.0,47.231836,8689.0,4534.0,62.430457,-17.000353
8402,Aubenas,84,137318.0,58764.51265,51236.47292,7528.03973,0.128105,48707.28461999999,354.704297,14421.0,13261.0,105.019007,7594.0,55.302291,4171.0,1271.0,43.649629,-13.956757
8403,Aurillac,84,84688.0,37649.99264,35222.58604,2427.4066,0.064473,35266.43824000001,416.427808,6372.0,5649.0,75.240884,3878.0,45.791612,2315.0,911.0,49.88973,-15.040689
8404,Belley,84,53174.0,24032.97552,21988.606,2044.36952,0.085065,17196.27715999999,323.396343,4429.0,4098.0,83.292587,2537.0,47.711287,1169.0,510.0,49.715365,-14.013932
8405,Bourg-en-Bresse,84,265383.0,126765.38906,115604.2057,11161.18336,0.088046,104999.55090000002,395.65289,21559.0,19356.0,81.237306,10893.0,41.046337,5831.0,3001.0,53.271878,-14.972293
8406,Bourgoin-Jallieu,84,245760.0,118907.98556,107742.92317,11165.06239,0.093897,91324.40169,371.599942,21375.0,19177.0,86.975098,10295.0,41.890462,5025.0,2777.0,52.465352,-14.629572
8407,Chambéry,84,255533.0,122313.36365,111556.30163,10757.06202,0.087947,113370.09282000006,443.66126,28198.0,25146.0,110.34974,11630.0,45.512713,6505.0,3473.0,58.296158,-16.692329
8408,Clermont-Ferrand,84,494921.0,229968.10788,207124.80025,22843.30763,0.099333,218415.30963999988,441.313482,41296.0,36612.0,83.439579,19452.0,39.303242,11093.0,4950.0,54.682353,-16.405945
8409,Grenoble,84,615127.0,292923.03457,264463.23106,28459.80351,0.097158,290496.2730499999,472.254141,61282.0,54897.0,99.624955,26691.0,43.39104,14608.0,6851.0,58.527564,-16.947714
8410,Issoire,84,85168.0,38724.48834,35097.8316,3626.65674,0.093653,32149.85102,377.487449,7254.0,6541.0,85.172835,4194.0,49.243847,2239.0,974.0,44.108476,-13.112888
8411,La Maurienne,84,38467.0,18056.71758,17087.48569,969.23189,0.053677,17862.770939999995,464.366104,6005.0,5463.0,156.107833,2871.0,74.635402,1840.0,453.0,53.62799,-14.466008
8412,La Plaine du Forez,84,90407.0,40887.69934,37590.86104,3296.8383,0.080632,31003.78043999999,342.935618,7735.0,7060.0,85.557534,4032.0,44.598317,2140.0,1167.0,44.487794,-13.813497
8413,La Tarentaise,84,113831.0,56094.19958,52712.98883,3381.21075,0.060277,59311.228530000015,521.046363,22505.0,20009.0,197.70537,8650.0,75.989845,6366.0,1587.0,54.696225,-15.351477
8414,La Vallée de l'Arve,84,91822.0,47163.33127,43071.03219,4092.29908,0.086769,38162.03968,415.608892,9448.0,8475.0,102.894731,4124.0,44.912984,2374.0,1243.0,57.794848,-15.18119
8415,Le Chablais,84,117774.0,59845.27485,54602.33048,5242.94437,0.087608,40570.64834000001,344.478818,14069.0,12737.0,119.457605,5899.0,50.087456,3836.0,1054.0,59.535675,-17.973163
8416,Le Genevois Français,84,406202.0,216929.91518,195818.79403,21111.12115,0.097318,95247.87786000005,234.48402,27062.0,24293.0,66.622025,13028.0,32.072713,7171.0,2530.0,49.063202,-15.312341
8417,Le Livradois,84,84289.0,36496.00605,32636.00812,3859.99793,0.105765,30030.075810000002,356.275146,6926.0,6326.0,82.169678,3922.0,46.530389,1949.0,1004.0,44.489693,-13.433621
8418,Le Mont Blanc,84,61326.0,31560.64238,30112.84331,1447.79907,0.045874,30419.94842,496.036729,13472.0,12191.0,219.67844,4858.0,79.215993,3180.0,848.0,60.392683,-17.609387
8419,Le Puy-en-Velay,84,118012.0,51894.95504,47214.1289,4680.82614,0.090198,46767.16144,396.291576,10124.0,9259.0,85.787886,5857.0,49.630546,3269.0,1494.0,46.531892,-14.180381
8420,Les Sources de la Loire,84,84792.0,38274.88827,35346.14511,2928.74316,0.076519,30013.42934,353.965343,7577.0,6955.0,89.359845,4065.0,47.940843,2039.0,1100.0,46.220359,-13.886575
8421,Lyon,84,1901587.0,930290.64305,835621.38051,94669.26254,0.101763,927360.8613799994,487.677325,218875.0,194016.0,115.101229,78856.0,41.468521,44650.0,30113.0,59.229287,-18.116961
8422,Montélimar,84,104590.0,47286.42277,41652.63668,5633.78609,0.119142,41694.25741999999,398.644779,10763.0,9702.0,102.906588,5154.0,49.278134,2748.0,1290.0,47.286495,-14.940104
8423,Montluçon,84,114938.0,47612.58668,41553.77355,6058.81313,0.127252,41385.67628000003,360.06957,7442.0,6620.0,64.747951,4558.0,39.656162,2431.0,940.0,43.696336,-13.331482
8424,Moulins,84,96993.0,40960.59037,36446.78196,4513.80841,0.110199,37964.94462999999,391.419429,6383.0,5696.0,65.808873,3946.0,40.683348,2151.0,1027.0,47.119227,-13.827179
8425,Oyonnax,84,57026.0,25874.80071,23207.06615,2667.73456,0.103102,25252.484170000007,442.824048,4713.0,4243.0,82.646512,2241.0,39.297864,1240.0,932.0,42.992458,-13.664208
8426,Roanne,84,134975.0,58034.1513,52094.18435,5939.96695,0.102353,52378.340090000005,388.059567,11060.0,10030.0,81.9411,5357.0,39.688831,3012.0,1462.0,44.776015,-13.546927
8427,Romans-sur-Isère,84,98474.0,44789.48646,40122.13092,4667.35554,0.104206,36856.797009999995,374.279475,9573.0,8696.0,97.213478,4421.0,44.895099,2328.0,1181.0,48.015341,-14.524819
8428,Saint-Étienne,84,550278.0,243527.07574,214085.11022,29441.96552,0.120898,209830.31403,381.316924,45438.0,41189.0,82.572809,21096.0,38.336986,11873.0,5862.0,46.490036,-14.145009
8429,Saint-Flour,84,33947.0,15179.01745,14234.08749,944.92996,0.062252,14300.676499999998,421.26481,2824.0,2531.0,83.1885,1897.0,55.881227,1046.0,483.0,44.0,-13.7
8430,Tarare,84,58007.0,26400.97429,24042.33543,2358.63886,0.089339,20370.258060000004,351.168963,4528.0,4165.0,78.059545,2342.0,40.374438,1185.0,660.0,44.092374,-13.116719
8431,Valence,84,296815.0,137918.56138,122937.30262,14981.25876,0.108624,130069.26028999996,438.216601,30074.0,26945.0,101.322373,13576.0,45.738928,7637.0,4035.0,51.11468,-15.380984
8432,Vichy,84,143993.0,60059.41123,53077.64988,6981.76135,0.116248,49715.02170000002,345.25999,11348.0,10134.0,78.809387,6347.0,44.078532,3448.0,1414.0,45.086866,-14.335044
8433,Vienne-Annonay,84,253422.0,116192.6083,104584.73645,11607.87185,0.099902,90434.40086000008,356.853,21393.0,19460.0,84.416507,10988.0,43.358509,5636.0,2713.0,48.488207,-14.339906
8434,Villefranche-sur-Saône,84,185331.0,88945.5262,81321.71623,7623.80997,0.085713,66568.96128000002,359.189565,18537.0,16776.0,100.021043,7936.0,42.820683,4328.0,2787.0,53.72525,-15.257393
8435,Voiron,84,202251.0,94733.95833,86485.84104,8248.11729,0.087066,65526.90086000004,323.988019,18893.0,17381.0,93.41363,9093.0,44.958987,4181.0,2337.0,54.138432,-15.134756
9301,Aix-en-Provence,93,414016.0,195750.20365,177112.16113,18638.04252,0.095213,184831.16626,446.434839,57226.0,51305.0,138.221711,21045.0,50.831369,11404.0,7380.0,61.840921,-19.478356
9302,Briançon,93,33484.0,16649.16188,15718.72606,930.43582,0.055885,16410.41745,490.097284,6902.0,6250.0,206.1283,3490.0,104.228885,2005.0,418.0,49.255094,-14.576685
9303,Brignoles,93,139160.0,61510.11551,54332.60304,7177.51247,0.116688,39682.38357999999,285.156536,14854.0,13666.0,106.740443,7057.0,50.711411,3128.0,1598.0,50.03512,-15.014255
9304,Cannes,93,437995.0,196276.1362,174576.66257,21699.47363,0.110556,178409.17282999997,407.331529,69531.0,63431.0,158.748388,28720.0,65.571525,14619.0,6898.0,56.999335,-18.962949
9305,Carpentras,93,98399.0,43660.35043,38027.14862,5633.20181,0.129023,30647.38372000001,311.460317,10595.0,9873.0,107.673858,4713.0,47.896828,2324.0,1620.0,45.825555,-15.174934
9306,Cavaillon,93,125253.0,54606.55722,47732.42829,6874.12893,0.125885,47135.69963,376.323917,16062.0,14885.0,128.236449,6887.0,54.984711,3638.0,2300.0,46.875998,-15.284679
9307,Digne-les-Bains,93,83162.0,35880.34104,31925.15889,3955.18215,0.110233,31851.465710000008,383.005047,8722.0,7937.0,104.879633,5250.0,63.129795,2849.0,1049.0,45.605251,-13.759321
9308,Draguignan,93,123890.0,53315.2643,46705.77769,6609.48661,0.12397,41321.60220000001,333.534605,13788.0,12656.0,111.292275,6780.0,54.725967,3128.0,1244.0,49.572084,-15.364693
9309,Fréjus,93,121659.0,49267.95727,43459.08235,5808.87492,0.117904,43834.288499999995,360.304527,17650.0,15820.0,145.077635,7813.0,64.220485,4167.0,1691.0,55.150708,-17.588432
9310,Gap,93,107024.0,47220.52047,42670.33929,4550.18118,0.09636,42892.66946000002,400.776176,13403.0,12177.0,125.233592,7135.0,66.66729,3788.0,1457.0,48.975643,-14.436733
9311,Manosque,93,92316.0,40068.57973,34906.66438,5161.91535,0.128827,39216.24600999997,424.804433,10531.0,9528.0,114.075567,5170.0,56.003293,2742.0,1314.0,49.744662,-15.101581
9312,Marseille,93,1249025.0,540901.95366,475320.75228,65581.20138,0.121244,511124.6814,409.218936,136567.0,122984.0,109.338884,61070.0,48.894137,31781.0,14742.0,50.920649,-17.341432
9313,Martigues-Salon,93,318177.0,144454.36828,128192.08763,16262.28065,0.112577,116087.12346,364.85077,27431.0,24547.0,86.21302,13206.0,41.5052,6568.0,3119.0,53.361289,-15.393129
9314,Menton,93,81167.0,38083.97801,34435.33755,3648.64046,0.095805,18091.188860000002,222.888475,8803.0,8083.0,108.455407,4522.0,55.712297,2324.0,536.0,58.414452,-19.451265
9315,Nice,93,628105.0,282324.26389,251613.97075,30710.29314,0.108777,242491.38508999997,386.068229,84182.0,76628.0,134.025362,39129.0,62.296909,19720.0,7526.0,54.147662,-18.141768
9316,Orange,93,69739.0,31722.74134,27927.28738,3795.45396,0.119645,24736.3754,354.699313,6802.0,6090.0,97.535095,3173.0,45.498215,1679.0,1234.0,47.88647,-14.552869
9317,Sainte-Maxime,93,57965.0,25858.90485,22532.44723,3326.45762,0.128639,25938.399120000002,447.483811,13490.0,11991.0,232.726645,5825.0,100.491676,3661.0,1427.0,55.737356,-19.752271
9318,Toulon,93,593711.0,252027.99629,223156.01149,28871.9848,0.114559,223533.00358000002,376.501368,63828.0,57640.0,107.506851,30969.0,52.161742,15422.0,5818.0,52.92953,-16.58538
9401,Ajaccio,94,123120.0,55145.2579,50906.43162,4238.82628,0.076867,52708.014339999994,428.102781,14352.0,13087.0,116.569201,7121.0,57.837882,4181.0,1393.0,56.375897,-18.301017
9402,Bastia,94,125240.0,54025.66047,48898.48903,5127.17144,0.094903,49725.713119999986,397.043382,14512.0,13324.0,115.873523,7437.0,59.381987,4249.0,1756.0,48.229474,-16.556966
9403,Calvi,94,23620.0,10576.20918,9197.27289,1378.93629,0.130381,9186.258929999998,388.918668,4045.0,3717.0,171.253175,2036.0,86.198137,1320.0,350.0,44.994437,-16.200522
9404,Corte,94,16681.0,6388.12157,5829.51482,558.60675,0.087445,5943.683220000001,356.314563,1675.0,1525.0,100.413644,1117.0,66.962412,593.0,180.0,47.0,-15.7
9405,Ghisonaccia,94,19690.0,8484.51295,7501.40549,983.10746,0.115871,7306.108479999999,371.056804,2358.0,2203.0,119.756221,1169.0,59.370239,632.0,424.0,43.468053,-15.723478
9406,Porto-Vecchio,94,28541.0,13628.61081,12109.41582,1519.19499,0.111471,12111.81683,424.365538,6809.0,6193.0,238.569076,3202.0,112.189482,2062.0,573.0,51.139697,-18.30752
