year,ze2020,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count,target_proxy_establishment_creations_year,proxy_minus_side_enterprise,proxy_minus_side_establishment,proxy_to_side_enterprise_ratio,proxy_to_side_establishment_ratio
2012,2410,Orléans,2851.0,3308.0,133,5743.0,2892.0,2435.0,2.014380918975798,1.7360943168077387
2012,2411,Pithiviers,364.0,409.0,78,704.0,340.0,295.0,1.934065934065934,1.7212713936430317
2012,2412,Romorantin-Lanthenay,593.0,669.0,70,1407.0,814.0,738.0,2.372681281618887,2.103139013452915
2012,2413,Tours,3790.0,4278.0,166,7586.0,3796.0,3308.0,2.0015831134564643,1.7732585320243104
2012,2414,Vendôme,395.0,455.0,89,875.0,480.0,420.0,2.2151898734177213,1.9230769230769231
2012,2415,Vierzon,306.0,363.0,28,576.0,270.0,213.0,1.8823529411764706,1.5867768595041323
2012,2701,Autun,242.0,274.0,66,511.0,269.0,237.0,2.1115702479338845,1.864963503649635
2012,2702,Auxerre,1147.0,1332.0,211,2307.0,1160.0,975.0,2.011333914559721,1.731981981981982
2012,2703,Avallon,337.0,375.0,172,708.0,371.0,333.0,2.1008902077151337,1.888
2012,2704,Beaune,631.0,735.0,143,1372.0,741.0,637.0,2.1743264659270998,1.8666666666666667
2012,2705,Belfort,1164.0,1337.0,164,2169.0,1005.0,832.0,1.8634020618556701,1.6222887060583395
2012,2706,Besançon,2367.0,2709.0,408,4652.0,2285.0,1943.0,1.9653569919729617,1.7172388335179032
2012,2707,Chalon-sur-Saône,961.0,1100.0,133,2086.0,1125.0,986.0,2.170655567117586,1.8963636363636365
2012,2708,Charolais,526.0,609.0,132,1125.0,599.0,516.0,2.1387832699619773,1.8472906403940887
2012,2709,Châtillon-Montbard,412.0,478.0,233,864.0,452.0,386.0,2.0970873786407767,1.8075313807531381
2012,2710,Creusot-Montceau,537.0,599.0,57,1049.0,512.0,450.0,1.9534450651769089,1.7512520868113524
2012,2711,Dijon,2890.0,3307.0,322,5710.0,2820.0,2403.0,1.9757785467128028,1.7266404596310856
2012,2712,Dole,582.0,632.0,123,1039.0,457.0,407.0,1.7852233676975946,1.643987341772152
2012,2713,Lons-le-Saunier,1133.0,1264.0,333,2304.0,1171.0,1040.0,2.0335392762577227,1.8227848101265822
2012,2714,Montbéliard,949.0,1073.0,146,1699.0,750.0,626.0,1.7903055848261327,1.5834109972041006
2012,2715,Pontarlier,669.0,765.0,174,1554.0,885.0,789.0,2.3228699551569507,2.0313725490196077
2012,2716,Saint-Claude,353.0,387.0,71,682.0,329.0,295.0,1.9320113314447591,1.7622739018087856
2012,2717,Sens,783.0,903.0,102,1474.0,691.0,571.0,1.8825031928480205,1.6323366555924697
2012,2718,Vesoul,737.0,841.0,336,1436.0,699.0,595.0,1.9484396200814111,1.7074910820451843
2012,2801,Argentan,218.0,273.0,73,463.0,245.0,190.0,2.123853211009174,1.695970695970696
2012,2802,Avranches,470.0,547.0,101,1084.0,614.0,537.0,2.3063829787234043,1.9817184643510055
2012,2803,Bernay,485.0,566.0,106,929.0,444.0,363.0,1.9154639175257733,1.6413427561837455
2012,2804,Caen,3926.0,4561.0,378,8241.0,4315.0,3680.0,2.099083036169129,1.8068406051304537
2012,2805,Cherbourg-en-Cotentin,839.0,959.0,135,1854.0,1015.0,895.0,2.209773539928486,1.9332638164754954
2012,2806,Coutances,354.0,397.0,67,789.0,435.0,392.0,2.2288135593220337,1.987405541561713
2012,2807,Dieppe-Caux maritime,837.0,939.0,196,1656.0,819.0,717.0,1.978494623655914,1.7635782747603834
2012,2808,Évreux,1270.0,1429.0,167,2333.0,1063.0,904.0,1.837007874015748,1.6326102169349195
2012,2809,Flers,408.0,456.0,91,922.0,514.0,466.0,2.2598039215686274,2.0219298245614037
2012,2810,Granville,368.0,408.0,45,773.0,405.0,365.0,2.1005434782608696,1.8946078431372548
2012,2811,Honfleur Pont-Audemer,876.0,995.0,119,1784.0,908.0,789.0,2.036529680365297,1.792964824120603
2012,2812,L'Aigle,250.0,286.0,79,530.0,280.0,244.0,2.12,1.8531468531468531
2012,2813,Le Havre,1576.0,1817.0,115,3404.0,1828.0,1587.0,2.1598984771573604,1.8734177215189873
2012,2814,Lisieux,593.0,672.0,93,1220.0,627.0,548.0,2.057335581787521,1.8154761904761905
2012,2815,Rouen,4300.0,5014.0,299,8756.0,4456.0,3742.0,2.036279069767442,1.7463103310729957
2012,2816,Saint-Lô,556.0,619.0,104,1162.0,606.0,543.0,2.0899280575539567,1.877221324717286
2012,2817,Vernon-Gisors,865.0,937.0,110,1500.0,635.0,563.0,1.7341040462427746,1.6008537886873
2012,2818,Vire Normandie,220.0,254.0,21,430.0,210.0,176.0,1.9545454545454546,1.6929133858267718
