ze2020,libze2020,reg,population_2021_total,population_2022_total,active_15_64_2022_total,employed_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_est_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021,has_population_2022,has_active_lr_2022,has_jobs_lt_2022,has_side_stocks_et_2023,has_side_stocks_ul_2023,has_bpe_2024,has_flores_2024,has_filosofi_2021,source_coverage_count,source_coverage_ratio,is_structural_anomaly,anomaly_reason,is_training_eligible_v0,filosofi_s_hh_tax_weighted_proxy_2020,filosofi_s_dir_tax_di_weighted_proxy_2020,active_15_64_2021_total,employed_15_64_2021_total,unemployed_15_64_2021_total,unemployment_rate_est_2021,jobs_lt_2021_total,jobs_lt_per_1000_pop_2021,bpe_facilities_2021_total,bpe_facilities_per_1000_pop_2021,side_stocks_et_2021_total,side_stocks_ul_2021_total,side_stocks_et_per_1000_pop_2021,bpe_facilities_2023_total,bpe_facilities_per_1000_pop_2023,bpe_evolution_commune_type_presence_2019_total,bpe_evolution_commune_type_presence_2024_total,bpe_evolution_commune_type_presence_delta_2019_2024,bpe_evolution_commune_type_presence_pct_change_2019_2024,side_stocks_et_2019_total,side_stocks_ul_2019_total,side_stocks_et_2020_total,side_stocks_ul_2020_total,flores_et_total_2019,flores_et_total_2020,flores_et_total_2021,side_creations_et_total_2019,side_creations_et_total_2020,side_creations_et_total_2021,side_creations_et_total_2022,side_creations_et_total_2023
0061,Nogent-le-Rotrou,24,63774.0,63647.0,27120.79501,24155.6567,2965.13831,0.109331,23132.67542000001,363.452722,4620.0,4223.0,72.587867,2688.0,42.232941,1355.0,790.0,45.990045,-13.306166,1,1,1,1,1,1,1,1,8,1.0,0,,1,57.1739,-12.986852,27308.60014,24343.581904,2965.018237,0.108575,22992.830401,360.536118,2315.0,36.30006,4544.0,4085.0,71.251607,2686.0,42.201518,1232,1275,43,0.034903,4058.0,3680.0,4190.0,3789.0,2089.0,2105.0,2131.0,546,568,717,703,685
0062,Redon,53,84524.0,85017.0,37829.87833,33762.66006,4067.21827,0.107513,28939.338890000006,340.394732,5885.0,5355.0,69.22145,3001.0,35.298823,1588.0,909.0,45.178703,-12.865639,1,1,1,1,1,1,1,1,8,1.0,0,,1,64.18504,-12.353074,37494.154364,33456.215843,4037.938521,0.107695,28781.71589,340.515308,2589.0,30.630354,5475.0,4936.0,64.774502,2997.0,35.251773,1135,1156,21,0.018502,4878.0,4373.0,5100.0,4578.0,2322.0,2345.0,2391.0,665,738,890,974,937
0063,Ussel,84,79208.0,79049.0,33112.55842,30474.94386,2637.61456,0.079656,30208.390649999983,382.147663,5934.0,5343.0,75.067363,4381.0,55.421321,2178.0,929.0,44.65273,-13.199662,1,1,1,1,1,1,1,1,8,1.0,0,,1,58.604036,-12.788415,33001.926023,30255.790159,2746.135864,0.083211,30101.768911,380.034452,3875.0,48.921826,5997.0,5398.0,75.712049,4357.0,55.117712,2112,2132,20,0.00947,5530.0,4956.0,5643.0,5091.0,3026.0,2994.0,3080.0,649,748,900,959,840
0064,Valréas,84,62299.0,62154.0,25498.11958,22463.58476,3034.53482,0.11901,22023.863789999992,354.343466,7197.0,6676.0,115.79303,3837.0,61.733758,1997.0,1060.0,43.830381,-14.092225,1,1,1,1,1,1,1,1,8,1.0,0,,1,50.3726,-13.762578,25646.173305,22321.061401,3325.111904,0.129653,21887.750534,351.333898,3252.0,52.199875,6934.0,6439.0,111.301947,3776.0,60.752325,1355,1378,23,0.016974,6350.0,5887.0,6485.0,6011.0,2959.0,2949.0,3011.0,810,802,1009,996,942
1101,Cergy-Vexin,11,640039.0,647954.0,318873.92534,285234.47451,33639.45083,0.105495,194132.94595999995,299.609148,49743.0,45511.0,76.769339,23140.0,35.712412,11849.0,6003.0,63.749011,-17.717548,1,1,1,1,1,1,1,1,8,1.0,0,,1,84.456904,-17.779318,315057.035149,281190.271828,33866.763321,0.107494,191093.894892,298.566017,19360.0,30.248157,46992.0,42549.0,73.420526,22847.0,35.260219,3573,3664,91,0.025469,40037.0,35912.0,42745.0,38663.0,15740.0,16050.0,16684.0,9950,10675,12170,12073,12209
1102,Coulommiers,11,74981.0,75538.0,37120.6583,33411.52374,3709.13456,0.099921,18154.95169999999,240.34197,5507.0,5151.0,72.903704,2710.0,35.875983,1438.0,644.0,55.469294,-14.676859,1,1,1,1,1,1,1,1,8,1.0,0,,1,73.637957,-14.503163,36360.3733,32488.692206,3871.681093,0.106481,17741.874381,236.618268,2260.0,30.140969,5213.0,4783.0,69.524279,2634.0,34.869867,869,950,81,0.093211,4607.0,4227.0,4799.0,4408.0,1897.0,1905.0,1986.0,899,956,1130,1093,1222
1103,Étampes,11,110371.0,110492.0,54165.46236,49456.96283,4708.49953,0.086928,31131.966900000003,281.757656,7807.0,7206.0,70.656699,3936.0,35.622489,2060.0,864.0,61.118366,-16.474989,1,1,1,1,1,1,1,1,8,1.0,0,,1,77.75586,-16.332284,54315.655479,49140.554692,5175.100787,0.095278,31108.990448,281.858373,3342.0,30.279693,7426.0,6816.0,67.282167,3958.0,35.821598,1194,1266,72,0.060302,6573.0,6002.0,6782.0,6215.0,2827.0,2801.0,2845.0,1396,1318,1576,1592,1595
1104,Évry-Courcouronnes,11,614986.0,620425.0,297694.77798,265413.09413,32281.68385,0.108439,204031.99323,328.858433,43211.0,39089.0,69.647419,21299.0,34.329693,11108.0,5213.0,60.08352,-16.4294,1,1,1,1,1,1,1,1,8,1.0,0,,1,81.569139,-16.574411,295544.891829,261910.207852,33634.683977,0.113806,199399.607887,324.234386,17738.0,28.842933,40963.0,36606.0,66.60802,21085.0,33.984769,2964,3098,134,0.045209,35088.0,31108.0,37358.0,33374.0,14663.0,14851.0,15473.0,8975,10130,11332,11394,11340
1105,Fontainebleau-Nemours,11,201762.0,201743.0,92242.04902,82128.85965,10113.18937,0.109638,59736.44206000001,296.101684,17116.0,15770.0,84.840614,7462.0,36.987653,4058.0,1839.0,58.1428,-17.126369,1,1,1,1,1,1,1,1,8,1.0,0,,1,72.66959,-17.191453,92139.421784,81446.045453,10693.376331,0.116056,59076.322509,292.802027,6513.0,32.280608,16134.0,14638.0,79.965504,7477.0,37.062005,2166,2286,120,0.055402,14352.0,12924.0,14863.0,13493.0,5596.0,5595.0,5753.0,2630,2653,3043,3204,3128
1106,Marne-la-Vallée,11,479781.0,486528.0,249697.61335,225538.53703,24159.07632,0.096753,191051.52203999995,392.683509,41309.0,37268.0,84.905699,18506.0,38.036865,9991.0,5629.0,65.589355,-17.850056,1,1,1,1,1,1,1,1,8,1.0,0,,1,85.294054,-17.877886,246626.122998,221980.049293,24646.073705,0.099933,186754.376195,389.249212,15387.0,32.070882,39026.0,34852.0,81.341279,17699.0,36.378174,2785,2958,173,0.062118,33530.0,29673.0,35596.0,31726.0,13925.0,14060.0,14753.0,7761,8169,9573,9548,10141
