target_year,ze2020,target_proxy_establishment_creations_year
2001,3212,1188
2001,3213,1517
2001,3214,609
2001,3215,1780
2001,3216,7870
2001,3217,1162
2001,3218,3416
2001,3219,920
2001,3220,1851
2001,3221,1122
2001,3222,1985
2001,4401,492
2001,4402,794
2001,4403,1156
2001,4404,888
2001,4405,1719
2001,4406,1139
2001,4407,1524
2001,4408,599
2001,4409,1562
2001,4410,3648
2001,4411,3378
2001,4412,4327
2001,4413,2948
2001,4414,791
2001,4415,630
2001,4416,791
2001,4417,707
2001,4418,578
2001,4419,747
2001,4420,740
2001,4421,666
2001,4422,776
2001,4423,6911
2001,4424,1745
2001,4425,2111
2001,4426,526
2001,4427,818
2001,5201,597
2001,5202,2987
2001,5203,1435
2001,5204,293
2001,5205,397
2001,5206,1322
2001,5207,863
2001,5208,504
2001,5209,464
2001,5210,1124
2001,5211,1311
2001,5212,2863
2001,5213,786
2001,5214,903
2001,5215,630
2001,5216,7906
2001,5217,583
2001,5218,397
2001,5219,2282
2001,5220,792
2001,5221,370
2001,5301,1125
2001,5302,2835
2001,5303,715
2001,5304,768
2001,5305,567
2001,5306,470
2001,5307,548
2001,5308,1154
2001,5309,2120
2001,5310,993
2001,5311,521
2001,5312,800
2001,5313,2673
2001,5314,427
2001,5315,5630
2001,5316,1631
2001,5317,1601
2001,5318,2244
2001,5319,659
2001,7501,1498
2001,7502,2037
2001,7503,4298
2001,7504,1333
2001,7505,12165
2001,7506,962
2001,7507,1248
2001,7508,660
2001,7509,1152
2001,7510,1603
2001,7511,1088
2001,7512,2825
2001,7513,1970
2001,7514,1188
2001,7515,780
2001,7516,1533
2001,7517,2463
2001,7518,1094
2001,7519,1203
2001,7520,1602
2001,7521,722
2001,7522,2918
2001,7523,2022
2001,7524,2474
2001,7525,709
2001,7526,1558
2001,7527,701
2001,7528,1076
2001,7529,872
2001,7530,488
2001,7531,791
2001,7532,1003
2001,7601,1421
2001,7602,2173
2001,7603,1984
2001,7604,1865
2001,7605,593
2001,7606,2580
2001,7607,1022
2001,7608,2231
2001,7609,703
2001,7610,1536
2001,7611,964
2001,7612,1524
2001,7613,761
2001,7614,723
2001,7615,1686
2001,7616,9616
2001,7617,2315
2001,7618,4566
2001,7619,576
