source_ze2020,target_ze2020,edge_type
1105,2717,geographic_adjacency
1106,1102,geographic_adjacency
1106,1104,geographic_adjacency
1106,1107,geographic_adjacency
1106,1108,geographic_adjacency
1106,1109,geographic_adjacency
1106,1110,geographic_adjacency
1106,1112,geographic_adjacency
1107,1102,geographic_adjacency
1107,1106,geographic_adjacency
1107,1112,geographic_adjacency
1107,3209,geographic_adjacency
1107,3221,geographic_adjacency
1108,1104,geographic_adjacency
1108,1105,geographic_adjacency
1108,1106,geographic_adjacency
1108,1110,geographic_adjacency
1109,1101,geographic_adjacency
1109,1104,geographic_adjacency
1109,1106,geographic_adjacency
1109,1112,geographic_adjacency
1109,1113,geographic_adjacency
1109,1114,geographic_adjacency
1109,1115,geographic_adjacency
1110,1102,geographic_adjacency
1110,1105,geographic_adjacency
1110,1106,geographic_adjacency
1110,1108,geographic_adjacency
1110,2717,geographic_adjacency
1110,4415,geographic_adjacency
1111,0057,geographic_adjacency
1111,1103,geographic_adjacency
1111,1113,geographic_adjacency
1111,1115,geographic_adjacency
1111,2403,geographic_adjacency
1112,1101,geographic_adjacency
1112,1106,geographic_adjacency
1112,1107,geographic_adjacency
1112,1109,geographic_adjacency
1112,3211,geographic_adjacency
1112,3221,geographic_adjacency
1113,1103,geographic_adjacency
1113,1104,geographic_adjacency
1113,1109,geographic_adjacency
1113,1111,geographic_adjacency
1113,1115,geographic_adjacency
1114,0057,geographic_adjacency
1114,1101,geographic_adjacency
1114,1109,geographic_adjacency
1114,1115,geographic_adjacency
1114,2808,geographic_adjacency
1114,2817,geographic_adjacency
1115,0057,geographic_adjacency
1115,1109,geographic_adjacency
1115,1111,geographic_adjacency
1115,1113,geographic_adjacency
1115,1114,geographic_adjacency
2401,2410,geographic_adjacency
2401,2412,geographic_adjacency
2401,2413,geographic_adjacency
2401,2414,geographic_adjacency
2402,0056,geographic_adjacency
2402,0060,geographic_adjacency
2402,2405,geographic_adjacency
2402,2407,geographic_adjacency
2402,2415,geographic_adjacency
2402,8423,geographic_adjacency
2402,8424,geographic_adjacency
2403,0057,geographic_adjacency
2403,0061,geographic_adjacency
2403,1103,geographic_adjacency
2403,1111,geographic_adjacency
2403,2404,geographic_adjacency
2403,2410,geographic_adjacency
2404,0061,geographic_adjacency
2404,2403,geographic_adjacency
2404,2410,geographic_adjacency
2404,2414,geographic_adjacency
2404,5208,geographic_adjacency
2405,2402,geographic_adjacency
2405,2408,geographic_adjacency
2405,2412,geographic_adjacency
2405,2415,geographic_adjacency
2405,7508,geographic_adjacency
2405,7511,geographic_adjacency
2405,7524,geographic_adjacency
2405,7527,geographic_adjacency
2405,8423,geographic_adjacency
2406,2413,geographic_adjacency
2406,5209,geographic_adjacency
2406,5220,geographic_adjacency
2406,7530,geographic_adjacency
2407,0056,geographic_adjacency
2407,2402,geographic_adjacency
2407,2409,geographic_adjacency
2407,2410,geographic_adjacency
2407,2412,geographic_adjacency
2407,2415,geographic_adjacency
2408,2405,geographic_adjacency
2408,2412,geographic_adjacency
2408,2413,geographic_adjacency
2408,7508,geographic_adjacency
2409,0056,geographic_adjacency
2409,1105,geographic_adjacency
2409,2407,geographic_adjacency
2409,2410,geographic_adjacency
2409,2411,geographic_adjacency
2409,2702,geographic_adjacency
2409,2717,geographic_adjacency
2410,1103,geographic_adjacency
2410,2401,geographic_adjacency
2410,2403,geographic_adjacency
2410,2404,geographic_adjacency
2410,2407,geographic_adjacency
2410,2409,geographic_adjacency
2410,2411,geographic_adjacency
2410,2412,geographic_adjacency
2410,2414,geographic_adjacency
2411,1103,geographic_adjacency
2411,1104,geographic_adjacency
2411,1105,geographic_adjacency
2411,2409,geographic_adjacency
2411,2410,geographic_adjacency
2412,2401,geographic_adjacency
2412,2405,geographic_adjacency
2412,2407,geographic_adjacency
2412,2408,geographic_adjacency
2412,2410,geographic_adjacency
2412,2413,geographic_adjacency
2412,2415,geographic_adjacency
2413,2401,geographic_adjacency
2413,2406,geographic_adjacency
2413,2408,geographic_adjacency
2413,2412,geographic_adjacency
2413,2414,geographic_adjacency
2413,5209,geographic_adjacency
2413,5212,geographic_adjacency
2413,7508,geographic_adjacency
2413,7530,geographic_adjacency
2414,2401,geographic_adjacency
2414,2404,geographic_adjacency
2414,2410,geographic_adjacency
2414,2413,geographic_adjacency
2414,5208,geographic_adjacency
2414,5212,geographic_adjacency
2415,2402,geographic_adjacency
2415,2405,geographic_adjacency
2415,2407,geographic_adjacency
2415,2412,geographic_adjacency
2701,0060,geographic_adjacency
2701,2703,geographic_adjacency
2701,2704,geographic_adjacency
2701,2707,geographic_adjacency
2701,2708,geographic_adjacency
2701,2709,geographic_adjacency
2701,2710,geographic_adjacency
2702,0056,geographic_adjacency
2702,2409,geographic_adjacency
2702,2703,geographic_adjacency
2702,2709,geographic_adjacency
2702,2717,geographic_adjacency
2702,4425,geographic_adjacency
2703,0056,geographic_adjacency
2703,0060,geographic_adjacency
2703,2701,geographic_adjacency
2703,2702,geographic_adjacency
2703,2709,geographic_adjacency
2704,2701,geographic_adjacency
2704,2707,geographic_adjacency
2704,2709,geographic_adjacency
2704,2711,geographic_adjacency
2704,2712,geographic_adjacency
2705,2714,geographic_adjacency
2705,2718,geographic_adjacency
2705,4411,geographic_adjacency
2705,4414,geographic_adjacency
2706,2711,geographic_adjacency
2706,2712,geographic_adjacency
2706,2713,geographic_adjacency
2706,2714,geographic_adjacency
2706,2715,geographic_adjacency
2706,2718,geographic_adjacency
2706,4404,geographic_adjacency
2707,0059,geographic_adjacency
2707,2701,geographic_adjacency
2707,2704,geographic_adjacency
2707,2710,geographic_adjacency
2707,2712,geographic_adjacency
2707,2713,geographic_adjacency
2708,0059,geographic_adjacency
2708,0060,geographic_adjacency
2708,2701,geographic_adjacency
2708,2710,geographic_adjacency
2708,8424,geographic_adjacency
2708,8426,geographic_adjacency
2708,8430,geographic_adjacency
2708,8432,geographic_adjacency
2708,8434,geographic_adjacency
2709,2701,geographic_adjacency
2709,2702,geographic_adjacency
2709,2703,geographic_adjacency
2709,2704,geographic_adjacency
2709,2711,geographic_adjacency
2709,4404,geographic_adjacency
2709,4425,geographic_adjacency
2710,0059,geographic_adjacency
2710,2701,geographic_adjacency
2710,2707,geographic_adjacency
2710,2708,geographic_adjacency
2711,2704,geographic_adjacency
2711,2706,geographic_adjacency
2711,2709,geographic_adjacency
2711,2712,geographic_adjacency
2711,4404,geographic_adjacency
2712,2704,geographic_adjacency
2712,2706,geographic_adjacency
2712,2707,geographic_adjacency
2712,2711,geographic_adjacency
2712,2713,geographic_adjacency
2713,0059,geographic_adjacency
2713,2706,geographic_adjacency
2713,2707,geographic_adjacency
2713,2712,geographic_adjacency
2713,2715,geographic_adjacency
2713,2716,geographic_adjacency
2713,8405,geographic_adjacency
2713,8425,geographic_adjacency
2714,2705,geographic_adjacency
2714,2706,geographic_adjacency
2714,2715,geographic_adjacency
2714,2718,geographic_adjacency
2715,2706,geographic_adjacency
2715,2713,geographic_adjacency
2715,2714,geographic_adjacency
2715,2716,geographic_adjacency
2716,2713,geographic_adjacency
2716,2715,geographic_adjacency
2716,8416,geographic_adjacency
2716,8425,geographic_adjacency
2717,1105,geographic_adjacency
2717,1110,geographic_adjacency
2717,2409,geographic_adjacency
2717,2702,geographic_adjacency
2717,4415,geographic_adjacency
2717,4425,geographic_adjacency
2718,2705,geographic_adjacency
2718,2706,geographic_adjacency
2718,2714,geographic_adjacency
2718,4404,geographic_adjacency
2718,4407,geographic_adjacency
2718,4414,geographic_adjacency
2801,0051,geographic_adjacency
2801,2804,geographic_adjacency
2801,2809,geographic_adjacency
2801,2812,geographic_adjacency
2801,2814,geographic_adjacency
2802,2809,geographic_adjacency
2802,2810,geographic_adjacency
2802,2816,geographic_adjacency
2802,2818,geographic_adjacency
2802,5211,geographic_adjacency
2802,5215,geographic_adjacency
2802,5305,geographic_adjacency
2802,5317,geographic_adjacency
2803,2808,geographic_adjacency
2803,2811,geographic_adjacency
2803,2812,geographic_adjacency
2803,2814,geographic_adjacency
2803,2815,geographic_adjacency
2804,2801,geographic_adjacency
2804,2809,geographic_adjacency
2804,2811,geographic_adjacency
2804,2814,geographic_adjacency
2804,2816,geographic_adjacency
2804,2818,geographic_adjacency
2805,2806,geographic_adjacency
2805,2816,geographic_adjacency
2806,2805,geographic_adjacency
2806,2810,geographic_adjacency
2806,2816,geographic_adjacency
2807,0054,geographic_adjacency
2807,0058,geographic_adjacency
2807,2813,geographic_adjacency
2807,2815,geographic_adjacency
2807,2819,geographic_adjacency
2808,0057,geographic_adjacency
2808,0061,geographic_adjacency
2808,1114,geographic_adjacency
2808,2803,geographic_adjacency
2808,2812,geographic_adjacency
2808,2815,geographic_adjacency
2808,2817,geographic_adjacency
2809,0051,geographic_adjacency
2809,2801,geographic_adjacency
2809,2802,geographic_adjacency
2809,2804,geographic_adjacency
2809,2818,geographic_adjacency
2809,5215,geographic_adjacency
2810,2802,geographic_adjacency
2810,2806,geographic_adjacency
2810,2816,geographic_adjacency
2811,2803,geographic_adjacency
2811,2804,geographic_adjacency
2811,2813,geographic_adjacency
2811,2814,geographic_adjacency
2811,2815,geographic_adjacency
2811,2819,geographic_adjacency
2812,0051,geographic_adjacency
2812,0061,geographic_adjacency
2812,2801,geographic_adjacency
2812,2803,geographic_adjacency
2812,2808,geographic_adjacency
2812,2814,geographic_adjacency
2813,2807,geographic_adjacency
2813,2811,geographic_adjacency
2813,2819,geographic_adjacency
2814,2801,geographic_adjacency
2814,2803,geographic_adjacency
2814,2804,geographic_adjacency
2814,2811,geographic_adjacency
2814,2812,geographic_adjacency
2815,0054,geographic_adjacency
2815,2803,geographic_adjacency
2815,2807,geographic_adjacency
2815,2808,geographic_adjacency
2815,2811,geographic_adjacency
2815,2817,geographic_adjacency
2815,2819,geographic_adjacency
2816,2802,geographic_adjacency
2816,2804,geographic_adjacency
2816,2805,geographic_adjacency
2816,2806,geographic_adjacency
2816,2810,geographic_adjacency
2816,2818,geographic_adjacency
2817,0054,geographic_adjacency
2817,1101,geographic_adjacency
2817,1114,geographic_adjacency
2817,2808,geographic_adjacency
2817,2815,geographic_adjacency
2818,2802,geographic_adjacency
2818,2804,geographic_adjacency
2818,2809,geographic_adjacency
2818,2816,geographic_adjacency
2819,2807,geographic_adjacency
2819,2811,geographic_adjacency
2819,2813,geographic_adjacency
2819,2815,geographic_adjacency
3201,0058,geographic_adjacency
3201,3202,geographic_adjacency
3201,3204,geographic_adjacency
3202,0054,geographic_adjacency
3202,0058,geographic_adjacency
3202,3201,geographic_adjacency
3202,3203,geographic_adjacency
3202,3204,geographic_adjacency
3202,3210,geographic_adjacency
3202,3211,geographic_adjacency
3202,3220,geographic_adjacency
3203,3202,geographic_adjacency
3203,3204,geographic_adjacency
3203,3205,geographic_adjacency
3203,3208,geographic_adjacency
3203,3212,geographic_adjacency
3203,3215,geographic_adjacency
3203,3220,geographic_adjacency
3204,3201,geographic_adjacency
3204,3202,geographic_adjacency
3204,3203,geographic_adjacency
3204,3205,geographic_adjacency
3204,3206,geographic_adjacency
3204,3219,geographic_adjacency
3205,3203,geographic_adjacency
3205,3204,geographic_adjacency
3205,3215,geographic_adjacency
3205,3216,geographic_adjacency
3205,3219,geographic_adjacency
3206,3204,geographic_adjacency
3206,3207,geographic_adjacency
3206,3219,geographic_adjacency
3207,3206,geographic_adjacency
3207,3213,geographic_adjacency
3207,3219,geographic_adjacency
3208,3203,geographic_adjacency
3208,3212,geographic_adjacency
3208,3217,geographic_adjacency
3208,3220,geographic_adjacency
3208,3222,geographic_adjacency
3209,1102,geographic_adjacency
3209,1107,geographic_adjacency
3209,3221,geographic_adjacency
3209,4406,geographic_adjacency
3209,4413,geographic_adjacency
3209,4415,geographic_adjacency
3210,3202,geographic_adjacency
3210,3211,geographic_adjacency
3210,3220,geographic_adjacency
3210,3221,geographic_adjacency
3211,0054,geographic_adjacency
3211,1101,geographic_adjacency
3211,1112,geographic_adjacency
3211,3202,geographic_adjacency
3211,3210,geographic_adjacency
3211,3221,geographic_adjacency
3212,3203,geographic_adjacency
3212,3208,geographic_adjacency
3212,3215,geographic_adjacency
3212,3216,geographic_adjacency
3212,3222,geographic_adjacency
3213,3207,geographic_adjacency
3213,3216,geographic_adjacency
3213,3219,geographic_adjacency
3214,3217,geographic_adjacency
3214,3220,geographic_adjacency
3214,3221,geographic_adjacency
3214,4403,geographic_adjacency
3214,4413,geographic_adjacency
3215,3203,geographic_adjacency
3215,3205,geographic_adjacency
3215,3212,geographic_adjacency
3215,3216,geographic_adjacency
3216,3205,geographic_adjacency
3216,3212,geographic_adjacency
3216,3213,geographic_adjacency
3216,3215,geographic_adjacency
3216,3218,geographic_adjacency
3216,3219,geographic_adjacency
3216,3222,geographic_adjacency
3217,3208,geographic_adjacency
3217,3214,geographic_adjacency
3217,3220,geographic_adjacency
3217,3222,geographic_adjacency
3217,4403,geographic_adjacency
3218,3216,geographic_adjacency
3219,3204,geographic_adjacency
3219,3205,geographic_adjacency
3219,3206,geographic_adjacency
3219,3207,geographic_adjacency
3219,3213,geographic_adjacency
3219,3216,geographic_adjacency
3220,3202,geographic_adjacency
3220,3203,geographic_adjacency
3220,3208,geographic_adjacency
3220,3210,geographic_adjacency
3220,3214,geographic_adjacency
3220,3217,geographic_adjacency
3220,3221,geographic_adjacency
3221,1107,geographic_adjacency
3221,1112,geographic_adjacency
3221,3209,geographic_adjacency
3221,3210,geographic_adjacency
3221,3211,geographic_adjacency
3221,3214,geographic_adjacency
3221,3220,geographic_adjacency
3221,4413,geographic_adjacency
3222,3208,geographic_adjacency
3222,3212,geographic_adjacency
3222,3216,geographic_adjacency
3222,3217,geographic_adjacency
4401,4402,geographic_adjacency
4401,4404,geographic_adjacency
4401,4412,geographic_adjacency
4401,4426,geographic_adjacency
4401,4427,geographic_adjacency
4402,4401,geographic_adjacency
4402,4406,geographic_adjacency
4402,4413,geographic_adjacency
4402,4415,geographic_adjacency
4402,4421,geographic_adjacency
4402,4425,geographic_adjacency
4402,4426,geographic_adjacency
4402,4427,geographic_adjacency
4403,3214,geographic_adjacency
4403,3217,geographic_adjacency
4403,4413,geographic_adjacency
4403,4421,geographic_adjacency
4404,2706,geographic_adjacency
4404,2709,geographic_adjacency
4404,2711,geographic_adjacency
4404,2718,geographic_adjacency
4404,4401,geographic_adjacency
4404,4407,geographic_adjacency
4404,4412,geographic_adjacency
4404,4425,geographic_adjacency
4404,4427,geographic_adjacency
4405,4411,geographic_adjacency
4405,4414,geographic_adjacency
4405,4417,geographic_adjacency
4405,4422,geographic_adjacency
4406,3209,geographic_adjacency
4406,4402,geographic_adjacency
4406,4413,geographic_adjacency
4406,4415,geographic_adjacency
4407,2718,geographic_adjacency
4407,4404,geographic_adjacency
4407,4412,geographic_adjacency
4407,4414,geographic_adjacency
4407,4417,geographic_adjacency
4408,4416,geographic_adjacency
4408,4420,geographic_adjacency
4409,4419,geographic_adjacency
4409,4420,geographic_adjacency
4409,4423,geographic_adjacency
4410,4412,geographic_adjacency
4410,4416,geographic_adjacency
4410,4419,geographic_adjacency
4410,4424,geographic_adjacency
4410,4426,geographic_adjacency
4411,2705,geographic_adjacency
4411,4405,geographic_adjacency
4411,4414,geographic_adjacency
4411,4418,geographic_adjacency
4412,4401,geographic_adjacency
4412,4404,geographic_adjacency
4412,4407,geographic_adjacency
4412,4410,geographic_adjacency
4412,4417,geographic_adjacency
4412,4419,geographic_adjacency
4412,4426,geographic_adjacency
4413,3209,geographic_adjacency
4413,3214,geographic_adjacency
4413,3221,geographic_adjacency
4413,4402,geographic_adjacency
4413,4403,geographic_adjacency
4413,4406,geographic_adjacency
4413,4421,geographic_adjacency
4414,2705,geographic_adjacency
4414,2718,geographic_adjacency
4414,4405,geographic_adjacency
4414,4407,geographic_adjacency
4414,4411,geographic_adjacency
4414,4417,geographic_adjacency
4415,1102,geographic_adjacency
4415,1110,geographic_adjacency
4415,2717,geographic_adjacency
4415,3209,geographic_adjacency
4415,4402,geographic_adjacency
4415,4406,geographic_adjacency
4415,4425,geographic_adjacency
4416,4408,geographic_adjacency
4416,4410,geographic_adjacency
4416,4419,geographic_adjacency
4416,4420,geographic_adjacency
4416,4424,geographic_adjacency
4417,4405,geographic_adjacency
4417,4407,geographic_adjacency
4417,4412,geographic_adjacency
4417,4414,geographic_adjacency
4417,4419,geographic_adjacency
4417,4422,geographic_adjacency
4417,4423,geographic_adjacency
4418,4411,geographic_adjacency
4419,4409,geographic_adjacency
4419,4410,geographic_adjacency
4419,4412,geographic_adjacency
4419,4416,geographic_adjacency
4419,4417,geographic_adjacency
4419,4420,geographic_adjacency
