ze2020,libze2020,reg,year,is_structural_anomaly,anomaly_reason,bpe_evolution_commune_type_presence_total,side_stocks_et_total,side_stocks_ul_total,flores_et_total,side_creations_et_total,filosofi_s_hh_tax_weighted_proxy,filosofi_s_dir_tax_di_weighted_proxy,population_total,active_lr_total,employed_lr_total,unemployed_lr_total,unemployment_rate_est,jobs_lt_total,jobs_lt_per_1000_pop,side_stocks_et_per_1000_pop,bpe_facilities_total,bpe_facilities_per_1000_pop,flores_presential_unit_loc_total,flores_productive_unit_loc_total,observed_feature_count,has_any_feature_value,is_source_year_row,is_training_eligible_panel_v0
0057,Dreux,28,2021,0,,,9039.0,8176.0,3773.0,1837,46.035095,-13.284436,146035.0,66890.247212,58372.910686,8517.336526,0.127333,38511.232706,263.712348,61.896121,4402.0,30.143459,,,16,1,1,1
0057,Dreux,28,2022,0,,,,,,2006,,,147414.0,67412.01668,59145.57618,8266.4405,0.122626,39405.38741999999,267.311025,,,,,,8,1,1,1
0057,Dreux,28,2023,0,,,9746.0,8906.0,,1973,,,,,,,,,,66.113124,5244.0,35.573283,,,6,1,1,1
0057,Dreux,28,2024,0,,1919,,,,,,,,,,,,,,,5350.0,36.292347,2659.0,1210.0,5,1,1,1
0058,La Vallée de la Bresle-Vimeu,28,2019,0,,1272,4080.0,3595.0,2335.0,513,,,,,,,,,,,,,,,5,1,1,1
0058,La Vallée de la Bresle-Vimeu,28,2020,0,,,4161.0,3724.0,2289.0,544,55.191902,-12.532945,,,,,,,,,,,,,6,1,1,1
0058,La Vallée de la Bresle-Vimeu,28,2021,0,,,4471.0,4001.0,2346.0,646,42.589843,-12.944448,76633.0,32858.803261,28481.39378,4377.409482,0.133219,30181.342417,393.842632,58.343011,2484.0,32.414234,,,16,1,1,1
0058,La Vallée de la Bresle-Vimeu,28,2022,0,,,,,,640,,,76247.0,32552.42571,28410.92407,4141.50164,0.127226,30380.165109999994,398.444071,,,,,,8,1,1,1
0058,La Vallée de la Bresle-Vimeu,28,2023,0,,,4626.0,4155.0,,621,,,,,,,,,,60.67124,2852.0,37.40475,,,6,1,1,1
0058,La Vallée de la Bresle-Vimeu,28,2024,0,,1357,,,,,,,,,,,,,,,2855.0,37.444096,1509.0,865.0,5,1,1,1
0059,Mâcon,84,2019,0,,2488,12257.0,10761.0,6117.0,1848,,,,,,,,,,,,,,,5,1,1,1
0059,Mâcon,84,2020,0,,,12701.0,11245.0,6061.0,1838,65.805523,-14.546023,,,,,,,,,,,,,6,1,1,1
0059,Mâcon,84,2021,0,,,13683.0,12104.0,6226.0,2397,50.418357,-14.753148,166657.0,76564.414214,69444.963643,7119.450571,0.092986,68164.401188,409.01013,82.102762,6104.0,36.626124,,,16,1,1,1
0059,Mâcon,84,2022,0,,,,,,2396,,,167619.0,76564.43903,69544.94522,7019.49381,0.091681,68900.79293000001,411.055984,,,,,,8,1,1,1
0059,Mâcon,84,2023,0,,,14621.0,13103.0,,2420,,,,,,,,,,87.227582,7104.0,42.38183,,,6,1,1,1
0059,Mâcon,84,2024,0,,2610,,,,,,,,,,,,,,,7283.0,43.449728,4041.0,2392.0,5,1,1,1
0060,Nevers,24,2019,0,,2310,8692.0,7562.0,4783.0,1284,,,,,,,,,,,,,,,5,1,1,1
0060,Nevers,24,2020,0,,,8839.0,7717.0,4708.0,1314,57.49312,-13.37428,,,,,,,,,,,,,6,1,1,1
0060,Nevers,24,2021,0,,,9299.0,8183.0,4766.0,1664,46.584537,-13.654795,156665.0,63668.491024,56134.090126,7534.400898,0.118338,55785.925196,356.084162,59.355951,5068.0,32.34928,,,16,1,1,1
0060,Nevers,24,2022,0,,,,,,1665,,,156329.0,63499.37013,56238.21766,7261.15247,0.11435,56197.26909999995,359.480769,,,,,,8,1,1,1
0060,Nevers,24,2023,0,,,9723.0,8592.0,,1595,,,,,,,,,,62.195754,5861.0,37.491444,,,6,1,1,1
0060,Nevers,24,2024,0,,2360,,,,,,,,,,,,,,,5942.0,38.009582,3353.0,1488.0,5,1,1,1
0061,Nogent-le-Rotrou,24,2019,0,,1232,4058.0,3680.0,2089.0,546,,,,,,,,,,,,,,,5,1,1,1
0061,Nogent-le-Rotrou,24,2020,0,,,4190.0,3789.0,2105.0,568,57.1739,-12.986852,,,,,,,,,,,,,6,1,1,1
0061,Nogent-le-Rotrou,24,2021,0,,,4544.0,4085.0,2131.0,717,45.990045,-13.306166,63774.0,27308.60014,24343.581904,2965.018237,0.108575,22992.830401,360.536118,71.251607,2315.0,36.30006,,,16,1,1,1
0061,Nogent-le-Rotrou,24,2022,0,,,,,,703,,,63647.0,27120.79501,24155.6567,2965.13831,0.109331,23132.67542000001,363.452722,,,,,,8,1,1,1
0061,Nogent-le-Rotrou,24,2023,0,,,4620.0,4223.0,,685,,,,,,,,,,72.587867,2686.0,42.201518,,,6,1,1,1
0061,Nogent-le-Rotrou,24,2024,0,,1275,,,,,,,,,,,,,,,2688.0,42.232941,1355.0,790.0,5,1,1,1
0062,Redon,53,2019,0,,1135,4878.0,4373.0,2322.0,665,,,,,,,,,,,,,,,5,1,1,1
0062,Redon,53,2020,0,,,5100.0,4578.0,2345.0,738,64.18504,-12.353074,,,,,,,,,,,,,6,1,1,1
0062,Redon,53,2021,0,,,5475.0,4936.0,2391.0,890,45.178703,-12.865639,84524.0,37494.154364,33456.215843,4037.938521,0.107695,28781.71589,340.515308,64.774502,2589.0,30.630354,,,16,1,1,1
0062,Redon,53,2022,0,,,,,,974,,,85017.0,37829.87833,33762.66006,4067.21827,0.107513,28939.338890000006,340.394732,,,,,,8,1,1,1
0062,Redon,53,2023,0,,,5885.0,5355.0,,937,,,,,,,,,,69.22145,2997.0,35.251773,,,6,1,1,1
0062,Redon,53,2024,0,,1156,,,,,,,,,,,,,,,3001.0,35.298823,1588.0,909.0,5,1,1,1
0063,Ussel,84,2019,0,,2112,5530.0,4956.0,3026.0,649,,,,,,,,,,,,,,,5,1,1,1
0063,Ussel,84,2020,0,,,5643.0,5091.0,2994.0,748,58.604036,-12.788415,,,,,,,,,,,,,6,1,1,1
0063,Ussel,84,2021,0,,,5997.0,5398.0,3080.0,900,44.65273,-13.199662,79208.0,33001.926023,30255.790159,2746.135864,0.083211,30101.768911,380.034452,75.712049,3875.0,48.921826,,,16,1,1,1
0063,Ussel,84,2022,0,,,,,,959,,,79049.0,33112.55842,30474.94386,2637.61456,0.079656,30208.390649999983,382.147663,,,,,,8,1,1,1
0063,Ussel,84,2023,0,,,5934.0,5343.0,,840,,,,,,,,,,75.067363,4357.0,55.117712,,,6,1,1,1
0063,Ussel,84,2024,0,,2132,,,,,,,,,,,,,,,4381.0,55.421321,2178.0,929.0,5,1,1,1
0064,Valréas,84,2019,0,,1355,6350.0,5887.0,2959.0,810,,,,,,,,,,,,,,,5,1,1,1
0064,Valréas,84,2020,0,,,6485.0,6011.0,2949.0,802,50.3726,-13.762578,,,,,,,,,,,,,6,1,1,1
0064,Valréas,84,2021,0,,,6934.0,6439.0,3011.0,1009,43.830381,-14.092225,62299.0,25646.173305,22321.061401,3325.111904,0.129653,21887.750534,351.333898,111.301947,3252.0,52.199875,,,16,1,1,1
0064,Valréas,84,2022,0,,,,,,996,,,62154.0,25498.11958,22463.58476,3034.53482,0.11901,22023.863789999992,354.343466,,,,,,8,1,1,1
0064,Valréas,84,2023,0,,,7197.0,6676.0,,942,,,,,,,,,,115.79303,3776.0,60.752325,,,6,1,1,1
0064,Valréas,84,2024,0,,1378,,,,,,,,,,,,,,,3837.0,61.733758,1997.0,1060.0,5,1,1,1
0101,Côte sous le vent,1,2019,0,,164,969.0,909.0,376.0,243,,,,,,,,,,,,,,,5,1,1,1
0101,Côte sous le vent,1,2020,0,,,1047.0,998.0,393.0,214,,,,,,,,,,,,,,,4,1,1,1
0101,Côte sous le vent,1,2021,0,,,1184.0,1111.0,419.0,258,,,16444.0,6712.6902,4757.926044,1954.764156,0.291204,4078.690079,248.035154,72.001946,849.0,51.629774,,,14,1,1,1
0101,Côte sous le vent,1,2022,0,,,,,,317,,,15986.0,6639.27928,4936.79429,1702.48499,0.256426,4109.59291,257.074497,,,,,,8,1,1,1
0101,Côte sous le vent,1,2023,0,,,1361.0,1294.0,,274,,,,,,,,,,85.136995,919.0,57.487802,,,6,1,1,1
0101,Côte sous le vent,1,2024,0,,165,,,,,,,,,,,,,,,941.0,58.864006,361.0,96.0,5,1,1,1
0102,Est Grande Terre,1,2019,0,,334,3468.0,3223.0,1463.0,868,,,,,,,,,,,,,,,5,1,1,1
0102,Est Grande Terre,1,2020,0,,,3826.0,3570.0,1538.0,854,,,,,,,,,,,,,,,4,1,1,1
0102,Est Grande Terre,1,2021,0,,,4317.0,4023.0,1687.0,1046,,,54869.0,23804.81323,17360.088283,6444.724947,0.270732,12899.026023,235.087682,78.678307,2681.0,48.861835,,,14,1,1,1
0102,Est Grande Terre,1,2022,0,,,,,,1203,,,55551.0,23673.88818,17863.75302,5810.13516,0.245424,13138.20223,236.507034,,,,,,8,1,1,1
0102,Est Grande Terre,1,2023,0,,,5005.0,4731.0,,1252,,,,,,,,,,90.097388,3100.0,55.804576,,,6,1,1,1
0102,Est Grande Terre,1,2024,0,,352,,,,,,,,,,,,,,,3286.0,59.152851,1225.0,607.0,5,1,1,1
0103,Marie-Galante,1,2019,0,,149,580.0,518.0,299.0,99,,,,,,,,,,,,,,,5,1,1,1
0103,Marie-Galante,1,2020,0,,,653.0,587.0,308.0,112,,,,,,,,,,,,,,,4,1,1,1
0103,Marie-Galante,1,2021,0,,,731.0,672.0,339.0,162,,,10467.0,4133.272942,3040.583187,1092.689756,0.264364,3170.028058,302.859278,69.83854,542.0,51.78179,,,14,1,1,1
0103,Marie-Galante,1,2022,0,,,,,,218,,,10422.0,4216.40732,3170.25216,1046.15516,0.248115,3179.41591,305.067733,,,,,,8,1,1,1
0103,Marie-Galante,1,2023,0,,,855.0,782.0,,195,,,,,,,,,,82.037997,658.0,63.135675,,,6,1,1,1
0103,Marie-Galante,1,2024,0,,152,,,,,,,,,,,,,,,702.0,67.357513,271.0,107.0,5,1,1,1
0104,Région Pointoise,1,2019,0,,796,19586.0,17850.0,8533.0,4425,,,,,,,,,,,,,,,5,1,1,1
0104,Région Pointoise,1,2020,0,,,21060.0,19350.0,8868.0,4269,,,,,,,,,,,,,,,4,1,1,1
0104,Région Pointoise,1,2021,0,,,23501.0,21643.0,9301.0,5244,,,232943.0,104733.06663,78299.004431,26434.062198,0.252395,88069.894219,378.074869,100.887342,11174.0,47.968816,,,14,1,1,1
0104,Région Pointoise,1,2022,0,,,,,,5916,,,232887.0,104708.34559,80472.42214,24235.92345,0.231461,90047.53388,386.657623,,,,,,8,1,1,1
0104,Région Pointoise,1,2023,0,,,26661.0,24747.0,,6048,,,,,,,,,,114.480413,12735.0,54.683173,,,6,1,1,1
0104,Région Pointoise,1,2024,0,,836,,,,,,,,,,,,,,,13339.0,57.276705,6205.0,3724.0,5,1,1,1
0105,Sud Basse-Terre,1,2019,0,,540,3183.0,2884.0,1794.0,751,,,,,,,,,,,,,,,5,1,1,1
0105,Sud Basse-Terre,1,2020,0,,,3472.0,3177.0,1824.0,740,,,,,,,,,,,,,,,4,1,1,1
0105,Sud Basse-Terre,1,2021,0,,,3903.0,3572.0,1888.0,877,,,69592.0,29187.735269,20613.045703,8574.689565,0.293777,20817.321968,299.133837,56.084033,2869.0,41.226003,,,14,1,1,1
0105,Sud Basse-Terre,1,2022,0,,,,,,1032,,,68723.0,28264.15008,20529.451,7734.69908,0.273658,20710.63529,301.363958,,,,,,8,1,1,1
