ze2020,libze2020,reg,PMUN2023,PMUN2022,PMUN2021,PMUN2020,PMUN2019,PMUN2018,PMUN2017,PMUN2016,PMUN2015,PMUN2014,PMUN2013,PMUN2012,PMUN2011,PMUN2010,PMUN2009,PMUN2008,PMUN2007,PMUN2006,PSDC1999,PSDC1990,PSDC1982,PSDC1975,PSDC1968,PSDC1962,PTOT1954,PTOT1936,PTOT1931,PTOT1926,PTOT1921,PTOT1911,PTOT1906,PTOT1901,PTOT1896,PTOT1891,PTOT1886,PTOT1881,PTOT1876
1101,Cergy-Vexin,11,653208.0,647954.0,640039.0,637316.0,633388.0,627411.0,620439.0,615705.0,611048.0,605179.0,598505.0,594037.0,589796.0,584050.0,581848.0,579242.0,577050.0,574684.0,552490.0,516231.0,419051.0,351920.0,280920.0,228417.0,186960.0,155496.0,152070.0,134317.0,115702.0,105722.0,97920.0,92382.0,87997.0,82032.0,81247.0,77154.0,75714.0
1102,Coulommiers,11,76400.0,75538.0,74981.0,74526.0,73848.0,73440.0,73150.0,72999.0,72959.0,72475.0,72009.0,71593.0,71002.0,70406.0,69279.0,68107.0,67363.0,67061.0,62698.0,55734.0,47724.0,42621.0,39811.0,38115.0,37110.0,36013.0,36537.0,36651.0,35348.0,39978.0,40117.0,39877.0,40030.0,40329.0,41777.0,40936.0,41503.0
1103,Étampes,11,111261.0,110492.0,110371.0,109327.0,108354.0,108043.0,108164.0,107381.0,107038.0,106865.0,106149.0,105143.0,104070.0,102687.0,101064.0,100376.0,99955.0,99794.0,94499.0,88141.0,76880.0,68921.0,54926.0,48509.0,44887.0,41331.0,42053.0,41841.0,40462.0,42062.0,42124.0,41883.0,41492.0,40377.0,39512.0,38649.0,38703.0
1104,Évry-Courcouronnes,11,626010.0,620425.0,614986.0,612518.0,610715.0,607772.0,608151.0,607273.0,601251.0,596718.0,590188.0,582017.0,573919.0,569120.0,566271.0,564277.0,561022.0,556443.0,521437.0,493648.0,414156.0,360640.0,242931.0,170114.0,130843.0,111757.0,106641.0,90752.0,76088.0,72678.0,69047.0,67008.0,64375.0,60317.0,58039.0,55065.0,52542.0
1105,Fontainebleau-Nemours,11,202185.0,201743.0,201762.0,201120.0,199806.0,199224.0,198611.0,198322.0,198279.0,197120.0,195965.0,195711.0,195443.0,195705.0,195323.0,195485.0,195749.0,194738.0,191034.0,178763.0,162937.0,155276.0,142071.0,128941.0,112412.0,101219.0,101465.0,96739.0,93180.0,95149.0,94205.0,92242.0,93156.0,92106.0,91102.0,88769.0,86318.0
1106,Marne-la-Vallée,11,492542.0,486528.0,479781.0,477011.0,476648.0,473484.0,470160.0,467479.0,464689.0,460450.0,454984.0,450917.0,444625.0,438277.0,434445.0,430409.0,422732.0,414662.0,377842.0,330432.0,256556.0,196044.0,137836.0,113309.0,88259.0,75999.0,72384.0,61523.0,51687.0,51112.0,50380.0,49547.0,48358.0,46589.0,46414.0,43606.0,42600.0
1107,Meaux,11,215640.0,214153.0,211831.0,210922.0,209155.0,207888.0,205805.0,203633.0,201876.0,200168.0,199435.0,197153.0,194408.0,191421.0,189016.0,186528.0,185049.0,183933.0,171524.0,155295.0,129747.0,114555.0,88368.0,76854.0,71219.0,67485.0,68729.0,67177.0,62708.0,65745.0,66546.0,66156.0,65640.0,65148.0,64852.0,65554.0,65939.0
1108,Melun,11,212137.0,208003.0,204875.0,202689.0,200767.0,199179.0,197882.0,197537.0,196093.0,194829.0,192691.0,191436.0,189343.0,188311.0,186575.0,185999.0,184649.0,183852.0,176787.0,165370.0,144517.0,128898.0,100559.0,82494.0,68798.0,59249.0,58109.0,54535.0,50819.0,51754.0,51029.0,50516.0,51407.0,51692.0,49971.0,49137.0,48655.0
1109,Paris,11,4656419.0,4628015.0,4600934.0,4571644.0,4559497.0,4532259.0,4505186.0,4475401.0,4456154.0,4426063.0,4389426.0,4358417.0,4336298.0,4313085.0,4285961.0,4258074.0,4239605.0,4216719.0,3933930.0,3883357.0,3822519.0,3917823.0,3789708.0,3413144.0,2697606.0,2460383.0,2358307.0,2005940.0,1697760.0,1429397.0,1227323.0,1080596.0,910741.0,789707.0,708211.0,608065.0,491922.0
1110,Provins,11,57227.0,57467.0,57585.0,57800.0,57921.0,57879.0,57947.0,58122.0,58029.0,57981.0,57939.0,57849.0,57615.0,57313.0,57109.0,56455.0,55869.0,55011.0,52666.0,48763.0,44388.0,42000.0,41747.0,41314.0,41838.0,40733.0,41805.0,41254.0,38822.0,43349.0,43536.0,44037.0,44382.0,44932.0,45465.0,45389.0,46829.0
