selected_strategy,ze2020,libze2020,actual_sum,persistence_abs_error,model_abs_error,abs_error_reduction_vs_persistence,persistence_wmape,model_wmape,wmape_delta_vs_persistence
conservative_prior_selector,0051,Alençon,4974.0,388.0,442.129307968263,-54.12930796826299,7.800562927221552,8.888807960761218,-1.0882450335396658
conservative_prior_selector,0052,Arles,10789.0,880.0,1159.8586348311815,-279.85863483118146,8.156455649272406,10.750381266393378,-2.5939256171209717
conservative_prior_selector,0053,Avignon,24075.0,2021.0,2572.9149821127903,-551.9149821127903,8.39460020768432,10.687081961008476,-2.2924817533241555
conservative_prior_selector,0054,Beauvais,14089.0,1198.0,1268.1865199556983,-70.18651995569826,8.503087515082688,9.001252892012905,-0.498165376930217
conservative_prior_selector,0055,Bollène-Pierrelatte,4987.0,471.0,293.3871869825575,177.61281301744248,9.444555845197513,5.8830396427222285,3.5615162024752847
conservative_prior_selector,0056,Cosne-Cours-sur-Loire,3135.0,255.0,341.9444176037929,-86.94441760379289,8.133971291866029,10.90731794589451,-2.7733466540284812
conservative_prior_selector,0057,Dreux,7998.0,679.0,558.2947381484385,120.70526185156154,8.4896224056014,6.9804293341890284,1.5091930714123718
conservative_prior_selector,0058,La Vallée de la Bresle-Vimeu,2671.0,270.0,434.6762669727285,-164.6762669727285,10.108573567952078,16.273914899765202,-6.165341331813124
conservative_prior_selector,0059,Mâcon,9887.0,838.0,1170.00175469934,-332.0017546993399,8.475776271872155,11.833738795381207,-3.3579625235090518
conservative_prior_selector,0060,Nevers,6708.0,610.0,877.440327043053,-267.440327043053,9.093619558735838,13.080505769872586,-3.9868862111367473
conservative_prior_selector,0061,Nogent-le-Rotrou,2903.0,294.0,433.75712649569755,-139.75712649569755,10.127454357561144,14.941685377047797,-4.8142310194866536
conservative_prior_selector,0062,Redon,3945.0,480.0,434.52281758367076,45.47718241632924,12.167300380228136,11.014520090840831,1.1527802893873051
conservative_prior_selector,0063,Ussel,3665.0,456.0,472.6719956204173,-16.671995620417306,12.442019099590723,12.896916660857224,-0.4548975612665007
conservative_prior_selector,0064,Valréas,4043.0,428.0,608.6176075976911,-180.61760759769106,10.586198367548851,15.053613841149915,-4.467415473601063
conservative_prior_selector,1101,Cergy-Vexin,49487.0,2554.0,4040.2594400521175,-1486.2594400521175,5.160951360963486,8.164284438442657,-3.003333077479171
conservative_prior_selector,1102,Coulommiers,4677.0,350.0,320.0507134295144,29.949286570485583,7.483429548856105,6.843077045745444,0.6403525031106607
conservative_prior_selector,1103,Étampes,6483.0,402.0,608.1593821844999,-206.15938218449992,6.200832947709394,9.38083267290606,-3.179999725196666
conservative_prior_selector,1104,Évry-Courcouronnes,46246.0,2158.0,3599.9277492315214,-1441.9277492315214,4.666349522120832,7.784300802732175,-3.1179512806113427
conservative_prior_selector,1105,Fontainebleau-Nemours,12675.0,799.0,862.9454158374042,-63.9454158374042,6.3037475345167655,6.808247856705359,-0.5045003221885933
conservative_prior_selector,1106,Marne-la-Vallée,39506.0,2125.0,2327.9012560146293,-202.90125601462933,5.3789297828178,5.892525834087555,-0.5135960512697544
conservative_prior_selector,1107,Meaux,14632.0,831.0,1271.7363289955929,-440.7363289955929,5.679332968835429,8.69147299750952,-3.0121400286740903
conservative_prior_selector,1108,Melun,14638.0,994.0,1401.0157473166041,-407.0157473166041,6.790545156442136,9.5710872203621,-2.780542063919964
conservative_prior_selector,1109,Paris,832864.0,44991.0,31854.33174600164,13136.66825399836,5.401962385215353,3.8246738658414388,1.5772885193739143
conservative_prior_selector,1110,Provins,3108.0,288.0,287.93697301759744,0.06302698240256177,9.266409266409266,9.26438137122257,0.002027895186696327
conservative_prior_selector,1111,Rambouillet,5138.0,409.0,642.4727482293863,-233.4727482293863,7.960295834955236,12.504335310030873,-4.544039475075637
conservative_prior_selector,1112,Roissy,78976.0,4431.0,5790.5144116367155,-1359.5144116367155,5.610565235008104,7.331992518786359,-1.7214272837782554
conservative_prior_selector,1113,Saclay,40729.0,1797.0,2470.277557901576,-673.2775579015761,4.412089665840065,6.06515641901735,-1.653066753177285
conservative_prior_selector,1114,Seine-Yvelinoise,63289.0,3163.0,4455.8368037705295,-1292.8368037705295,4.997708922561583,7.040460117509409,-2.042751194947826
conservative_prior_selector,1115,Versailles-Saint-Quentin,44913.0,2806.0,4500.36929111119,-1694.3692911111903,6.247634315231671,10.020193020085923,-3.7725587048542524
