ze2020,libze2020,reg,year,is_structural_anomaly,anomaly_reason,bpe_evolution_commune_type_presence_total,side_stocks_et_total,side_stocks_ul_total,flores_et_total,filosofi_s_hh_tax_weighted_proxy,filosofi_s_dir_tax_di_weighted_proxy,population_total,active_lr_total,employed_lr_total,unemployed_lr_total,unemployment_rate_est,jobs_lt_total,jobs_lt_per_1000_pop,side_stocks_et_per_1000_pop,bpe_facilities_total,bpe_facilities_per_1000_pop,flores_presential_unit_loc_total,flores_productive_unit_loc_total,observed_feature_count,has_any_feature_value,is_source_year_row,is_training_eligible_panel_v0
1101,Cergy-Vexin,11,2024,0,,3664.0,,,,,,,,,,,,,,23140.0,35.712412,11849.0,6003.0,5,1,1,1
1102,Coulommiers,11,2019,0,,869.0,4607.0,4227.0,1897.0,,,,,,,,,,,,,,,4,1,1,1
1102,Coulommiers,11,2020,0,,,4799.0,4408.0,1905.0,73.637957,-14.503163,,,,,,,,,,,,,5,1,1,1
1102,Coulommiers,11,2021,0,,,5213.0,4783.0,1986.0,55.469294,-14.676859,74981.0,36360.3733,32488.692206,3871.681093,0.106481,17741.874381,236.618268,69.524279,2260.0,30.140969,,,15,1,1,1
1102,Coulommiers,11,2022,0,,,,,,,,75538.0,37120.6583,33411.52374,3709.13456,0.099921,18154.95169999999,240.34197,,,,,,7,1,1,1
1102,Coulommiers,11,2023,0,,,5507.0,5151.0,,,,,,,,,,,72.903704,2634.0,34.869867,,,5,1,1,1
1102,Coulommiers,11,2024,0,,950.0,,,,,,,,,,,,,,2710.0,35.875983,1438.0,644.0,5,1,1,1
1103,Étampes,11,2019,0,,1194.0,6573.0,6002.0,2827.0,,,,,,,,,,,,,,,4,1,1,1
1103,Étampes,11,2020,0,,,6782.0,6215.0,2801.0,77.75586,-16.332284,,,,,,,,,,,,,5,1,1,1
1103,Étampes,11,2021,0,,,7426.0,6816.0,2845.0,61.118366,-16.474989,110371.0,54315.655479,49140.554692,5175.100787,0.095278,31108.990448,281.858373,67.282167,3342.0,30.279693,,,15,1,1,1
1103,Étampes,11,2022,0,,,,,,,,110492.0,54165.46236,49456.96283,4708.49953,0.086928,31131.966900000003,281.757656,,,,,,7,1,1,1
1103,Étampes,11,2023,0,,,7807.0,7206.0,,,,,,,,,,,70.656699,3958.0,35.821598,,,5,1,1,1
1103,Étampes,11,2024,0,,1266.0,,,,,,,,,,,,,,3936.0,35.622489,2060.0,864.0,5,1,1,1
1104,Évry-Courcouronnes,11,2019,0,,2964.0,35088.0,31108.0,14663.0,,,,,,,,,,,,,,,4,1,1,1
1104,Évry-Courcouronnes,11,2020,0,,,37358.0,33374.0,14851.0,81.569139,-16.574411,,,,,,,,,,,,,5,1,1,1
1104,Évry-Courcouronnes,11,2021,0,,,40963.0,36606.0,15473.0,60.08352,-16.4294,614986.0,295544.891829,261910.207852,33634.683977,0.113806,199399.607887,324.234386,66.60802,17738.0,28.842933,,,15,1,1,1
1104,Évry-Courcouronnes,11,2022,0,,,,,,,,620425.0,297694.77798,265413.09413,32281.68385,0.108439,204031.99323,328.858433,,,,,,7,1,1,1
1104,Évry-Courcouronnes,11,2023,0,,,43211.0,39089.0,,,,,,,,,,,69.647419,21085.0,33.984769,,,5,1,1,1
1104,Évry-Courcouronnes,11,2024,0,,3098.0,,,,,,,,,,,,,,21299.0,34.329693,11108.0,5213.0,5,1,1,1
1105,Fontainebleau-Nemours,11,2019,0,,2166.0,14352.0,12924.0,5596.0,,,,,,,,,,,,,,,4,1,1,1
1105,Fontainebleau-Nemours,11,2020,0,,,14863.0,13493.0,5595.0,72.66959,-17.191453,,,,,,,,,,,,,5,1,1,1
1105,Fontainebleau-Nemours,11,2021,0,,,16134.0,14638.0,5753.0,58.1428,-17.126369,201762.0,92139.421784,81446.045453,10693.376331,0.116056,59076.322509,292.802027,79.965504,6513.0,32.280608,,,15,1,1,1
1105,Fontainebleau-Nemours,11,2022,0,,,,,,,,201743.0,92242.04902,82128.85965,10113.18937,0.109638,59736.44206000001,296.101684,,,,,,7,1,1,1
1105,Fontainebleau-Nemours,11,2023,0,,,17116.0,15770.0,,,,,,,,,,,84.840614,7477.0,37.062005,,,5,1,1,1
1105,Fontainebleau-Nemours,11,2024,0,,2286.0,,,,,,,,,,,,,,7462.0,36.987653,4058.0,1839.0,5,1,1,1
1106,Marne-la-Vallée,11,2019,0,,2785.0,33530.0,29673.0,13925.0,,,,,,,,,,,,,,,4,1,1,1
1106,Marne-la-Vallée,11,2020,0,,,35596.0,31726.0,14060.0,85.294054,-17.877886,,,,,,,,,,,,,5,1,1,1
1106,Marne-la-Vallée,11,2021,0,,,39026.0,34852.0,14753.0,65.589355,-17.850056,479781.0,246626.122998,221980.049293,24646.073705,0.099933,186754.376195,389.249212,81.341279,15387.0,32.070882,,,15,1,1,1
1106,Marne-la-Vallée,11,2022,0,,,,,,,,486528.0,249697.61335,225538.53703,24159.07632,0.096753,191051.52203999995,392.683509,,,,,,7,1,1,1
1106,Marne-la-Vallée,11,2023,0,,,41309.0,37268.0,,,,,,,,,,,84.905699,17699.0,36.378174,,,5,1,1,1
1106,Marne-la-Vallée,11,2024,0,,2958.0,,,,,,,,,,,,,,18506.0,38.036865,9991.0,5629.0,5,1,1,1
1107,Meaux,11,2019,0,,1969.0,12444.0,11276.0,5212.0,,,,,,,,,,,,,,,4,1,1,1
1107,Meaux,11,2020,0,,,13096.0,11900.0,5158.0,81.3631,-15.536645,,,,,,,,,,,,,5,1,1,1
1107,Meaux,11,2021,0,,,14357.0,13050.0,5390.0,59.284566,-15.791901,211831.0,106220.215296,95213.417003,11006.798293,0.103622,52895.499244,249.70613,67.775727,6297.0,29.726527,,,15,1,1,1
1107,Meaux,11,2022,0,,,,,,,,214153.0,108127.73346,97113.49992,11014.23354,0.101863,53798.75460999999,251.216442,,,,,,7,1,1,1
1107,Meaux,11,2023,0,,,15157.0,13968.0,,,,,,,,,,,70.776501,7205.0,33.64417,,,5,1,1,1
1107,Meaux,11,2024,0,,2093.0,,,,,,,,,,,,,,7478.0,34.91896,3817.0,1759.0,5,1,1,1
1108,Melun,11,2019,0,,1625.0,11570.0,10313.0,5168.0,,,,,,,,,,,,,,,4,1,1,1
1108,Melun,11,2020,0,,,12243.0,10992.0,5229.0,77.934406,-15.644585,,,,,,,,,,,,,5,1,1,1
1108,Melun,11,2021,0,,,13503.0,12178.0,5412.0,56.586928,-15.811778,204875.0,98926.122553,87865.560729,11060.561825,0.111806,66064.87662,322.464315,65.908481,6122.0,29.881635,,,15,1,1,1
1108,Melun,11,2022,0,,,,,,,,208003.0,100624.91144,89924.08903,10700.82241,0.106344,66808.20543000003,321.188663,,,,,,7,1,1,1
1108,Melun,11,2023,0,,,14278.0,13056.0,,,,,,,,,,,68.643241,7158.0,34.412965,,,5,1,1,1
1108,Melun,11,2024,0,,1706.0,,,,,,,,,,,,,,7286.0,35.028341,3969.0,1664.0,5,1,1,1
1109,Paris,11,2019,0,,12998.0,825279.0,741166.0,138424.0,,,,,,,,,,,,,,,4,1,1,1
1109,Paris,11,2020,0,,,861112.0,776555.0,139717.0,87.551081,-23.485219,,,,,,,,,,,,,5,1,1,1
1109,Paris,11,2021,0,,,924050.0,830908.0,144857.0,63.43049,-22.548592,6701666.0,3458174.410171,3050719.163604,407455.246567,0.117824,3950186.450314,589.433501,137.883625,144802.0,21.606866,,,15,1,1,1
1109,Paris,11,2022,0,,,,,,,,6741720.0,3489218.45909,3099297.0491,389921.40999,0.11175,4004366.563970001,593.968092,,,,,,7,1,1,1
1109,Paris,11,2023,0,,,965945.0,879354.0,,,,,,,,,,,143.278718,166444.0,24.688655,,,5,1,1,1
1109,Paris,11,2024,0,,13202.0,,,,,,,,,,,,,,296832.0,44.02912,209823.0,127476.0,5,1,1,1
1110,Provins,11,2019,0,,854.0,3297.0,3003.0,1561.0,,,,,,,,,,,,,,,4,1,1,1
1110,Provins,11,2020,0,,,3358.0,3067.0,1553.0,67.250356,-15.664273,,,,,,,,,,,,,5,1,1,1
1110,Provins,11,2021,0,,,3668.0,3351.0,1634.0,45.449315,-15.558164,57585.0,26713.434544,23341.559741,3371.874803,0.126224,15387.080247,267.206395,63.697143,1801.0,31.275506,,,15,1,1,1
1110,Provins,11,2022,0,,,,,,,,57467.0,26895.17233,23723.46784,3171.70449,0.117928,15621.51444,271.834521,,,,,,7,1,1,1
1110,Provins,11,2023,0,,,3944.0,3613.0,,,,,,,,,,,68.630692,2089.0,36.351297,,,5,1,1,1
1110,Provins,11,2024,0,,963.0,,,,,,,,,,,,,,2111.0,36.734126,1099.0,554.0,5,1,1,1
1111,Rambouillet,11,2019,0,,846.0,6042.0,5461.0,2338.0,,,,,,,,,,,,,,,4,1,1,1
1111,Rambouillet,11,2020,0,,,6334.0,5721.0,2314.0,80.722081,-20.149096,,,,,,,,,,,,,5,1,1,1
1111,Rambouillet,11,2021,0,,,6853.0,6195.0,2430.0,71.740475,-20.07677,79180.0,38242.84477,35277.767868,2965.076902,0.077533,24837.639729,313.685776,86.549634,2491.0,31.459965,,,15,1,1,1
1111,Rambouillet,11,2022,0,,,,,,,,79818.0,39121.61891,36214.08932,2907.52959,0.07432,25175.52434000001,315.411616,,,,,,7,1,1,1
1111,Rambouillet,11,2023,0,,,7243.0,6640.0,,,,,,,,,,,90.743942,2862.0,35.856574,,,5,1,1,1
1111,Rambouillet,11,2024,0,,880.0,,,,,,,,,,,,,,2840.0,35.580947,1548.0,910.0,5,1,1,1
1112,Roissy,11,2019,0,,3880.0,55363.0,49322.0,24776.0,,,,,,,,,,,,,,,4,1,1,1
1112,Roissy,11,2020,0,,,58528.0,52540.0,25312.0,79.321914,-15.287375,,,,,,,,,,,,,5,1,1,1
1112,Roissy,11,2021,0,,,63983.0,57633.0,26663.0,52.683664,-15.104801,947994.0,444048.653073,379783.01026,64265.642813,0.144727,339328.460219,357.943679,67.493043,31822.0,33.567723,,,15,1,1,1
1112,Roissy,11,2022,0,,,,,,,,956544.0,446936.63823,387086.62543,59850.0128,0.133912,344327.7737999999,359.970659,,,,,,7,1,1,1
1112,Roissy,11,2023,0,,,67801.0,61592.0,,,,,,,,,,,70.881214,37637.0,39.346857,,,5,1,1,1
1112,Roissy,11,2024,0,,3985.0,,,,,,,,,,,,,,38023.0,39.750393,19757.0,8510.0,5,1,1,1
1113,Saclay,11,2019,0,,3097.0,35515.0,31283.0,14542.0,,,,,,,,,,,,,,,4,1,1,1
1113,Saclay,11,2020,0,,,37604.0,33411.0,14705.0,84.927654,-19.469567,,,,,,,,,,,,,5,1,1,1
1113,Saclay,11,2021,0,,,41039.0,36556.0,15215.0,68.023786,-19.246216,550254.0,272070.514269,246436.580912,25633.933358,0.094218,226243.535654,411.162001,74.58192,15863.0,28.828505,,,15,1,1,1
1113,Saclay,11,2022,0,,,,,,,,555004.0,275798.95962,251029.3213,24769.63832,0.08981,230277.03137,414.91058,,,,,,7,1,1,1
1113,Saclay,11,2023,0,,,43413.0,39032.0,,,,,,,,,,,78.221058,18738.0,33.761919,,,5,1,1,1
1113,Saclay,11,2024,0,,3180.0,,,,,,,,,,,,,,18990.0,34.21597,10081.0,5620.0,5,1,1,1
1114,Seine-Yvelinoise,11,2019,0,,4479.0,54689.0,49221.0,19891.0,,,,,,,,,,,,,,,4,1,1,1
1114,Seine-Yvelinoise,11,2020,0,,,57582.0,52114.0,20221.0,85.859946,-21.081838,,,,,,,,,,,,,5,1,1,1
1114,Seine-Yvelinoise,11,2021,0,,,62792.0,56905.0,21059.0,65.638686,-20.743952,809740.0,390352.151602,347948.724098,42403.427505,0.108629,230102.763614,284.168701,77.545879,23313.0,28.790723,,,15,1,1,1
1114,Seine-Yvelinoise,11,2022,0,,,,,,,,820478.0,398513.5476,356693.75045,41819.79715,0.104939,231448.30093,282.089588,,,,,,7,1,1,1
1114,Seine-Yvelinoise,11,2023,0,,,66644.0,60996.0,,,,,,,,,,,81.225822,27111.0,33.042934,,,5,1,1,1
1114,Seine-Yvelinoise,11,2024,0,,4600.0,,,,,,,,,,,,,,26917.0,32.806486,14606.0,7158.0,5,1,1,1
1115,Versailles-Saint-Quentin,11,2019,0,,3434.0,46236.0,40733.0,17720.0,,,,,,,,,,,,,,,4,1,1,1
1115,Versailles-Saint-Quentin,11,2020,0,,,48645.0,43082.0,17866.0,86.177709,-22.114913,,,,,,,,,,,,,5,1,1,1
1115,Versailles-Saint-Quentin,11,2021,0,,,52420.0,46606.0,18453.0,71.420347,-21.767399,599855.0,295564.703073,270199.94885,25364.754223,0.085818,289845.896717,483.193266,87.387785,17927.0,29.885556,,,15,1,1,1
1115,Versailles-Saint-Quentin,11,2022,0,,,,,,,,605097.0,300367.03859,274965.61618,25401.42241,0.084568,292990.93629999994,484.204906,,,,,,7,1,1,1
1115,Versailles-Saint-Quentin,11,2023,0,,,54226.0,48613.0,,,,,,,,,,,89.615384,20578.0,34.007771,,,5,1,1,1
1115,Versailles-Saint-Quentin,11,2024,0,,3536.0,,,,,,,,,,,,,,20695.0,34.201128,12074.0,6679.0,5,1,1,1
2401,Blois,24,2019,0,,2071.0,11270.0,9822.0,5478.0,,,,,,,,,,,,,,,4,1,1,1
2401,Blois,24,2020,0,,,11596.0,10140.0,5501.0,66.108503,-14.776401,,,,,,,,,,,,,5,1,1,1
2401,Blois,24,2021,0,,,12354.0,10819.0,5684.0,52.51632,-15.006301,172538.0,77089.231287,68993.132104,8096.099183,0.105022,71609.141225,415.034029,71.601618,5708.0,33.082567,,,15,1,1,1
2401,Blois,24,2022,0,,,,,,,,173252.0,77300.22111,69720.75794,7579.46317,0.098052,72300.47288999996,417.313929,,,,,,7,1,1,1
2401,Blois,24,2023,0,,,13077.0,11499.0,,,,,,,,,,,75.479648,6571.0,37.927412,,,5,1,1,1
2401,Blois,24,2024,0,,2194.0,,,,,,,,,,,,,,6785.0,39.162607,4027.0,1823.0,5,1,1,1
2402,Bourges,24,2019,0,,2342.0,12003.0,10315.0,6107.0,,,,,,,,,,,,,,,4,1,1,1
