ze2020,libze2020,reg,population_2022_total,active_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_proxy_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021
4403,Charleville-Mézières,44,154183.0,68453.26755000005,0.0,0.0,56867.03793999996,368.828197,9437.0,8467.0,61.206488,6002.0,38.927768,3155.0,1254.0,38.677943,-12.920902
4404,Chaumont,44,122367.0,54403.53670999999,0.0,0.0,49519.473519999985,404.679967,8123.0,7192.0,66.382276,5459.0,44.611701,3079.0,1515.0,45.637472,-14.27011
4405,Colmar,44,208780.0,100221.66889000002,0.0,0.0,89692.65822999999,429.603689,17829.0,15974.0,85.396111,8170.0,39.132101,5351.0,2567.0,54.56542,-16.418534
4406,Épernay,44,82685.0,39663.81302999999,0.0,0.0,36349.429320000025,439.613344,6411.0,5788.0,77.535224,3324.0,40.200762,1724.0,2842.0,50.42666,-16.262263
4407,Épinal,44,183701.0,82408.39185999999,0.0,0.0,72141.11720999988,392.709442,12972.0,11446.0,70.614749,7568.0,41.197381,4333.0,1959.0,45.387445,-14.51641
4408,Forbach,44,106534.0,44286.34552,0.0,0.0,27053.913409999997,253.946284,5249.0,4676.0,49.270655,3542.0,33.247602,1763.0,495.0,40.440113,-12.785107
4409,Haguenau,44,255675.0,127293.20647999992,0.0,0.0,91333.13425999993,357.223562,18908.0,17180.0,73.953261,9748.0,38.126528,5793.0,2567.0,57.785249,-15.819409
4410,Metz,44,447873.0,213355.62835,0.0,0.0,181523.35275000017,405.300951,32650.0,28581.0,72.90013,17054.0,38.077759,9938.0,3918.0,46.358041,-13.856275
4411,Mulhouse,44,437188.0,203668.37841000006,0.0,0.0,160945.41516999988,368.137769,32702.0,29374.0,74.800772,15721.0,35.959358,9220.0,4161.0,50.348527,-15.849698
4412,Nancy,44,556837.0,256840.46616000004,0.0,0.0,226414.1933699998,406.607667,41603.0,36515.0,74.713067,20511.0,36.834837,11889.0,5172.0,52.142894,-16.47574
4413,Reims,44,330859.0,155234.92461999992,0.0,0.0,144592.45091999997,437.021362,27596.0,24178.0,83.407131,12826.0,38.765758,7340.0,4781.0,49.600897,-16.354442
4414,Remiremont,44,84459.0,37633.45579999999,0.0,0.0,32429.57683999999,383.968279,7839.0,7131.0,92.814265,4120.0,48.781065,2214.0,871.0,44.896422,-13.749178
4415,Romilly-sur-Seine,44,83573.0,36696.164059999974,0.0,0.0,27723.3305,331.725922,5060.0,4571.0,60.54587,2886.0,34.532684,1548.0,1329.0,41.854272,-12.941275
4416,Saint-Avold,44,122928.0,54755.28689,0.0,0.0,37471.16146999998,304.822022,7469.0,6706.0,60.759144,4818.0,39.193674,2407.0,911.0,45.663853,-13.273321
